path,region,hot,workload,mr,suffix,rejected,rejected.WorkloadF1,rejected.WorkloadF2,rejected.WorkloadF3,aborted,unexpected,completed,completed.WorkloadF1,completed.WorkloadF2,completed.WorkloadF3,total,avg,p0,p25,p50,p75,p90,p95,p99,p100,avg.WorkloadF1,p0.WorkloadF1,p25.WorkloadF1,p50.WorkloadF1,p75.WorkloadF1,p90.WorkloadF1,p95.WorkloadF1,p99.WorkloadF1,p100.WorkloadF1,avg.WorkloadF3,p0.WorkloadF3,p25.WorkloadF3,p50.WorkloadF3,p75.WorkloadF3,p90.WorkloadF3,p95.WorkloadF3,p99.WorkloadF3,p100.WorkloadF3,avg.WorkloadF2,p0.WorkloadF2,p25.WorkloadF2,p50.WorkloadF2,p75.WorkloadF2,p90.WorkloadF2,p95.WorkloadF2,p99.WorkloadF2,p100.WorkloadF2,scalefactor,terminals,time,rate,warmup,ood_index_page.WorkloadF2,ood_table.WorkloadF2,ood_tuple.WorkloadF2,other_aborts.WorkloadF2,deadlock.WorkloadF2,ood_index_page.WorkloadF3,ood_table.WorkloadF3,ood_tuple.WorkloadF3,other_aborts.WorkloadF3,deadlock.WorkloadF3,ood_index_page.WorkloadF1,ood_table.WorkloadF1,ood_tuple.WorkloadF1,other_aborts.WorkloadF1,deadlock.WorkloadF1,ood_index_page,ood_table,ood_tuple,other_aborts,deadlock,throughput,unexpected.WorkloadF2,unexpected.WorkloadF3
ycsb/throughput-sunstorm/ycsb-throughput-sunstorm-hot100000-F-mr0-20240430-153607/2-eu-west-1-0,2-eu-west-1-0,100000,F,0,20240430-153607,958,958,,,0,0,1017232,1017232,,,1018190,5.6782070532489985,3.761,4.883,5.307,5.76,6.239,6.64,8.630670000000043,219.987,5.6782070532489985,3.761,4.883,5.307,5.76,6.239,6.64,8.630670000000043,219.987,,,,,,,,,,,,,,,,,,,1000,64,90,50000,30,,,,,,,,,,,0,0,0,958,0,0,0,0,958,0,11302.499321478737,,
ycsb/throughput-sunstorm/ycsb-throughput-sunstorm-hot100000-F-mr0-20240430-153607/3-ap-northeast-1-0,3-ap-northeast-1-0,100000,F,0,20240430-153607,1055,1055,,,0,0,1105270,1105270,,,1106325,5.226010136151001,3.255,4.388,4.814,5.291,5.835,6.294,8.557429999999934,148.02,5.226010136151001,3.255,4.388,4.814,5.291,5.835,6.294,8.557429999999934,148.02,,,,,,,,,,,,,,,,,,,1000,64,90,50000,30,,,,,,,,,,,0,0,0,1055,0,0,0,0,1055,0,12280.707019345884,,
ycsb/throughput-sunstorm/ycsb-throughput-sunstorm-hot1000-F-mr15-20240430-163636/1-us-east-1-0,1-us-east-1-0,1000,F,15,20240430-163636,22112,6863,11385.0,3864.0,0,0,246229,210355,31155.0,4719.0,268341,34.90764040415509,2.241,3.787,4.208,5.212,161.00790000000006,180.841,415.2532600000028,867.732,6.853028008075948,2.659,3.731,4.059,4.613,5.375,6.553,113.37129999999978,586.347,299.06172037001346,175.906,179.967,185.821,362.657,535.6814,539.504,614.8951599999999,867.732,176.75221436880994,78.168,81.885,177.069,189.059,346.6488000000003,381.9743999999998,529.8645999999999,839.948,1000,96,90,50000,30,5326.0,0.0,4621.0,1438.0,0.0,1900.0,0.0,1662.0,302.0,0.0,0,0,0,6863,0,7226,0,6283,8603,0,2735.8523147139113,,
ycsb/throughput-sunstorm/ycsb-throughput-sunstorm-hot1000-F-mr15-20240430-163636/2-eu-west-1-0,2-eu-west-1-0,1000,F,15,20240430-163636,20625,6151,10728.0,3746.0,0,0,200148,171174,25243.0,3731.0,220773,42.87299244345041,2.119,3.638,3.963,5.045,183.18080000000018,231.88879999999997,534.1184400000003,1083.458,7.547148072760547,2.569,3.584,3.85,4.413,5.217,6.447,152.51571999999905,524.466,402.00375394767855,224.561,230.0095,357.48,515.9995,686.4678,690.2596,763.2802599999999,1083.458,216.7165084536401,78.916,82.865,226.005,286.77475,451.5965,530.76575,678.26395,954.125,1000,96,90,50000,30,4611.0,0.0,4772.0,1345.0,0.0,1674.0,0.0,1787.0,285.0,0.0,0,0,0,6151,0,6285,0,6559,7781,0,2223.8514984427516,,
ycsb/throughput-sunstorm/ycsb-throughput-sunstorm-hot1000-F-mr15-20240430-163636/3-ap-northeast-1-0,3-ap-northeast-1-0,1000,F,15,20240430-163636,21321,5496,11832.0,3993.0,0,0,156388,134699,19069.0,2620.0,177709,54.55036562872129,1.266,2.84,3.203,4.467,223.058,396.5435,637.49625,969.326,7.429656995582834,1.811,2.803,3.053,3.649,4.65,5.74,157.03627999999986,477.432,436.42325863095243,220.918,225.80775,447.7615,667.67225,672.1431,675.3052,754.32523,940.079,304.61080935394375,172.184,177.0445,224.567,398.96425,571.2065,619.8538500000001,670.60889,969.326,1000,96,90,50000,30,4733.0,0.0,5934.0,1165.0,0.0,1634.0,0.0,2086.0,273.0,0.0,0,0,0,5496,0,6367,0,8020,6934,0,1737.6400126322064,,
ycsb/throughput-sunstorm/ycsb-throughput-sunstorm-hot0-F-mr5-20240426-161224/1-us-east-1-0,1-us-east-1-0,1000000,F,5,20240426-161224,1428,910,423.0,95.0,0,0,707519,672026,30493.0,5000.0,708947,12.23344964952293,3.1,4.423,4.907,5.526,6.572,80.354,180.841,543.223,5.269558159527547,3.165,4.398,4.858,5.407,6.044,6.613,9.564,227.809,187.90020345104332,175.523,179.71875,180.9645,182.63424999999998,190.8612,233.5821,359.18753,543.223,136.55697270667062,78.391,82.4675,175.283,179.519,181.969,194.41149999999996,260.13416,528.225,1000,96,90,50000,30,14.0,0.0,385.0,24.0,0.0,9.0,0.0,82.0,4.0,0.0,0,0,0,910,0,23,0,467,938,0,7861.291125400266,,
ycsb/throughput-sunstorm/ycsb-throughput-sunstorm-hot0-F-mr5-20240426-161224/2-eu-west-1-0,2-eu-west-1-0,1000000,F,5,20240426-161224,1477,867,528.0,82.0,0,0,647437,614945,27953.0,4539.0,648914,13.372595104913552,3.013,4.164,4.561,5.101,5.975,80.652,229.764,694.783,4.92029642037317,3.076,4.141,4.521,4.991,5.548,6.01,8.618729999999982,278.412,237.51558416279585,224.203,228.683,230.027,231.87,238.719,277.157,457.5978,694.783,162.504965483871,78.687,82.856,224.564,228.33525,230.7731,243.23425,311.6896099999999,689.274,1000,96,90,50000,30,17.0,0.0,489.0,22.0,0.0,3.0,0.0,77.0,2.0,0.0,0,0,0,867,0,20,0,566,891,0,7193.709219408161,,
ycsb/throughput-sunstorm/ycsb-throughput-sunstorm-hot0-F-mr5-20240426-161224/3-ap-northeast-1-0,3-ap-northeast-1-0,1000000,F,5,20240426-161224,1644,831,663.0,150.0,0,0,589434,559959,25218.0,4257.0,591078,14.674243912655548,2.153,3.316,3.768,4.317,5.156,175.00185,228.581,694.09,4.098502401428486,2.199,3.298,3.714,4.229,4.714,5.191,7.420079999999958,266.907,239.87389255419413,222.747,226.99675000000002,228.37849999999997,230.304,248.3187,292.27664999999996,456.86857999999995,683.2,211.24253997535087,173.301,178.153,224.198,227.194,230.87359999999998,259.0609999999997,405.73764,694.09,1000,96,90,50000,30,38.0,0.0,601.0,24.0,0.0,6.0,0.0,141.0,3.0,0.0,0,0,0,831,0,44,0,742,858,0,6549.22826424797,,
ycsb/throughput-sunstorm/ycsb-throughput-sunstorm-hot10000-F-mr10-20240430-161215/1-us-east-1-0,1-us-east-1-0,10000,F,10,20240430-161215,4602,1882,2098.0,622.0,0,0,446545,401896,38297.0,6352.0,451147,19.372352830248044,2.728,4.026,4.464,5.13,80.65,177.964,183.52857999999995,727.045,4.953541386912767,2.882,3.984,4.367,4.881,5.44,5.947,9.622,309.191,200.7113907556397,176.027,179.98,181.023,182.755,244.31619999999992,359.73740000000004,437.43941999999925,727.045,140.27123606171548,78.941,82.389,176.66649999999998,179.301,181.773,235.30899999999937,356.52361,596.587,1000,96,90,50000,30,656.0,0.0,1257.0,185.0,0.0,212.0,0.0,367.0,43.0,0.0,0,0,0,1882,0,868,0,1624,2110,0,4961.578157962846,,
ycsb/throughput-sunstorm/ycsb-throughput-sunstorm-hot10000-F-mr10-20240430-161215/2-eu-west-1-0,2-eu-west-1-0,10000,F,10,20240430-161215,4466,1765,2066.0,635.0,0,0,385883,347423,33022.0,5438.0,390349,22.42253137703153,2.585,3.852,4.248,4.935,81.528,227.053,234.309,842.857,4.857067827922172,2.751,3.813,4.158,4.679,5.256,5.735,9.500219999999972,347.072,259.46160662983425,225.781,229.579,230.878,232.93175,453.53830000000005,460.12975,683.4683500000001,842.857,167.7948349965119,79.441,83.263,225.508,228.701,231.7244,305.73739999999975,455.9536,772.923,1000,96,90,50000,30,557.0,0.0,1337.0,172.0,0.0,203.0,0.0,406.0,26.0,0.0,0,0,0,1765,0,760,0,1743,1963,0,4287.554709312618,,
ycsb/throughput-sunstorm/ycsb-throughput-sunstorm-hot10000-F-mr10-20240430-161215/3-ap-northeast-1-0,3-ap-northeast-1-0,10000,F,10,20240430-161215,4895,1784,2300.0,811.0,0,0,329850,297039,28123.0,4688.0,334745,26.218085511946125,1.866,3.025,3.382,4.046,173.962,224.093,260.24925,748.982,4.12349062271904,2.013,2.997,3.288,3.823,4.362299999999989,4.903,8.878189999999943,413.416,265.8288506604176,221.799,225.314,226.56650000000002,229.5965,449.2942,452.5839,673.3348299999999,748.982,219.15735347776513,172.155,176.728,223.241,225.69,239.3387,398.5777,451.72957999999994,703.235,1000,96,90,50000,30,551.0,0.0,1578.0,171.0,0.0,187.0,0.0,584.0,40.0,0.0,0,0,0,1784,0,738,0,2162,1995,0,3664.962770045806,,
ycsb/throughput-sunstorm/ycsb-throughput-sunstorm-hot1000-F-mr0-20240430-161215/1-us-east-1-0,1-us-east-1-0,1000,F,0,20240430-161215,15024,15024,,,0,0,1008929,1008929,,,1023953,5.723215867506657,3.73,4.885,5.317,5.795,6.323,6.829,9.953280000000028,88.453,5.723215867506657,3.73,4.885,5.317,5.795,6.323,6.829,9.953280000000028,88.453,,,,,,,,,,,,,,,,,,,1000,64,90,50000,30,,,,,,,,,,,0,0,0,15024,0,0,0,0,15024,0,11210.218941727764,,
ycsb/throughput-sunstorm/ycsb-throughput-sunstorm-hot1000-F-mr0-20240430-161215/2-eu-west-1-0,2-eu-west-1-0,1000,F,0,20240430-161215,14427,14427,,,0,0,960714,960714,,,975141,6.007307899279805,3.9,5.119,5.582,6.08,6.732,7.366,10.972520000000019,87.609,6.007307899279805,3.9,5.119,5.582,6.08,6.732,7.366,10.972520000000019,87.609,,,,,,,,,,,,,,,,,,,1000,64,90,50000,30,,,,,,,,,,,0,0,0,14427,0,0,0,0,14427,0,10674.52319253582,,
ycsb/throughput-sunstorm/ycsb-throughput-sunstorm-hot1000-F-mr0-20240430-161215/3-ap-northeast-1-0,3-ap-northeast-1-0,1000,F,0,20240430-161215,16337,16337,,,0,0,1096172,1096172,,,1112509,5.269558878075232,3.325,4.439,4.846,5.32,5.892,6.465,9.684,88.512,5.269558878075232,3.325,4.439,4.846,5.32,5.892,6.465,9.684,88.512,,,,,,,,,,,,,,,,,,,1000,64,90,50000,30,,,,,,,,,,,0,0,0,16337,0,0,0,0,16337,0,12179.667569598776,,
ycsb/throughput-sunstorm/ycsb-throughput-sunstorm-hot0-F-mr10-20240426-161224/1-us-east-1-0,1-us-east-1-0,1000000,F,10,20240426-161224,962,537,348.0,77.0,0,0,475338,428155,40547.0,6636.0,476300,18.205950907278925,2.702,4.06,4.524,5.225,78.72470000000001,176.364,179.977,3195.738,4.770075453018403,2.857,4.013,4.425,4.965,5.55,6.002,7.778489999999991,212.564,183.387782444478,175.128,178.066,179.017,180.21550000000002,182.175,203.5212999999999,354.12715999999995,596.506,132.76399167510684,77.233,80.866,156.255,177.728,179.279,181.126,248.98359999999929,3195.738,1000,96,90,50000,30,0.0,0.0,328.0,20.0,0.0,0.0,0.0,77.0,0.0,0.0,0,0,0,537,0,0,0,405,557,0,5281.472075064493,,
ycsb/throughput-sunstorm/ycsb-throughput-sunstorm-hot0-F-mr10-20240426-161224/2-eu-west-1-0,2-eu-west-1-0,1000000,F,10,20240426-161224,1056,554,419.0,83.0,0,0,416953,375412,35684.0,5857.0,418009,20.75007870501865,2.599,3.795,4.181,4.801,79.02130000000011,224.97,228.862,684.903,4.433970554238531,2.755,3.751,4.104,4.55,5.084,5.444,6.937,245.522,233.1920337155571,223.813,226.911,227.975,229.22899999999998,231.0244,250.24069999999986,453.13158,678.419,157.19458411228072,77.773,81.075,157.224,226.492,228.073,229.5698,302.32088000000005,684.903,1000,96,90,50000,30,49.0,0.0,343.0,27.0,0.0,6.0,0.0,75.0,2.0,0.0,0,0,0,554,0,55,0,418,583,0,4632.795521393853,,
ycsb/throughput-sunstorm/ycsb-throughput-sunstorm-hot0-F-mr10-20240426-161224/3-ap-northeast-1-0,3-ap-northeast-1-0,1000000,F,10,20240426-161224,1237,530,610.0,97.0,0,0,353556,318114,30411.0,5031.0,354793,24.476079514296913,1.851,3.008,3.353,4.032,173.93750000000006,223.889,227.82887,675.498,3.6830146119269185,2.018,2.978,3.269,3.78,4.3675,4.884,6.072049999999988,239.216,232.88406176529188,222.056,225.25650000000002,226.342,227.6055,230.0186,256.3702999999997,450.24144,675.498,207.18850815620362,172.226,176.488,222.824,225.313,227.158,235.62839999999994,400.46604,666.883,1000,96,90,50000,30,105.0,0.0,493.0,12.0,0.0,10.0,0.0,85.0,2.0,0.0,0,0,0,530,0,115,0,578,544,0,3928.3915416492255,,
ycsb/throughput-sunstorm/ycsb-throughput-sunstorm-hot1000-F-mr10-20240430-163636/1-us-east-1-0,1-us-east-1-0,1000,F,10,20240430-163636,24886,8825,11980.0,4081.0,0,0,322791,291822,27035.0,3934.0,347677,26.656678131788563,2.512,3.883,4.313,5.08,81.427,178.67034999999996,374.4092699999905,1126.747,6.84381062420014,2.711,3.841,4.216,4.773,5.535,7.224,106.19825,511.418,319.83595932802825,176.095,180.47750000000002,315.9895,436.26099999999997,538.4098,544.4918999999999,622.01319,1126.747,185.9258698649813,78.122,82.348,177.5685,255.92825,355.2319,433.83115,532.90238,720.13,1000,96,90,50000,30,5670.0,0.0,5056.0,1254.0,0.0,2010.0,0.0,1792.0,279.0,0.0,0,0,0,8825,0,7680,0,6848,10358,0,3586.5387949962333,,
ycsb/throughput-sunstorm/ycsb-throughput-sunstorm-hot1000-F-mr10-20240430-163636/2-eu-west-1-0,2-eu-west-1-0,1000,F,10,20240430-163636,22928,7508,11484.0,3936.0,0,0,263716,238794,21917.0,3005.0,286644,32.5280892205538,2.403,3.725,4.049,4.884,82.62639999999999,227.893,531.3823600000001,1075.314,7.483068471438002,2.619,3.691,3.976,4.573,5.323,7.003,144.383,439.154,432.85958226466573,225.944,230.598,456.972,681.679,688.9354000000001,694.9234,758.5498400000001,913.972,229.14620836798107,79.295,83.395,226.554,308.333,455.0242,535.1332,681.65712,1075.314,1000,96,90,50000,30,5199.0,0.0,5291.0,994.0,0.0,1811.0,0.0,1911.0,214.0,0.0,0,0,0,7508,0,7010,0,7202,8716,0,2930.1510867710704,,
ycsb/throughput-sunstorm/ycsb-throughput-sunstorm-hot1000-F-mr10-20240430-163636/3-ap-northeast-1-0,3-ap-northeast-1-0,1000,F,10,20240430-163636,23610,7119,12383.0,4108.0,0,0,210900,191841,16917.0,2142.0,234510,40.5168174155717,1.645,2.885,3.225,4.021,175.048,228.58265,621.83478,939.273,7.168091845969543,1.858,2.858,3.134,3.709,4.632,5.821,153.26252,447.562,464.6909353333333,221.84,226.64724999999999,449.9755,669.4895,674.4492,680.3577,767.0536699999998,903.776,319.53673113929585,172.66,177.81175,225.5495,405.22825,576.4134,622.23635,674.72153,939.273,1000,96,90,50000,30,4461.0,0.0,6846.0,1076.0,0.0,1467.0,0.0,2415.0,226.0,0.0,0,0,0,7119,0,5928,0,9261,8421,0,2343.314795786573,,
ycsb/throughput-sunstorm/ycsb-throughput-sunstorm-hot100000-F-mr15-20240430-153607/1-us-east-1-0,1-us-east-1-0,100000,F,15,20240430-153607,784,375,335.0,74.0,0,0,348322,296294,44643.0,7385.0,349106,24.8372705857948,2.527,3.913,4.337,5.125,82.583,178.552,181.33317,542.553,4.511788480645653,2.815,3.853,4.194,4.691,5.215,5.611,6.97,223.278,183.8485154765137,176.555,179.25525,180.1535,181.149,182.5265,189.84375,261.01600000000184,542.553,133.14040979450826,78.287,81.687,175.6535,178.488,179.734,180.87824999999998,245.43525,427.739,1000,96,90,50000,30,0.0,0.0,292.0,43.0,0.0,0.0,0.0,72.0,2.0,0.0,0,0,0,375,0,0,0,364,420,0,3870.21823704664,,
ycsb/throughput-sunstorm/ycsb-throughput-sunstorm-hot100000-F-mr15-20240430-153607/2-eu-west-1-0,2-eu-west-1-0,100000,F,15,20240430-153607,792,365,358.0,69.0,0,0,299103,254339,38500.0,6264.0,299895,28.913314846310474,2.304,3.681,4.067,4.901,83.354,227.601,230.9,684.572,4.2709646500161975,2.628,3.618,3.941,4.419,4.991,5.373,6.46375,277.885,233.66519551641312,225.548,228.549,229.585,230.797,232.28140000000002,237.50799999999987,360.2191199999951,684.572,158.11966205317654,79.174,82.421,224.0895,227.512,229.0213,230.216,296.55110999999977,568.712,1000,96,90,50000,30,0.0,0.0,328.0,30.0,0.0,0.0,0.0,59.0,10.0,0.0,0,0,0,365,0,0,0,387,405,0,3323.360212294946,,
ycsb/throughput-sunstorm/ycsb-throughput-sunstorm-hot100000-F-mr15-20240430-153607/3-ap-northeast-1-0,3-ap-northeast-1-0,100000,F,15,20240430-153607,871,356,437.0,78.0,0,0,250062,212248,32494.0,5320.0,250933,34.57894605296414,1.631,2.951,3.327,4.191,177.246,224.546,227.829,676.127,3.5929906167234207,1.956,2.907,3.181,3.703,4.317,4.813,5.810609999999986,225.319,230.64763612368023,221.582,224.609,225.597,226.88524999999998,228.6991,242.59764999999985,447.79568000000006,676.127,204.6326096086836,172.164,176.093,222.153,224.614,226.2064,228.23,353.3686400000001,672.12,1000,96,90,50000,30,0.0,0.0,405.0,32.0,0.0,0.0,0.0,73.0,5.0,0.0,0,0,0,356,0,0,0,478,393,0,2778.438314617701,,
ycsb/throughput-sunstorm/ycsb-throughput-sunstorm-hot10000-F-mr5-20240430-161215/1-us-east-1-0,1-us-east-1-0,10000,F,5,20240430-161215,5908,2819,2370.0,719.0,0,0,663312,629895,28729.0,4688.0,669220,13.046463107958948,3.155,4.405,4.855,5.433,6.411,81.986,183.05674,761.563,5.420223276833273,3.214,4.382,4.808,5.325,5.898,6.453,12.694,276.407,213.20256987411992,177.126,181.383,182.83,186.93900000000002,360.9654,365.7034,541.12004,676.74,147.02182019026378,79.691,83.731,177.976,181.019,193.87180000000004,262.0082,363.29104,761.563,1000,96,90,50000,30,786.0,0.0,1464.0,120.0,0.0,261.0,0.0,436.0,22.0,0.0,0,0,0,2819,0,1047,0,1900,2961,0,7370.101769726044,,
