path,region,hot,workload,mr,suffix,rejected,aborted,unexpected,completed,completed.WorkloadC1,completed.WorkloadC2,completed.WorkloadC3,total,ood_index_page,ood_table,ood_tuple,other_aborts,deadlock,throughput.WorkloadC2,avg.WorkloadC2,p0.WorkloadC2,p25.WorkloadC2,p50.WorkloadC2,p75.WorkloadC2,p90.WorkloadC2,p95.WorkloadC2,p99.WorkloadC2,p100.WorkloadC2,throughput.WorkloadC3,avg.WorkloadC3,p0.WorkloadC3,p25.WorkloadC3,p50.WorkloadC3,p75.WorkloadC3,p90.WorkloadC3,p95.WorkloadC3,p99.WorkloadC3,p100.WorkloadC3,throughput.WorkloadC1,avg.WorkloadC1,p0.WorkloadC1,p25.WorkloadC1,p50.WorkloadC1,p75.WorkloadC1,p90.WorkloadC1,p95.WorkloadC1,p99.WorkloadC1,p100.WorkloadC1,scalefactor,terminals,time,rate,warmup,throughput,avg,p0,p25,p50,p75,p90,p95,p99,p100
read-only/sunstorm/ycsb-read-only-sunstorm-hot10000-F-mr10-20240605-114746/3-ap-northeast-1-0,3-ap-northeast-1-0,10000,F,10,20240605-114746,0,0,0,432026,389354,36725.0,5947.0,432026,0,0,0,0,0,408.6,188.4491092799258,148.689,165.368,205.417,208.379,209.3502,209.909,212.54995999999994,310.876,66.1,209.8129895499747,205.929,208.579,209.299,210.048,210.8238,211.3918,219.20384,305.039,4344.5,1.207804950840893,0.679,0.921,1.077,1.304,1.735,2.28,2.862,15.248,1000,96,90,50000,30,4800.273532333831,19.960522110064133,0.679,0.933,1.132,1.463,3.77840000000014,207.271,209.74571000000003,310.876
read-only/sunstorm/ycsb-read-only-sunstorm-hot10000-F-mr10-20240605-114746/2-eu-west-1-0,2-eu-west-1-0,10000,F,10,20240605-114746,0,0,0,521934,469864,44666.0,7404.0,521934,0,0,0,0,0,496.70000000000005,144.24776004036326,75.761,78.675,205.947,208.682,209.713,210.339,213.60242,291.667,81.30000000000001,210.3783839382449,206.636,209.166,209.911,210.7095,211.5387,212.24689999999998,218.45443000000003,289.496,5204.1,1.3524210944134305,0.773,1.074,1.22,1.479,1.868,2.29,2.894,13.823,1000,96,90,50000,30,5799.207406885858,16.52162178492176,0.773,1.09,1.26,1.651,5.5044999999999416,207.631,210.266,291.667
read-only/sunstorm/ycsb-read-only-sunstorm-hot100000-F-mr10-20240605-114746/1-us-east-1-0,1-us-east-1-0,100000,F,10,20240605-114746,0,0,0,593329,534219,50752.0,8358.0,593329,0,0,0,0,0,563.5,125.02205133972615,76.033,79.039,149.0035,172.74,175.808,176.867,179.81376,353.861,92.69999999999999,171.56546625104903,150.084,165.73,173.915,176.572,178.021,178.979,194.99760000000006,364.857,5911.0,1.6069365549128616,0.932,1.268,1.44,1.757,2.232,2.493,3.434,212.294,1000,96,90,50000,30,6592.489639027078,14.540385880421354,0.932,1.282,1.5,1.94,9.93980000000028,162.85840000000002,176.366,364.857
read-only/sunstorm/ycsb-read-only-sunstorm-hot100000-F-mr10-20240605-114746/3-ap-northeast-1-0,3-ap-northeast-1-0,100000,F,10,20240605-114746,0,0,0,424818,382139,36570.0,6109.0,424818,0,0,0,0,0,405.9,188.689249767085,147.94,165.59825,205.7975,208.141,209.128,209.759,217.34336999999996,368.853,67.69999999999999,209.633014606926,205.834,208.285,209.017,209.786,210.62879999999998,211.393,221.15464,311.125,4251.799999999999,1.1997020189200152,0.687,0.911,1.065,1.288,1.71,2.279,2.882,17.612,1000,96,90,50000,30,4720.144870543523,20.299790380531263,0.687,0.923,1.125,1.442,151.8519000000012,207.13,209.55,368.853
read-only/sunstorm/ycsb-read-only-sunstorm-hot100000-F-mr10-20240605-114746/2-eu-west-1-0,2-eu-west-1-0,100000,F,10,20240605-114746,0,0,0,521168,468906,44837.0,7425.0,521168,0,0,0,0,0,498.29999999999995,143.96460505328062,75.546,78.4195,154.834,208.365,209.411,210.1299,216.04989999999998,391.448,83.0,210.38410820291415,205.733,208.772,209.526,210.417,211.3629,212.485,231.65000000000046,308.195,5195.9,1.3223720049392511,0.734,1.032,1.189,1.439,1.865,2.293,2.886,17.606,1000,96,90,50000,30,5790.713154216626,16.549941067645165,0.734,1.048,1.227,1.62,76.35140000000014,207.31,209.97929,391.448
read-only/sunstorm/ycsb-read-only-sunstorm-hot1000-F-mr5-20240605-114746/1-us-east-1-0,1-us-east-1-0,1000,F,5,20240605-114746,0,0,0,1024128,972779,44107.0,7242.0,1024128,0,0,0,0,0,490.1,125.83178421757587,76.556,80.142,146.716,173.41,177.063,178.3746,181.245,269.561,80.3,172.2653454143035,150.73,166.659,174.538,177.849,179.70340000000002,180.85,184.15064,254.955,10787.5,1.8891195430704988,0.943,1.488,1.708,1.987,2.687,3.268,4.446,25.924,1000,96,90,50000,30,11379.145967769025,8.423290519241586,0.943,1.499,1.73,2.082,3.228,77.56249999999953,175.754,269.561
read-only/sunstorm/ycsb-read-only-sunstorm-hot1000-F-mr5-20240605-114746/3-ap-northeast-1-0,3-ap-northeast-1-0,1000,F,5,20240605-114746,0,0,0,791144,751568,34148.0,5428.0,791144,0,0,0,0,0,379.1,189.31647196782907,149.06,166.16275000000002,206.35250000000002,209.182,210.463,211.33865,217.41228000000004,292.23,60.0,210.84265773919466,205.65,209.26125,210.168,211.15775,212.3378,213.50905,228.7206199999998,303.78,8334.8,1.3721324674080517,0.707,1.058,1.233,1.498,1.957,2.34,3.078,24.729,1000,96,90,50000,30,8790.406532644467,10.899950225523613,0.707,1.067,1.254,1.572,2.324,9.819399999987334,209.999,303.78
read-only/sunstorm/ycsb-read-only-sunstorm-hot1000-F-mr5-20240605-114746/2-eu-west-1-0,2-eu-west-1-0,1000,F,5,20240605-114746,0,0,0,935348,889003,39770.0,6575.0,935348,0,0,0,0,0,442.2,145.5405250938027,76.077,79.634,206.666,209.652,210.986,211.84449999999998,216.94389999999999,387.199,72.69999999999999,211.5170460085314,206.113,210.08875,211.0,212.0285,213.14260000000002,214.17940000000002,221.35166,288.635,9859.8,1.6361540276070137,0.797,1.281,1.494,1.794,2.3,2.676,3.561,24.862,1000,96,90,50000,30,10392.634715657294,9.219398601660306,0.797,1.291,1.519,1.873,2.641,7.679549999999115,210.608,387.199
read-only/sunstorm/ycsb-read-only-sunstorm-hot0-F-mr10-20240604-233137/1-us-east-1-0,1-us-east-1-0,1000000,F,10,20240604-233137,0,0,0,578495,520416,49939.0,8140.0,578495,0,0,0,0,0,555.7,125.2781673885146,73.372,78.021,151.90949999999998,173.722,176.4249,177.49745,183.07764000000003,322.539,89.2,172.74370777941897,149.674,166.2495,174.878,177.13725,178.63909999999998,179.595,206.72842999999992,324.718,5812.4,1.8739645486286587,1.135,1.51,1.71,2.038,2.465,2.853,3.894,150.188,1000,96,90,50000,30,6427.663282049714,14.91437471192032,1.135,1.527,1.765,2.268,74.60360000000003,163.51809999999998,176.958,324.718
read-only/sunstorm/ycsb-read-only-sunstorm-hot0-F-mr10-20240604-233137/3-ap-northeast-1-0,3-ap-northeast-1-0,1000000,F,10,20240604-233137,0,0,0,424159,381513,36661.0,5985.0,424159,0,0,0,0,0,405.9,189.22565355385453,148.281,171.02625,205.505,207.91525,209.8731,213.35405,217.84254999999993,322.081,66.80000000000001,209.81876302126943,205.066,207.9305,208.746,209.9365,213.844,215.5165,221.52380000000005,318.226,4207.9,1.1695009069177378,0.671,0.89,1.033,1.252,1.675,2.281,2.826,21.711,1000,96,90,50000,30,4712.855786126457,20.329245586151103,0.671,0.901,1.105,1.394,151.97719999999995,206.75,210.80876,322.081
read-only/sunstorm/ycsb-read-only-sunstorm-hot0-F-mr10-20240604-233137/2-eu-west-1-0,2-eu-west-1-0,1000000,F,10,20240604-233137,0,0,0,504890,454485,43282.0,7123.0,504890,0,0,0,0,0,479.0,145.38424201684563,74.218,78.569,207.09050000000002,209.649,211.01049999999998,214.69875000000002,219.40869999999998,317.111,78.6,212.2523735567446,207.575,210.213,211.05849999999998,212.09275,216.405,218.4299,230.09589999999963,316.097,5077.6,1.8264151330323273,1.174,1.525,1.69,1.988,2.339,2.592,3.25,91.333,1000,96,90,50000,30,5609.864763416147,17.077072239368928,1.174,1.538,1.742,2.189,10.98350000000029,208.507,211.878,317.111
read-only/sunstorm/ycsb-read-only-sunstorm-hot100000-F-mr50-20240605-114746/1-us-east-1-0,1-us-east-1-0,100000,F,50,20240605-114746,0,0,0,173041,86351,74336.0,12354.0,173041,0,0,0,0,0,824.3,124.81846358615117,75.703,78.809,152.09,172.48,175.239,176.089,177.84742000000003,268.298,137.39999999999998,171.1865277282309,151.449,165.59125,173.73450000000003,176.046,177.288,178.06305,187.05571,384.421,960.0999999999999,1.438973514458766,0.952,1.173,1.267,1.498,2.217,2.339,2.872,209.754,1000,128,90,50000,30,1922.6724389436752,66.51288861450556,0.952,1.268,76.914,163.227,174.35180000000003,175.737,177.64687999999998,384.421
read-only/sunstorm/ycsb-read-only-sunstorm-hot100000-F-mr50-20240605-114746/3-ap-northeast-1-0,3-ap-northeast-1-0,100000,F,50,20240605-114746,0,0,0,119267,59449,51392.0,8426.0,119267,0,0,0,0,0,570.4,188.46926182909942,148.276,165.094,206.061,208.016,208.856,209.3544,215.48496000000003,347.638,92.6,209.44619683257918,205.396,208.251,208.9,209.547,210.204,210.74845,222.94824,339.962,662.2,1.1836391636388104,0.705,0.874,0.98,1.263,2.133,2.317,2.8305299999999987,8.722,1000,128,90,50000,30,1325.1756735155882,96.4960927068382,0.705,0.981,152.994,207.1205,208.633,209.252,210.88724,347.638
read-only/sunstorm/ycsb-read-only-sunstorm-hot100000-F-mr50-20240605-114746/2-eu-west-1-0,2-eu-west-1-0,100000,F,50,20240605-114746,0,0,0,149586,74744,64272.0,10570.0,149586,0,0,0,0,0,711.2,143.2482605958614,75.349,78.235,105.256,208.143,209.015,209.53725,214.21800000000002,344.679,117.6,209.93014270803684,206.271,208.626,209.275,209.9805,210.698,211.33010000000002,224.21950000000103,346.413,827.5,1.2274272105749036,0.736,0.948,1.064,1.285,1.933,2.304,2.8145800000000016,7.289,1000,128,90,50000,30,1662.0615797425285,76.92659970025024,0.736,1.064,6.2940000000000005,207.214,208.847,209.533,211.272,346.413
read-only/sunstorm/ycsb-read-only-sunstorm-hot0-F-mr50-20240604-233137/1-us-east-1-0,1-us-east-1-0,1000000,F,50,20240604-233137,0,0,0,174027,87050,74768.0,12209.0,174027,0,0,0,0,0,833.5,124.17170120669103,73.133,77.701,149.169,172.798,175.612,176.407,178.46703999999997,273.877,135.3,171.3308212116237,149.178,165.56425,173.847,176.3545,177.56889999999999,178.2379,197.09526000000008,272.115,970.9000000000001,1.6279372659391156,1.095,1.368,1.47,1.729,2.287,2.427,2.902,8.836,1000,128,90,50000,30,1933.6331539566313,66.13259660492585,1.095,1.47,5.543,162.855,174.699,176.056,177.97401999999997,273.877
read-only/sunstorm/ycsb-read-only-sunstorm-hot0-F-mr50-20240604-233137/3-ap-northeast-1-0,3-ap-northeast-1-0,1000000,F,50,20240604-233137,0,0,0,119055,59360,51221.0,8474.0,119055,0,0,0,0,0,568.8,188.81991028977285,147.841,165.528,205.457,207.812,209.319,212.759,221.17483999999996,527.128,92.2,210.07159940898345,205.224,207.86275,208.596,209.551,213.3365,215.10764999999998,248.86598999999987,366.754,655.8,1.138450604804744,0.679,0.847,0.937,1.225,1.966,2.302,2.5838600000000005,11.878,1000,128,90,50000,30,1322.8317487131815,96.65743419913056,0.679,0.938,150.715,206.781,208.549,210.17669999999998,215.47940000000006,527.128
read-only/sunstorm/ycsb-read-only-sunstorm-hot0-F-mr50-20240604-233137/2-eu-west-1-0,2-eu-west-1-0,1000000,F,50,20240604-233137,0,0,0,147789,74031,63209.0,10549.0,147789,0,0,0,0,0,701.5,144.87075556259904,73.894,78.31675,186.9145,209.312,210.388,213.939,218.991,367.89,116.7,211.87671211545768,207.098,209.97975,210.656,211.47225,214.1885,217.27825,232.10842000000005,380.732,823.9,1.6710072674222265,1.177,1.426,1.522,1.748,2.289,2.431,2.907720000000001,12.131,1000,128,90,50000,30,1642.087265813953,77.85761443441395,1.177,1.521,3.887,208.339,210.173,211.234,217.32,380.732
read-only/sunstorm/ycsb-read-only-sunstorm-hot1000-F-mr10-20240605-114746/1-us-east-1-0,1-us-east-1-0,1000,F,10,20240605-114746,0,0,0,589984,530481,50986.0,8517.0,589984,0,0,0,0,0,565.3,124.56302596739343,75.664,79.181,150.42849999999999,171.941,175.698,176.782,178.61073,257.281,94.4,170.4529998823806,150.101,165.37324999999998,172.611,176.4755,178.061,178.86695,180.91514999999998,253.332,5920.799999999999,1.5740427766760416,0.939,1.256,1.425,1.746,2.207,2.428,3.082,16.243,1000,96,90,50000,30,6555.348283954779,14.622584241415312,0.939,1.27,1.487,1.928,77.466,162.82665000000003,176.293,257.281
read-only/sunstorm/ycsb-read-only-sunstorm-hot1000-F-mr10-20240605-114746/3-ap-northeast-1-0,3-ap-northeast-1-0,1000,F,10,20240605-114746,0,0,0,427253,384480,36736.0,6037.0,427253,0,0,0,0,0,408.6,188.23284084460934,147.969,164.764,206.171,208.384,209.342,209.95725,213.93859999999998,296.349,66.8,209.74698838367075,205.612,208.555,209.265,210.064,210.922,211.621,218.46499999999997,289.284,4265.3,1.1898595045191493,0.692,0.912,1.058,1.283,1.697,2.264,2.862,16.739,1000,96,90,50000,30,4747.225061280652,20.18290604859572,0.692,0.923,1.117,1.435,6.563800000000396,207.363,209.76044,296.349
read-only/sunstorm/ycsb-read-only-sunstorm-hot1000-F-mr10-20240605-114746/2-eu-west-1-0,2-eu-west-1-0,1000,F,10,20240605-114746,0,0,0,524360,472204,44774.0,7382.0,524360,0,0,0,0,0,495.20000000000005,144.57119194811003,75.933,78.58,206.309,208.621,209.617,210.216,213.98336999999998,438.44,82.4,210.2565277173913,206.169,209.031,209.825,210.629,211.499,212.19004999999999,217.11613999999997,308.196,5257.6,1.2961034680660912,0.728,1.019,1.177,1.412,1.8,2.266,2.819,17.268,1000,96,90,50000,30,5826.185205942928,16.448351054049105,0.728,1.034,1.213,1.577,5.240800000000046,207.572,210.155,438.44
read-only/sunstorm/ycsb-read-only-sunstorm-hot10000-F-mr50-20240605-114746/1-us-east-1-0,1-us-east-1-0,10000,F,50,20240605-114746,0,0,0,173210,86402,74374.0,12434.0,173210,0,0,0,0,0,823.4,124.59142225603597,76.068,78.878,150.482,172.593,175.379,176.222,177.94838000000001,257.397,139.8,171.19810871315832,150.624,165.66625,173.8675,176.28,177.4923,178.20059999999998,184.61039999999994,255.195,956.4000000000001,1.4236273769979515,0.933,1.174,1.265,1.477,2.141,2.332,2.863,6.783,1000,128,90,50000,30,1924.548290022235,66.45101012236975,0.933,1.266,76.99549999999999,163.09975,174.546,175.919,177.804,257.397
read-only/sunstorm/ycsb-read-only-sunstorm-hot10000-F-mr50-20240605-114746/3-ap-northeast-1-0,3-ap-northeast-1-0,10000,F,50,20240605-114746,0,0,0,119500,59724,51304.0,8472.0,119500,0,0,0,0,0,570.0,188.54585639503085,147.353,165.3,206.09300000000002,208.23,209.096,209.656,215.73635000000002,289.525,94.1,209.7640287437899,206.122,208.511,209.1565,209.877,210.6047,211.38569999999999,226.08336999999983,284.312,666.4,1.170466243595325,0.688,0.871,0.965,1.245,2.075,2.316,2.830790000000001,13.166,1000,128,90,50000,30,1327.7758241621952,96.30433726502027,0.688,0.965,3.8215000000000003,207.3,208.864,209.538,212.37487,289.525
read-only/sunstorm/ycsb-read-only-sunstorm-hot10000-F-mr50-20240605-114746/2-eu-west-1-0,2-eu-west-1-0,10000,F,50,20240605-114746,0,0,0,148879,74396,63857.0,10626.0,148879,0,0,0,0,0,712.5999999999999,143.93689963764137,75.741,78.344,205.269,208.343,209.219,209.749,215.308,293.326,118.30000000000001,210.07918346375038,206.242,208.8095,209.497,210.2015,210.946,211.611,222.55140000000003,290.133,825.2,1.240801250084011,0.739,0.957,1.081,1.295,2.005,2.306,2.8,10.098,1000,128,90,50000,30,1654.2029839199508,77.2865575559156,0.739,1.081,5.434,207.411,209.049,209.75549999999998,211.603,293.326
read-only/sunstorm/ycsb-read-only-sunstorm-hot1000-F-mr15-20240605-114746/1-us-east-1-0,1-us-east-1-0,1000,F,15,20240605-114746,0,0,0,413638,351597,53158.0,8883.0,413638,0,0,0,0,0,591.4000000000001,124.1486328687135,76.192,78.971,145.029,167.72625,175.371,176.43755,178.21055,264.255,99.7,169.9544381629429,150.001,165.12349999999998,167.845,175.99775,177.6497,178.4069,180.52621,256.528,3910.1000000000004,1.5031013822918742,0.957,1.208,1.33,1.658,2.161,2.385,2.952,15.575,1000,96,90,50000,30,4595.924616104953,20.858008533595136,0.957,1.226,1.408,2.039,79.69490000000002,165.983,176.571,264.255
read-only/sunstorm/ycsb-read-only-sunstorm-hot1000-F-mr15-20240605-114746/3-ap-northeast-1-0,3-ap-northeast-1-0,1000,F,15,20240605-114746,0,0,0,290017,246244,37514.0,6259.0,290017,0,0,0,0,0,416.2,187.6827199017199,148.171,164.437,205.596,208.153,209.073,209.644,213.82385,287.969,69.80000000000001,209.6842056134723,205.835,208.409,209.08,209.794,210.537,211.2071,228.13951999999998,291.771,2739.8,1.1592492629202167,0.683,0.873,0.995,1.237,1.715,2.299,2.847,19.448,1000,96,90,50000,30,3222.380112172474,29.733715884672034,0.683,0.889,1.105,1.612,173.851,208.155,209.855,291.771
read-only/sunstorm/ycsb-read-only-sunstorm-hot1000-F-mr15-20240605-114746/2-eu-west-1-0,2-eu-west-1-0,1000,F,15,20240605-114746,0,0,0,359037,305034,46342.0,7661.0,359037,0,0,0,0,0,514.3,143.45513389962392,75.363,78.358,107.23,208.376,209.32,209.86875,213.00369999999998,627.875,85.7,209.90669948999607,206.34,208.844,209.557,210.33,211.09040000000002,211.67669999999998,216.25758000000002,282.644,3381.1000000000004,1.2493016018201606,0.737,0.967,1.124,1.333,1.804,2.297,2.745,20.378,1000,96,90,50000,30,3989.280084228385,24.024348639469995,0.737,0.987,1.18,1.711,79.035,208.405,210.232,627.875
read-only/sunstorm/ycsb-read-only-sunstorm-hot0-F-mr15-20240604-233137/1-us-east-1-0,1-us-east-1-0,1000000,F,15,20240604-233137,0,0,0,407899,346630,52567.0,8702.0,407899,0,0,0,0,0,583.7,124.5948295363633,72.949,77.645,151.61149999999998,173.273,175.8193,176.694,178.33703,380.063,96.30000000000001,171.6407146970744,149.689,165.75725,174.339,176.518,177.766,178.47,183.0889700000002,262.252,3842.8,1.715394411219105,1.09,1.411,1.556,1.88,2.311,2.553,3.117,15.219,1000,96,90,50000,30,4532.165275309387,21.1517796656719,1.09,1.431,1.65,2.282,78.731,172.18389999999997,176.84897999999998,380.063
read-only/sunstorm/ycsb-read-only-sunstorm-hot0-F-mr15-20240604-233137/3-ap-northeast-1-0,3-ap-northeast-1-0,1000000,F,15,20240604-233137,0,0,0,289226,245546,37640.0,6040.0,289226,0,0,0,0,0,418.1,188.52097334717897,147.21,170.685,191.279,207.682,209.1714,212.5982,215.66744,308.051,65.69999999999999,209.5531627135512,205.155,207.734,208.463,209.505,213.1034,214.8982,222.89560000000014,298.552,2731.7,1.125133112598964,0.679,0.851,0.96,1.201,1.644,2.29,2.828,13.614,1000,96,90,50000,30,3213.607882211183,29.813398467817244,0.679,0.866,1.071,1.518,174.2071,207.627,212.16871000000003,308.051
read-only/sunstorm/ycsb-read-only-sunstorm-hot0-F-mr15-20240604-233137/2-eu-west-1-0,2-eu-west-1-0,1000000,F,15,20240604-233137,0,0,0,351131,298456,45228.0,7447.0,351131,0,0,0,0,0,502.4,144.83302453716007,73.999,78.267,206.85250000000002,209.305,210.428,213.117,217.8389,299.158,82.4,211.45073432032302,206.864,209.94225,210.667,211.567,213.7972,217.25975,220.29323,297.765,3313.3999999999996,1.713931713626114,1.169,1.447,1.569,1.863,2.297,2.448,2.908,9.031,1000,96,90,50000,30,3901.4440213264506,24.56359114618201,1.169,1.464,1.645,2.262,79.362,209.3533,212.229,299.158
