path,region,hot,workload,mr,suffix,rejected,rejected.WorkloadB1,rejected.WorkloadB2,rejected.WorkloadB3,aborted,unexpected,completed,completed.WorkloadB1,completed.WorkloadB2,completed.WorkloadB3,total,throughput.WorkloadB3,avg.WorkloadB3,p0.WorkloadB3,p25.WorkloadB3,p50.WorkloadB3,p75.WorkloadB3,p90.WorkloadB3,p95.WorkloadB3,p99.WorkloadB3,p100.WorkloadB3,throughput.WorkloadB2,avg.WorkloadB2,p0.WorkloadB2,p25.WorkloadB2,p50.WorkloadB2,p75.WorkloadB2,p90.WorkloadB2,p95.WorkloadB2,p99.WorkloadB2,p100.WorkloadB2,throughput.WorkloadB1,avg.WorkloadB1,p0.WorkloadB1,p25.WorkloadB1,p50.WorkloadB1,p75.WorkloadB1,p90.WorkloadB1,p95.WorkloadB1,p99.WorkloadB1,p100.WorkloadB1,avg,p0,p25,p50,p75,p90,p95,p99,p100,throughput,scalefactor,terminals,time,rate,warmup,ood_index_page.WorkloadB1,ood_table.WorkloadB1,ood_tuple.WorkloadB1,other_aborts.WorkloadB1,deadlock.WorkloadB1,ood_index_page.WorkloadB3,ood_table.WorkloadB3,ood_tuple.WorkloadB3,other_aborts.WorkloadB3,deadlock.WorkloadB3,ood_index_page.WorkloadB2,ood_table.WorkloadB2,ood_tuple.WorkloadB2,other_aborts.WorkloadB2,deadlock.WorkloadB2,ood_index_page,ood_table,ood_tuple,other_aborts,deadlock
ycsb/read-heavy-yugabyte/ycsb-mixed-yugabyte-hot1000-F-mr10-20240604-171936/1-us-east-1-0,1-us-east-1-0,1000,F,10,20240604-171936,5626,3363,1859.0,404.0,0,0,263165,238517,21356.0,3292.0,268791,40.4,667.8324950138505,509.04,595.9472499999999,650.346,685.414,865.5643,914.3036999999999,975.8521299999999,1692.981,258.6,557.8392215051888,144.363,371.574,632.3405,696.0195,725.4586,883.3597999999998,969.4839599999997,2003.018,2672.1000000000004,112.92026235575423,67.329,95.823,107.509,120.849,135.121,146.24759999999998,232.3433000000005,4622.86,158.4646158438405,64.622,97.154,110.114,127.2415,343.73220000000003,652.4856999999998,734.9199400000001,4622.86,2924.0213589958053,1000,512,90,50000,30,0,0,0,3363,0,0.0,0.0,0.0,404.0,0.0,0.0,0.0,0.0,1859.0,0.0,0,0,0,5626,0
ycsb/read-heavy-yugabyte/ycsb-mixed-yugabyte-hot1000-F-mr10-20240604-171936/2-eu-west-1-0,2-eu-west-1-0,1000,F,10,20240604-171936,6085,3228,2345.0,512.0,0,0,265047,240346,21376.0,3325.0,271132,42.0,879.6398335556148,504.533,693.913,801.981,873.664,1339.8158,1392.8948,1455.92552,2698.399,263.4,732.4037330270546,105.562,367.65725,855.422,896.06125,1315.7623999999998,1407.1272999999999,1490.0275900000001,3311.19,2718.8,103.38804188173017,54.308,81.23575,92.524,105.948,122.2317,139.95669999999996,413.01783999999935,3892.523,168.79972841374004,51.252,82.494,95.0695,113.061,346.8343000000002,854.7391499999998,1342.8915399999958,3892.523,2944.9494674419,1000,512,90,50000,30,0,0,0,3228,0,0.0,0.0,0.0,512.0,0.0,0.0,0.0,0.0,2345.0,0.0,0,0,0,6085,0
ycsb/read-heavy-yugabyte/ycsb-mixed-yugabyte-hot1000-F-mr5-20240604-171936/3-ap-northeast-1-0,3-ap-northeast-1-0,1000,F,5,20240604-171936,5723,4202,1264.0,257.0,0,0,287722,274371,11444.0,1907.0,293445,23.9,1065.8095562015503,841.533,949.07575,980.3195000000001,1028.3335,1477.7977,1541.60035,1609.9684499999998,2760.356,140.7,900.7970266038187,510.119,721.052,868.291,911.058,1339.4026000000001,1403.821,1453.49024,2759.725,3116.1000000000004,116.04591913008052,61.56,92.799,105.889,121.663,140.83020000000002,161.59319999999994,343.3247599999995,3771.025,156.48546024443388,60.132,93.499,107.271,125.198,159.62120000000002,683.6437999999996,1057.7721200000103,3771.025,3196.8817996123084,1000,512,90,50000,30,0,0,0,4202,0,0.0,0.0,0.0,257.0,0.0,0.0,0.0,0.0,1264.0,0.0,0,0,0,5723,0
ycsb/read-heavy-yugabyte/ycsb-mixed-yugabyte-hot1000-F-mr5-20240604-171936/1-us-east-1-0,1-us-east-1-0,1000,F,5,20240604-171936,5850,4629,1003.0,218.0,0,0,278221,265263,11211.0,1747.0,284071,21.9,681.4056659751037,544.981,608.89575,662.4275,700.7515,874.8788,924.1610999999998,970.12877,1750.779,137.5,569.6181160344541,157.714,388.31475,648.943,707.6125,739.2841999999999,877.7788500000001,972.9998500000003,1506.953,2998.7,130.42836819670174,80.23,112.657,125.884,140.82275,156.647,168.47689999999997,235.05275000000063,5647.572,152.9200587904211,79.018,113.393,127.238,143.902,167.33980000000003,356.61049999999994,717.3190599999999,5647.572,3091.33609065823,1000,512,90,50000,30,0,0,0,4629,0,0.0,0.0,0.0,218.0,0.0,0.0,0.0,0.0,1003.0,0.0,0,0,0,5850,0
ycsb/read-heavy-yugabyte/ycsb-mixed-yugabyte-hot1000-F-mr5-20240604-171936/2-eu-west-1-0,2-eu-west-1-0,1000,F,5,20240604-171936,6218,4651,1266.0,301.0,0,0,288861,275727,11347.0,1787.0,295079,24.4,894.0126493633693,529.491,712.2215,816.3315,884.6285,1355.3548,1407.2934999999998,1464.4130099999995,2390.206,140.2,747.5115319779075,105.442,383.196,871.472,920.033,1296.3022000000003,1426.5798,1576.39556,2501.746,3112.0,124.17310138156387,69.64,102.369,115.9045,131.996,150.71470000000002,168.44285,299.3830999999964,5870.738,155.99101604594665,68.284,103.112,117.317,135.416,166.524,365.864,958.8963000000002,5870.738,3209.536118765488,1000,512,90,50000,30,0,0,0,4651,0,0.0,0.0,0.0,301.0,0.0,0.0,0.0,0.0,1266.0,0.0,0,0,0,6218,0
ycsb/read-heavy-yugabyte/ycsb-mixed-yugabyte-hot100000-F-mr15-20240604-153605/3-ap-northeast-1-0,3-ap-northeast-1-0,100000,F,15,20240604-153605,318,181,120.0,17.0,0,0,248995,211721,32033.0,5241.0,249313,58.3,1010.3355492307692,857.133,917.43825,943.9175,971.07425,1417.6693000000005,1492.88875,1566.5017000000003,1624.086,356.4,850.6596962434827,505.138,679.126,838.9675,862.8115,1320.5138,1383.917,1420.9240399999999,1646.617,2357.3,63.314700397436326,36.003,53.962,61.575,70.424,79.88160000000003,86.4189,101.24594000000003,1732.628,183.88570772546683,32.785,55.308,64.2935,78.16425000000001,702.7842000000002,866.2018499999999,1374.6068899999998,1732.628,2766.581338515297,1000,512,90,50000,30,0,0,0,181,0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,120.0,0.0,0,0,0,318,0
ycsb/read-heavy-yugabyte/ycsb-mixed-yugabyte-hot100000-F-mr15-20240604-153605/1-us-east-1-0,1-us-east-1-0,100000,F,15,20240604-153605,391,250,124.0,17.0,0,0,266534,226608,34262.0,5664.0,266925,62.7,662.8251063376531,527.799,592.333,650.18,681.864,873.4072,915.7219999999999,951.029,1178.618,384.0,550.4617381976761,152.766,364.5865,636.327,694.5405000000001,718.5562000000001,876.4927999999999,949.73302,1086.708,2528.3,103.22291116726518,64.515,90.838,101.652,113.755,125.879,133.99864999999997,151.27924,1112.271,172.40244382636936,59.971,92.764,105.432,123.8505,383.9674,682.6582999999999,743.2951999999999,1178.618,2961.4569111429723,1000,512,90,50000,30,0,0,0,250,0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,124.0,0.0,0,0,0,391,0
ycsb/read-heavy-yugabyte/ycsb-mixed-yugabyte-hot100000-F-mr15-20240604-153605/2-eu-west-1-0,2-eu-west-1-0,100000,F,15,20240604-153605,340,213,102.0,25.0,0,0,268936,228758,34513.0,5665.0,269276,63.9,799.3633850115432,634.737,674.4335,785.239,808.2655,1227.997,1338.9515000000001,1418.2296,2383.981,386.2,661.0611740977881,87.841,348.05125,846.7125000000001,871.55125,896.0837,1271.7077999999997,1432.9702099999997,1647.217,2538.3999999999996,81.38673591278982,49.919,71.123,79.847,89.803,99.9696,106.80529999999999,121.56,1718.037,170.528504054839,46.124,72.656,82.949,98.17,370.9934000000001,860.39725,938.1832000000006,2383.981,2988.1468261213317,1000,512,90,50000,30,0,0,0,213,0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,102.0,0.0,0,0,0,340,0
ycsb/read-heavy-yugabyte/ycsb-mixed-yugabyte-hot100000-F-mr5-20240604-153605/3-ap-northeast-1-0,3-ap-northeast-1-0,100000,F,5,20240604-153605,425,367,52.0,6.0,0,0,306300,290869,13201.0,2230.0,306725,24.2,1059.0869081494823,887.797,954.902,983.179,1020.922,1465.426,1515.402,1593.4306000000004,1680.822,146.0,900.7643147130646,628.275,717.9065,871.662,913.93025,1372.9651999999999,1420.7890999999997,1548.1290699999993,2469.951,3225.7,109.20234577785443,64.88,94.477,106.84,121.036,135.921,146.33509999999998,169.57904000000005,1053.311,150.02438438097363,63.68,95.14775,108.133,124.073,145.618,653.8211500000001,996.8102000000039,2469.951,3403.2976234389166,1000,512,90,50000,30,0,0,0,367,0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,52.0,0.0,0,0,0,425,0
ycsb/read-heavy-yugabyte/ycsb-mixed-yugabyte-hot100000-F-mr5-20240604-153605/1-us-east-1-0,1-us-east-1-0,100000,F,5,20240604-153605,413,364,42.0,7.0,0,0,293467,278674,12591.0,2202.0,293880,24.299999999999997,683.3374745762711,538.359,617.1435,668.326,706.3835,874.2221999999999,922.3858,961.5435399999998,993.512,139.5,575.5749022059409,172.072,393.356,657.898,717.102,745.9942,867.0677999999996,965.27244,1062.689,3090.1000000000004,133.30495999466066,84.398,117.838,131.572,146.736,161.8163,171.75629999999992,192.18565000000004,714.053,156.36530841511657,83.162,118.59075,132.951,149.85025,171.178,341.7115,724.0387000000009,1062.689,3260.7437908102365,1000,512,90,50000,30,0,0,0,364,0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,42.0,0.0,0,0,0,413,0
ycsb/read-heavy-yugabyte/ycsb-mixed-yugabyte-hot100000-F-mr5-20240604-153605/2-eu-west-1-0,2-eu-west-1-0,100000,F,5,20240604-153605,436,372,52.0,12.0,0,0,303598,288366,13107.0,2125.0,304034,23.4,833.9856357176694,647.838,708.172,812.7,844.012,1262.305,1360.289,1432.519,1486.748,145.1,703.8211288841268,141.961,381.66974999999996,873.2284999999999,911.96475,944.7719999999999,1353.1775,1497.6736500000002,1685.206,3202.7,121.48192285185844,76.663,107.208,119.651,133.68,147.85,157.17440000000002,176.67511999999994,1221.621,151.55775505678136,75.517,107.881,120.917,136.544,156.545,334.28769999999946,917.8951399999999,1685.206,3373.2737044667133,1000,512,90,50000,30,0,0,0,372,0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,52.0,0.0,0,0,0,436,0
ycsb/read-heavy-yugabyte/ycsb-mixed-yugabyte-hot100000-F-mr0-20240604-153605/3-ap-northeast-1-0,3-ap-northeast-1-0,100000,F,0,20240604-153605,520,520,,,0,0,337025,337025,,,337545,,,,,,,,,,,,,,,,,,,,,3753.3,136.71890554523034,85.12,120.012,134.278,150.474,167.47959999999998,178.971,205.13911999999988,406.617,136.71890554523034,85.12,120.012,134.278,150.474,167.47959999999998,178.971,205.13911999999988,406.617,3744.7149447431984,1000,512,90,50000,30,0,0,0,520,0,,,,,,,,,,,0,0,0,520,0
ycsb/read-heavy-yugabyte/ycsb-mixed-yugabyte-hot100000-F-mr0-20240604-153605/1-us-east-1-0,1-us-east-1-0,100000,F,0,20240604-153605,418,418,,,0,0,308837,308837,,,309255,,,,,,,,,,,,,,,,,,,,,3436.9,149.32399786397139,95.077,132.234,147.5265,164.241,180.81,191.52445,214.398,372.248,149.32399786397139,95.077,132.234,147.5265,164.241,180.81,191.52445,214.398,372.248,3431.5046266865875,1000,512,90,50000,30,0,0,0,418,0,,,,,,,,,,,0,0,0,418,0
ycsb/read-heavy-yugabyte/ycsb-mixed-yugabyte-hot100000-F-mr0-20240604-153605/2-eu-west-1-0,2-eu-west-1-0,100000,F,0,20240604-153605,425,425,,,0,0,306819,306819,,,307244,,,,,,,,,,,,,,,,,,,,,3407.8999999999996,150.2427782165768,94.205,132.333,147.961,165.533,183.346,195.157,220.47431999999984,373.561,150.2427782165768,94.205,132.333,147.961,165.533,183.346,195.157,220.47431999999984,373.561,3409.0847175656345,1000,512,90,50000,30,0,0,0,425,0,,,,,,,,,,,0,0,0,425,0
ycsb/read-heavy-yugabyte/ycsb-mixed-yugabyte-hot1000-F-mr50-20240604-171936/3-ap-northeast-1-0,3-ap-northeast-1-0,1000,F,50,20240604-171936,3224,108,2528.0,588.0,0,0,100498,51825,42021.0,6652.0,103722,80.6,1009.5931040354893,805.286,884.672,916.261,941.443,1484.6026,1553.4882,1723.8153500000008,4365.325,494.4,824.5958499341717,455.573,643.98325,806.696,813.76875,1316.2386000000004,1379.5637000000002,1509.5563000000004,6719.893,576.8,31.991735185327894,8.448,13.208,15.252500000000001,17.888,20.931300000000004,24.019299999999987,627.22381,4962.947,437.76092394368925,8.448,15.228,526.395,808.639,922.9928,1330.9743999999998,1522.3283600000022,6719.893,1116.638268181705,1000,512,90,50000,30,0,0,0,108,0,0.0,0.0,0.0,588.0,0.0,0.0,0.0,0.0,2528.0,0.0,0,0,0,3224,0
ycsb/read-heavy-yugabyte/ycsb-mixed-yugabyte-hot1000-F-mr50-20240604-171936/1-us-east-1-0,1-us-east-1-0,1000,F,50,20240604-171936,5649,267,4396.0,986.0,0,0,150390,77808,62612.0,9970.0,156039,122.2,636.9237002424921,441.125,552.46325,625.388,649.83325,859.5346,896.8562999999999,1068.0300199999997,2554.266,740.2,514.416153892486,91.814,302.55525,564.0654999999999,667.8987500000001,686.5761,869.24925,1029.5754700000007,3600.058,870.0,42.03219852818197,19.687,28.6385,32.322,36.5965,41.52740000000001,46.2,381.8873200000019,2800.894,284.9004637506912,4.753,32.25725,288.08900000000006,618.45775,671.9557000000001,689.6842,914.1343900000003,3600.058,1670.9891180918326,1000,512,90,50000,30,0,0,0,267,0,0.0,0.0,0.0,986.0,0.0,0.0,0.0,0.0,4396.0,0.0,0,0,0,5649,0
ycsb/read-heavy-yugabyte/ycsb-mixed-yugabyte-hot1000-F-mr50-20240604-171936/2-eu-west-1-0,2-eu-west-1-0,1000,F,50,20240604-171936,4767,220,3715.0,832.0,0,0,118922,61413,49642.0,7867.0,123689,95.9,830.7707983861536,427.125,623.4649999999999,749.286,817.091,1333.961,1381.6064999999999,1573.2205,5270.069,597.0999999999999,680.3862343383965,71.713,295.049,810.6755,819.84925,1259.4509000000003,1376.8279,1549.1512500000001,5653.79,684.0,40.075600474426466,10.619,17.578,20.736,24.381,28.755300000000002,35.054549999999956,639.94941,6753.308,370.23377400001624,8.784,20.728,285.422,808.898,877.2896000000002,1288.712,1410.7348400000005,6753.308,1321.350615377965,1000,512,90,50000,30,0,0,0,220,0,0.0,0.0,0.0,832.0,0.0,0.0,0.0,0.0,3715.0,0.0,0,0,0,4767,0
ycsb/read-heavy-yugabyte/ycsb-mixed-yugabyte-hot100000-F-mr50-20240604-171936/3-ap-northeast-1-0,3-ap-northeast-1-0,100000,F,50,20240604-171936,136,28,92.0,16.0,0,0,109735,54941,46974.0,7820.0,109871,86.1,967.6292751035197,815.944,874.91075,906.3045,924.3835,1393.7611000000002,1491.89705,1557.24226,1666.035,523.6,799.7584347882009,463.546,631.25875,806.3045,811.973,1312.2774000000002,1375.2438000000002,1395.621,1714.379,609.3,15.641736708998947,8.393,12.983,14.914,17.231,19.6449,21.20284999999999,24.629119999999997,1326.782,417.425405837654,8.076,14.893,26.105,808.164,886.6728,1319.2968,1396.24084,1714.379,1219.2726656790826,1000,512,90,50000,30,0,0,0,28,0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,92.0,0.0,0,0,0,136,0
ycsb/read-heavy-yugabyte/ycsb-mixed-yugabyte-hot100000-F-mr50-20240604-171936/1-us-east-1-0,1-us-east-1-0,100000,F,50,20240604-171936,223,56,147.0,20.0,0,0,169270,84645,72679.0,11946.0,169493,134.2,607.0507151627281,504.358,537.597,601.991,625.521,659.447,873.1165000000001,897.6906000000001,1154.227,807.3,492.30978101131205,150.057,302.994,559.894,638.812,658.105,839.988,896.174,1208.106,942.4,34.71532032223237,21.167,30.309,34.075,38.31,42.597,45.505,51.72514,556.589,271.01672008687365,5.902,34.023,58.134,593.014,642.567,658.05,888.9934000000001,1208.106,1880.7715067422405,1000,512,90,50000,30,0,0,0,56,0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,147.0,0.0,0,0,0,223,0
ycsb/read-heavy-yugabyte/ycsb-mixed-yugabyte-hot100000-F-mr50-20240604-171936/2-eu-west-1-0,2-eu-west-1-0,100000,F,50,20240604-171936,175,50,114.0,11.0,0,0,129295,64988,55178.0,9129.0,129470,100.9,815.1890720989289,606.884,623.805,749.443,758.863,1336.1104,1378.1473999999998,1404.39364,1660.106,614.5,670.3866397026673,73.004,295.772,811.8875,820.0562500000001,1000.7626000000001,1373.4830499999998,1483.5589899999995,1861.975,719.1,22.540220170892713,11.696,18.687,21.842,25.33325,28.883499999999998,31.2235,36.41545000000002,1115.757,353.9354123280448,8.861,21.776,37.1565,809.355,823.2978,1265.970449999997,1403.25929,1861.975,1436.6037357790788,1000,512,90,50000,30,0,0,0,50,0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,114.0,0.0,0,0,0,175,0
