path,region,hot,workload,mr,suffix,rejected,aborted,unexpected,completed,completed.WorkloadC1,completed.WorkloadC2,completed.WorkloadC3,total,ood_index_page,ood_table,ood_tuple,other_aborts,deadlock,throughput.WorkloadC3,avg.WorkloadC3,p0.WorkloadC3,p25.WorkloadC3,p50.WorkloadC3,p75.WorkloadC3,p90.WorkloadC3,p95.WorkloadC3,p99.WorkloadC3,p100.WorkloadC3,throughput.WorkloadC2,avg.WorkloadC2,p0.WorkloadC2,p25.WorkloadC2,p50.WorkloadC2,p75.WorkloadC2,p90.WorkloadC2,p95.WorkloadC2,p99.WorkloadC2,p100.WorkloadC2,throughput.WorkloadC1,avg.WorkloadC1,p0.WorkloadC1,p25.WorkloadC1,p50.WorkloadC1,p75.WorkloadC1,p90.WorkloadC1,p95.WorkloadC1,p99.WorkloadC1,p100.WorkloadC1,avg,p0,p25,p50,p75,p90,p95,p99,p100,scalefactor,terminals,time,rate,warmup,throughput
read-only/sunstorm/ycsb-read-only-sunstorm-hot100000-F-mr50-20241219-124904/3-ap-northeast-1-0,3-ap-northeast-1-0,100000,F,50,20241219-124904,0,0,0,121370,60801,52171.0,8398.0,121370,0,0,0,0,0,93.30000000000001,211.6215261964435,206.123,209.691,210.745,212.188,213.62220000000002,214.6072,239.67343999999997,307.533,581.3,185.16677042756714,147.99,157.00825,206.57,209.617,211.034,211.915,216.55117,321.694,677.8,1.37858528642621,0.682,0.968,1.228,1.602,2.28,2.357,2.863,13.832,94.82810027878128,0.682,1.227,3.1375,208.222,210.527,211.621,214.34358999999998,321.694,1000,128,90,50000,30,1348.5507891777106
read-only/sunstorm/ycsb-read-only-sunstorm-hot100000-F-mr50-20241219-124904/2-eu-west-1-0,2-eu-west-1-0,100000,F,50,20241219-124904,0,0,0,142438,71142,61005.0,10291.0,142438,0,0,0,0,0,113.5,218.11906518561824,211.84,216.056,217.452,218.987,220.5296,221.5938,229.35073999999975,435.829,674.1,150.2392970594513,78.584,84.14,210.217,214.42,215.965,216.88569999999999,219.38594,435.469,781.3,1.504322232843206,0.767,1.118,1.341,1.757,2.307,2.477,2.911,12.11,80.7857365961633,0.767,1.341,80.0155,212.829,215.916,217.428,220.622,435.829,1000,128,90,50000,30,1582.6396455469262
read-only/sunstorm/ycsb-read-only-sunstorm-hot1000-F-mr10-20241219-124904/1-us-east-1-0,1-us-east-1-0,1000,F,10,20241219-124904,0,0,0,743010,668970,63722.0,10318.0,743010,0,0,0,0,0,113.8,162.3503738817581,153.499,159.0505,160.848,162.98425,166.31640000000002,172.162,196.94827000000006,297.43,702.8,122.85513466161753,78.527,83.444,152.634,159.081,161.611,164.327,175.46059999999997,333.155,7430.1,3.007845718488489,1.708,2.503,2.804,3.246,3.915,4.487,6.018,22.093,15.482947196189976,1.708,2.536,2.881,3.522,13.39880000000028,156.432,162.644,333.155,1000,128,90,50000,30,8255.63124633945
read-only/sunstorm/ycsb-read-only-sunstorm-hot1000-F-mr10-20241219-124904/3-ap-northeast-1-0,3-ap-northeast-1-0,1000,F,10,20241219-124904,0,0,0,572783,515859,48970.0,7954.0,572783,0,0,0,0,0,88.8,212.83718761017377,207.116,210.59,211.7815,213.22575,214.8409,216.1332,245.00349,372.622,544.2,184.48038766321477,148.278,156.289,206.936,210.535,212.098,213.168,224.46229,400.52,5749.7,1.5321292660089834,0.677,1.175,1.398,1.778,2.274,2.467,3.0625,15.032,20.072790877578992,0.677,1.196,1.463,1.999,5.96220000000007,208.9382999999999,212.754,400.52,1000,128,90,50000,30,6364.253037715626
read-only/sunstorm/ycsb-read-only-sunstorm-hot1000-F-mr10-20241219-124904/2-eu-west-1-0,2-eu-west-1-0,1000,F,10,20241219-124904,0,0,0,646134,581375,55540.0,9219.0,646134,0,0,0,0,0,101.0,219.62404004352558,212.093,216.887,218.465,220.239,221.97,223.45485,259.98534000000006,446.458,619.7,152.02269306519972,79.626,85.524,211.023,215.385,217.1382,218.249,225.76743999999977,458.882,6459.5,1.8021524610917703,0.806,1.396,1.677,2.056,2.491,2.814,3.502,214.365,17.794866577090616,0.806,1.428,1.745,2.27,81.00200000000001,213.62975,218.65994999999995,458.882,1000,128,90,50000,30,7179.2471953517315
read-only/sunstorm/ycsb-read-only-sunstorm-hot100000-F-mr5-20241219-124904/1-us-east-1-0,1-us-east-1-0,100000,F,5,20241219-124904,0,0,0,1116838,1060734,48178.0,7926.0,1116838,0,0,0,0,0,87.8,173.52433126895855,152.624,162.79975000000002,168.57600000000002,175.45925,185.1244,196.77655,294.0509400000004,964.504,537.7,129.4325921621622,78.928,85.703,153.411,166.688,175.4051,183.08669999999995,249.38632000000007,941.402,11882.3,3.6789236536867875,1.799,2.772,3.048,3.604,5.796,7.195,11.019,79.947,10.29886870270706,1.77,2.787,3.08,3.904,7.108,80.651,170.9159099999999,964.504,1000,128,90,50000,30,12409.302088721206
read-only/sunstorm/ycsb-read-only-sunstorm-hot100000-F-mr5-20241219-124904/3-ap-northeast-1-0,3-ap-northeast-1-0,100000,F,5,20241219-124904,0,0,0,996075,946164,42742.0,7169.0,996075,0,0,0,0,0,79.19999999999999,217.71811090909094,207.26,212.01549999999997,213.637,215.923,220.3058,231.22055,323.94958000000054,1018.055,477.3,191.14802014067996,148.245,162.94025,208.499,212.347,215.2751,220.17259999999993,293.52681000000024,1148.644,10567.5,1.8877340423845346,0.731,1.406,1.676,2.041,2.673,3.225,5.62,88.052,11.542001183797932,0.731,1.421,1.706,2.144,3.181,148.90809999999706,213.84654000000003,1148.644,1000,128,90,50000,30,11067.394511990005
read-only/sunstorm/ycsb-read-only-sunstorm-hot100000-F-mr5-20241219-124904/2-eu-west-1-0,2-eu-west-1-0,100000,F,5,20241219-124904,0,0,0,1093733,1038798,47312.0,7623.0,1093733,0,0,0,0,0,84.3,225.76857513157896,212.804,219.1115,221.15550000000002,223.65324999999999,228.2031,246.99424999999948,347.99080000000043,496.416,528.8,156.50010399999996,80.392,87.591,212.216,217.681,220.74110000000002,224.49055,307.3474300000002,1137.248,11663.400000000001,2.2996096958178565,0.981,1.775,2.044,2.475,3.321,3.956,5.577469999999972,108.805,10.514894708014012,0.89,1.789,2.075,2.618,3.915,82.50279999999981,219.932,1137.248,1000,128,90,50000,30,12152.472835743913
read-only/sunstorm/ycsb-read-only-sunstorm-hot100000-F-mr0-20241219-124904/1-us-east-1-0,1-us-east-1-0,100000,F,0,20241219-124904,0,0,0,1535638,1535638,,,1535638,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,17088.1,7.508160209906721,2.457,5.6,6.536,9.146,11.841,13.517,17.577,41.936,7.508160209906721,2.457,5.6,6.536,9.146,11.841,13.517,17.577,41.936,1000,128,90,50000,30,17062.55879305348
read-only/sunstorm/ycsb-read-only-sunstorm-hot100000-F-mr0-20241219-124904/3-ap-northeast-1-0,3-ap-northeast-1-0,100000,F,0,20241219-124904,0,0,0,1904387,1904387,,,1904387,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,21251.4,6.137124806614881,1.633,4.397,5.074,7.592,10.181,12.259,15.69,53.103,6.137124806614881,1.633,4.397,5.074,7.592,10.181,12.259,15.69,53.103,1000,128,90,50000,30,21159.761665461094
read-only/sunstorm/ycsb-read-only-sunstorm-hot100000-F-mr0-20241219-124904/2-eu-west-1-0,2-eu-west-1-0,100000,F,0,20241219-124904,0,0,0,1710881,1710881,,,1710881,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,19042.199999999997,6.8702528321699114,1.885,4.859,5.914,8.269,11.008,13.222,16.811300000000045,63.228,6.8702528321699114,1.885,4.859,5.914,8.269,11.008,13.222,16.811300000000045,63.228,1000,128,90,50000,30,19009.63137444967
read-only/sunstorm/ycsb-read-only-sunstorm-hot1000-F-mr0-20241219-124904/1-us-east-1-0,1-us-east-1-0,1000,F,0,20241219-124904,0,0,0,1530565,1530565,,,1530565,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,16935.5,7.539563956984503,2.478,5.621,6.52,9.153,11.894,13.668,17.635,40.831,7.539563956984503,2.478,5.621,6.52,9.153,11.894,13.668,17.635,40.831,1000,128,90,50000,30,17006.10486934026
read-only/sunstorm/ycsb-read-only-sunstorm-hot1000-F-mr0-20241219-124904/3-ap-northeast-1-0,3-ap-northeast-1-0,1000,F,0,20241219-124904,0,0,0,1890629,1890629,,,1890629,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,21026.6,6.190363888634947,1.663,4.424,5.13,7.598,10.171,12.275,15.643,42.279,6.190363888634947,1.663,4.424,5.13,7.598,10.171,12.275,15.643,42.279,1000,128,90,50000,30,21006.94074401504
read-only/sunstorm/ycsb-read-only-sunstorm-hot1000-F-mr0-20241219-124904/2-eu-west-1-0,2-eu-west-1-0,1000,F,0,20241219-124904,0,0,0,1706732,1706732,,,1706732,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,19000.199999999997,6.880944943914263,1.898,4.867,6.013,8.265,10.985,13.182,16.82439999999991,41.957,6.880944943914263,1.898,4.867,6.013,8.265,10.985,13.182,16.82439999999991,41.957,1000,128,90,50000,30,18963.553758397517
read-only/sunstorm/ycsb-read-only-sunstorm-hot100000-F-mr15-20241219-124904/1-us-east-1-0,1-us-east-1-0,100000,F,15,20241219-124904,0,0,0,525349,446510,67570.0,11269.0,525349,0,0,0,0,0,123.5,166.0269662102081,152.626,159.50225,163.36849999999998,170.56025,174.711,181.868,192.8260499999997,514.67,748.8,124.05734113410006,78.05,82.439,153.188,161.6155,169.695,172.78869999999998,183.56886999999998,276.86,4947.200000000001,2.834483517467968,1.738,2.38,2.665,3.077,3.637,4.114,5.337,31.707,21.901526361284095,1.738,2.43,2.785,3.534,83.768,160.297,172.46519999999995,514.67,1000,128,90,50000,30,5837.14239004461
read-only/sunstorm/ycsb-read-only-sunstorm-hot100000-F-mr15-20241219-124904/3-ap-northeast-1-0,3-ap-northeast-1-0,100000,F,15,20241219-124904,0,0,0,386431,328311,49870.0,8250.0,386431,0,0,0,0,0,91.5,212.26903581835842,206.909,210.144,211.291,212.697,214.29149999999998,215.506,244.95869999999965,346.02,554.4,186.22716598669533,148.39,159.093,207.06,210.067,211.5378,212.5282,220.10504000000014,343.704,3639.4,1.4630318390048371,0.696,1.12,1.32,1.704,2.255,2.407,2.936,14.229,29.75666639140778,0.696,1.157,1.422,2.166,166.4998,209.997,212.869,346.02,1000,128,90,50000,30,4293.676980632793
read-only/sunstorm/ycsb-read-only-sunstorm-hot100000-F-mr15-20241219-124904/2-eu-west-1-0,2-eu-west-1-0,100000,F,15,20241219-124904,0,0,0,449497,381603,58475.0,9419.0,449497,0,0,0,0,0,105.2,218.71186931515604,212.337,216.603,217.972,219.495,221.1202,222.177,241.89184000000014,439.468,648.5999999999999,150.441374753722,79.586,84.715,165.292,214.86,216.444,217.375,221.32788,365.93,4245.3,1.7305220048323102,0.826,1.321,1.603,2.019,2.443,2.749,3.278,20.512,25.586363732255684,0.826,1.37,1.722,2.381,86.132,214.996,218.768,439.468,1000,128,90,50000,30,4994.384542428167
read-only/sunstorm/ycsb-read-only-sunstorm-hot1000-F-mr15-20241219-134020/1-us-east-1-0,1-us-east-1-0,1000,F,15,20241219-134020,0,0,0,540294,458960,69793.0,11541.0,540294,0,0,0,0,0,128.1,160.30639266150772,152.815,157.553,159.228,160.791,162.316,163.535,202.689,383.154,774.3,120.79348458415232,76.739,81.628,152.448,157.545,159.362,160.352,173.099,377.005,5088.0,2.695883322039364,1.681,2.316,2.579,2.934,3.344,3.647,4.394,31.37,21.295248295894222,1.681,2.364,2.684,3.274,82.651,157.417,160.798,383.154,1000,128,90,50000,30,6003.205712717248
read-only/sunstorm/ycsb-read-only-sunstorm-hot1000-F-mr15-20241219-134020/3-ap-northeast-1-0,3-ap-northeast-1-0,1000,F,15,20241219-134020,0,0,0,391688,333147,50265.0,8276.0,391688,0,0,0,0,0,91.5,213.1457897032102,206.995,210.534,211.669,213.0355,214.5282,216.0218,256.6138,504.324,558.4000000000001,184.07180199362045,147.884,155.66875000000002,207.052,210.28924999999998,211.74,212.714,232.72909999999996,513.924,3717.2,1.507216474607001,0.695,1.135,1.347,1.746,2.294,2.499,3.0605800000000163,29.245,29.357166321891924,0.695,1.17,1.455,2.23325,157.163,210.237,213.118,513.924,1000,128,90,50000,30,4352.087865084397
read-only/sunstorm/ycsb-read-only-sunstorm-hot1000-F-mr15-20241219-134020/2-eu-west-1-0,2-eu-west-1-0,1000,F,15,20241219-134020,0,0,0,455946,386909,59361.0,9676.0,455946,0,0,0,0,0,107.4,215.8053280099554,209.86,213.3505,214.445,215.719,217.1036,218.6128,262.78808,513.974,660.4,147.85809868731857,76.93,81.766,151.31650000000002,212.174,213.564,214.472,228.79687000000007,635.04,4308.9,1.6783961235661744,0.803,1.278,1.544,1.933,2.342,2.588,3.174,42.479,25.217711950822466,0.803,1.323,1.658,2.307,82.871,212.289,215.424,635.04,1000,128,90,50000,30,5066.014637007674
