path,region,hot,workload,mr,suffix,rejected,aborted,unexpected,completed,completed.WorkloadC1,completed.WorkloadC2,completed.WorkloadC3,total,avg,p0,p25,p50,p75,p90,p95,p99,p100,avg.WorkloadC3,p0.WorkloadC3,p25.WorkloadC3,p50.WorkloadC3,p75.WorkloadC3,p90.WorkloadC3,p95.WorkloadC3,p99.WorkloadC3,p100.WorkloadC3,avg.WorkloadC1,p0.WorkloadC1,p25.WorkloadC1,p50.WorkloadC1,p75.WorkloadC1,p90.WorkloadC1,p95.WorkloadC1,p99.WorkloadC1,p100.WorkloadC1,avg.WorkloadC2,p0.WorkloadC2,p25.WorkloadC2,p50.WorkloadC2,p75.WorkloadC2,p90.WorkloadC2,p95.WorkloadC2,p99.WorkloadC2,p100.WorkloadC2,scalefactor,terminals,time,rate,warmup,throughput.WorkloadC1,throughput.WorkloadC2,throughput.WorkloadC3,ood_index_page,ood_table,ood_tuple,other_aborts,deadlock,throughput
read-only/yugabyte/ycsb-read-only-yugabyte-hot1000-F-mr0-20240626-143601/3-ap-northeast-1-0,3-ap-northeast-1-0,1000,F,0,20240626-143601,0,0,0,320101,320101,,,320101,143.9503305495496,67.921,128.547,142.518,157.808,172.821,182.369,201.78112000000002,277.298,,,,,,,,,,143.9503305495496,67.921,128.547,142.518,157.808,172.821,182.369,201.78112000000002,277.298,,,,,,,,,,1000,512,90,50000,30,3553.7,,,0,0,0,0,0,3556.655505092082
read-only/yugabyte/ycsb-read-only-yugabyte-hot1000-F-mr0-20240626-143601/2-eu-west-1-0,2-eu-west-1-0,1000,F,0,20240626-143601,0,0,0,320603,320603,,,320603,143.72865885951182,66.517,127.5565,142.038,158.0655,174.063,184.373,205.5943999999999,349.495,,,,,,,,,,143.72865885951182,66.517,127.5565,142.038,158.0655,174.063,184.373,205.5943999999999,349.495,,,,,,,,,,1000,512,90,50000,30,3563.9,,,0,0,0,0,0,3562.229261395646
read-only/yugabyte/ycsb-read-only-yugabyte-hot100000-F-mr5-20240626-132742/1-us-east-1-0,1-us-east-1-0,100000,F,5,20240626-132742,0,0,0,315583,299703,13619.0,2261.0,315583,145.76252843962155,51.039,102.179,114.927,130.291,150.218,260.812,1098.7281999999993,1925.183,842.1425138516532,533.115,615.768,671.9025,1119.242,1169.4902,1194.55705,1225.3247000000001,1925.183,115.43002800347455,51.039,101.474,113.643,127.424,141.48510000000005,150.90404999999998,170.71462,275.423,702.3099733589877,319.158,408.917,672.136,801.561,1149.2816,1183.4674,1224.74728,1635.705,1000,512,90,50000,30,3324.6,150.7,25.4,0,0,0,0,0,3506.462688650654
read-only/yugabyte/ycsb-read-only-yugabyte-hot100000-F-mr5-20240626-132742/3-ap-northeast-1-0,3-ap-northeast-1-0,100000,F,5,20240626-132742,0,0,0,298720,283862,12701.0,2157.0,298720,153.7826485808563,50.876,98.611,110.648,124.74725000000001,142.46,184.87864999999996,1222.64186,3524.736,1095.1709981194172,868.9,934.241,978.949,1282.512,1347.3662,1391.3048,1467.05062,3121.685,110.85037824930694,50.876,97.956,109.468,122.15875,134.843,143.19,160.87831999999983,250.949,963.5533412692092,620.534,693.2275,901.05,1186.5725,1267.333,1298.6506,1338.63556,3524.736,1000,512,90,50000,30,3156.8,142.0,23.4,0,0,0,0,0,3319.0894756632424
read-only/yugabyte/ycsb-read-only-yugabyte-hot100000-F-mr5-20240626-132742/2-eu-west-1-0,2-eu-west-1-0,100000,F,5,20240626-132742,0,0,0,305564,290397,13045.0,2122.0,305564,150.60221942816307,54.258,110.679,124.188,140.04325,160.07790000000003,211.99080000000004,884.5088399999999,982.365,762.8928616113744,649.668,698.091,790.0084999999999,823.151,839.7988,849.51615,867.36441,893.878,124.47162358093662,54.258,109.941,122.884,137.11724999999998,151.569,160.90209999999996,180.33763000000005,328.782,635.5132616108625,318.616,384.8035,846.9100000000001,883.2059999999999,898.1468,907.4797,925.7798399999999,982.365,1000,512,90,50000,30,3229.3,145.4,24.299999999999997,0,0,0,0,0,3395.1496661026013
read-only/yugabyte/ycsb-read-only-yugabyte-hot100000-F-mr0-20240626-132742/1-us-east-1-0,1-us-east-1-0,100000,F,0,20240626-132742,0,0,0,339444,339444,,,339444,135.7408953506898,61.094,119.76775,133.801,149.601,165.503,176.023,198.82038,340.74,,,,,,,,,,135.7408953506898,61.094,119.76775,133.801,149.601,165.503,176.023,198.82038,340.74,,,,,,,,,,1000,512,90,50000,30,3769.4,,,0,0,0,0,0,3771.5652171169418
read-only/yugabyte/ycsb-read-only-yugabyte-hot100000-F-mr0-20240626-132742/3-ap-northeast-1-0,3-ap-northeast-1-0,100000,F,0,20240626-132742,0,0,0,324215,324215,,,324215,142.1141207804685,69.604,126.827,140.74,155.878,170.7098,180.19989999999996,199.34169999999975,276.502,,,,,,,,,,142.1141207804685,69.604,126.827,140.74,155.878,170.7098,180.19989999999996,199.34169999999975,276.502,,,,,,,,,,1000,512,90,50000,30,3602.2,,,0,0,0,0,0,3602.3500443481
read-only/yugabyte/ycsb-read-only-yugabyte-hot100000-F-mr0-20240626-132742/2-eu-west-1-0,2-eu-west-1-0,100000,F,0,20240626-132742,0,0,0,324763,324763,,,324763,141.88033927112025,66.829,126.112,140.365,155.935,171.341,181.264,201.63299999999998,377.231,,,,,,,,,,141.88033927112025,66.829,126.112,140.365,155.935,171.341,181.264,201.63299999999998,377.231,,,,,,,,,,1000,512,90,50000,30,3612.6000000000004,,,0,0,0,0,0,3608.456826315659
read-only/yugabyte/ycsb-read-only-yugabyte-hot1000-F-mr5-20240626-143601/1-us-east-1-0,1-us-east-1-0,1000,F,5,20240626-143601,0,0,0,301826,286478,13217.0,2131.0,301826,152.39692375395768,44.961,108.73525000000001,121.552,136.513,155.14,344.00744999999984,1109.97314,2027.449,857.5949215406563,543.223,622.8955,682.498,1129.796,1181.8498,1203.9333,1230.31482,1854.835,121.6071597381445,44.961,108.017,120.279,133.716,147.0639,155.62245000000001,173.156,258.611,711.6983645316436,320.289,418.3805,680.952,809.2005,1155.8326000000002,1193.2691999999997,1235.83278,2027.449,1000,512,90,50000,30,3183.6,145.3,22.9,0,0,0,0,0,3353.6038492426983
read-only/yugabyte/ycsb-read-only-yugabyte-hot1000-F-mr5-20240626-143601/3-ap-northeast-1-0,3-ap-northeast-1-0,1000,F,5,20240626-143601,0,0,0,296939,282044,12757.0,2138.0,296939,154.68023374051623,53.322,99.554,111.359,125.159,142.4824,189.88230000000044,1223.9518999999996,3550.473,1092.4252379375591,875.672,940.2172499999999,979.793,1276.912,1340.9496,1373.3157999999999,1470.03494,3550.473,111.49626872315503,53.322,98.90725,110.189,122.635,134.987,143.112,159.737,234.397,962.6594328334523,625.46,698.0609999999999,897.793,1186.2624999999998,1271.4474,1306.0433,1346.04864,2949.549,1000,512,90,50000,30,3132.9,140.0,24.5,0,0,0,0,0,3299.3116747260474
read-only/yugabyte/ycsb-read-only-yugabyte-hot1000-F-mr5-20240626-143601/2-eu-west-1-0,2-eu-west-1-0,1000,F,5,20240626-143601,0,0,0,303085,288108,12846.0,2131.0,303085,151.86927570536702,55.359,112.295,125.784,141.731,161.826,208.02679999999629,884.5253599999996,977.744,765.6595858156028,647.86,703.236,789.812,825.1134999999999,842.7504,853.6954000000001,870.9971,905.177,126.06720991035772,55.359,111.562,124.474,138.832,153.215,162.76,181.92304000000004,337.438,631.9274324006583,321.14,389.5,441.785,883.3710000000001,898.9388,908.0237,926.3876799999999,977.744,1000,512,90,50000,30,3197.2,143.7,23.6,0,0,0,0,0,3367.609734956102
read-only/yugabyte/ycsb-read-only-yugabyte-hot1000-F-mr15-20240626-143601/1-us-east-1-0,1-us-east-1-0,1000,F,15,20240626-143601,0,0,0,267084,226861,34516.0,5707.0,267084,171.82686244616838,29.468,70.796,82.5575,99.877,624.1224,690.9114999999998,1153.65232,1344.19,813.1627485845719,522.559,586.6325,648.3915,1094.04775,1154.5792999999999,1171.2196000000001,1192.5008799999998,1331.606,80.48764817731427,29.468,68.9165,78.95,90.324,101.794,109.4255,125.00689999999996,185.204,670.5018780402347,301.055,377.589,648.755,742.789,1122.2536,1161.1236000000001,1192.1271599999998,1344.19,1000,512,90,50000,30,2521.3999999999996,382.4,63.6,0,0,0,0,0,2967.5824018077064
read-only/yugabyte/ycsb-read-only-yugabyte-hot1000-F-mr15-20240626-143601/3-ap-northeast-1-0,3-ap-northeast-1-0,1000,F,15,20240626-143601,0,0,0,239454,203612,30893.0,4949.0,239454,191.20971121025178,28.375,55.182,63.514,75.73075,844.445,1092.725649999999,1268.7005399999998,1472.778,1058.2827111566019,851.313,889.946,939.494,1249.856,1318.8822,1379.9482,1443.5284,1472.778,62.05058911635494,28.375,53.881,60.988,69.02,77.202,82.673,94.159,146.693,912.6983536110475,596.378,642.142,855.619,1146.4945,1230.3706,1263.8584,1303.90642,1344.111,1000,512,90,50000,30,2261.8,342.0,55.8,0,0,0,0,0,2660.5824361946093
read-only/yugabyte/ycsb-read-only-yugabyte-hot1000-F-mr15-20240626-143601/2-eu-west-1-0,2-eu-west-1-0,1000,F,15,20240626-143601,0,0,0,270756,230255,34737.0,5764.0,270756,169.68285873506906,42.243,81.14675,91.8905,107.496,367.07910000000004,851.68585,873.77271,931.524,737.6052838641932,632.539,672.999,774.4815000000001,799.457,811.0949999999999,817.0283,830.41968,878.951,89.87956996782889,42.243,79.423,88.63,98.91,109.346,116.21,130.727,308.465,607.5630020283976,310.266,354.46500000000003,408.27,860.46975,871.6111,877.8521,890.7769499999998,931.524,1000,512,90,50000,30,2564.2,384.9,63.400000000000006,0,0,0,0,0,3008.3768721668557
read-only/yugabyte/ycsb-read-only-yugabyte-hot100000-F-mr50-20240626-143601/1-us-east-1-0,1-us-east-1-0,100000,F,50,20240626-143601,0,0,0,141858,70904,61012.0,9942.0,141858,323.3236863653729,9.55,22.097,39.650999999999996,598.89,1013.4124999999999,1107.059,1157.0081499999997,1310.257,745.909250659363,499.462,521.00875,592.5705,1054.25025,1131.674,1153.08615,1165.83598,1307.951,22.54408705527184,9.55,18.89725,22.116,25.711,29.299,31.57175,36.29014999999999,103.739,606.403686759513,283.736,302.76125,599.61,666.0899999999999,1099.4197000000001,1140.8848,1164.0809399999998,1310.257,1000,512,90,50000,30,783.0,677.5999999999999,109.6,0,0,0,0,0,1576.186245218086
read-only/yugabyte/ycsb-read-only-yugabyte-hot100000-F-mr50-20240626-143601/3-ap-northeast-1-0,3-ap-northeast-1-0,100000,F,50,20240626-143601,0,0,0,102707,51385,44206.0,7116.0,102707,446.4156679681002,7.829,13.513,23.317,810.4365,1152.9198,1220.0423999999998,1284.57512,1447.668,1008.2933955871887,829.152,845.146,897.701,1218.277,1286.618,1301.9552,1407.724,1447.668,13.99706012300985,7.829,11.82425,13.533,15.668,17.988600000000005,19.47,22.262459999999994,362.305,863.6063008997078,571.943,592.3467499999999,808.5835,1119.1354999999999,1196.4758000000002,1241.25535,1278.7049699999998,1309.635,1000,512,90,50000,30,572.5,491.2,78.80000000000001,0,0,0,0,0,1141.1815658380224
read-only/yugabyte/ycsb-read-only-yugabyte-hot100000-F-mr50-20240626-143601/2-eu-west-1-0,2-eu-west-1-0,100000,F,50,20240626-143601,0,0,0,152454,76628,65067.0,10759.0,152454,301.01191800818737,14.448,28.87525,43.089,632.78225,819.303,821.792,826.0713599999999,842.239,691.9354865954256,616.067,627.348,639.157,757.0822499999999,760.4932,762.3769500000001,766.21299,782.942,29.252036960154577,14.448,25.82775,28.924,32.264,35.602,37.834500000000006,42.486,93.681,558.36909075729,286.914,300.70625,314.5385,819.017,822.293,824.227,828.0159199999999,842.239,1000,512,90,50000,30,846.6,723.3,118.9,0,0,0,0,0,1693.9285002165366
read-only/yugabyte/ycsb-read-only-yugabyte-hot100000-F-mr10-20240626-143601/1-us-east-1-0,1-us-east-1-0,100000,F,10,20240626-143601,0,0,0,289219,260232,24927.0,4060.0,289219,158.83067899635276,42.444,85.881,98.41,114.937,180.38499999999965,664.5482000000001,1140.20308,1510.095,837.9212010950722,518.937,608.87225,668.1514999999999,1106.18175,1159.9948000000002,1183.0237499999998,1213.1933999999999,1510.095,97.6067089999808,42.444,84.518,95.893,108.863,122.013,130.52819999999994,148.18912,216.758,691.738824927255,310.12,402.81325,664.563,762.472,1133.81,1170.7219,1211.73647,1503.201,1000,512,90,50000,30,2891.1000000000004,277.0,44.8,0,0,0,0,0,3213.514515448416
read-only/yugabyte/ycsb-read-only-yugabyte-hot100000-F-mr10-20240626-143601/3-ap-northeast-1-0,3-ap-northeast-1-0,100000,F,10,20240626-143601,0,0,0,269438,242384,23295.0,3759.0,269438,170.1680984806229,34.504,73.517,83.947,97.82075,152.3535,893.59875,1257.59925,1482.624,1075.5051972477065,862.507,913.53325,959.3275,1262.272,1330.4535,1392.46,1452.03765,1482.624,83.32223688752717,34.504,72.38,81.83449999999999,92.66475,103.7617,111.04069999999996,126.81453999999998,198.848,937.1832159593855,605.484,669.0185,877.631,1162.2205,1241.583,1276.4472500000002,1313.95545,1367.012,1000,512,90,50000,30,2686.0,259.0,41.3,0,0,0,0,0,2993.7205710700164
read-only/yugabyte/ycsb-read-only-yugabyte-hot100000-F-mr10-20240626-143601/2-eu-west-1-0,2-eu-west-1-0,100000,F,10,20240626-143601,0,0,0,287950,259141,24749.0,4060.0,287950,159.68536137532266,49.194,95.78825,107.689,122.944,180.61610000000098,715.0761499999971,882.87926,947.911,748.695641191067,643.501,685.08925,726.8699999999999,810.86125,825.9559,833.5778,849.02597,889.133,106.64441518786822,49.194,94.481,105.328,117.354,129.32160000000002,137.16379999999998,153.57052000000002,235.775,621.5741247203352,314.432,370.6995,436.432,872.187,884.6182,892.2494999999999,907.88216,947.911,1000,512,90,50000,30,2873.3999999999996,275.7,44.400000000000006,0,0,0,0,0,3199.4369850637618
