path,region,regions,hot,workload,mr,suffix,rejected,rejected.WorkloadF1,rejected.WorkloadF2,rejected.WorkloadF3,rejected.WorkloadF4,rejected.WorkloadF5,aborted,unexpected,completed,completed.WorkloadF1,completed.WorkloadF2,completed.WorkloadF3,completed.WorkloadF4,completed.WorkloadF5,total,throughput,avg,p0,p25,p50,p75,p90,p95,p99,p100,ood_index_page.WorkloadF4,ood_table.WorkloadF4,ood_tuple.WorkloadF4,other_aborts.WorkloadF4,deadlock.WorkloadF4,ood_index_page.WorkloadF5,ood_table.WorkloadF5,ood_tuple.WorkloadF5,other_aborts.WorkloadF5,deadlock.WorkloadF5,ood_index_page.WorkloadF2,ood_table.WorkloadF2,ood_tuple.WorkloadF2,other_aborts.WorkloadF2,deadlock.WorkloadF2,ood_index_page.WorkloadF3,ood_table.WorkloadF3,ood_tuple.WorkloadF3,other_aborts.WorkloadF3,deadlock.WorkloadF3,ood_index_page.WorkloadF1,ood_table.WorkloadF1,ood_tuple.WorkloadF1,other_aborts.WorkloadF1,deadlock.WorkloadF1,ood_index_page,ood_table,ood_tuple,other_aborts,deadlock,avg.WorkloadF2,p0.WorkloadF2,p25.WorkloadF2,p50.WorkloadF2,p75.WorkloadF2,p90.WorkloadF2,p95.WorkloadF2,p99.WorkloadF2,p100.WorkloadF2,avg.WorkloadF3,p0.WorkloadF3,p25.WorkloadF3,p50.WorkloadF3,p75.WorkloadF3,p90.WorkloadF3,p95.WorkloadF3,p99.WorkloadF3,p100.WorkloadF3,avg.WorkloadF5,p0.WorkloadF5,p25.WorkloadF5,p50.WorkloadF5,p75.WorkloadF5,p90.WorkloadF5,p95.WorkloadF5,p99.WorkloadF5,p100.WorkloadF5,avg.WorkloadF1,p0.WorkloadF1,p25.WorkloadF1,p50.WorkloadF1,p75.WorkloadF1,p90.WorkloadF1,p95.WorkloadF1,p99.WorkloadF1,p100.WorkloadF1,avg.WorkloadF4,p0.WorkloadF4,p25.WorkloadF4,p50.WorkloadF4,p75.WorkloadF4,p90.WorkloadF4,p95.WorkloadF4,p99.WorkloadF4,p100.WorkloadF4,throughput.WorkloadF2,throughput.WorkloadF3,throughput.WorkloadF1,throughput.WorkloadF4,throughput.WorkloadF5,scalefactor,terminals,time,rate,warmup,unexpected.WorkloadF2,unexpected.WorkloadF3,unexpected.WorkloadF4,rejected.WorkloadF6,completed.WorkloadF6,ood_index_page.WorkloadF6,ood_table.WorkloadF6,ood_tuple.WorkloadF6,other_aborts.WorkloadF6,deadlock.WorkloadF6,avg.WorkloadF6,p0.WorkloadF6,p25.WorkloadF6,p50.WorkloadF6,p75.WorkloadF6,p90.WorkloadF6,p95.WorkloadF6,p99.WorkloadF6,p100.WorkloadF6,throughput.WorkloadF6
scalability/sunstorm/scalability-sunstorm-regions6-hot10000-F-mr0-20250112-225631/2-eu-west-1-0,2-eu-west-1-0,6,10000,F,0,20250112-225631,4925,4925,,,,,0,0,1212667,1212667,,,,,1217592,13474.060821420793,9.54069248302397,5.676,7.813,8.564,9.567,11.912,13.541,21.947639999999666,95.444,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,4925,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.54069248302397,5.676,7.813,8.564,9.567,11.912,13.541,21.947639999999666,95.444,,,,,,,,,,,,13494.2,,,1000,128,90,50000,30,,,,,,,,,,,,,,,,,,,,
scalability/sunstorm/scalability-sunstorm-regions4-hot10000-F-mr5-20250112-230512/4-us-west-1-0,4-us-west-1-0,4,10000,F,5,20250112-230512,10485,7571,2067.0,570.0,277.0,,0,0,794865,755496,32280.0,5334.0,1755.0,,805350,8831.753914571302,14.540075920771057,3.312,4.9,5.439,6.246,8.008,79.94979999999981,204.0269599999995,943.018,22.0,0.0,173.0,0.0,0.0,,,,,,147.0,0.0,1067.0,0.0,0.0,40.0,0.0,313.0,0.0,0.0,0,0,0,0,0,209,0,1553,8723,0,171.51473817477913,80.201,137.661,172.945,196.016,218.6466,279.8879999999997,399.64592000000016,840.866,213.00407040341355,138.362,178.9105,196.1,210.24625,291.86,381.535,530.5607999999996,798.522,,,,,,,,,,5.911131833140857,3.399,4.862,5.392,6.066,7.014,8.107,11.572,389.021,238.06524070897657,153.875,192.432,206.499,224.05,396.4238,426.9246,623.5217599999997,943.018,359.3,59.7,8432.7,19.6,,1000,128,90,50000,30,,,,,,,,,,,,,,,,,,,,
scalability/sunstorm/scalability-sunstorm-regions4-hot10000-F-mr5-20250112-230512/1-us-east-1-0,1-us-east-1-0,4,10000,F,5,20250112-230512,29122,3356,17754.0,5504.0,2508.0,,0,0,319505,309168,9782.0,555.0,,,348627,3550.0354439342036,19.255839260129303,2.958,4.268,4.703,5.361,6.179,8.003,487.7228800000011,5180.398,1417.0,0.0,992.0,0.0,0.0,,,,,,12412.0,0.0,4333.0,0.0,0.0,3453.0,0.0,1808.0,0.0,0.0,0,0,0,0,0,17282,0,7133,4707,0,427.2995878607374,106.548,249.855,352.377,521.74,702.61,897.0219999999982,1846.944319999998,4302.383,618.2562490974728,231.125,321.76175,533.496,743.3924999999999,906.4231,1116.1286500000003,3164.0924000000027,5180.398,,,,,,,,,,5.249314805821288,3.01,4.252,4.677,5.268,5.918,6.501,9.229960000000021,1756.474,,,,,,,,,,176.2,27.4,4259.6,10.100000000000001,,1000,128,90,50000,30,,,,,,,,,,,,,,,,,,,,
scalability/sunstorm/scalability-sunstorm-regions4-hot10000-F-mr5-20250112-230512/3-ap-northeast-1-0,3-ap-northeast-1-0,4,10000,F,5,20250112-230512,12125,8255,2726.0,761.0,383.0,,0,1,683117,649169,27886.0,4497.0,1565.0,,695243,7590.160672803929,16.819234540947743,3.523,5.047,5.721,6.329,7.971,90.573549999999,263.6243600000003,1282.044,75.0,0.0,223.0,0.0,0.0,,,,,,452.0,0.0,1360.0,0.0,1.0,166.0,0.0,398.0,0.0,0.0,0,0,0,0,0,693,0,1981,9451,1,207.6776331895002,84.439,140.6135,186.7505,255.04,290.0101,386.8348,543.1084599999999,1099.928,285.045213689892,172.763,235.0165,258.8035,276.858,449.7425,516.5755,704.79875,1118.195,,,,,,,,,,6.108188012940577,3.585,5.019,5.662,6.204,7.045,8.075,12.325709999999964,615.737,325.8083342428377,195.394,258.08,269.03049999999996,305.37075000000004,529.148,586.5805,829.1950999999998,1282.044,311.1,50.3,7207.6,17.2,,1000,128,90,50000,30,1.0,,,,,,,,,,,,,,,,,,,
scalability/sunstorm/scalability-sunstorm-regions4-hot10000-F-mr5-20250112-230512/2-eu-west-1-0,2-eu-west-1-0,4,10000,F,5,20250112-230512,11518,7567,2793.0,781.0,377.0,,0,0,709262,673787,29065.0,4750.0,1660.0,,720780,7880.678782268604,15.37855610983177,3.175,4.659,5.234,5.909,7.773,60.276099999999865,248.4808500000001,1233.229,60.0,0.0,224.0,0.0,0.0,,,,,,302.0,0.0,1505.0,0.0,0.0,102.0,0.0,443.0,0.0,0.0,0,0,0,0,0,464,0,2172,8882,0,183.15500845002416,40.591,102.2615,182.3825,233.20850000000002,275.7436,348.86144999999993,495.6850799999999,1233.229,267.2985869515277,150.148,217.299,237.242,270.089,425.6234,490.3951999999999,664.6875599999996,952.332,,,,,,,,,,5.725545049419159,3.24,4.617,5.187,5.749,6.666,7.887,13.96225,405.542,299.40197387606315,165.294,234.55225,250.458,296.222,490.54049999999995,551.3065,768.9331499999998,1093.078,338.0,55.5,7959.1,19.4,,1000,128,90,50000,30,,,,,,,,,,,,,,,,,,,,
scalability/sunstorm/scalability-sunstorm-regions3-hot0-F-mr0-20250108-060631/1-us-east-1-0,1-us-east-1-0,3,1000000,F,0,20250108-060631,2161,2161,,,,,0,0,1226003,1226003,,,,,1228164,13622.220457147758,9.410647869993664,5.479,7.674,8.458,9.519,11.574,12.832,21.982879999999888,225.015,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,2161,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.410647869993664,5.479,7.674,8.458,9.519,11.574,12.832,21.982879999999888,225.015,,,,,,,,,,,,13616.2,,,1000,128,90,50000,30,,,,,,,,,,,,,,,,,,,,
scalability/sunstorm/scalability-sunstorm-regions3-hot0-F-mr0-20250108-060631/3-ap-northeast-1-0,3-ap-northeast-1-0,3,1000000,F,0,20250108-060631,2184,2184,,,,,0,0,1265895,1265895,,,,,1268079,14065.442968692112,9.117331290424575,5.239,7.416,8.196,9.254,11.178,12.442,19.341,96.477,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,2184,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.117331290424575,5.239,7.416,8.196,9.254,11.178,12.442,19.341,96.477,,,,,,,,,,,,14025.9,,,1000,128,90,50000,30,,,,,,,,,,,,,,,,,,,,
scalability/sunstorm/scalability-sunstorm-regions3-hot0-F-mr0-20250108-060631/2-eu-west-1-0,2-eu-west-1-0,3,1000000,F,0,20250108-060631,1991,1991,,,,,0,0,1195378,1195378,,,,,1197369,13281.949457414836,9.652528384007594,5.533,7.83,8.653,9.772,11.96,13.399,22.873239999999758,220.067,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1991,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.652528384007594,5.533,7.83,8.653,9.772,11.96,13.399,22.873239999999758,220.067,,,,,,,,,,,,13297.6,,,1000,128,90,50000,30,,,,,,,,,,,,,,,,,,,,
scalability/sunstorm/scalability-sunstorm-regions5-hot10000-F-mr5-20250108-135700/4-us-west-1-0,4-us-west-1-0,5,10000,F,5,20250108-135700,16667,8602,5135.0,1547.0,896.0,487.0,0,5,593112,564080,23510.0,3754.0,1238.0,530.0,609784,6590.080065130382,17.591512430653694,3.415,5.05,5.639,6.454,8.21270000000007,76.97134999999997,240.87368999999924,13793.405,429.0,0.0,321.0,0.0,0.0,232.0,0.0,179.0,0.0,0.0,2140.0,0.0,1808.0,0.0,5.0,742.0,0.0,529.0,0.0,0.0,0,0,0,0,0,3543,0,2837,10287,5,223.53481916663114,73.838,137.4995,165.971,213.321,310.4678,383.85750000000024,546.9167800000001,13793.405,275.58728021390374,122.222,172.198,210.401,261.1405,421.6946,506.62774999999976,665.8207800000002,13771.103,317.1365226415095,191.847,214.309,236.6685,416.83975,528.8269,662.0287999999999,785.2575700000001,989.763,6.312562335154104,3.499,5.023,5.576,6.301,7.254,8.342,12.630500000000001,12876.662,323.9228001618123,143.203,208.63325,227.586,362.551,489.037,605.78025,786.0236000000009,13666.308,311.6,51.0,7498.6,17.6,7.699999999999999,1000,128,90,50000,30,5.0,,,,,,,,,,,,,,,,,,,
scalability/sunstorm/scalability-sunstorm-regions5-hot10000-F-mr5-20250108-135700/1-us-east-1-0,1-us-east-1-0,5,10000,F,5,20250108-135700,19633,9302,6264.0,2162.0,1153.0,752.0,0,5,542879,516738,21269.0,3399.0,1059.0,414.0,562517,6031.932914428045,18.882729957649637,3.521,5.045,5.583,6.326,7.65,76.17209999999997,296.53325999999777,13794.316,531.0,0.0,461.0,0.0,1.0,362.0,0.0,292.0,0.0,0.0,2671.0,0.0,2397.0,0.0,2.0,976.0,0.0,866.0,0.0,1.0,0,0,0,0,0,4540,0,4016,11078,4,234.6284103893655,74.641,106.6185,178.028,256.34875,373.8763000000002,472.9521999999999,693.1688399999989,13579.372,371.08389229861314,88.879,187.531,254.789,370.635,543.4526,677.2644,1036.4712,13719.003,404.9082330097087,234.516,261.6835,286.9705,533.6525,730.0451,829.6738999999999,1004.5417499999995,1532.911,6.437315859469164,3.591,5.021,5.522,6.204,6.937,7.776,11.189,13024.153,463.2871813865147,167.575,253.877,285.431,489.596,687.6808000000001,815.0586,1128.618240000001,13794.316,274.0,47.2,6450.2,15.8,7.6,1000,128,90,50000,30,3.0,1.0,1.0,,,,,,,,,,,,,,,,,
scalability/sunstorm/scalability-sunstorm-regions5-hot10000-F-mr5-20250108-135700/5-ap-southeast-1-0,5-ap-southeast-1-0,5,10000,F,5,20250108-135700,22852,12793,6416.0,1910.0,1124.0,609.0,0,11,618898,588950,24397.0,3788.0,1223.0,540.0,641761,6876.609639019604,17.699954973787996,2.92,4.386,4.963,5.639,7.043,73.95054999999992,305.3371299999999,1171.706,572.0,0.0,388.0,0.0,0.0,328.0,0.0,206.0,0.0,0.0,3039.0,0.0,2062.0,0.0,11.0,1022.0,0.0,598.0,0.0,0.0,0,0,0,0,0,4961,0,3254,14637,11,271.5642186127744,122.108,207.908,236.4325,285.086,438.5967,497.6463499999999,671.3265500000002,1094.519,321.6710889359449,187.267,229.12475,254.767,421.19175,513.7812,656.1533499999999,746.33263,1036.199,402.9897602230483,232.512,255.66049999999998,291.34950000000003,517.4817499999999,724.4196000000001,791.8925499999999,945.1287699999999,1171.706,5.35378159052361,2.981,4.347,4.917,5.492,6.315,7.161,10.604,419.302,377.9974011484824,204.795,252.136,280.617,493.6085,661.4266000000002,751.4850999999993,898.8251199999992,1137.204,274.2,44.1,6559.6,15.8,7.8,1000,128,90,50000,30,11.0,,,,,,,,,,,,,,,,,,,
scalability/sunstorm/scalability-sunstorm-regions5-hot10000-F-mr5-20250108-135700/3-ap-northeast-1-0,3-ap-northeast-1-0,5,10000,F,5,20250108-135700,17388,9348,5220.0,1545.0,806.0,469.0,0,6,587936,559050,23482.0,3605.0,1243.0,556.0,605330,6532.567744309023,17.512262776806573,2.971,4.467,5.111,5.744,7.249,78.35964999999955,264.44082999999995,13819.736,324.0,0.0,337.0,0.0,0.0,204.0,0.0,186.0,0.0,0.0,2057.0,0.0,1949.0,0.0,5.0,684.0,0.0,553.0,0.0,1.0,0,0,0,0,0,3269,0,3025,11094,6,228.65474375613712,85.174,136.53,177.406,236.51350000000002,340.5349999999999,423.93019999999996,620.7110399999995,13805.425,314.0183793103448,126.097,184.37675000000002,235.303,295.07425,465.7235,573.49775,781.9750000000021,13819.736,355.48424324324327,218.597,241.06650000000002,261.06,469.7885,597.3618000000001,747.8909999999998,868.4227200000003,1299.579,5.647317371586795,3.018,4.429,5.06,5.61,6.437,7.356400000000023,10.757479999999982,12980.626,337.99291181229773,166.637,233.08825,252.6825,420.00525,545.5065,706.3575,821.3549500000003,13098.331,309.6,48.6,7381.4,18.2,8.2,1000,128,90,50000,30,5.0,1.0,,,,,,,,,,,,,,,,,,
scalability/sunstorm/scalability-sunstorm-regions5-hot10000-F-mr5-20250108-135700/2-eu-west-1-0,2-eu-west-1-0,5,10000,F,5,20250108-135700,19783,10016,6089.0,1934.0,1101.0,643.0,0,7,514517,490175,19939.0,3062.0,932.0,409.0,534307,5716.7917622574005,19.986790593281924,3.474,5.039,5.621,6.365,7.843,72.92044999999902,308.7438000000001,14064.138,548.0,0.0,398.0,0.0,0.0,300.0,0.0,256.0,0.0,0.0,2628.0,0.0,2208.0,0.0,5.0,971.0,0.0,655.0,0.0,2.0,0,0,0,0,0,4447,0,3517,11819,7,270.2092537598712,85.435,158.775,221.465,258.389,411.429,482.402,681.5582000000005,13784.499,375.51859672131144,150.606,230.354,249.8885,404.77225,526.6938,670.95745,820.3546999999958,13678.288,374.6622103960396,231.828,251.23075,271.6345,498.7255,690.1103999999999,772.49285,827.4785399999996,867.674,6.523512050850135,3.543,5.015,5.556,6.24,7.062,8.008,11.962160000000033,13033.535,414.12872294372295,212.099,248.57,270.6205,491.8095,660.3461,747.4798,935.3166899999991,14064.138,262.2,43.599999999999994,6440.2,14.899999999999999,6.6,1000,128,90,50000,30,5.0,2.0,,,,,,,,,,,,,,,,,,
scalability/sunstorm/scalability-sunstorm-regions6-hot0-F-mr5-20250112-224511/6-eu-central-1-0,6-eu-central-1-0,6,1000000,F,5,20250112-224511,4399,2818,1213.0,230.0,75.0,43.0,0,0,695860,661091,27588.0,4419.0,1553.0,798.0,700259,,,,,,,,,,,23.0,0.0,42.0,0.0,0.0,13.0,0.0,18.0,0.0,0.0,294.0,0.0,605.0,0.0,0.0,54.0,0.0,123.0,0.0,0.0,0,0,0,0,0,391,0,798,3210,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,128,90,50000,30,,,,20.0,411.0,7.0,0.0,10.0,0.0,0.0,,,,,,,,,,
scalability/sunstorm/scalability-sunstorm-regions6-hot0-F-mr5-20250112-224511/4-us-west-1-0,4-us-west-1-0,6,1000000,F,5,20250112-224511,4481,2733,1337.0,268.0,84.0,38.0,0,0,719195,683134,28644.0,4635.0,1603.0,715.0,723676,,,,,,,,,,,20.0,0.0,56.0,0.0,0.0,10.0,0.0,17.0,0.0,0.0,317.0,0.0,654.0,0.0,0.0,67.0,0.0,140.0,0.0,0.0,0,0,0,0,0,419,0,878,3184,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,128,90,50000,30,,,,21.0,464.0,5.0,0.0,11.0,0.0,0.0,,,,,,,,,,
