path,region,hot,workload,mr,suffix,rejected,aborted,unexpected,completed,completed.WorkloadC1,total,throughput.WorkloadC1,avg.WorkloadC1,p0.WorkloadC1,p25.WorkloadC1,p50.WorkloadC1,p75.WorkloadC1,p90.WorkloadC1,p95.WorkloadC1,p99.WorkloadC1,p100.WorkloadC1,ood_index_page,ood_table,ood_tuple,other_aborts,deadlock,scalefactor,terminals,time,rate,warmup,throughput,avg,p0,p25,p50,p75,p90,p95,p99,p100,completed.WorkloadC2,completed.WorkloadC3,avg.WorkloadC2,p0.WorkloadC2,p25.WorkloadC2,p50.WorkloadC2,p75.WorkloadC2,p90.WorkloadC2,p95.WorkloadC2,p99.WorkloadC2,p100.WorkloadC2,avg.WorkloadC3,p0.WorkloadC3,p25.WorkloadC3,p50.WorkloadC3,p75.WorkloadC3,p90.WorkloadC3,p95.WorkloadC3,p99.WorkloadC3,p100.WorkloadC3,throughput.WorkloadC3,throughput.WorkloadC2
ycsb/read-only-aurora/ycsb-read-only-aurora-hot100000-F-mr15-20240626-102609/3-ap-northeast-1-0,3-ap-northeast-1-0,100000,F,15,20240626-102609,0,0,0,1093,950,1093,9.3,10990.477105769232,9211.632,10318.860499999999,10790.545999999998,11044.0905,12176.0581,12870.3517,14139.616790000002,15203.381,0,0,0,0,0,1000,128,90,50000,30,12.144343576090508,11301.79883685446,9211.632,10343.1965,11012.058,11163.943,13253.1856,14000.9193,15202.988809999999,17847.867,126.0,17.0,12882.470089285713,9024.618,11285.56725,13251.168000000001,13983.04925,14889.5897,15034.202249999998,17156.36982,17847.867,14156.04466666667,11207.842,13039.226999999999,13988.988,15619.8265,16530.8508,16912.7486,17028.64732,17057.622,0.2,1.4
ycsb/read-only-aurora/ycsb-read-only-aurora-hot100000-F-mr15-20240626-102609/1-us-east-1-0,1-us-east-1-0,100000,F,15,20240626-102609,0,0,0,1997048,1697599,1997048,18940.9,5.7725,2.0125,3.471,4.4175,6.304,8.258,9.7865,15.5195,132.51299999999998,0,0,0,0,0,1000,128,90,50000,30,22189.29638573623,5.752,1.875,3.477,4.434,6.342,8.332,9.884,15.205,144.095,257330.0,42119.0,5.753,2.1420000000000003,3.479,4.4415,6.369999999999999,8.359,9.884,15.214500000000001,124.074,5.922,2.3360000000000003,3.503,4.489,6.4030000000000005,8.3965,9.975,16.459,119.673,467.7,2863.2
ycsb/read-only-aurora/ycsb-read-only-aurora-hot100000-F-mr15-20240626-102609/2-eu-west-1-0,2-eu-west-1-0,100000,F,15,20240626-102609,0,0,0,1164,993,1164,10.899999999999999,9675.374744458932,4681.729,9998.901,10173.758,10840.24,11031.435000000001,11045.322,11115.30062,13094.341,0,0,0,0,0,1000,128,90,50000,30,12.933299027470257,9825.643910087718,4681.729,9998.37325,10230.929499999998,11003.954749999999,11099.027499999998,12891.022999999983,13973.775649999998,14930.864,145.0,26.0,10421.8777109375,3987.993,6973.856,11069.676,13034.54175,13231.3652,13938.931249999998,14029.35409,14042.317,11215.77105263158,6014.063,10362.017,12204.923,13072.483499999998,14185.5024,14915.895199999999,14927.87024,14930.864,0.4,1.6
ycsb/read-only-aurora/ycsb-read-only-aurora-hot1000-F-mr0-20240626-102609/3-ap-northeast-1-0,3-ap-northeast-1-0,1000,F,0,20240626-102609,0,0,0,1152,1152,1152,25.6,10655.249905555555,10018.656,10449.778,10544.867999999999,11015.32475,11033.4683,11042.26835,11055.27759,12027.702,0,0,0,0,0,1000,128,90,50000,30,12.7998500251528,10655.249905555555,10018.656,10449.778,10544.867999999999,11015.32475,11033.4683,11042.26835,11055.27759,12027.702,,,,,,,,,,,,,,,,,,,,,,
ycsb/read-only-aurora/ycsb-read-only-aurora-hot1000-F-mr0-20240626-102609/1-us-east-1-0,1-us-east-1-0,1000,F,0,20240626-102609,0,0,0,2003431,2003431,2003431,22171.699999999997,5.7615,1.8685,3.369,4.293,6.214,8.478,10.4665,22.859,134.05399999999997,0,0,0,0,0,1000,128,90,50000,30,22260.217667063444,5.739,1.731,3.371,4.307,6.24,8.512,10.575,23.056,213.365,,,,,,,,,,,,,,,,,,,,,,
ycsb/read-only-aurora/ycsb-read-only-aurora-hot1000-F-mr0-20240626-102609/2-eu-west-1-0,2-eu-west-1-0,1000,F,0,20240626-102609,0,0,0,1152,1152,1152,25.6,10684.707696614583,10386.315,10481.41,10570.301500000001,11022.277750000001,11033.9183,11042.49555,11052.66182,11059.511,0,0,0,0,0,1000,128,90,50000,30,12.799890248621052,10684.707696614583,10386.315,10481.41,10570.301500000001,11022.277750000001,11033.9183,11042.49555,11052.66182,11059.511,,,,,,,,,,,,,,,,,,,,,,
ycsb/read-only-aurora/ycsb-read-only-aurora-hot1000-F-mr5-20240626-102609/3-ap-northeast-1-0,3-ap-northeast-1-0,1000,F,5,20240626-102609,0,0,0,882,840,882,6.8,13192.67959414226,7984.617,11059.43,15027.373,16031.648,16045.3594,16051.8706,16062.864319999999,16068.113,0,0,0,0,0,1000,128,90,50000,30,9.79993755839119,13400.893789124668,7984.617,11063.517,15084.2565,16032.26275,16047.865600000001,16057.705150000002,20025.32892,20845.514,36.0,6.0,17294.862193548386,12062.237,15042.735,19029.07,19610.265,20033.877,20034.805500000002,20047.7487,20053.212,18163.653333333332,12829.957,16137.3055,19712.078,20630.453250000002,20839.475,20842.4945,20844.9101,20845.514,0.2,0.8
ycsb/read-only-aurora/ycsb-read-only-aurora-hot1000-F-mr5-20240626-102609/1-us-east-1-0,1-us-east-1-0,1000,F,5,20240626-102609,0,0,0,2011396,1911281,2011396,21271.0,5.695,1.946,3.3855,4.242,5.9665,8.619,10.9905,18.554,128.9325,0,0,0,0,0,1000,128,90,50000,30,22348.658902898413,5.716,1.778,3.376,4.248,5.988,8.591,10.867,18.723,150.957,85874.0,14241.0,5.7059999999999995,2.1725,3.4154999999999998,4.307,6.0115,8.5945,10.881499999999999,18.488,118.024,5.830500000000001,2.3165,3.4604999999999997,4.3004999999999995,6.09,8.969000000000001,11.2285,19.6625,111.0265,157.7,957.5
ycsb/read-only-aurora/ycsb-read-only-aurora-hot1000-F-mr5-20240626-102609/2-eu-west-1-0,2-eu-west-1-0,1000,F,5,20240626-102609,0,0,0,989,937,989,9.4,11807.359172413791,9409.907,10345.2265,11018.557,11977.195249999999,16030.8455,16049.1495,16060.2925,16077.802,0,0,0,0,0,1000,128,90,50000,30,10.988776840604858,11924.721053206005,9409.907,10354.7,11022.757,12202.135,16032.0026,16050.338,16065.30356,21029.271,48.0,4.0,13935.579742857142,11033.121,13029.4385,13416.305,14016.806499999999,17177.60820000001,20028.2205,20052.92048,20062.841,14401.916666666666,8052.493,11088.2395,14123.986,17576.6285,19648.214,20338.7425,20891.1653,21029.271,0.2,0.4
ycsb/read-only-aurora/ycsb-read-only-aurora-hot100000-F-mr50-20240626-102609/3-ap-northeast-1-0,3-ap-northeast-1-0,100000,F,50,20240626-102609,0,0,0,833,410,833,5.2,12856.855718390801,10187.952,10775.318,11041.8925,16025.2095,16050.4776,16056.5386,16068.97665,16073.934,0,0,0,0,0,1000,128,90,50000,30,9.25545712428323,13428.949041134752,10187.952,11024.031,13067.345,16031.417,16062.4508,17044.8526,19038.16736,20067.959,368.0,55.0,13926.162990445859,10211.951,11776.35375,13759.9015,16035.907,17040.587,17059.57285,20039.170090000003,20067.959,14428.09546511628,10776.117,12041.7385,14051.022,16549.786,17704.893400000004,18029.763600000002,18046.94474,18051.755,0.8,4.4
ycsb/read-only-aurora/ycsb-read-only-aurora-hot100000-F-mr50-20240626-102609/1-us-east-1-0,1-us-east-1-0,100000,F,50,20240626-102609,0,0,0,1957773,981133,1957773,10930.3,5.837,1.9695,3.3785,4.3134999999999994,6.4965,8.9635,10.8425,19.342,120.28649999999999,0,0,0,0,0,1000,128,90,50000,30,21752.972132796436,5.873,1.515,3.383,4.338,6.55,8.965,10.916,19.403,132.144,838079.0,138561.0,5.8715,1.977,3.3865,4.3185,6.577999999999999,9.012,10.928,19.97,118.815,5.843500000000001,2.1310000000000002,3.3935,4.346,6.573499999999999,9.0535,10.907,19.165999999999997,114.2295,1536.2,9346.599999999999
ycsb/read-only-aurora/ycsb-read-only-aurora-hot100000-F-mr50-20240626-102609/2-eu-west-1-0,2-eu-west-1-0,100000,F,50,20240626-102609,0,0,0,1025,506,1025,4.4,10792.201280821919,9988.885,10200.0535,10826.6305,11031.07075,12027.0018,12060.0964,13055.62659,13061.504,0,0,0,0,0,1000,128,90,50000,30,11.388786614294999,11166.802877369008,9985.798,10216.885,10921.395,11820.493,13040.0838,13174.746399999998,14024.75532,15948.451,453.0,66.0,11500.437997518611,9985.798,10829.888500000001,11040.538,12112.979,13238.132399999999,13851.774099999999,14044.90422,15948.451,11695.741196428571,10016.253,10908.8825,12033.535,12364.23025,13049.254,13053.51625,13144.2196,13250.924,1.0,5.0
ycsb/read-only-aurora/ycsb-read-only-aurora-hot100000-F-mr10-20240626-102609/3-ap-northeast-1-0,3-ap-northeast-1-0,100000,F,10,20240626-102609,0,0,0,1069,977,1069,9.0,10415.81726627907,9466.005,10051.721,10472.7875,10673.91975,11032.0335,11041.30365,11050.42602,11060.384,0,0,0,0,0,1000,128,90,50000,30,11.87769970262222,10607.648085015942,9466.005,10061.242,10502.981,11013.328,11046.406,12629.42,13684.579600000001,14046.084,77.0,15.0,12483.87465671642,10255.24,11495.428,13014.853,13408.6815,13641.2714,13682.2372,13690.005940000001,13690.759,13412.456928571428,12034.821,13041.31075,13689.8165,14027.883,14031.7712,14036.90665,14044.24853,14046.084,0.4,1.4
ycsb/read-only-aurora/ycsb-read-only-aurora-hot100000-F-mr10-20240626-102609/1-us-east-1-0,1-us-east-1-0,100000,F,10,20240626-102609,0,0,0,1992376,1793686,1992376,19977.1,5.761,1.976,3.44,4.388,6.136,8.366,10.338000000000001,21.3065,127.2675,0,0,0,0,0,1000,128,90,50000,30,22137.384823971905,5.769,1.773,3.446,4.403,6.186,8.491,10.521,21.848,139.183,170581.0,28109.0,5.8065,2.1275,3.463,4.4275,6.207000000000001,8.463000000000001,10.434000000000001,21.441000000000003,118.866,5.8345,2.334,3.4875,4.4755,6.321,8.6335,10.585999999999999,20.1325,111.2815,312.2,1893.8
ycsb/read-only-aurora/ycsb-read-only-aurora-hot100000-F-mr10-20240626-102609/2-eu-west-1-0,2-eu-west-1-0,100000,F,10,20240626-102609,0,0,0,1138,1024,1138,11.8,10524.685549560854,9989.366,10051.52,10501.815,11004.682,11033.483,11043.1448,11052.587319999999,11060.798,0,0,0,0,0,1000,128,90,50000,30,12.644301797613222,10691.4489273743,9465.259,10341.8135,10567.376,11022.6575,11045.5726,13022.9314,13511.38848,14049.843,105.0,9.0,11936.338685393257,9465.259,11017.066,12602.883,13043.663,13412.1826,13510.109999999999,13614.34388,13656.143,13148.696,11995.488,12684.398,13519.767,13539.31,14029.545399999999,14039.6942,14047.813240000001,14049.843,0.2,1.0
