path,region,hot,workload,mr,suffix,rejected,rejected.WorkloadB1,aborted,unexpected,completed,completed.WorkloadB1,total,avg,p0,p25,p50,p75,p90,p95,p99,p100,avg.WorkloadB1,p0.WorkloadB1,p25.WorkloadB1,p50.WorkloadB1,p75.WorkloadB1,p90.WorkloadB1,p95.WorkloadB1,p99.WorkloadB1,p100.WorkloadB1,ood_index_page.WorkloadB1,ood_table.WorkloadB1,ood_tuple.WorkloadB1,other_aborts.WorkloadB1,deadlock.WorkloadB1,ood_index_page,ood_table,ood_tuple,other_aborts,deadlock,throughput,throughput.WorkloadB1,scalefactor,terminals,time,rate,warmup,rejected.WorkloadB2,rejected.WorkloadB3,completed.WorkloadB2,completed.WorkloadB3,ood_index_page.WorkloadB3,ood_table.WorkloadB3,ood_tuple.WorkloadB3,other_aborts.WorkloadB3,deadlock.WorkloadB3,ood_index_page.WorkloadB2,ood_table.WorkloadB2,ood_tuple.WorkloadB2,other_aborts.WorkloadB2,deadlock.WorkloadB2,avg.WorkloadB3,p0.WorkloadB3,p25.WorkloadB3,p50.WorkloadB3,p75.WorkloadB3,p90.WorkloadB3,p95.WorkloadB3,p99.WorkloadB3,p100.WorkloadB3,avg.WorkloadB2,p0.WorkloadB2,p25.WorkloadB2,p50.WorkloadB2,p75.WorkloadB2,p90.WorkloadB2,p95.WorkloadB2,p99.WorkloadB2,p100.WorkloadB2,throughput.WorkloadB3,throughput.WorkloadB2
ycsb/read-heavy-sunstorm/ycsb-mixed-sunstorm-hot1000-F-mr0-20240808-172633/1-us-east-1-0,1-us-east-1-0,1000,F,0,20240808-172633,386,386,0,0,1853496,1853496,1853882,3.1040365889189223,0.777,2.224,2.799,3.818,4.436,4.857,5.964,157.316,3.1040365889189223,0.777,2.224,2.799,3.818,4.436,4.857,5.964,157.316,0,0,0,386,0,0,0,0,386,0,20594.20006578515,20653.4,1000,64,90,50000,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ycsb/read-heavy-sunstorm/ycsb-mixed-sunstorm-hot1000-F-mr0-20240808-172633/2-eu-west-1-0,2-eu-west-1-0,1000,F,0,20240808-172633,385,385,0,0,1760456,1760456,1760841,3.2685004834150555,1.194,2.475,2.821,4.073,4.579,4.864,5.846,231.698,3.2685004834150555,1.194,2.475,2.821,4.073,4.579,4.864,5.846,231.698,0,0,0,385,0,0,0,0,385,0,19560.484404482577,19523.3,1000,64,90,50000,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ycsb/read-heavy-sunstorm/ycsb-mixed-sunstorm-hot1000-F-mr5-20240808-172633/3-ap-northeast-1-0,3-ap-northeast-1-0,1000,F,5,20240808-172633,10312,5602,0,0,673293,639949,683605,12.805788557679453,0.733,1.417,2.032,3.067,3.927,18.972999999998603,213.89221999999998,995.936,2.260695936918396,0.733,1.396,1.934,2.944,3.581,3.959,5.226,214.799,0,0,0,5602,0,528,0,3602,6182,0,7481.014708515992,7064.299999999999,1000,96,90,50000,30,3546.0,1164.0,28612.0,4732.0,141.0,0.0,901.0,122.0,0.0,387.0,0.0,2701.0,458.0,0.0,261.4401305805911,207.284,211.7,213.371,217.08749999999998,424.218,430.106,635.7609,995.936,207.37369978311062,147.882,158.80675000000002,209.259,212.133,309.62699999999995,373.6365,491.40950000000043,876.694,52.8,316.70000000000005
ycsb/read-heavy-sunstorm/ycsb-mixed-sunstorm-hot1000-F-mr5-20240808-172633/1-us-east-1-0,1-us-east-1-0,1000,F,5,20240808-172633,9694,5605,0,0,929279,883023,938973,9.282968588173512,0.77,1.624,2.195,3.424,4.412,71.74975,161.62465000000003,646.072,2.526684471005801,0.77,1.604,2.095,3.277,3.946,4.46,6.059,166.543,0,0,0,5605,0,626,0,2705,6363,0,10325.200639084065,9846.3,1000,96,90,50000,30,3007.0,1082.0,39659.0,6597.0,189.0,0.0,720.0,173.0,0.0,437.0,0.0,1985.0,585.0,0.0,186.63798519413808,151.393,158.421,160.671,168.871,315.8156,325.5414999999999,482.53113999999994,646.072,130.19637229371688,77.688,82.094,154.219,159.085,168.9894,235.96724999999992,319.41774999999996,584.324,74.5,440.79999999999995
ycsb/read-heavy-sunstorm/ycsb-mixed-sunstorm-hot1000-F-mr5-20240808-172633/2-eu-west-1-0,2-eu-west-1-0,1000,F,5,20240808-172633,9554,5401,0,0,756465,718835,766019,11.394257589678174,1.288,2.055,2.659,3.748,4.559,74.26749999999127,213.59145999999998,739.593,2.8862154104915216,1.288,2.033,2.565,3.62,4.192,4.59,5.616,219.097,0,0,0,5401,0,623,0,2893,6038,0,8405.156586829326,8046.1,1000,96,90,50000,30,3051.0,1102.0,32387.0,5243.0,180.0,0.0,785.0,137.0,0.0,443.0,0.0,2108.0,500.0,0.0,255.1015280941534,207.911,212.23,213.788,216.6375,424.6042,428.34715,637.38799,706.809,160.62544511705477,77.564,81.66125,209.0215,212.134,215.0556,291.6329,425.07471999999996,739.593,58.3,361.4
ycsb/read-heavy-sunstorm/ycsb-mixed-sunstorm-hot100000-F-mr5-20240808-172633/3-ap-northeast-1-0,3-ap-northeast-1-0,100000,F,5,20240808-172633,316,175,0,0,734728,697815,735044,11.73875524752529,0.751,1.44,2.046,3.086,3.89,151.93009999999916,212.84768999999994,521.323,2.250380856433281,0.751,1.42,1.948,2.962,3.572,3.913,4.793,211.1,0,0,0,175,0,0,0,124,192,0,8163.642056397728,7766.6,1000,96,90,50000,30,113.0,28.0,31574.0,5339.0,0.0,0.0,23.0,5.0,0.0,0.0,0.0,101.0,12.0,0.0,215.08621183098592,207.8,211.868,213.189,214.68,216.4136,217.9492,267.84580000000057,467.584,187.51961460085698,149.158,158.556,208.426,211.656,213.4046,214.6,241.78131999999988,521.323,59.4,350.9
ycsb/read-heavy-sunstorm/ycsb-mixed-sunstorm-hot100000-F-mr5-20240808-172633/1-us-east-1-0,1-us-east-1-0,100000,F,5,20240808-172633,260,172,0,0,976131,927038,976391,8.839515363690852,0.803,1.606,2.134,3.443,4.428,79.50819999999972,160.923,519.181,2.5161013805795474,0.803,1.586,2.042,3.298,3.945,4.471,6.033,85.453,0,0,0,172,0,0,0,77,183,0,10845.89913558184,10286.8,1000,96,90,50000,30,66.0,22.0,42160.0,6933.0,0.0,0.0,21.0,1.0,0.0,0.0,0.0,56.0,10.0,0.0,163.5831299638989,151.719,158.65,160.609,164.483,172.12959999999998,174.4742,216.99516000000008,519.181,122.59979554953927,78.068,82.27575,152.358,158.846,166.936,170.432,180.64798000000002,330.598,76.5,467.5
ycsb/read-heavy-sunstorm/ycsb-mixed-sunstorm-hot100000-F-mr5-20240808-172633/2-eu-west-1-0,2-eu-west-1-0,100000,F,5,20240808-172633,276,162,0,0,815566,775096,815842,10.575045433921538,1.265,2.073,2.664,3.788,4.576,13.57354999999993,213.243,556.022,2.9037899317740803,1.265,2.051,2.572,3.663,4.224,4.608,5.575,88.195,0,0,0,162,0,0,0,99,177,0,9061.751854283208,8624.7,1000,96,90,50000,30,92.0,22.0,34583.0,5887.0,0.0,0.0,21.0,1.0,0.0,0.0,0.0,78.0,14.0,0.0,215.53012772479568,208.515,212.46775,213.691,215.18,216.817,218.25095000000002,275.3999,433.729,147.92889764235647,77.801,82.02,140.8895,212.11375,213.72449999999998,214.839,229.00675,556.022,65.6,386.1
ycsb/read-heavy-sunstorm/ycsb-mixed-sunstorm-hot1000-F-mr50-20240808-172633/3-ap-northeast-1-0,3-ap-northeast-1-0,1000,F,50,20240808-172633,4081,886,0,0,116378,58213,120459,98.86514007018992,0.729,1.682,4.776,208.703,211.172,212.78125,374.57004999999975,637.358,1.9617126243278995,0.729,1.169,1.685,2.69,3.18,3.634399999999994,4.185879999999997,70.849,0,0,0,886,0,0,0,1617,2464,0,1293.0792633361605,646.4000000000001,1000,128,90,50000,30,2531.0,664.0,50006.0,8159.0,0.0,0.0,389.0,275.0,0.0,0.0,0.0,1228.0,1303.0,0.0,226.2705967088297,205.998,210.182,211.375,213.1105,215.845,418.80039999999997,425.08524,637.358,191.1211839278557,147.822,156.68475,207.52100000000002,210.13424999999998,211.9361,214.21705,415.14517,632.041,90.4,554.5
ycsb/read-heavy-sunstorm/ycsb-mixed-sunstorm-hot1000-F-mr50-20240808-172633/1-us-east-1-0,1-us-east-1-0,1000,F,50,20240808-172633,4822,942,0,0,173947,86726,178769,66.15283926342252,0.783,1.841,78.056,154.824,158.948,166.58749999999998,237.67970000000003,526.895,2.1287200115307003,0.783,1.283,1.836,2.835,3.478,3.86,4.586,81.127,0,0,0,942,0,0,0,1423,3399,0,1932.7402801837118,961.0999999999999,1000,128,90,50000,30,3061.0,819.0,74933.0,12288.0,0.0,0.0,338.0,481.0,0.0,0.0,0.0,1085.0,1976.0,0.0,169.22576415940026,150.463,157.195,158.998,162.49099999999999,170.901,308.9665,327.4856999999999,526.895,123.44800704215943,76.813,80.858,152.313,157.223,164.9062,168.60580000000004,248.3506200000002,499.038,137.3,831.4000000000001
ycsb/read-heavy-sunstorm/ycsb-mixed-sunstorm-hot1000-F-mr50-20240808-172633/2-eu-west-1-0,2-eu-west-1-0,1000,F,50,20240808-172633,4308,895,0,0,140809,70430,145117,81.70258782136486,1.181,2.231,6.043,209.077,211.519,212.831,291.01436,644.108,2.4833236358989645,1.181,1.677,2.233,3.204,3.76,4.062,4.689,210.119,0,0,0,895,0,0,0,1393,2915,0,1564.5442363079096,783.0999999999999,1000,128,90,50000,30,2702.0,711.0,60394.0,9985.0,0.0,0.0,312.0,399.0,0.0,0.0,0.0,1081.0,1621.0,0.0,224.3783575155529,206.86,210.70525,211.889,213.378,215.624,418.73625,425.16380000000004,644.108,150.66008259802297,76.617,80.37875,207.593,210.48024999999998,212.02,213.339,371.0473099999921,632.433,111.0,670.0
ycsb/read-heavy-sunstorm/ycsb-mixed-sunstorm-hot100000-F-mr50-20240808-172633/3-ap-northeast-1-0,3-ap-northeast-1-0,100000,F,50,20240808-172633,90,27,0,0,121224,60957,121314,94.92452201559095,0.72,1.694,4.3025,208.767,211.099,212.161,214.5351,423.335,1.9660983020260847,0.72,1.171,1.708,2.689,3.167,3.632299999999996,4.174459999999999,72.174,0,0,0,27,0,0,0,33,57,0,1346.920256997471,674.0999999999999,1000,128,90,50000,30,49.0,14.0,51672.0,8595.0,0.0,0.0,8.0,6.0,0.0,0.0,0.0,25.0,24.0,0.0,212.38682584335243,207.177,210.437,211.497,212.803,214.0938,214.9715,228.01038000000003,423.335,185.27934783704652,148.92,157.353,206.895,210.141,211.497,212.33839999999998,215.28975999999997,422.324,94.5,574.2
ycsb/read-heavy-sunstorm/ycsb-mixed-sunstorm-hot100000-F-mr50-20240808-172633/1-us-east-1-0,1-us-east-1-0,100000,F,50,20240808-172633,94,31,0,0,178656,89118,178750,64.4298613606829,0.793,1.805,78.204,155.009,159.25730000000001,166.97165,170.598,663.744,2.0921213151545754,0.793,1.261,1.801,2.809,3.448,3.825300000000003,4.516,77.783,0,0,0,31,0,0,0,21,73,0,1985.057671620446,991.8,1000,128,90,50000,30,52.0,11.0,76665.0,12873.0,0.0,0.0,2.0,9.0,0.0,0.0,0.0,19.0,33.0,0.0,161.47655896079652,150.252,157.44675,159.1975,163.21824999999998,169.918,171.29375,179.6172500000009,334.418,120.69637336886242,76.635,80.944,151.149,157.475,165.93140000000002,168.153,170.83832,663.744,142.10000000000002,852.4
ycsb/read-heavy-sunstorm/ycsb-mixed-sunstorm-hot100000-F-mr50-20240808-172633/2-eu-west-1-0,2-eu-west-1-0,100000,F,50,20240808-172633,92,35,0,0,146032,73176,146124,78.79052659968198,1.163,2.219,5.038,209.261,211.578,212.61,214.769,427.306,2.4714585035872902,1.163,1.67,2.224,3.2,3.767,4.06,4.643259999999994,73.836,0,0,0,35,0,0,0,33,59,0,1622.5682993647715,818.0999999999999,1000,128,90,50000,30,50.0,7.0,62544.0,10312.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,29.0,21.0,0.0,212.74527050933125,207.654,211.01275,212.085,213.331,214.64659999999998,215.45295000000002,218.74318999999971,427.306,146.1574866912236,77.237,80.58375000000001,146.45850000000002,210.62,211.928,212.694,214.54761,421.892,114.4,692.3
ycsb/read-heavy-sunstorm/ycsb-mixed-sunstorm-hot1000-F-mr10-20240808-172633/3-ap-northeast-1-0,3-ap-northeast-1-0,1000,F,10,20240808-172633,6489,3460,0,0,391543,352306,398032,22.02199655398795,0.708,1.27,2.021,2.9585,149.86040000000085,209.08370000000002,214.06134000000003,688.502,2.0356647374232537,0.708,1.234,1.768,2.739,3.275,3.681,4.349,292.937,0,0,0,3460,0,0,0,2293,4196,0,4350.447537478577,3905.9,1000,96,90,50000,30,2341.0,688.0,33603.0,5634.0,0.0,0.0,544.0,144.0,0.0,0.0,0.0,1749.0,592.0,0.0,235.4737967335345,206.943,210.562,211.899,213.841,297.51960000000054,422.0938,496.4959600000023,688.502,196.1207755016847,148.281,157.374,208.09,210.677,212.9134,315.43859999999984,419.5494,637.248,62.6,370.7
ycsb/read-heavy-sunstorm/ycsb-mixed-sunstorm-hot1000-F-mr10-20240808-172633/1-us-east-1-0,1-us-east-1-0,1000,F,10,20240808-172633,6894,3845,0,0,565831,509395,572725,15.248428913073058,0.753,1.439,2.205,3.27,10.217,155.22,167.738,525.163,2.2482168114838093,0.753,1.394,1.969,2.948,3.62,3.997,4.906,159.462,0,0,0,3845,0,0,0,1930,4964,0,6286.939971102158,5647.6,1000,96,90,50000,30,2308.0,741.0,48411.0,8025.0,0.0,0.0,488.0,253.0,0.0,0.0,0.0,1442.0,866.0,0.0,174.09995500997007,151.376,157.48025,159.435,163.87949999999998,173.5404,316.13579999999996,331.8832499999999,525.163,125.84838743303894,77.1,81.104,153.324,157.74,166.12720000000002,170.328,311.16852,480.021,90.2,535.4
ycsb/read-heavy-sunstorm/ycsb-mixed-sunstorm-hot1000-F-mr10-20240808-172633/2-eu-west-1-0,2-eu-west-1-0,1000,F,10,20240808-172633,6470,3563,0,0,457500,411676,463970,18.853443719120282,1.19,1.905,2.563,3.672,77.81650000000018,209.52505,213.764,715.056,2.6578799514150364,1.19,1.86,2.376,3.372,3.941,4.288,4.981510000000009,214.488,0,0,0,3563,0,0,0,2027,4443,0,5083.293945204275,4572.6,1000,96,90,50000,30,2231.0,676.0,39278.0,6546.0,0.0,0.0,507.0,169.0,0.0,0.0,0.0,1520.0,711.0,0.0,232.70439302645664,207.166,211.244,212.496,214.269,220.1312,422.3858,429.79107999999997,715.056,153.14857938874866,76.749,80.675,207.881,210.991,212.774,215.0235,419.7531,634.028,72.4,436.0
ycsb/read-heavy-sunstorm/ycsb-mixed-sunstorm-hot100000-F-mr10-20240808-172633/3-ap-northeast-1-0,3-ap-northeast-1-0,100000,F,10,20240808-172633,192,123,0,0,416031,374574,416223,20.726984569704392,0.702,1.283,2.014,2.985,6.4240000000001745,209.176,212.765,431.25,2.0465291085101613,0.702,1.248,1.769,2.758,3.305,3.697,4.336,70.478,0,0,0,123,0,0,0,58,134,0,4622.529845340207,4178.1,1000,96,90,50000,30,55.0,14.0,35523.0,5934.0,0.0,0.0,9.0,5.0,0.0,0.0,0.0,49.0,6.0,0.0,213.18038761390483,207.341,210.84449999999998,212.048,213.411,214.91649999999998,216.00799999999998,247.9605,424.054,185.95613544928761,149.087,157.751,207.39,210.653,212.0836,212.9538,217.47312,431.25,66.0,393.6
ycsb/read-heavy-sunstorm/ycsb-mixed-sunstorm-hot100000-F-mr10-20240808-172633/1-us-east-1-0,1-us-east-1-0,100000,F,10,20240808-172633,187,120,0,0,590402,531678,590589,14.613107288423294,0.753,1.424,2.146,3.268,7.6835,155.19775,167.48294999999996,349.574,2.2303105690414666,0.753,1.381,1.913,2.962,3.602,3.977,4.873,73.979,0,0,0,120,0,0,0,52,135,0,6559.995987048938,5890.299999999999,1000,96,90,50000,30,59.0,8.0,50295.0,8429.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,45.0,14.0,0.0,161.99966789536265,151.093,157.743,159.514,163.45,170.8341,172.4324,193.44821,349.574,121.00353185347403,77.494,81.289,143.96949999999998,157.818,166.3611,168.93755,172.42984,327.437,93.69999999999999,559.3
ycsb/read-heavy-sunstorm/ycsb-mixed-sunstorm-hot100000-F-mr10-20240808-172633/2-eu-west-1-0,2-eu-west-1-0,100000,F,10,20240808-172633,174,91,0,0,476225,428493,476399,18.10886683860886,1.213,1.936,2.575,3.721,78.11580000000004,209.769,213.222,477.579,2.686312671099401,1.213,1.89,2.393,3.426,3.983,4.32,4.956,73.919,0,0,0,91,0,0,0,63,111,0,5291.33837171715,4731.700000000001,1000,96,90,50000,30,71.0,12.0,40873.0,6859.0,0.0,0.0,8.0,4.0,0.0,0.0,0.0,55.0,16.0,0.0,213.6074799473068,208.158,211.52875,212.607,213.886,215.2349,216.2618,245.78277,433.798,147.27767668749235,77.377,81.063,207.956,211.175,212.513,213.3356,216.14258,477.579,76.69999999999999,454.3
