path,region,hot,workload,mr,suffix,rejected,rejected.WorkloadB1,rejected.WorkloadB2,rejected.WorkloadB3,aborted,unexpected,completed,completed.WorkloadB1,completed.WorkloadB2,completed.WorkloadB3,total,throughput.WorkloadB2,avg.WorkloadB2,p0.WorkloadB2,p25.WorkloadB2,p50.WorkloadB2,p75.WorkloadB2,p90.WorkloadB2,p95.WorkloadB2,p99.WorkloadB2,p100.WorkloadB2,scalefactor,terminals,time,rate,warmup,avg,p0,p25,p50,p75,p90,p95,p99,p100,avg.WorkloadB1,p0.WorkloadB1,p25.WorkloadB1,p50.WorkloadB1,p75.WorkloadB1,p90.WorkloadB1,p95.WorkloadB1,p99.WorkloadB1,p100.WorkloadB1,avg.WorkloadB3,p0.WorkloadB3,p25.WorkloadB3,p50.WorkloadB3,p75.WorkloadB3,p90.WorkloadB3,p95.WorkloadB3,p99.WorkloadB3,p100.WorkloadB3,throughput.WorkloadB1,ood_index_page.WorkloadB3,ood_table.WorkloadB3,ood_tuple.WorkloadB3,other_aborts.WorkloadB3,deadlock.WorkloadB3,ood_index_page.WorkloadB2,ood_table.WorkloadB2,ood_tuple.WorkloadB2,other_aborts.WorkloadB2,deadlock.WorkloadB2,ood_index_page.WorkloadB1,ood_table.WorkloadB1,ood_tuple.WorkloadB1,other_aborts.WorkloadB1,deadlock.WorkloadB1,ood_index_page,ood_table,ood_tuple,other_aborts,deadlock,throughput.WorkloadB3,throughput
ycsb/read-heavy-aurora-eventual/ycsb-mixed-aurora-hot1000-F-mr5-20240610-122214/1-us-east-1-0,1-us-east-1-0,1000,F,5,20240610-122214,684,610,59.0,15.0,0,0,1416196,1345181,60980.0,10035.0,1416880,682.9,8.409878647225732,1.515,5.036,7.258,9.984,12.912,15.217,43.147,373.297,1000,128,90,50000,30,8.128455466829386,1.385,4.88,7.056,9.729,12.585,14.833,41.65402000000025,373.297,8.11304481836662,1.383,4.872,7.045,9.715,12.566,14.812,41.58377999999979,265.608,8.484032090890972,1.502,5.087,7.266,10.0535,13.046700000000001,15.254750000000001,41.33420000000001,307.53,15093.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,59.0,0.0,0,0,0,610,0,0,0,0,684,0,111.8,15735.497314401904
ycsb/read-heavy-aurora-eventual/ycsb-mixed-aurora-hot1000-F-mr5-20240610-122214/2-eu-west-1-0,2-eu-west-1-0,1000,F,5,20240610-122214,219,167,39.0,13.0,0,0,149195,141802,6316.0,1077.0,149414,71.1,77.80774239061509,1.828,2.203,2.5534999999999997,211.7215,214.71030000000002,279.35654999999997,289.6245,491.017,1000,128,90,50000,30,77.08622084700168,1.78,2.177,2.51,211.601,214.711,279.257,285.7297,574.082,77.03391322882773,1.78,2.175,2.507,211.5915,214.707,279.24789999999996,285.6447999999999,574.082,79.74397397769518,1.897,2.249,2.584,211.83625,214.997,279.422,289.64275,489.703,1576.5,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,39.0,0.0,0,0,0,167,0,0,0,0,219,0,11.9,1657.7061619228707
ycsb/read-heavy-aurora-eventual/ycsb-mixed-aurora-hot1000-F-mr0-20240610-122214/3-ap-northeast-1-0,3-ap-northeast-1-0,1000,F,0,20240610-122214,94,94,,,0,0,65543,65543,,,65637,,,,,,,,,,,1000,128,90,50000,30,175.1005040587021,1.642,1.856,2.217,472.7855,506.9638,624.1021,676.64904,1298.255,175.1005040587021,1.642,1.856,2.217,472.7855,506.9638,624.1021,676.64904,1298.255,,,,,,,,,,725.4,,,,,,,,,,,0,0,0,94,0,0,0,0,94,0,,728.2476932235351
ycsb/read-heavy-aurora-eventual/ycsb-mixed-aurora-hot1000-F-mr0-20240610-122214/1-us-east-1-0,1-us-east-1-0,1000,F,0,20240610-122214,627,627,,,0,0,1423053,1423053,,,1423680,,,,,,,,,,,1000,128,90,50000,30,8.090427217696453,1.406,4.881,7.038,9.674,12.497,14.717,41.223619999999876,87.059,8.090427217696453,1.406,4.881,7.038,9.674,12.497,14.717,41.223619999999876,87.059,,,,,,,,,,15867.9,,,,,,,,,,,0,0,0,627,0,0,0,0,627,0,,15811.586277098231
ycsb/read-heavy-aurora-eventual/ycsb-mixed-aurora-hot1000-F-mr0-20240610-122214/2-eu-west-1-0,2-eu-west-1-0,1000,F,0,20240610-122214,181,181,,,0,0,147466,147466,,,147647,,,,,,,,,,,1000,128,90,50000,30,77.98328845240196,1.832,2.195,2.529,211.41075,214.821,279.00014999999996,285.85163,623.503,77.98328845240196,1.832,2.195,2.529,211.41075,214.821,279.00014999999996,285.85163,623.503,,,,,,,,,,1632.4,,,,,,,,,,,0,0,0,181,0,0,0,0,181,0,,1638.4924883513925
ycsb/read-heavy-aurora-eventual/ycsb-mixed-aurora-hot1000-F-mr10-20240610-122214/3-ap-northeast-1-0,3-ap-northeast-1-0,1000,F,10,20240610-122214,176,108,56.0,12.0,0,0,66212,59677,5639.0,896.0,66388,62.2,170.14699556186758,1.68,1.885,2.26,471.4,505.8186,616.6527999999976,675.8151600000001,1358.689,1000,128,90,50000,30,173.30505468797287,1.647,1.867,2.259,471.83225,506.09270000000004,618.5248499999998,676.2671899999999,1358.689,173.40041240765612,1.647,1.865,2.258,471.86,506.0794,616.1938499999989,676.26341,1311.199,186.8963468013468,1.723,1.91,2.303,472.929,508.271,626.89,746.475300000001,1178.661,660.3,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,56.0,0.0,0,0,0,108,0,0,0,0,176,0,9.7,735.6856818142961
ycsb/read-heavy-aurora-eventual/ycsb-mixed-aurora-hot1000-F-mr10-20240610-122214/1-us-east-1-0,1-us-east-1-0,1000,F,10,20240610-122214,710,578,103.0,29.0,0,0,1418147,1276248,121699.0,20200.0,1418857,1345.2,8.329632619683585,1.484,5.021,7.231,9.873,12.707,14.97029999999999,41.940119999999936,383.396,1000,128,90,50000,30,8.115531774797251,1.419,4.899,7.064,9.691,12.491,14.696,40.83064000000013,542.635,8.090351222020027,1.411,4.886,7.045,9.669,12.469,14.664,40.67998999999999,249.642,8.41626583469519,1.575,5.058,7.234,9.935,12.718799999999998,15.09299999999999,42.12123999999985,542.635,14257.8,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,103.0,0.0,0,0,0,578,0,0,0,0,710,0,222.9,15757.048072702299
ycsb/read-heavy-aurora-eventual/ycsb-mixed-aurora-hot1000-F-mr10-20240610-122214/2-eu-west-1-0,2-eu-west-1-0,1000,F,10,20240610-122214,281,189,70.0,22.0,0,0,148246,133520,12593.0,2133.0,148527,140.10000000000002,77.29970465744714,1.822,2.20525,2.552,211.4275,214.8359,279.21895,286.23313,517.316,1000,128,90,50000,30,77.55995328724396,1.779,2.183,2.528,211.45,214.757,279.07,286.22382999999996,642.396,77.52817371163002,1.779,2.181,2.525,211.448,214.737,279.05379999999997,286.17496,642.396,81.08599859221022,1.838,2.2024999999999997,2.539,211.66899999999998,215.094,279.415,346.42969999999997,562.967,1476.4,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,70.0,0.0,0,0,0,189,0,0,0,0,281,0,24.0,1647.1675555840409
ycsb/read-heavy-aurora-eventual/ycsb-mixed-aurora-hot100000-F-mr50-20240610-122214/3-ap-northeast-1-0,3-ap-northeast-1-0,100000,F,50,20240610-122214,17,4,9.0,4.0,0,0,66441,33229,28662.0,4550.0,66458,320.20000000000005,172.12934250262145,1.655,1.867,2.225,470.817,506.1651,591.83845,675.14632,1092.074,1000,128,90,50000,30,172.72388673412456,1.645,1.862,2.229,470.879,506.15659999999997,592.1658,674.82172,1204.678,173.09403950185447,1.645,1.856,2.228,470.90700000000004,506.15659999999997,592.3811999999998,674.47502,1019.378,173.7667356828194,1.678,1.872,2.2465,470.995,506.12899999999996,593.3708500000001,675.35569,1204.678,367.2,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,9.0,0.0,0,0,0,4,0,0,0,0,17,0,50.8,738.2332253626229
ycsb/read-heavy-aurora-eventual/ycsb-mixed-aurora-hot100000-F-mr50-20240610-122214/1-us-east-1-0,1-us-east-1-0,100000,F,50,20240610-122214,47,20,25.0,2.0,0,0,1405305,701529,604629.0,99147.0,1405352,6752.6,8.224294223316148,1.388,4.899,7.12,9.823,12.725,15.095,42.8885,324.414,1000,128,90,50000,30,8.190384769105519,1.364,4.875,7.087,9.78,12.695,15.054,42.65514000000013,324.414,8.149098050900136,1.354,4.844,7.045,9.733,12.646,14.999,42.47497999999998,102.277,8.275932508220864,1.426,4.952,7.17,9.861,12.852,15.245,42.41326000000001,119.895,7840.4,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,25.0,0.0,0,0,0,20,0,0,0,0,47,0,1108.9,15614.456443994231
ycsb/read-heavy-aurora-eventual/ycsb-mixed-aurora-hot100000-F-mr50-20240610-122214/2-eu-west-1-0,2-eu-west-1-0,100000,F,50,20240610-122214,26,11,10.0,5.0,0,0,147683,73655,63482.0,10546.0,147709,706.5,77.73931729617252,1.768,2.169,2.493,211.568,214.697,279.20574999999997,285.5296,487.284,1000,128,90,50000,30,77.85556522652571,1.768,2.165,2.492,211.588,214.755,279.21529999999996,285.50467999999995,489.785,77.82929837197292,1.789,2.161,2.49,211.592,214.811,279.2255,285.4857999999999,489.785,78.7391858919586,1.827,2.174,2.497,211.679,214.7612,279.1372,285.41035999999997,420.624,816.8,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,10.0,0.0,0,0,0,11,0,0,0,0,26,0,118.4,1640.9126599860197
ycsb/read-heavy-aurora-eventual/ycsb-mixed-aurora-hot100000-F-mr5-20240610-122214/3-ap-northeast-1-0,3-ap-northeast-1-0,100000,F,5,20240610-122214,8,7,1.0,,0,0,65545,62216,2867.0,462.0,65553,31.2,164.66090216631724,1.686,1.898,2.229,472.463,506.5996,621.5065999999996,676.82986,1099.739,1000,128,90,50000,30,175.04583907852694,1.645,1.854,2.133,473.312,507.04,625.3184,676.60436,1173.402,175.6873805037524,1.645,1.852,2.119,473.364,507.06,625.4288,676.633,1173.402,153.10617787418656,1.7,1.962,2.214,471.482,504.164,510.827,670.7064,675.785,692.8,,,,,,0.0,0.0,0.0,1.0,0.0,0,0,0,7,0,0,0,0,8,0,5.0,728.2769963527446
ycsb/read-heavy-aurora-eventual/ycsb-mixed-aurora-hot100000-F-mr5-20240610-122214/1-us-east-1-0,1-us-east-1-0,100000,F,5,20240610-122214,35,32,3.0,,0,0,1426870,1355739,61188.0,9943.0,1426905,684.7,8.332026235778738,1.458,5.009,7.246,9.92525,12.834,15.128,43.170249999999996,159.438,1000,128,90,50000,30,8.067048284084553,1.362,4.832,7.005,9.653,12.505,14.702,41.63,159.438,8.052202390849708,1.358,4.822,6.992,9.638,12.485,14.679,41.523319999999835,94.602,8.460106718970026,1.633,5.05825,7.329,10.021,12.977799999999998,15.337949999999978,44.53196000000008,73.488,15019.0,,,,,,0.0,0.0,0.0,3.0,0.0,0,0,0,32,0,0,0,0,35,0,111.1,15854.056119203588
ycsb/read-heavy-aurora-eventual/ycsb-mixed-aurora-hot100000-F-mr5-20240610-122214/2-eu-west-1-0,2-eu-west-1-0,100000,F,5,20240610-122214,14,10,4.0,,0,0,148670,141289,6342.0,1039.0,148684,69.7,77.58246292205743,1.836,2.19425,2.5755,211.51225,214.52949999999998,277.9253,284.52335,558.091,1000,128,90,50000,30,77.35557930416986,1.793,2.164,2.5065,211.30775,214.488,278.60389999999995,284.97136,558.091,77.34570490061347,1.793,2.162,2.501,211.297,214.48149999999998,278.60075,284.9677,506.265,77.31313391136801,1.886,2.23825,2.6025,211.43349999999998,215.37959999999998,280.11285,288.36522999999954,416.492,1567.7,,,,,,0.0,0.0,0.0,4.0,0.0,0,0,0,10,0,0,0,0,14,0,11.2,1651.888511377301
ycsb/read-heavy-aurora-eventual/ycsb-mixed-aurora-hot1000-F-mr15-20240610-122214/3-ap-northeast-1-0,3-ap-northeast-1-0,1000,F,15,20240610-122214,252,136,92.0,24.0,0,0,65654,55797,8453.0,1404.0,65906,93.4,179.6802617409867,1.664,1.888,2.2705,473.41925000000003,507.7204,626.3666999999999,685.4373000000006,1270.302,1000,128,90,50000,30,174.80286322986294,1.651,1.866,2.245,472.752,507.19100000000003,621.27675,677.84225,1520.277,173.9064434209581,1.651,1.863,2.239,472.651,507.088,619.3688,677.20845,1520.277,181.077604850214,1.685,1.901,2.2824999999999998,473.47625,508.5684,625.43555,785.7884399999999,1169.486,618.5,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,92.0,0.0,0,0,0,136,0,0,0,0,252,0,15.4,729.484149479002
ycsb/read-heavy-aurora-eventual/ycsb-mixed-aurora-hot1000-F-mr15-20240610-122214/1-us-east-1-0,1-us-east-1-0,1000,F,15,20240610-122214,745,548,156.0,41.0,0,0,1415234,1203496,181719.0,30019.0,1415979,2022.3,8.23525480052174,1.409,4.938,7.141,9.851,12.756200000000012,15.037100000000006,40.729219999999884,370.531,1000,128,90,50000,30,8.132604664820274,1.38,4.877,7.068,9.738,12.601,14.84,40.16184000000008,492.882,8.110997397995348,1.373,4.863,7.054,9.716,12.572,14.802,39.987,492.882,8.377666922103018,1.529,5.02,7.205500000000001,9.903,12.7657,15.11535,42.40521999999999,423.471,13478.3,0.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,156.0,0.0,0,0,0,548,0,0,0,0,745,0,333.5,15724.814872793191
ycsb/read-heavy-aurora-eventual/ycsb-mixed-aurora-hot1000-F-mr15-20240610-122214/2-eu-west-1-0,2-eu-west-1-0,1000,F,15,20240610-122214,359,229,98.0,32.0,0,0,148749,126596,19016.0,3137.0,149108,211.3,76.37146734726096,1.826,2.1965000000000003,2.535,211.336,214.3396,278.5711,286.81192,563.625,1000,128,90,50000,30,77.31516653097476,1.777,2.179,2.515,211.398,214.437,278.872,285.28779999999995,668.543,77.49453362902524,1.777,2.176,2.511,211.4105,214.453,278.91089999999997,285.17454,668.543,75.7988114832536,1.842,2.199,2.504,211.452,214.387,278.8035,285.08196,460.435,1405.1,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,98.0,0.0,0,0,0,229,0,0,0,0,359,0,35.3,1652.762607040967
ycsb/read-heavy-aurora-eventual/ycsb-mixed-aurora-hot100000-F-mr15-20240610-122214/3-ap-northeast-1-0,3-ap-northeast-1-0,100000,F,15,20240610-122214,10,9,1.0,,0,0,66731,56793,8586.0,1352.0,66741,95.30000000000001,170.2680431637891,1.659,1.879,2.242,472.214,506.4211,586.4649,675.2591199999999,1120.665,1000,128,90,50000,30,172.0272505893128,1.638,1.859,2.224,472.431,506.3448,590.7505999999998,675.63974,1173.126,172.3006712181353,1.638,1.856,2.218,472.441,506.341,591.5521999999993,675.75708,1173.126,171.71601560178306,1.686,1.89025,2.2755,472.821,505.9815,521.0805,674.5542,944.004,632.8,,,,,,0.0,0.0,0.0,1.0,0.0,0,0,0,9,0,0,0,0,10,0,15.1,741.4507752494023
ycsb/read-heavy-aurora-eventual/ycsb-mixed-aurora-hot100000-F-mr15-20240610-122214/1-us-east-1-0,1-us-east-1-0,100000,F,15,20240610-122214,36,29,6.0,1.0,0,0,1417568,1204820,182688.0,30060.0,1417604,2048.8999999999996,8.253087701530124,1.425,4.942,7.179,9.862,12.731,15.016,42.555359999999986,206.212,1000,128,90,50000,30,8.120567456325144,1.367,4.852,7.054,9.712,12.58,14.826,41.9548999999999,206.212,8.094574738147529,1.357,4.835,7.031,9.681,12.545,14.783,41.82514999999991,97.484,8.356775951557093,1.451,5.00375,7.229,9.977,13.001000000000001,15.355,42.44255000000004,83.482,13451.1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,0,0,0,29,0,0,0,0,36,0,334.2,15750.642561495863
ycsb/read-heavy-aurora-eventual/ycsb-mixed-aurora-hot100000-F-mr15-20240610-122214/2-eu-west-1-0,2-eu-west-1-0,100000,F,15,20240610-122214,13,11,2.0,,0,0,148318,126188,18980.0,3150.0,148331,211.7,78.43140954389665,1.792,2.183,2.529,211.497,214.6334,279.2292,284.91672,485.559,1000,128,90,50000,30,77.5368066198799,1.779,2.166,2.505,211.41675,214.494,278.9251,284.90432999999996,487.035,77.38786548909812,1.779,2.163,2.499,211.408,214.476,278.8821,284.91244,487.035,78.11284106802289,1.854,2.207,2.537,211.36525,214.1795,277.84125,284.49565,365.973,1402.9,,,,,,0.0,0.0,0.0,2.0,0.0,0,0,0,11,0,0,0,0,13,0,34.8,1647.9588461181067
