path,region,hot,workload,mr,suffix,rejected,rejected.WorkloadF1,rejected.WorkloadF2,rejected.WorkloadF3,aborted,unexpected,completed,completed.WorkloadF1,completed.WorkloadF2,completed.WorkloadF3,total,avg,p0,p25,p50,p75,p90,p95,p99,p100,avg.WorkloadF2,p0.WorkloadF2,p25.WorkloadF2,p50.WorkloadF2,p75.WorkloadF2,p90.WorkloadF2,p95.WorkloadF2,p99.WorkloadF2,p100.WorkloadF2,avg.WorkloadF3,p0.WorkloadF3,p25.WorkloadF3,p50.WorkloadF3,p75.WorkloadF3,p90.WorkloadF3,p95.WorkloadF3,p99.WorkloadF3,p100.WorkloadF3,avg.WorkloadF1,p0.WorkloadF1,p25.WorkloadF1,p50.WorkloadF1,p75.WorkloadF1,p90.WorkloadF1,p95.WorkloadF1,p99.WorkloadF1,p100.WorkloadF1,scalefactor,terminals,time,rate,warmup,throughput,ood_index_page.WorkloadF2,ood_table.WorkloadF2,ood_tuple.WorkloadF2,other_aborts.WorkloadF2,deadlock.WorkloadF2,ood_index_page.WorkloadF3,ood_table.WorkloadF3,ood_tuple.WorkloadF3,other_aborts.WorkloadF3,deadlock.WorkloadF3,ood_index_page.WorkloadF1,ood_table.WorkloadF1,ood_tuple.WorkloadF1,other_aborts.WorkloadF1,deadlock.WorkloadF1,ood_index_page,ood_table,ood_tuple,other_aborts,deadlock,unexpected.WorkloadF1
ycsb/throughput-aurora/ycsb-throughput-aurora-hot100000-F-mr5-20240626-124920/3-ap-northeast-1-0,3-ap-northeast-1-0,100000,F,5,20240626-124920,18,7,10.0,1.0,0,0,1850,1771,69.0,10.0,1868,4577.999157053113,3328.704,4111.6845,4449.283,4852.059,5327.916,5714.9125,6969.3845,11098.243,5780.046766666666,4167.384,4922.09825,5361.072,5878.86375,8064.819300000001,9543.383649999998,10640.26645,10826.025,6154.9979,4680.949,5346.135,5894.878000000001,6611.1865,7092.666199999999,8178.035599999997,9046.33112,9263.405,4526.184463690476,3328.704,4100.9855,4429.5625,4806.785,5224.5909,5532.50715,6475.513270000001,11098.243,1000,96,90,50000,30,20.555505102753465,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,7,0,0,0,0,18,0,
ycsb/throughput-aurora/ycsb-throughput-aurora-hot100000-F-mr5-20240626-124920/2-eu-west-1-0,2-eu-west-1-0,100000,F,5,20240626-124920,31,16,14.0,1.0,0,0,3608,3419,167.0,22.0,3639,2376.894997141224,1792.367,2158.6189999999997,2324.2925,2498.4775,2686.2972,2871.0104999999994,3469.4749399999973,6185.76,2917.153913580247,1931.321,2467.4195,2795.08,3093.96375,3592.4527000000003,4573.376399999999,5067.63981,6185.76,2704.1823333333336,2129.085,2357.151,2520.579,2800.651,3010.873,3230.891,5182.482200000002,5670.38,2348.4198904977375,1792.367,2153.9,2318.738,2485.9139999999998,2653.0594,2790.2454,3200.7808800000007,4815.397,1000,96,90,50000,30,40.08877823317062,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,16,0,0,0,0,31,0,
ycsb/throughput-aurora/ycsb-throughput-aurora-hot1000-F-mr0-20240626-124920/1-us-east-1-0,1-us-east-1-0,1000,F,0,20240626-124920,27947,27947,,,0,0,494641,494641,,,522588,17.458,1.809,12.246,15.414,20.137,26.585,31.765,48.153,175.659,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,96,90,50000,30,5495.994535191593,,,,,,,,,,,0,0,0,27947,0,0,0,0,27947,0,
ycsb/throughput-aurora/ycsb-throughput-aurora-hot1000-F-mr0-20240626-124920/3-ap-northeast-1-0,3-ap-northeast-1-0,1000,F,0,20240626-124920,51,51,,,0,0,1909,1909,,,1960,4530.915709856035,3283.528,4031.7889999999998,4364.8915,4743.6759999999995,5284.764999999999,5826.348,7990.102550000007,11206.195,,,,,,,,,,,,,,,,,,,4530.915709856035,3283.528,4031.7889999999998,4364.8915,4743.6759999999995,5284.764999999999,5826.348,7990.102550000007,11206.195,1000,96,90,50000,30,21.210924498811433,,,,,,,,,,,0,0,0,51,0,0,0,0,51,0,
ycsb/throughput-aurora/ycsb-throughput-aurora-hot1000-F-mr0-20240626-124920/2-eu-west-1-0,2-eu-west-1-0,1000,F,0,20240626-124920,100,100,,,0,0,3662,3662,,,3762,2362.803039414415,1771.503,2132.6985,2300.562,2467.9497499999998,2642.2927,2856.26775,3869.354719999995,5625.308,,,,,,,,,,,,,,,,,,,2362.803039414415,1771.503,2132.6985,2300.562,2467.9497499999998,2642.2927,2856.26775,3869.354719999995,5625.308,1000,96,90,50000,30,40.68849135735529,,,,,,,,,,,0,0,0,100,0,0,0,0,100,0,
ycsb/throughput-aurora/ycsb-throughput-aurora-hot1000-F-mr5-20240626-124920/1-us-east-1-0,1-us-east-1-0,1000,F,5,20240626-124920,19864,18419,1218.0,227.0,0,0,390633,370994,16890.0,2749.0,410497,22.05373557453265,5.281,12.454,16.3185,21.333,27.836,33.554149999999964,53.59698999999976,5217.62,51.93788782222222,5.255,12.6525,16.626,21.9735,29.524800000000003,38.1782,1514.5924599999998,4284.989,73.18133369723435,5.478,12.775,16.819000000000003,22.2985,30.3058,48.67720000000001,1775.9055000000078,5217.62,20.31365991823076,5.289,12.444,16.303,21.299,27.752,33.354,51.61292000000004,3857.392,1000,96,90,50000,30,4340.339708672058,0.0,0.0,0.0,1218.0,0.0,0.0,0.0,0.0,227.0,0.0,0,0,0,18419,0,0,0,0,19864,0,
ycsb/throughput-aurora/ycsb-throughput-aurora-hot1000-F-mr5-20240626-124920/3-ap-northeast-1-0,3-ap-northeast-1-0,1000,F,5,20240626-124920,129,72,48.0,9.0,0,0,1815,1716,92.0,7.0,1944,4641.82944018583,3285.554,4028.3019999999997,4368.5635,4894.32675,5642.205200000001,6533.733799999991,9181.41807,13600.304,6430.690340909091,3399.724,4776.7245,5543.6685,7460.6855,10704.8437,11251.589599999998,12534.855019999994,13600.304,6944.915300000001,4573.274,5071.709000000001,5511.08,8405.99,11028.3778,11818.018899999997,12449.73178,12607.66,4530.71452770936,3285.554,4019.388,4348.1235,4733.8502499999995,5330.6204,6149.346049999999,7631.53115,10930.754,1000,96,90,50000,30,20.166444641505528,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,9.0,0.0,0,0,0,72,0,0,0,0,129,0,
ycsb/throughput-aurora/ycsb-throughput-aurora-hot1000-F-mr5-20240626-124920/2-eu-west-1-0,2-eu-west-1-0,1000,F,5,20240626-124920,211,117,67.0,27.0,0,0,3556,3398,139.0,19.0,3767,2414.770355202312,1789.674,2133.27575,2299.819,2471.89475,2767.6423,3135.1135999999997,4780.391289999995,11226.431,3316.589338028169,1617.88,2435.65675,2763.8345,3995.50025,5049.8294,5822.798449999999,6956.831740000002,8553.972,4564.022739130435,2273.322,2864.0515,4543.23,5383.8095,6388.007600000001,7651.653799999998,10469.923600000004,11226.431,2360.6781250000004,1789.674,2131.9545,2297.5645,2464.6035,2639.781,2806.862,3871.961550000008,5567.888,1000,96,90,50000,30,39.5108661806176,0.0,0.0,0.0,67.0,0.0,0.0,0.0,0.0,27.0,0.0,0,0,0,117,0,0,0,0,211,0,
ycsb/throughput-aurora/ycsb-throughput-aurora-hot100000-F-mr0-20240626-124920/1-us-east-1-0,1-us-east-1-0,100000,F,0,20240626-124920,2461,2461,,,0,0,726822,726822,,,729283,11.879,1.574,9.856,11.654,12.922,14.264,15.373,18.516,228.821,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,96,90,50000,30,8075.750192720956,,,,,,,,,,,0,0,0,2461,0,0,0,0,2461,0,
ycsb/throughput-aurora/ycsb-throughput-aurora-hot100000-F-mr0-20240626-124920/3-ap-northeast-1-0,3-ap-northeast-1-0,100000,F,0,20240626-124920,1,1,,,0,0,1841,1841,,,1842,4607.198691066283,3316.567,4139.139,4507.934,4889.907999999999,5379.768800000001,5852.2404,7129.690000000008,8464.112,,,,,,,,,,,,,,,,,,,4607.198691066283,3316.567,4139.139,4507.934,4889.907999999999,5379.768800000001,5852.2404,7129.690000000008,8464.112,1000,96,90,50000,30,20.45547034306633,,,,,,,,,,,0,0,0,1,0,0,0,0,1,0,
ycsb/throughput-aurora/ycsb-throughput-aurora-hot100000-F-mr0-20240626-124920/2-eu-west-1-0,2-eu-west-1-0,100000,F,0,20240626-124920,9,9,,,0,0,3616,3616,,,3625,2370.960137037037,1791.369,2162.448,2329.911,2506.5344999999998,2680.3136999999997,2819.31875,3377.3331599999997,5198.774,,,,,,,,,,,,,,,,,,,2370.960137037037,1791.369,2162.448,2329.911,2506.5344999999998,2680.3136999999997,2819.31875,3377.3331599999997,5198.774,1000,96,90,50000,30,40.177387423209886,,,,,,,,,,,0,0,0,9,0,0,0,0,9,0,
ycsb/throughput-aurora/ycsb-throughput-aurora-hot100000-F-mr10-20240626-124920/1-us-east-1-0,1-us-east-1-0,100000,F,10,20240626-124920,1334,1224,98.0,12.0,0,1,741738,667200,63959.0,10579.0,743073,11.64,1.367,9.525,11.229,12.614,13.859,14.834,17.945,4329.529,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,96,90,50000,30,8241.531552246794,0.0,0.0,0.0,98.0,0.0,0.0,0.0,0.0,12.0,0.0,0,0,0,1225,0,0,0,0,1335,0,1.0
ycsb/throughput-aurora/ycsb-throughput-aurora-hot100000-F-mr10-20240626-124920/3-ap-northeast-1-0,3-ap-northeast-1-0,100000,F,10,20240626-124920,42,18,19.0,5.0,0,0,1814,1651,148.0,15.0,1856,4725.526150789012,3099.636,4127.4349999999995,4519.915,4992.289000000001,5634.004,6340.8875,9214.490600000006,15556.123,5916.172358778626,3663.706,4894.6855,5372.04,6207.398999999999,8620.064,9789.16,11116.038499999991,15556.123,7257.673428571428,4180.06,5362.749,6364.526,9772.192,10346.3717,10756.628999999999,11225.4506,11342.656,4604.248946325878,3312.37,4107.97,4457.68,4874.189,5321.1362,5952.4954,7405.16904,9805.662,1000,96,90,50000,30,20.155520288993806,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,5.0,0.0,0,0,0,18,0,0,0,0,42,0,
ycsb/throughput-aurora/ycsb-throughput-aurora-hot100000-F-mr10-20240626-124920/2-eu-west-1-0,2-eu-west-1-0,100000,F,10,20240626-124920,39,19,10.0,10.0,0,0,3587,3195,334.0,58.0,3626,2399.4505435971223,1782.701,2162.0775,2338.224,2546.752,2761.3147999999997,2889.0069999999996,3520.9275999999995,7202.63,2626.635905487805,1794.404,2312.182,2577.398,2848.1715,3043.4345,3321.122999999999,4947.9965100000045,5360.144,3006.0552456140344,2172.31,2505.992,2763.932,3046.369,4316.374599999999,4598.5416,6211.894239999996,7202.63,2364.145279288026,1782.701,2154.4222499999996,2324.2934999999998,2501.7529999999997,2675.706,2799.06515,3283.0659100000003,5350.838,1000,96,90,50000,30,39.85554413782784,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,0,0,0,19,0,0,0,0,39,0,
ycsb/throughput-aurora/ycsb-throughput-aurora-hot1000-F-mr15-20240626-124920/1-us-east-1-0,1-us-east-1-0,1000,F,15,20240626-124920,15445,11887,2913.0,645.0,0,0,377473,320537,48776.0,8160.0,392918,22.648197836343275,3.53,8.028,10.597,13.289,17.033,20.784,52.45612000000011,6286.393,47.28986821625839,3.501,8.094,10.707,13.635,18.005,23.722,1497.493,5487.134,69.15382371716179,3.46,8.176,10.803,13.95175,18.981,30.716250000000002,1917.536950000001,6286.393,17.714560248117245,3.543,8.016,10.575,13.224,16.873100000000036,20.375,37.30500999999972,4858.311,1000,96,90,50000,30,4194.109668797721,0.0,0.0,0.0,2913.0,0.0,0.0,0.0,0.0,645.0,0.0,0,0,0,11887,0,0,0,0,15445,0,
ycsb/throughput-aurora/ycsb-throughput-aurora-hot1000-F-mr15-20240626-124920/3-ap-northeast-1-0,3-ap-northeast-1-0,1000,F,15,20240626-124920,324,146,124.0,54.0,0,0,1709,1487,198.0,24.0,2033,4908.036125152625,3315.35,4191.98175,4579.531999999999,5131.7735,6207.449,7702.767099999999,11181.670319999981,13117.497,6450.313138297873,2732.813,4633.1672499999995,5511.59,8091.166,9760.1247,11629.11575,12111.65988,12711.804,7825.786714285714,3399.022,5525.832,7893.478,10021.4505,11077.9272,11767.997199999996,12896.901259999997,13117.497,4629.614817090395,3315.35,4068.3160000000003,4441.037,4949.049,5619.1715,6123.8935,7425.601499999999,10665.808,1000,96,90,50000,30,18.988708041277444,0.0,0.0,0.0,124.0,0.0,0.0,0.0,0.0,54.0,0.0,0,0,0,146,0,0,0,0,324,0,
ycsb/throughput-aurora/ycsb-throughput-aurora-hot1000-F-mr15-20240626-124920/2-eu-west-1-0,2-eu-west-1-0,1000,F,15,20240626-124920,479,153,251.0,75.0,0,0,3367,2857,451.0,59.0,3846,2509.773255595886,1650.519,2133.28875,2303.4295,2603.299,3101.183,3969.94,5545.85305,8072.468,3107.098592672414,1504.08,2292.96675,2613.7295,3853.669,4876.268999999999,5430.4019,6250.77494,8072.468,3949.029363636364,1681.71,2574.809,3784.9325,5045.1545,6038.773999999999,6616.532,6965.854899999997,7323.832,2375.6607561239193,1789.327,2130.4335,2295.1535,2465.40875,2766.3535,3010.52675,4105.822,5889.052,1000,96,90,50000,30,37.41076047418614,0.0,0.0,0.0,251.0,0.0,0.0,0.0,0.0,75.0,0.0,0,0,0,153,0,0,0,0,479,0,
ycsb/throughput-aurora/ycsb-throughput-aurora-hot100000-F-mr50-20240626-124920/1-us-east-1-0,1-us-east-1-0,100000,F,50,20240626-124920,816,392,365.0,59.0,0,0,750263,375158,322153.0,52952.0,751079,11.491,1.675,9.192,10.932,12.235,13.488,14.409,17.904,4532.041,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,96,90,50000,30,8336.16856967426,0.0,0.0,0.0,365.0,0.0,0.0,0.0,0.0,59.0,0.0,0,0,0,392,0,0,0,0,816,0,
ycsb/throughput-aurora/ycsb-throughput-aurora-hot100000-F-mr50-20240626-124920/3-ap-northeast-1-0,3-ap-northeast-1-0,100000,F,50,20240626-124920,156,23,96.0,37.0,0,0,1743,838,771.0,134.0,1899,4886.468380085003,3298.257,4106.2595,4592.805,5038.694,6121.598000000001,7933.846699999999,9769.287059999999,15215.116,5067.621267489712,3298.257,4240.563,4654.451,5284.145,7209.663000000001,8421.339,9972.45168,15215.116,5491.756791666666,3516.494,4141.6785,4776.5725,5525.8075,9234.4627,10002.4813,11701.17499,13838.98,4629.95827443609,3343.863,4067.41475,4444.491,4889.974,5410.5207,6318.358549999999,8386.997879999995,9717.696,1000,96,90,50000,30,19.366471020766472,0.0,0.0,0.0,96.0,0.0,0.0,0.0,0.0,37.0,0.0,0,0,0,23,0,0,0,0,156,0,
ycsb/throughput-aurora/ycsb-throughput-aurora-hot100000-F-mr50-20240626-124920/2-eu-west-1-0,2-eu-west-1-0,100000,F,50,20240626-124920,143,34,93.0,16.0,0,0,3528,1762,1503.0,263.0,3671,2436.6247387492695,1791.6,2154.603,2322.3055,2510.409,2786.0843,3226.7665999999977,4804.30045,7741.833,2494.7023442847367,1795.488,2162.31,2329.498,2566.392,2885.016,3885.416,4960.795800000001,7741.833,2449.1671450980393,1807.238,2148.7034999999996,2316.328,2487.3905,2907.6775999999995,3601.4786999999965,4440.92976,5182.89,2385.0129595545136,1791.6,2150.5575,2318.3824999999997,2500.1385,2680.491,2912.8002500000002,4021.5726000000113,5136.574,1000,96,90,50000,30,39.19971445621333,0.0,0.0,0.0,93.0,0.0,0.0,0.0,0.0,16.0,0.0,0,0,0,34,0,0,0,0,143,0,
