path,region,regions,hot,workload,mr,suffix,rejected,rejected.WorkloadF1,aborted,unexpected,completed,completed.WorkloadF1,total,ood_index_page.WorkloadF1,ood_table.WorkloadF1,ood_tuple.WorkloadF1,other_aborts.WorkloadF1,deadlock.WorkloadF1,ood_index_page,ood_table,ood_tuple,other_aborts,deadlock,avg,p0,p25,p50,p75,p90,p95,p99,p100,avg.WorkloadF1,p0.WorkloadF1,p25.WorkloadF1,p50.WorkloadF1,p75.WorkloadF1,p90.WorkloadF1,p95.WorkloadF1,p99.WorkloadF1,p100.WorkloadF1,throughput,throughput.WorkloadF1,scalefactor,terminals,time,rate,warmup,rejected.WorkloadF2,rejected.WorkloadF3,completed.WorkloadF2,completed.WorkloadF3,ood_index_page.WorkloadF3,ood_table.WorkloadF3,ood_tuple.WorkloadF3,other_aborts.WorkloadF3,deadlock.WorkloadF3,ood_index_page.WorkloadF2,ood_table.WorkloadF2,ood_tuple.WorkloadF2,other_aborts.WorkloadF2,deadlock.WorkloadF2,throughput.WorkloadF2,avg.WorkloadF2,p0.WorkloadF2,p25.WorkloadF2,p50.WorkloadF2,p75.WorkloadF2,p90.WorkloadF2,p95.WorkloadF2,p99.WorkloadF2,p100.WorkloadF2,throughput.WorkloadF3,avg.WorkloadF3,p0.WorkloadF3,p25.WorkloadF3,p50.WorkloadF3,p75.WorkloadF3,p90.WorkloadF3,p95.WorkloadF3,p99.WorkloadF3,p100.WorkloadF3,rejected.WorkloadF4,rejected.WorkloadF5,rejected.WorkloadF6,completed.WorkloadF4,completed.WorkloadF5,completed.WorkloadF6,throughput.WorkloadF6,avg.WorkloadF6,p0.WorkloadF6,p25.WorkloadF6,p50.WorkloadF6,p75.WorkloadF6,p90.WorkloadF6,p95.WorkloadF6,p99.WorkloadF6,p100.WorkloadF6,throughput.WorkloadF4,avg.WorkloadF4,p0.WorkloadF4,p25.WorkloadF4,p50.WorkloadF4,p75.WorkloadF4,p90.WorkloadF4,p95.WorkloadF4,p99.WorkloadF4,p100.WorkloadF4,throughput.WorkloadF5,avg.WorkloadF5,p0.WorkloadF5,p25.WorkloadF5,p50.WorkloadF5,p75.WorkloadF5,p90.WorkloadF5,p95.WorkloadF5,p99.WorkloadF5,p100.WorkloadF5,ood_index_page.WorkloadF6,ood_table.WorkloadF6,ood_tuple.WorkloadF6,other_aborts.WorkloadF6,deadlock.WorkloadF6,ood_index_page.WorkloadF4,ood_table.WorkloadF4,ood_tuple.WorkloadF4,other_aborts.WorkloadF4,deadlock.WorkloadF4,ood_index_page.WorkloadF5,ood_table.WorkloadF5,ood_tuple.WorkloadF5,other_aborts.WorkloadF5,deadlock.WorkloadF5
scalability/cockroach/scalability-cockroach-regions5-hot0-F-mr0-20250115-112656/1-us-east-1-0,1-us-east-1-0,5,1000000,F,0,20250115-112656,49,49,0,0,154535,154535,154584,0,0,0,0,0,0,0,0,49,0,74.66531470907307,20.005,50.648,67.579,92.764,119.10560000000004,136.504,173.105,310.517,74.66531470907307,20.005,50.648,67.579,92.764,119.10560000000004,136.504,173.105,310.517,1717.040978049356,1785.4,1000,128,90,50000,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scalability/cockroach/scalability-cockroach-regions5-hot0-F-mr0-20250115-112656/5-ap-southeast-1-0,5-ap-southeast-1-0,5,1000000,F,0,20250115-112656,59,59,0,0,189502,189502,189561,0,0,0,0,0,0,0,0,59,0,60.996700158820374,20.846,43.75,55.082,70.737,93.37160000000003,113.1049,158.07890000000003,296.245,60.996700158820374,20.846,43.75,55.082,70.737,93.37160000000003,113.1049,158.07890000000003,296.245,2105.554419365321,2248.8,1000,128,90,50000,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scalability/cockroach/scalability-cockroach-regions5-hot0-F-mr0-20250115-112656/3-ap-northeast-1-0,3-ap-northeast-1-0,5,1000000,F,0,20250115-112656,72,72,0,0,196337,196337,196409,0,0,0,0,0,0,0,0,72,0,59.14037696945917,21.518,44.172,55.3725,69.906,87.64460000000004,100.23594999999997,128.35186,232.297,59.14037696945917,21.518,44.172,55.3725,69.906,87.64460000000004,100.23594999999997,128.35186,232.297,2181.506838139044,2196.8999999999996,1000,128,90,50000,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scalability/cockroach/scalability-cockroach-regions5-hot0-F-mr0-20250115-112656/2-eu-west-1-0,2-eu-west-1-0,5,1000000,F,0,20250115-112656,49,49,0,0,128410,128410,128459,0,0,0,0,0,0,0,0,49,0,89.72851837515122,21.858,59.496,81.05,114.5655,144.70540000000003,162.369,196.33760000000004,298.586,89.72851837515122,21.858,59.496,81.05,114.5655,144.70540000000003,162.369,196.33760000000004,298.586,1426.775895051866,1372.2,1000,128,90,50000,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scalability/cockroach/scalability-cockroach-regions4-hot10000-F-mr0-20250115-115918/4-us-west-1-0,4-us-west-1-0,4,10000,F,0,20250115-115918,96,96,0,0,186852,186852,186948,0,0,0,0,0,0,0,0,96,0,62.11734309094753,23.614,46.955,58.595,72.839,89.16280000000002,100.90369999999997,129.5538200000001,355.364,62.11734309094753,23.614,46.955,58.595,72.839,89.16280000000002,100.90369999999997,129.5538200000001,355.364,2076.1328896868026,2085.7,1000,128,90,50000,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scalability/cockroach/scalability-cockroach-regions4-hot10000-F-mr0-20250115-115918/1-us-east-1-0,1-us-east-1-0,4,10000,F,0,20250115-115918,79,79,0,0,199330,199330,199409,0,0,0,0,0,0,0,0,79,0,58.21634878462696,22.627,44.578,55.584,68.704,83.445,94.07589999999996,117.17988999999999,228.033,58.21634878462696,22.627,44.578,55.584,68.704,83.445,94.07589999999996,117.17988999999999,228.033,2214.7728291385856,2211.0,1000,128,90,50000,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scalability/cockroach/scalability-cockroach-regions4-hot10000-F-mr0-20250115-115918/3-ap-northeast-1-0,3-ap-northeast-1-0,4,10000,F,0,20250115-115918,102,102,0,0,207328,207328,207430,0,0,0,0,0,0,0,0,102,0,55.93258173241266,22.527,43.233,53.502,65.541,79.365,89.43215,111.99823,255.031,55.93258173241266,22.527,43.233,53.502,65.541,79.365,89.43215,111.99823,255.031,2303.62042126686,2331.4,1000,128,90,50000,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scalability/cockroach/scalability-cockroach-regions4-hot10000-F-mr0-20250115-115918/2-eu-west-1-0,2-eu-west-1-0,4,10000,F,0,20250115-115918,83,83,0,0,165003,165003,165086,0,0,0,0,0,0,0,0,83,0,70.0606587213419,24.726,51.716,65.169,83.521,105.13230000000001,119.25394999999997,150.36511000000007,310.804,70.0606587213419,24.726,51.716,65.169,83.521,105.13230000000001,119.25394999999997,150.36511000000007,310.804,1833.3661588242408,1834.1,1000,128,90,50000,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scalability/cockroach/scalability-cockroach-regions5-hot10000-F-mr0-20250115-112656/4-us-west-1-0,4-us-west-1-0,5,10000,F,0,20250115-112656,95,95,0,0,180668,180668,180763,0,0,0,0,0,0,0,0,95,0,64.27787860885388,24.272,48.712,61.03,75.854,92.26540000000003,103.5446,131.21988000000007,470.481,64.27787860885388,24.272,48.712,61.03,75.854,92.26540000000003,103.5446,131.21988000000007,470.481,2007.4080164425213,2000.1,1000,128,90,50000,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scalability/cockroach/scalability-cockroach-regions5-hot10000-F-mr0-20250115-112656/1-us-east-1-0,1-us-east-1-0,5,10000,F,0,20250115-112656,109,109,0,0,197691,197691,197800,0,0,0,0,0,0,0,0,109,0,58.66569384294621,23.979,45.581,56.196,68.753,83.104,93.33239999999996,114.103,236.611,58.66569384294621,23.979,45.581,56.196,68.753,83.104,93.33239999999996,114.103,236.611,2196.5425974410045,2196.3,1000,128,90,50000,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scalability/cockroach/scalability-cockroach-regions5-hot10000-F-mr0-20250115-112656/5-ap-southeast-1-0,5-ap-southeast-1-0,5,10000,F,0,20250115-112656,82,82,0,0,207505,207505,207587,0,0,0,0,0,0,0,0,82,0,55.82849931819731,22.928,43.382,53.408500000000004,65.339,79.09690000000006,88.796,108.781,198.195,55.82849931819731,22.928,43.382,53.408500000000004,65.339,79.09690000000006,88.796,108.781,198.195,2305.6066391564736,2238.8999999999996,1000,128,90,50000,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scalability/cockroach/scalability-cockroach-regions5-hot10000-F-mr0-20250115-112656/3-ap-northeast-1-0,3-ap-northeast-1-0,5,10000,F,0,20250115-112656,89,89,0,0,201588,201588,201677,0,0,0,0,0,0,0,0,89,0,57.532452703211725,23.147,44.351,54.708,67.223,81.7746,92.565,117.92615999999992,245.105,57.532452703211725,23.147,44.351,54.708,67.223,81.7746,92.565,117.92615999999992,245.105,2239.8653204578345,2227.2,1000,128,90,50000,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scalability/cockroach/scalability-cockroach-regions5-hot10000-F-mr0-20250115-112656/2-eu-west-1-0,2-eu-west-1-0,5,10000,F,0,20250115-112656,76,76,0,0,183656,183656,183732,0,0,0,0,0,0,0,0,76,0,63.12110991802014,26.717,49.52,60.565,73.56325,88.30230000000002,98.82064999999999,121.66543999999995,262.49,63.12110991802014,26.717,49.52,60.565,73.56325,88.30230000000002,98.82064999999999,121.66543999999995,262.49,2040.6003527908144,2041.0,1000,128,90,50000,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scalability/cockroach/scalability-cockroach-regions3-hot10000-F-mr5-20250115-123016/1-us-east-1-0,1-us-east-1-0,3,10000,F,5,20250115-123016,80,49,0,0,143590,136409,143670,0,0,0,0,0,0,0,0,80,0,79.17960093535153,10.494,17.693,20.711,24.799,32.7114,455.78100000000023,1599.5018200000018,4299.811,26.01033985814975,10.784,17.536,20.406,23.987,28.595,33.11525,54.40365,2835.917,1595.436470470692,1523.5,1000,128,90,50000,30,19.0,12.0,6170.0,1011.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.2,1056.6463990818165,255.137,631.113,835.932,1447.875,1938.6763999999998,2363.6884,2792.76752,4299.811,11.7,1342.3866844221104,382.03,920.2660000000001,1281.716,1659.1905000000002,2083.6272,2309.7416999999996,2733.79836,4103.478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scalability/cockroach/scalability-cockroach-regions3-hot10000-F-mr5-20250115-123016/3-ap-northeast-1-0,3-ap-northeast-1-0,3,10000,F,5,20250115-123016,91,54,0,0,122137,116059,122228,0,0,0,0,0,0,0,0,91,0,92.65267416860397,10.123,15.937,18.3505,21.33675,26.446900000000007,620.0227999999995,2041.3447,4595.637,25.594422930389573,10.338,15.811,18.12,20.772,23.862,26.775,47.072700000000026,3984.42,1357.0659901367237,1268.0,1000,128,90,50000,30,23.0,14.0,5254.0,824.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.400000000000006,1341.101517321463,279.055,774.2065,1307.76,1803.0475000000001,2202.8956000000003,2500.5117,2948.3599400000003,4386.351,9.1,1686.6781503105592,578.487,1233.876,1627.122,2082.58,2494.1034,2691.9811999999997,3151.62216,4595.637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scalability/cockroach/scalability-cockroach-regions3-hot10000-F-mr5-20250115-123016/2-eu-west-1-0,2-eu-west-1-0,3,10000,F,5,20250115-123016,89,54,0,0,132882,126205,132971,0,0,0,0,0,0,0,0,89,0,85.37971737781342,12.229,20.779,24.493499999999997,29.269,37.396,253.16459999999987,1803.94404,4198.017,30.655510159992982,12.527,20.588,24.111,28.362,33.362,37.8069,57.978200000000065,3232.181,1476.4558008870608,1415.3,1000,128,90,50000,30,23.0,12.0,5769.0,908.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.6,1093.2889822620302,104.532,495.3915,1145.1495,1656.757,2027.8888,2209.12875,2605.50001,4198.017,10.3,1366.4563472850677,344.179,909.1514999999999,1350.0825,1735.25025,2157.8182,2345.6919499999995,2875.8314299999997,3105.801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scalability/cockroach/scalability-cockroach-regions6-hot10000-F-mr0-20250115-110120/6-eu-central-1-0,6-eu-central-1-0,6,10000,F,0,20250115-110120,79,79,0,0,187168,187168,187247,0,0,0,0,0,0,0,0,79,0,61.939522578971,26.1,48.524,59.343,72.192,86.91080000000002,97.43,119.82383999999999,221.461,61.939522578971,26.1,48.524,59.343,72.192,86.91080000000002,97.43,119.82383999999999,221.461,2079.637463794691,2086.8,1000,128,90,50000,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scalability/cockroach/scalability-cockroach-regions6-hot10000-F-mr0-20250115-110120/4-us-west-1-0,4-us-west-1-0,6,10000,F,0,20250115-110120,87,87,0,0,198907,198907,198994,0,0,0,0,0,0,0,0,87,0,58.266398290606986,24.354,45.23825,55.269,67.30975000000001,81.20030000000001,91.55614999999999,116.67829000000025,467.058,58.266398290606986,24.354,45.23825,55.269,67.30975000000001,81.20030000000001,91.55614999999999,116.67829000000025,467.058,2210.06589236264,2205.0,1000,128,90,50000,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scalability/cockroach/scalability-cockroach-regions6-hot10000-F-mr0-20250115-110120/1-us-east-1-0,1-us-east-1-0,6,10000,F,0,20250115-110120,88,88,0,0,188112,188112,188200,0,0,0,0,0,0,0,0,88,0,61.61417707879667,23.522,46.77,58.32,72.674,89.24860000000004,100.94879999999999,127.70796000000001,300.988,61.61417707879667,23.522,46.77,58.32,72.674,89.24860000000004,100.94879999999999,127.70796000000001,300.988,2090.1301169017675,2096.7,1000,128,90,50000,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scalability/cockroach/scalability-cockroach-regions6-hot10000-F-mr0-20250115-110120/5-ap-southeast-1-0,5-ap-southeast-1-0,6,10000,F,0,20250115-110120,96,96,0,0,198499,198499,198595,0,0,0,0,0,0,0,0,96,0,58.39390785927189,22.602,44.659,55.701,69.092,84.0026,94.264,115.68043999999995,223.538,58.39390785927189,22.602,44.659,55.701,69.092,84.0026,94.264,115.68043999999995,223.538,2205.5422056230577,2171.1,1000,128,90,50000,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scalability/cockroach/scalability-cockroach-regions6-hot10000-F-mr0-20250115-110120/3-ap-northeast-1-0,3-ap-northeast-1-0,6,10000,F,0,20250115-110120,80,80,0,0,198851,198851,198931,0,0,0,0,0,0,0,0,80,0,58.22004569547877,22.872,44.43775,55.072500000000005,68.004,82.88270000000001,93.295,118.38617,413.92,58.22004569547877,22.872,44.43775,55.072500000000005,68.004,82.88270000000001,93.295,118.38617,413.92,2209.434944866222,2177.4,1000,128,90,50000,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scalability/cockroach/scalability-cockroach-regions6-hot10000-F-mr0-20250115-110120/2-eu-west-1-0,2-eu-west-1-0,6,10000,F,0,20250115-110120,84,84,0,0,181618,181618,181702,0,0,0,0,0,0,0,0,84,0,63.81069041426973,26.481,49.842,61.301,74.853,89.63820000000001,99.84480000000002,121.58796000000002,237.997,63.81069041426973,26.481,49.842,61.301,74.853,89.63820000000001,99.84480000000002,121.58796000000002,237.997,2017.964591702059,2012.0,1000,128,90,50000,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
