path,region,hot,workload,mr,suffix,rejected,aborted,unexpected,completed,completed.WorkloadC1,completed.WorkloadC2,completed.WorkloadC3,total,scalefactor,terminals,time,rate,warmup,ood_index_page,ood_table,ood_tuple,other_aborts,deadlock,throughput,avg,p0,p25,p50,p75,p90,p95,p99,p100,throughput.WorkloadC3,avg.WorkloadC3,p0.WorkloadC3,p25.WorkloadC3,p50.WorkloadC3,p75.WorkloadC3,p90.WorkloadC3,p95.WorkloadC3,p99.WorkloadC3,p100.WorkloadC3,throughput.WorkloadC2,avg.WorkloadC2,p0.WorkloadC2,p25.WorkloadC2,p50.WorkloadC2,p75.WorkloadC2,p90.WorkloadC2,p95.WorkloadC2,p99.WorkloadC2,p100.WorkloadC2,throughput.WorkloadC1,avg.WorkloadC1,p0.WorkloadC1,p25.WorkloadC1,p50.WorkloadC1,p75.WorkloadC1,p90.WorkloadC1,p95.WorkloadC1,p99.WorkloadC1,p100.WorkloadC1
read-only/aurora/ycsb-read-only-aurora-hot1000-F-mr5-20240626-102609/3-ap-northeast-1-0,3-ap-northeast-1-0,1000,F,5,20240626-102609,0,0,0,882,840,36.0,6.0,882,1000,128,90,50000,30,0,0,0,0,0,9.79993755839119,13400.893789124668,7984.617,11063.517,15084.2565,16032.26275,16047.865600000001,16057.705150000002,20025.32892,20845.514,0.2,18163.653333333332,12829.957,16137.3055,19712.078,20630.453250000002,20839.475,20842.4945,20844.9101,20845.514,0.8,17294.862193548386,12062.237,15042.735,19029.07,19610.265,20033.877,20034.805500000002,20047.7487,20053.212,6.8,13192.67959414226,7984.617,11059.43,15027.373,16031.648,16045.3594,16051.8706,16062.864319999999,16068.113
read-only/aurora/ycsb-read-only-aurora-hot1000-F-mr5-20240626-102609/2-eu-west-1-0,2-eu-west-1-0,1000,F,5,20240626-102609,0,0,0,989,937,48.0,4.0,989,1000,128,90,50000,30,0,0,0,0,0,10.988776840604858,11320.448188095239,5783.548,10175.99225,10923.738000000001,11905.984,16026.859699999999,16048.6623,16063.39269,21029.271,0.2,14401.916666666666,8052.493,11088.2395,14123.986,17576.6285,19648.214,20338.7425,20891.1653,21029.271,0.4,13094.252075,7011.702,12332.76925,13290.918,13996.445749999999,14751.864700000007,20026.276749999997,20051.46158,20062.841,9.4,11219.825150564619,5783.548,10172.722,10897.366,11343.246,16026.622,16046.1152,16059.7132,16077.802
read-only/aurora/ycsb-read-only-aurora-hot1000-F-mr15-20240626-102609/1-us-east-1-0,1-us-east-1-0,1000,F,15,20240626-102609,0,0,0,2003212,1702437,258716.0,42059.0,2003212,1000,128,90,50000,30,0,0,0,0,0,22257.768231077578,5.735,1.52,3.372,4.272,6.267,8.554,10.643,18.908,148.879,468.0,5.874499999999999,2.176,3.4035,4.3215,6.3245000000000005,8.6295,10.719999999999999,19.6565,119.975,2874.5,5.803000000000001,2.0455,3.402,4.2935,6.3004999999999995,8.6735,10.722999999999999,19.2255,127.12549999999999,18854.699999999997,5.7219999999999995,1.9335,3.3810000000000002,4.2715,6.2345,8.5835,10.631499999999999,18.8335,135.3865
read-only/aurora/ycsb-read-only-aurora-hot1000-F-mr15-20240626-102609/3-ap-northeast-1-0,3-ap-northeast-1-0,1000,F,15,20240626-102609,0,0,0,1099,935,147.0,17.0,1099,1000,128,90,50000,30,0,0,0,0,0,12.211024426676843,10441.122835221424,8275.979,10010.1335,10365.601,11009.28,11391.865,12623.5,13459.04559999999,14050.48,0.4,12439.1888125,11456.07,12022.774,12393.4275,12632.8475,13509.817,14011.817500000001,14042.7475,14050.48,1.8,11858.13565116279,8648.664,11052.145,11742.07,12726.331,13262.8362,13609.3272,13779.9486,13787.024,8.6,10181.11834503632,8275.979,10003.048999999999,10284.4545,10624.668000000001,11026.448,11037.013500000001,11051.330750000001,11060.654
read-only/aurora/ycsb-read-only-aurora-hot1000-F-mr15-20240626-102609/2-eu-west-1-0,2-eu-west-1-0,1000,F,15,20240626-102609,0,0,0,1167,982,154.0,31.0,1167,1000,128,90,50000,30,0,0,0,0,0,12.96657482902749,10292.097750259067,6816.223,10002.915,10258.662,10750.208,11288.003200000001,12769.3426,13389.72588,14010.944,0.4,11967.775769230768,7684.408,10759.233250000001,12189.385999999999,13262.37375,13988.2955,14001.62575,14008.96075,14010.944,1.8,11215.274569343064,4297.181,10389.379,11548.727,12778.912,13058.0692,13366.8272,13645.225359999999,13746.884,10.5,10174.155102464332,8277.242,10007.4215,10043.025,10642.0355,11021.927,11030.733,11047.6956,11053.875
read-only/aurora/ycsb-read-only-aurora-hot1000-F-mr50-20240626-102609/1-us-east-1-0,1-us-east-1-0,1000,F,50,20240626-102609,0,0,0,1974874,987130,847818.0,139926.0,1974874,1000,128,90,50000,30,0,0,0,0,0,21942.972656058915,5.824,1.657,3.268,4.204,6.495,9.155,11.261,19.276,154.127,1566.7,5.849,2.0564999999999998,3.258,4.2044999999999995,6.5575,9.373000000000001,11.526,19.204,113.983,9433.8,5.838,1.9264999999999999,3.259,4.1955,6.519,9.209,11.4075,19.2915,123.1285,10955.8,5.797499999999999,1.922,3.2460000000000004,4.1775,6.5115,9.207,11.3295,19.185499999999998,120.838
read-only/aurora/ycsb-read-only-aurora-hot1000-F-mr50-20240626-102609/3-ap-northeast-1-0,3-ap-northeast-1-0,1000,F,50,20240626-102609,0,0,0,716,363,307.0,46.0,716,1000,128,90,50000,30,0,0,0,0,0,7.955506800055342,16004.65556122449,10829.55,15039.04875,16033.3775,16062.7865,19022.789099999998,19071.94865,20064.73734,20081.361,0.6,17297.607447368417,15014.295,16032.313999999998,17042.4935,18064.694,19047.8916,19219.40515,20059.39027,20064.84,3.0,16788.934771784232,11190.671,16002.123,16052.388,18052.481,20028.761,20052.625,20076.3988,20081.361,3.4,15233.964747572814,10829.55,15028.376,15056.21,16041.182,16052.6774,16060.1088,16065.66076,16069.54
read-only/aurora/ycsb-read-only-aurora-hot1000-F-mr50-20240626-102609/2-eu-west-1-0,2-eu-west-1-0,1000,F,50,20240626-102609,0,0,0,896,466,367.0,63.0,896,1000,128,90,50000,30,0,0,0,0,0,9.955548758791801,13237.349143229168,9845.877,10890.505000000001,13044.486,15952.410249999999,16053.1873,17032.81535,19032.733770000003,19063.272,0.6,14466.584218181824,9995.344,12040.1765,15026.168,17022.5605,17046.2818,18029.797,19023.249600000003,19032.381,3.8,13635.668826923076,9992.36,11043.681,13121.073499999999,16022.849,16955.049400000004,17068.54835,19043.334779999997,19063.272,4.6,12758.836249376556,9845.877,10039.818,12052.414,15043.502,16026.341,16050.737,16064.084,16073.117
read-only/aurora/ycsb-read-only-aurora-hot1000-F-mr10-20240626-102609/1-us-east-1-0,1-us-east-1-0,1000,F,10,20240626-102609,0,0,0,1981014,1783610,169356.0,28048.0,1981014,1000,128,90,50000,30,0,0,0,0,0,22011.193314854085,5.802,1.822,3.318,4.273,6.539,8.926,10.944,21.421,137.197,313.2,5.865,2.1555,3.356,4.2855,6.6434999999999995,9.149999999999999,11.256,20.85,108.373,1877.6,5.816000000000001,2.053,3.3365,4.288,6.5745000000000005,9.011,10.932500000000001,21.154,111.4165,19889.199999999997,5.778499999999999,1.907,3.3165,4.255000000000001,6.5245,8.895,10.910499999999999,21.343,123.55799999999999
read-only/aurora/ycsb-read-only-aurora-hot1000-F-mr10-20240626-102609/3-ap-northeast-1-0,3-ap-northeast-1-0,1000,F,10,20240626-102609,0,0,0,1127,1030,85.0,12.0,1127,1000,128,90,50000,30,0,0,0,0,0,12.522148960554919,10560.554414414413,9040.704,10029.888500000001,10332.994,10997.2295,11033.237,12726.5915,13375.719379999999,14043.031,0.4,13184.005,12052.164,13029.18575,13041.5455,13273.21425,14034.913900000001,14038.972450000001,14042.219290000001,14043.031,1.0,12552.727931506848,10023.369,12237.95,12759.27,13058.478,13375.734199999999,13498.674199999998,13730.948919999999,13738.447,10.3,10372.420653551913,9040.704,10026.367,10274.447,10747.286499999998,11020.860200000001,11027.0995,11040.27998,11052.707
read-only/aurora/ycsb-read-only-aurora-hot1000-F-mr10-20240626-102609/2-eu-west-1-0,2-eu-west-1-0,1000,F,10,20240626-102609,0,0,0,1152,1033,97.0,22.0,1152,1000,128,90,50000,30,0,0,0,0,0,12.799855749323442,10352.130478515624,7020.092,10021.363000000001,10376.788,11020.02925,11043.5311,12313.4253,13665.46423,14056.555,0.4,11932.521666666667,9021.547,10222.659,12321.414,13354.173,14051.308,14055.105,14056.265,14056.555,1.2,12120.697926829269,9282.106,11265.09625,12313.398000000001,13041.0075,13389.7658,13714.044,13759.16296,13760.446,11.399999999999999,10158.633469055374,7020.092,10018.904,10350.322,10770.003,11028.656,11037.058,11050.1668,11055.363
read-only/aurora/ycsb-read-only-aurora-hot1000-F-mr0-20240626-102609/1-us-east-1-0,1-us-east-1-0,1000,F,0,20240626-102609,0,0,0,2003431,2003431,,,2003431,1000,128,90,50000,30,0,0,0,0,0,22260.217667063444,5.739,1.731,3.371,4.307,6.24,8.512,10.575,23.056,213.365,,,,,,,,,,,,,,,,,,,,,22171.699999999997,5.7615,1.8685,3.369,4.293,6.214,8.478,10.4665,22.859,134.05399999999997
read-only/aurora/ycsb-read-only-aurora-hot1000-F-mr0-20240626-102609/3-ap-northeast-1-0,3-ap-northeast-1-0,1000,F,0,20240626-102609,0,0,0,1152,1152,,,1152,1000,128,90,50000,30,0,0,0,0,0,12.7998500251528,10513.79937890625,9007.545,10423.54225,10532.463,11004.53775,11031.7229,11040.6037,11054.25224,12027.702,,,,,,,,,,,,,,,,,,,,,25.6,10513.79937890625,9007.545,10423.54225,10532.463,11004.53775,11031.7229,11040.6037,11054.25224,12027.702
read-only/aurora/ycsb-read-only-aurora-hot1000-F-mr0-20240626-102609/2-eu-west-1-0,2-eu-west-1-0,1000,F,0,20240626-102609,0,0,0,1152,1152,,,1152,1000,128,90,50000,30,0,0,0,0,0,12.799890248621052,9679.77883203125,6470.22,9727.996000000001,10516.794,10733.7055,11031.5496,11039.67265,11050.04011,11059.511,,,,,,,,,,,,,,,,,,,,,25.6,9679.77883203125,6470.22,9727.996000000001,10516.794,10733.7055,11031.5496,11039.67265,11050.04011,11059.511
read-only/aurora/ycsb-read-only-aurora-hot100000-F-mr0-20240626-102609/1-us-east-1-0,1-us-east-1-0,100000,F,0,20240626-102609,0,0,0,2007965,2007965,,,2007965,1000,128,90,50000,30,0,0,0,0,0,22310.720723933377,5.728,1.819,3.374,4.284,6.407,8.513,10.275,16.881,150.86,,,,,,,,,,,,,,,,,,,,,22414.1,5.7044999999999995,1.943,3.3665000000000003,4.2705,6.3795,8.440000000000001,10.312000000000001,17.337,130.68
read-only/aurora/ycsb-read-only-aurora-hot100000-F-mr0-20240626-102609/3-ap-northeast-1-0,3-ap-northeast-1-0,100000,F,0,20240626-102609,0,0,0,1082,1082,,,1082,1000,128,90,50000,30,0,0,0,0,0,12.022152568808988,10126.225515723272,7991.557,9596.008,10397.8575,10728.742750000001,11030.4844,11042.634349999998,11053.933509999999,11068.633,,,,,,,,,,,,,,,,,,,,,10.399999999999999,10126.225515723272,7991.557,9596.008,10397.8575,10728.742750000001,11030.4844,11042.634349999998,11053.933509999999,11068.633
read-only/aurora/ycsb-read-only-aurora-hot100000-F-mr0-20240626-102609/2-eu-west-1-0,2-eu-west-1-0,100000,F,0,20240626-102609,0,0,0,1152,1152,,,1152,1000,128,90,50000,30,0,0,0,0,0,12.799997995093648,9152.335588867187,4677.36,8612.52325,10053.66,10634.152750000001,11037.5681,11046.52605,11059.02814,11069.231,,,,,,,,,,,,,,,,,,,,,25.6,9152.335588867187,4677.36,8612.52325,10053.66,10634.152750000001,11037.5681,11046.52605,11059.02814,11069.231
read-only/aurora/ycsb-read-only-aurora-hot100000-F-mr15-20240626-102609/1-us-east-1-0,1-us-east-1-0,100000,F,15,20240626-102609,0,0,0,1997048,1697599,257330.0,42119.0,1997048,1000,128,90,50000,30,0,0,0,0,0,22189.29638573623,5.752,1.875,3.477,4.434,6.342,8.332,9.884,15.205,144.095,467.7,5.922,2.3360000000000003,3.503,4.489,6.4030000000000005,8.3965,9.975,16.459,119.673,2863.2,5.753,2.1420000000000003,3.479,4.4415,6.369999999999999,8.359,9.884,15.214500000000001,124.074,18940.9,5.7725,2.0125,3.471,4.4175,6.304,8.258,9.7865,15.5195,132.51299999999998
read-only/aurora/ycsb-read-only-aurora-hot100000-F-mr15-20240626-102609/3-ap-northeast-1-0,3-ap-northeast-1-0,100000,F,15,20240626-102609,0,0,0,1093,950,126.0,17.0,1093,1000,128,90,50000,30,0,0,0,0,0,12.144343576090508,10952.33683419689,7903.626,10286.669,10789.003,11142.872,13169.8558,13993.8766,15201.86192,17847.867,0.2,14156.04466666667,11207.842,13039.226999999999,13988.988,15619.8265,16530.8508,16912.7486,17028.64732,17057.622,1.4,12882.470089285713,9024.618,11285.56725,13251.168000000001,13983.04925,14889.5897,15034.202249999998,17156.36982,17847.867,9.3,10637.025924821004,7903.626,10261.17275,10752.7095,11036.33625,12033.8916,12867.37795,14052.26157,15203.381
read-only/aurora/ycsb-read-only-aurora-hot100000-F-mr15-20240626-102609/2-eu-west-1-0,2-eu-west-1-0,100000,F,15,20240626-102609,0,0,0,1164,993,145.0,26.0,1164,1000,128,90,50000,30,0,0,0,0,0,12.933299027470257,9087.912468146718,2991.667,7478.0825,10118.3115,10901.964,11049.765,12289.6095,13837.596000000001,14930.864,0.4,10905.649500000003,5013.34,9376.790500000001,12118.816,13057.60175,14094.4112,14915.0636,14927.70392,14930.864,1.6,10421.8777109375,3987.993,6973.856,11069.676,13034.54175,13231.3652,13938.931249999998,14029.35409,14042.317,10.899999999999999,8854.689166666667,2991.667,7490.348,10043.717,10797.357,11027.876400000001,11042.7079,11114.73327,13094.341
