path,region,hot,workload,mr,suffix,rejected,rejected.WorkloadB1,rejected.WorkloadB2,aborted,unexpected,completed,completed.WorkloadB1,completed.WorkloadB2,completed.WorkloadB3,total,throughput.WorkloadB3,avg.WorkloadB3,p0.WorkloadB3,p25.WorkloadB3,p50.WorkloadB3,p75.WorkloadB3,p90.WorkloadB3,p95.WorkloadB3,p99.WorkloadB3,p100.WorkloadB3,throughput.WorkloadB1,avg.WorkloadB1,p0.WorkloadB1,p25.WorkloadB1,p50.WorkloadB1,p75.WorkloadB1,p90.WorkloadB1,p95.WorkloadB1,p99.WorkloadB1,p100.WorkloadB1,avg,p0,p25,p50,p75,p90,p95,p99,p100,avg.WorkloadB2,p0.WorkloadB2,p25.WorkloadB2,p50.WorkloadB2,p75.WorkloadB2,p90.WorkloadB2,p95.WorkloadB2,p99.WorkloadB2,p100.WorkloadB2,throughput.WorkloadB2,scalefactor,terminals,time,rate,warmup,throughput,ood_index_page.WorkloadB2,ood_table.WorkloadB2,ood_tuple.WorkloadB2,other_aborts.WorkloadB2,deadlock.WorkloadB2,ood_index_page.WorkloadB1,ood_table.WorkloadB1,ood_tuple.WorkloadB1,other_aborts.WorkloadB1,deadlock.WorkloadB1,ood_index_page,ood_table,ood_tuple,other_aborts,deadlock,rejected.WorkloadB3,ood_index_page.WorkloadB3,ood_table.WorkloadB3,ood_tuple.WorkloadB3,other_aborts.WorkloadB3,deadlock.WorkloadB3,unexpected.WorkloadB1,unexpected.WorkloadB2,unexpected.WorkloadB3
ycsb/read-heavy-aurora/ycsb-mixed-aurora-hot1000-F-mr15-20240626-120027/1-us-east-1-0,1-us-east-1-0,1000,F,15,20240626-120027,772,569.0,158.0,0,11,1377614,1170432,177728.0,29454.0,1378397,326.20000000000005,8.866,2.1399999999999997,5.298500000000001,7.291,9.8,12.4435,14.3145,19.5385,867.7365,13050.099999999999,8.258,1.8325,5.1884999999999994,7.21,9.66,12.27,14.1115,18.781,277.577,8.356,1.689,5.215,7.234,9.717,12.356,14.224,19.405,3249.92,8.6585,1.937,5.244,7.2735,9.7495,12.4835,14.3775,19.494999999999997,1630.9454999999998,1985.4,1000,128,90,50000,30,15306.759083881901,0.0,0.0,0.0,160.0,0.0,0.0,0.0,0.0,578.0,0.0,0,0,0,783,0,45.0,0.0,0.0,0.0,45.0,0.0,9.0,2.0,
ycsb/read-heavy-aurora/ycsb-mixed-aurora-hot1000-F-mr15-20240626-120027/2-eu-west-1-0,2-eu-west-1-0,1000,F,15,20240626-120027,19,1.0,12.0,0,0,7288,6171,972.0,145.0,7307,1.6,1689.1556363636366,1447.165,1502.685,1600.154,1736.3105,1907.134,2196.3423000000003,3212.3607400000005,3232.99,68.9,1563.5985278693934,1441.574,1500.61075,1522.7024999999999,1613.5832500000001,1642.234,1692.54635,2103.6645,3048.107,1573.7914843575418,1441.574,1500.824,1524.8975,1615.9085,1669.8936,1744.1035499999998,2130.6457100000002,3232.99,1621.339243441763,1465.273,1501.611,1550.354,1701.854,1805.6048,1916.191,2650.40316,3054.7,10.5,1000,128,90,50000,30,80.97732049165097,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,19,0,6.0,0.0,0.0,0.0,6.0,0.0,,,
ycsb/read-heavy-aurora/ycsb-mixed-aurora-hot100000-F-mr5-20240626-120027/3-ap-northeast-1-0,3-ap-northeast-1-0,100000,F,5,20240626-120027,0,,,0,0,3851,3638,183.0,30.0,3851,0.2,3627.4626071428565,3064.978,3297.888,3678.8540000000003,3919.97375,4050.7374,4105.77895,4173.64794,4197.753,40.5,2961.071442865264,2618.716,2794.8705,2885.204,3073.0005,3206.0924,3308.5165999999995,3997.9476799999993,4653.004,2986.5719696481333,2618.716,2798.046,2906.178,3091.8734999999997,3272.5584,3487.4612,4006.20048,4653.004,3392.029118644068,2767.148,3125.376,3451.732,3584.818,3806.6572,3919.8326,4069.967920000001,4331.654,1.7000000000000002,1000,128,90,50000,30,42.78884515773827,,,,,,,,,,,0,0,0,0,0,,,,,,,,,
ycsb/read-heavy-aurora/ycsb-mixed-aurora-hot100000-F-mr5-20240626-120027/1-us-east-1-0,1-us-east-1-0,100000,F,5,20240626-120027,27,24.0,3.0,0,0,1407159,1336893,60469.0,9797.0,1407186,108.9,8.012,2.258,4.983499999999999,7.132,9.6155,12.602,14.239,20.244999999999997,184.79399999999998,14867.6,8.1765,1.8395000000000001,4.968,6.981,9.459,12.221,14.174,20.1595,219.716,8.181,1.418,4.968,7.009,9.496,12.276,14.353,20.542,1066.78,8.5515,2.096,5.0600000000000005,7.133,9.6435,12.388,14.532,21.142,208.4195,668.6,1000,128,90,50000,30,15635.06694798964,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,24.0,0.0,0,0,0,27,0,,,,,,,,,
ycsb/read-heavy-aurora/ycsb-mixed-aurora-hot100000-F-mr5-20240626-120027/2-eu-west-1-0,2-eu-west-1-0,100000,F,5,20240626-120027,0,,,0,0,7346,6980,324.0,42.0,7346,0.4,1800.1154761904763,1473.76,1686.2134999999998,1787.7835,1957.3875,2019.4048,2086.47015,2112.7823999999996,2129.658,78.0,1560.0347877152028,1441.51,1501.13225,1524.1979999999999,1614.27025,1646.7984,1708.9613,1840.1465700000006,2085.963,1569.5134170130232,1441.51,1501.47025,1527.1219999999998,1616.8877499999999,1671.9979,1759.9284499999997,1916.87041,2190.985,1741.1942826086954,1445.505,1594.153,1718.5515,1873.7024999999999,1983.2745,2009.9093,2133.66381,2190.985,3.6,1000,128,90,50000,30,81.62170280981968,,,,,,,,,,,0,0,0,0,0,,,,,,,,,
ycsb/read-heavy-aurora/ycsb-mixed-aurora-hot1000-F-mr50-20240626-124159/3-ap-northeast-1-0,3-ap-northeast-1-0,1000,F,50,20240626-124159,68,12.0,40.0,0,0,3723,1841,1641.0,241.0,3791,2.6,3148.6366103896107,2662.061,2812.4115,2891.783,3198.933,3455.799,4594.6715,6056.5824999999995,8635.908,21.4,3038.827706014615,2652.024,2803.9925,2891.834,3096.327,3313.5986,3615.5240999999996,5393.947620000001,6734.842,3066.9405465924897,2652.024,2804.0855,2890.32,3144.7039999999997,3370.5206000000003,3750.818899999998,5430.66576,8635.908,3086.58783533123,2665.798,2803.966,2886.627,3203.371,3411.3898000000004,4039.389199999996,5430.96264,7165.786,18.6,1000,128,90,50000,30,41.366493306587635,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,12.0,0.0,0,0,0,68,0,16.0,0.0,0.0,0.0,16.0,0.0,,,
ycsb/read-heavy-aurora/ycsb-mixed-aurora-hot1000-F-mr50-20240626-124159/1-us-east-1-0,1-us-east-1-0,1000,F,50,20240626-124159,767,222.0,430.0,0,4,1320881,661373,566867.0,92641.0,1321652,1028.8,9.012,1.9249999999999998,5.3375,7.41,9.95,12.854,14.698,21.490000000000002,1264.406,7353.9,8.51,1.807,5.311,7.321,9.866,12.5625,14.472000000000001,20.6515,357.58,8.714,1.339,5.335,7.389,10.0,12.784,14.8,21.234,3206.179,8.9605,1.833,5.369,7.390499999999999,9.9535,12.6835,14.5975,21.3655,2264.2505,6281.4,1000,128,90,50000,30,14676.381753249989,0.0,0.0,0.0,432.0,0.0,0.0,0.0,0.0,224.0,0.0,0,0,0,771,0,115.0,0.0,0.0,0.0,115.0,0.0,2.0,2.0,
ycsb/read-heavy-aurora/ycsb-mixed-aurora-hot1000-F-mr50-20240626-124159/2-eu-west-1-0,2-eu-west-1-0,1000,F,50,20240626-124159,93,10.0,69.0,0,0,7284,3652,3139.0,493.0,7377,5.4,1612.2147216494845,1452.829,1501.92,1529.741,1672.595,1729.6258,1775.794,3129.7859999999996,3904.107,40.8,1560.55302680067,1421.823,1500.2504999999999,1522.074,1614.42425,1651.6402,1705.1699,1787.42429,3283.984,1579.534043873131,1420.426,1500.463,1522.247,1619.683,1705.5762,1735.6564,2574.8847599999845,4855.489,1596.407789644013,1420.426,1500.5327499999999,1521.4515000000001,1629.80525,1718.7365,1774.5247499999998,2684.0866200000005,4855.489,34.400000000000006,1000,128,90,50000,30,80.93262573399103,0.0,0.0,0.0,69.0,0.0,0.0,0.0,0.0,10.0,0.0,0,0,0,93,0,14.0,0.0,0.0,0.0,14.0,0.0,,,
ycsb/read-heavy-aurora/ycsb-mixed-aurora-hot1000-F-mr0-20240626-120027/3-ap-northeast-1-0,3-ap-northeast-1-0,1000,F,0,20240626-120027,0,,,0,0,3838,3838,,,3838,,,,,,,,,,,43.0,2973.793308625337,2663.144,2826.4645,2897.5335,3089.857,3211.7347999999997,3321.8965499999995,3773.162079999992,4863.935,2973.793308625337,2663.144,2826.4645,2897.5335,3089.857,3211.7347999999997,3321.8965499999995,3773.162079999992,4863.935,,,,,,,,,,,1000,128,90,50000,30,42.644264263425256,,,,,,,,,,,0,0,0,0,0,,,,,,,,,
ycsb/read-heavy-aurora/ycsb-mixed-aurora-hot1000-F-mr0-20240626-120027/1-us-east-1-0,1-us-east-1-0,1000,F,0,20240626-120027,727,727.0,,0,0,1331918,1331918,,,1332645,,,,,,,,,,,14886.9,8.587,1.51,5.3555,7.4795,10.049,12.909500000000001,15.033000000000001,20.9895,202.1505,8.643,1.379,5.344,7.488,10.095,12.975,15.124,21.453,222.717,,,,,,,,,,,1000,128,90,50000,30,14799.040817657902,,,,,,0.0,0.0,0.0,727.0,0.0,0,0,0,727,0,,,,,,,,,
ycsb/read-heavy-aurora/ycsb-mixed-aurora-hot1000-F-mr0-20240626-120027/2-eu-west-1-0,2-eu-west-1-0,1000,F,0,20240626-120027,6,6.0,,0,0,7404,7404,,,7410,,,,,,,,,,,82.0,1557.105616959868,1417.826,1500.659,1523.6635,1612.328,1641.6419999999998,1683.17375,1821.636,3073.876,1557.105616959868,1417.826,1500.659,1523.6635,1612.328,1641.6419999999998,1683.17375,1821.636,3073.876,,,,,,,,,,,1000,128,90,50000,30,82.26590358459819,,,,,,0.0,0.0,0.0,6.0,0.0,0,0,0,6,0,,,,,,,,,
ycsb/read-heavy-aurora/ycsb-mixed-aurora-hot1000-F-mr5-20240626-120027/3-ap-northeast-1-0,3-ap-northeast-1-0,1000,F,5,20240626-120027,9,4.0,3.0,0,0,3816,3635,157.0,24.0,3825,0.4,3836.617304347826,2979.917,3370.383,3635.115,3969.142,4024.6084,5335.978599999998,6856.736660000002,7244.618,41.1,2982.558146230441,2666.11,2820.228,2906.461,3091.135,3238.2812,3371.9239000000002,3918.7992200000003,5592.316,3009.2880756507593,2666.11,2823.04925,2923.807,3110.1859999999997,3311.7728,3539.1931499999996,4003.95439,7244.618,3508.8022733333332,2750.601,3216.4750000000004,3516.6090000000004,3692.40175,3867.936,4003.99765,5791.884839999998,6058.74,1.4,1000,128,90,50000,30,42.39955747534752,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,4.0,0.0,0,0,0,9,0,2.0,0.0,0.0,0.0,2.0,0.0,,,
ycsb/read-heavy-aurora/ycsb-mixed-aurora-hot1000-F-mr5-20240626-120027/1-us-east-1-0,1-us-east-1-0,1000,F,5,20240626-120027,619,566.0,43.0,0,1399,1374933,1306607,58659.0,9667.0,1376951,108.5,8.532499999999999,2.245,5.345000000000001,7.398,9.961500000000001,12.801,14.317499999999999,19.4095,186.42450000000002,14629.3,8.281500000000001,1.684,5.2165,7.257,9.757,12.3905,14.274000000000001,19.145,235.679,8.364,0.611,5.222,7.28,9.792,12.462,14.342,19.407,2606.946,8.5335,2.0145,5.321,7.4305,9.940000000000001,12.716000000000001,14.548,19.8555,406.8805,652.3,1000,128,90,50000,30,15276.855887220432,0.0,0.0,0.0,102.0,0.0,0.0,0.0,0.0,1890.0,0.0,0,0,0,2018,0,10.0,0.0,0.0,0.0,26.0,0.0,1324.0,59.0,16.0
ycsb/read-heavy-aurora/ycsb-mixed-aurora-hot1000-F-mr5-20240626-120027/2-eu-west-1-0,2-eu-west-1-0,1000,F,5,20240626-120027,13,4.0,8.0,0,0,7339,6995,290.0,54.0,7352,0.6,1763.0843461538461,1486.885,1658.8405,1784.524,1889.3825,1966.8381,1974.59645,1988.79938,1990.973,78.4,1557.4235400727273,1431.602,1500.182,1522.116,1612.1125,1637.4654,1672.6508,1873.1570000000002,2474.595,1567.052489529885,1431.602,1500.464,1525.211,1614.134,1649.576,1720.934,1946.6721999999993,3960.083,1764.2545,1468.198,1588.804,1718.293,1881.7995,1984.0765,2020.2506,3044.64469,3960.083,3.4,1000,128,90,50000,30,81.54420050587468,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,4.0,0.0,0,0,0,13,0,1.0,0.0,0.0,0.0,1.0,0.0,,,
ycsb/read-heavy-aurora/ycsb-mixed-aurora-hot100000-F-mr0-20240626-120027/3-ap-northeast-1-0,3-ap-northeast-1-0,100000,F,0,20240626-120027,0,,,0,0,3905,3905,,,3905,,,,,,,,,,,43.7,2954.4372631718293,2626.78,2796.119,2887.175,3067.911,3211.4884,3323.2178,3738.2645199999993,4526.652,2954.4372631718293,2626.78,2796.119,2887.175,3067.911,3211.4884,3323.2178,3738.2645199999993,4526.652,,,,,,,,,,,1000,128,90,50000,30,43.38860108747692,,,,,,,,,,,0,0,0,0,0,,,,,,,,,
ycsb/read-heavy-aurora/ycsb-mixed-aurora-hot100000-F-mr0-20240626-120027/1-us-east-1-0,1-us-east-1-0,100000,F,0,20240626-120027,53,53.0,,0,0,1413165,1413165,,,1413218,,,,,,,,,,,15725.4,8.155,1.7850000000000001,5.092,7.1115,9.536,12.105,13.8695,18.365000000000002,206.704,8.137,1.297,5.083,7.109,9.531,12.094,13.87,18.498,253.65,,,,,,,,,,,1000,128,90,50000,30,15701.803849707316,,,,,,0.0,0.0,0.0,53.0,0.0,0,0,0,53,0,,,,,,,,,
ycsb/read-heavy-aurora/ycsb-mixed-aurora-hot100000-F-mr0-20240626-120027/2-eu-west-1-0,2-eu-west-1-0,100000,F,0,20240626-120027,0,,,0,0,7401,7401,,,7401,,,,,,,,,,,82.4,1559.7943723360372,1444.822,1501.356,1530.44,1614.035,1646.3732,1681.6098,1784.4180000000001,1922.073,1559.7943723360372,1444.822,1501.356,1530.44,1614.035,1646.3732,1681.6098,1784.4180000000001,1922.073,,,,,,,,,,,1000,128,90,50000,30,82.23292671800799,,,,,,,,,,,0,0,0,0,0,,,,,,,,,
ycsb/read-heavy-aurora/ycsb-mixed-aurora-hot1000-F-mr10-20240626-120027/3-ap-northeast-1-0,3-ap-northeast-1-0,1000,F,10,20240626-120027,11,5.0,5.0,0,0,3801,3401,352.0,48.0,3812,0.6,3510.214744680851,2821.032,3240.0695,3513.98,3729.2495,3906.1218,4009.3267,5085.395439999998,5989.013,38.1,2985.280615548133,2651.92,2825.515,2915.871,3104.521,3251.3592000000003,3356.3058,3755.680599999999,4627.184,3020.041233868772,2651.92,2828.625,2938.406,3130.506,3331.3304000000003,3529.0486,3954.68992,6504.071,3294.601477477477,2705.954,2945.978,3212.992,3538.834,3819.9071999999996,3940.8097999999995,5388.629800000003,6504.071,3.8,1000,128,90,50000,30,42.23304883556167,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0,0,0,11,0,1.0,0.0,0.0,0.0,1.0,0.0,,,
ycsb/read-heavy-aurora/ycsb-mixed-aurora-hot1000-F-mr10-20240626-120027/1-us-east-1-0,1-us-east-1-0,1000,F,10,20240626-120027,680,566.0,93.0,0,6,1374344,1237331,117446.0,19567.0,1375030,217.39999999999998,8.8945,2.1405000000000003,5.3125,7.358,9.963000000000001,12.6525,14.436,20.2185,305.8465,13702.4,8.3355,1.7599999999999998,5.2275,7.2745,9.751,12.368500000000001,14.135000000000002,18.9575,253.825,8.376,1.441,5.235,7.273,9.751,12.368,14.176,18.886,3082.653,8.673,2.024,5.298,7.359,9.8765,12.518,14.45,19.5035,1223.1715,1296.4,1000,128,90,50000,30,15270.460035015309,0.0,0.0,0.0,93.0,0.0,0.0,0.0,0.0,572.0,0.0,0,0,0,686,0,21.0,0.0,0.0,0.0,21.0,0.0,6.0,,
ycsb/read-heavy-aurora/ycsb-mixed-aurora-hot1000-F-mr10-20240626-120027/2-eu-west-1-0,2-eu-west-1-0,1000,F,10,20240626-120027,14,6.0,7.0,0,0,7310,6554,651.0,105.0,7324,1.0,1684.5902380952382,1468.898,1552.338,1669.656,1757.765,1878.9498,1918.8926,2167.2528399999987,3427.622,73.30000000000001,1560.9623796957467,1417.148,1501.538,1523.4225000000001,1614.5125,1644.0011,1701.60595,1878.57338,2976.024,1571.2841021999443,1417.148,1502.2315,1527.3975,1617.537,1675.9374000000003,1772.54275,1934.9642999999994,3427.622,1657.2610976377953,1455.851,1508.128,1616.89,1732.3035,1879.3988,1969.3304,2457.3000999999854,3011.567,6.9,1000,128,90,50000,30,81.22184061674598,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,6.0,0.0,0,0,0,14,0,1.0,0.0,0.0,0.0,1.0,0.0,,,
