path,region,hot,workload,mr,suffix,rejected,rejected.WorkloadB1,rejected.WorkloadB2,rejected.WorkloadB3,aborted,unexpected,completed,completed.WorkloadB1,completed.WorkloadB2,completed.WorkloadB3,total,throughput,avg,p0,p25,p50,p75,p90,p95,p99,p100,ood_index_page.WorkloadB2,ood_table.WorkloadB2,ood_tuple.WorkloadB2,other_aborts.WorkloadB2,deadlock.WorkloadB2,ood_index_page.WorkloadB3,ood_table.WorkloadB3,ood_tuple.WorkloadB3,other_aborts.WorkloadB3,deadlock.WorkloadB3,ood_index_page.WorkloadB1,ood_table.WorkloadB1,ood_tuple.WorkloadB1,other_aborts.WorkloadB1,deadlock.WorkloadB1,ood_index_page,ood_table,ood_tuple,other_aborts,deadlock,scalefactor,terminals,time,rate,warmup,avg.WorkloadB1,p0.WorkloadB1,p25.WorkloadB1,p50.WorkloadB1,p75.WorkloadB1,p90.WorkloadB1,p95.WorkloadB1,p99.WorkloadB1,p100.WorkloadB1,avg.WorkloadB3,p0.WorkloadB3,p25.WorkloadB3,p50.WorkloadB3,p75.WorkloadB3,p90.WorkloadB3,p95.WorkloadB3,p99.WorkloadB3,p100.WorkloadB3,avg.WorkloadB2,p0.WorkloadB2,p25.WorkloadB2,p50.WorkloadB2,p75.WorkloadB2,p90.WorkloadB2,p95.WorkloadB2,p99.WorkloadB2,p100.WorkloadB2,throughput.WorkloadB2,throughput.WorkloadB3,throughput.WorkloadB1
mixed/sunstorm/ycsb-mixed-sunstorm-hot1000-F-mr50-20250115-143053/3-ap-northeast-1-0,3-ap-northeast-1-0,1000,F,50,20250115-143053,5547,1459,3282.0,806.0,0,0,114613,57375,49154.0,8084.0,120160,1273.468125441223,100.33989363969016,0.691,1.622,5.106,209.622,212.279,214.899,418.31876,704.849,0.0,0.0,966.0,0.0,0.0,0.0,0.0,306.0,0.0,0.0,0,0,0,0,0,0,0,1272,4275,0,1000,128,90,50000,30,1.9715152244008716,0.691,1.145,1.627,2.7815000000000003,3.248,3.769,4.347260000000002,75.007,231.1608699962821,207.247,211.085,212.34,214.39,222.32119999999998,421.0782,429.95843999999994,704.849,193.8582527566598,148.329,155.938,208.673,211.116,213.5,306.02900000000017,419.00014,668.934,545.8,88.69999999999999,634.2
mixed/sunstorm/ycsb-mixed-sunstorm-hot1000-F-mr50-20250115-143053/2-eu-west-1-0,2-eu-west-1-0,1000,F,50,20250115-143053,5766,1492,3337.0,937.0,0,0,137320,68671,59046.0,9603.0,143086,1525.7772278368057,83.76834025743065,0.991,1.997,6.638999999999999,210.818,213.654,216.054,420.75597999999997,672.084,0.0,0.0,757.0,0.0,0.0,0.0,0.0,271.0,0.0,0.0,0,0,0,0,0,0,0,1028,4738,0,1000,128,90,50000,30,2.3262315275957475,0.991,1.401,2.0,3.119,3.86,4.159,4.847309999999998,76.318,233.57500521648413,208.997,212.993,214.314,216.307,224.67280000000002,425.66499999999996,434.52711999999997,650.951,154.28737088182405,78.243,81.90125,209.329,212.31575,214.3775,220.5235,420.94065000000006,672.084,656.6,106.1,764.5
mixed/sunstorm/ycsb-mixed-sunstorm-hot1000-F-mr5-20250115-143053/1-us-east-1-0,1-us-east-1-0,1000,F,5,20250115-143053,26744,14106,9297.0,3341.0,0,0,1022426,971760,43794.0,6872.0,1049170,11360.209011472594,11.235771498377545,1.256,2.358,3.041,4.421,5.471,81.65479999999981,168.96467999999993,651.131,5394.0,0.0,2077.0,0.0,0.0,2054.0,0.0,751.0,0.0,0.0,0,0,0,0,0,7448,0,2828,16468,0,1000,128,90,50000,30,3.41521456533283,1.256,2.336,2.912,4.289,4.928,5.52,7.443689999999944,215.479,231.97438687464867,153.803,161.37725,164.43849999999998,320.304,473.46799999999996,482.74424999999997,493.64755,651.131,148.2986211663067,80.01,84.942,157.117,162.625,245.07399999999998,319.35,423.7137599999996,649.196,486.9,79.5,10811.7
mixed/sunstorm/ycsb-mixed-sunstorm-hot1000-F-mr5-20250115-143053/3-ap-northeast-1-0,3-ap-northeast-1-0,1000,F,5,20250115-143053,23028,14985,6093.0,1950.0,0,0,847534,805327,36325.0,5882.0,870562,9416.972849292531,13.552601998607821,0.744,1.558,2.152,3.392,4.317,78.99979999999888,217.21522,781.421,1144.0,0.0,3413.0,0.0,0.0,377.0,0.0,1193.0,0.0,0.0,0,0,0,0,0,1521,0,4606,16901,0,1000,128,90,50000,30,2.4790976615274576,0.744,1.536,2.057,3.258,3.913,4.351,6.061,216.502,279.9493338943117,208.866,213.56425,215.557,274.68025,428.9099,630.6587499999999,642.06826,781.421,215.41016870321442,149.373,158.46275,211.002,214.281,365.9715,418.3175,573.8083000000001,723.353,404.79999999999995,65.8,8993.099999999999
mixed/sunstorm/ycsb-mixed-sunstorm-hot1000-F-mr5-20250115-143053/2-eu-west-1-0,2-eu-west-1-0,1000,F,5,20250115-143053,27733,14148,9969.0,3616.0,0,0,882575,839548,37240.0,5787.0,910308,9806.326099309752,13.017920862136316,1.047,1.961,2.521,3.99,4.814,18.51869999999937,293.7132199999997,779.292,5932.0,0.0,2344.0,0.0,0.0,2268.0,0.0,888.0,0.0,0.0,0,0,0,0,0,8200,0,3232,16301,0,1000,128,90,50000,30,2.9242532203155625,1.047,1.941,2.431,3.828,4.438,4.86,6.440869999999995,222.752,329.7566665578053,210.458,215.91775,218.847,431.2805,642.0366,646.26715,658.2327399999999,779.292,187.1807595223499,79.585,84.26,211.745,216.518,309.1018000000001,428.40979999999996,636.3626800000001,750.946,417.9,69.4,9249.7
mixed/sunstorm/ycsb-mixed-sunstorm-hot1000-F-mr15-20250115-143053/1-us-east-1-0,1-us-east-1-0,1000,F,15,20250115-143053,13188,7521,4344.0,1323.0,0,0,504256,428582,64930.0,10744.0,517444,5602.784002917937,22.808551770374027,1.259,2.019,2.814,4.231,84.475,158.745,171.294,551.222,144.0,0.0,1479.0,0.0,0.0,64.0,0.0,536.0,0.0,0.0,0,0,0,0,0,208,0,2015,10965,0,1000,128,90,50000,30,2.8476276894359205,1.259,1.949,2.454,3.667,4.312,4.656,5.66526000000001,161.148,179.40620487986592,152.744,158.884,160.802,163.202,311.3334000000001,319.40615,466.4674099999995,530.983,128.80096058292852,79.25,83.165,154.667,158.894,162.02259999999998,195.12379999999777,315.2328,551.222,722.5,119.9,4759.2
mixed/sunstorm/ycsb-mixed-sunstorm-hot1000-F-mr15-20250115-143053/3-ap-northeast-1-0,3-ap-northeast-1-0,1000,F,15,20250115-143053,12332,7118,4034.0,1180.0,0,0,354988,301983,45605.0,7400.0,367320,3944.3004330571534,32.381083717470446,0.702,1.287,2.182,3.325,158.43329999999997,211.758,319.45129999999995,714.984,9.0,0.0,2009.0,0.0,0.0,1.0,0.0,696.0,0.0,0.0,0,0,0,0,0,10,0,2705,9617,0,1000,128,90,50000,30,2.085283903847619,0.702,1.231,1.737,2.891,3.427,3.865,4.6,211.58,244.10765301986217,207.919,211.871,213.304,215.704,421.077,424.993,631.251,714.984,198.90952758741875,149.052,156.583,209.364,211.903,216.0962,363.418,422.84011,668.069,505.5,82.8,3343.6
mixed/sunstorm/ycsb-mixed-sunstorm-hot1000-F-mr15-20250115-143053/2-eu-west-1-0,2-eu-west-1-0,1000,F,15,20250115-143053,12564,7167,4215.0,1182.0,0,0,415200,352877,53539.0,8784.0,427764,4613.299274113676,27.688136382907995,1.005,1.709,2.469,3.978,84.006,213.11414999999997,230.96907000000047,692.363,164.0,0.0,1683.0,0.0,0.0,54.0,0.0,534.0,0.0,0.0,0,0,0,0,0,218,0,2217,10129,0,1000,128,90,50000,30,2.526172132355442,1.005,1.632,2.178,3.356,4.065,4.362,5.134,215.717,241.8724579822364,209.611,213.755,215.15449999999998,217.509,424.3273,428.60044999999997,636.9631500000002,692.363,158.56801385875664,78.72,82.66,210.06349999999998,213.102,215.774,289.836,424.38232,679.905,592.9,97.5,3932.8999999999996
mixed/sunstorm/ycsb-mixed-sunstorm-hot100000-F-mr15-20250115-140914/1-us-east-1-0,1-us-east-1-0,100000,F,15,20250115-140914,422,263,136.0,23.0,0,0,533753,453616,68657.0,11480.0,534175,5930.529003131857,21.556742315296322,1.238,2.041,2.833,4.237,84.265,158.134,161.694,367.288,0.0,0.0,73.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0,0,0,0,0,0,0,79,343,0,1000,128,90,50000,30,2.8583369951014763,1.238,1.969,2.479,3.692,4.3205,4.652,5.473,213.676,161.06645992299616,153.529,158.33175,159.9905,161.60125,163.2913,165.13995,206.11582999999987,325.461,121.95742969445052,79.434,83.123,153.042,158.241,160.087,161.2008,172.73312,367.288,761.4,126.19999999999999,5035.6
mixed/sunstorm/ycsb-mixed-sunstorm-hot100000-F-mr15-20250115-140914/3-ap-northeast-1-0,3-ap-northeast-1-0,100000,F,15,20250115-140914,395,251,122.0,22.0,0,0,383210,325958,49168.0,8084.0,383605,4257.858324184076,30.001302118084382,0.734,1.305,2.2,3.341,157.967,211.443,214.328,632.99,0.0,0.0,79.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0,0,0,0,0,0,0,95,300,0,1000,128,90,50000,30,2.100220669174178,0.734,1.248,1.768,2.928,3.442,3.872,4.475,76.672,214.19915587797618,208.012,211.6725,212.786,214.237,215.812,216.9697,251.4045999999999,632.99,185.08644825126365,148.862,156.432,208.172,211.526,212.974,213.954,228.08892000000003,516.705,545.3,89.2,3612.8
mixed/sunstorm/ycsb-mixed-sunstorm-hot100000-F-mr15-20250115-140914/2-eu-west-1-0,2-eu-west-1-0,100000,F,15,20250115-140914,432,267,138.0,27.0,0,0,440111,373471,57238.0,9402.0,440543,4890.088553147519,26.130862208312603,1.032,1.785,2.6,4.071,83.909,212.882,215.855,494.605,0.0,0.0,74.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0,0,0,0,0,0,0,94,338,0,1000,128,90,50000,30,2.617298773907991,1.032,1.706,2.269,3.467,4.148,4.463,5.212,217.972,216.233571596119,210.05,213.5865,214.726,216.05149999999998,217.5272,218.7731,266.3197199999999,449.66,148.60598556152542,78.829,82.725,148.677,212.818,214.2542,215.17,224.1126800000003,494.605,635.1,105.0,4134.6
mixed/sunstorm/ycsb-mixed-sunstorm-hot100000-F-mr0-20250115-140914/1-us-east-1-0,1-us-east-1-0,100000,F,0,20250115-140914,39,39,,,0,0,1895900,1895900,,,1895939,21065.34570702875,6.206360208809359,3.309,5.087,5.655,6.555,8.854,9.694,11.44,244.477,,,,,,,,,,,0,0,0,0,0,0,0,0,39,0,1000,128,90,50000,30,6.206360208809359,3.309,5.087,5.655,6.555,8.854,9.694,11.44,244.477,,,,,,,,,,,,,,,,,,,,,21023.4
mixed/sunstorm/ycsb-mixed-sunstorm-hot100000-F-mr0-20250115-140914/3-ap-northeast-1-0,3-ap-northeast-1-0,100000,F,0,20250115-140914,35,35,,,0,0,2056597,2056597,,,2056632,22850.880825782042,5.7165633314480395,2.649,4.581,5.196,6.323,8.176,9.057,11.006,113.555,,,,,,,,,,,0,0,0,0,0,0,0,0,35,0,1000,128,90,50000,30,5.7165633314480395,2.649,4.581,5.196,6.323,8.176,9.057,11.006,113.555,,,,,,,,,,,,,,,,,,,,,22830.5
mixed/sunstorm/ycsb-mixed-sunstorm-hot100000-F-mr0-20250115-140914/2-eu-west-1-0,2-eu-west-1-0,100000,F,0,20250115-140914,30,30,,,0,0,1837217,1837217,,,1837247,20413.30450276216,6.329423009190757,2.586,4.932,5.689,7.248,9.3,10.382,13.584,209.527,,,,,,,,,,,0,0,0,0,0,0,0,0,30,0,1000,128,90,50000,30,6.329423009190757,2.586,4.932,5.689,7.248,9.3,10.382,13.584,209.527,,,,,,,,,,,,,,,,,,,,,20405.6
