path,region,hot,workload,mr,suffix,rejected,rejected.WorkloadB1,rejected.WorkloadB2,rejected.WorkloadB3,aborted,unexpected,completed,completed.WorkloadB1,completed.WorkloadB2,completed.WorkloadB3,total,throughput.WorkloadB2,avg.WorkloadB2,p0.WorkloadB2,p25.WorkloadB2,p50.WorkloadB2,p75.WorkloadB2,p90.WorkloadB2,p95.WorkloadB2,p99.WorkloadB2,p100.WorkloadB2,scalefactor,terminals,time,rate,warmup,throughput.WorkloadB3,avg.WorkloadB3,p0.WorkloadB3,p25.WorkloadB3,p50.WorkloadB3,p75.WorkloadB3,p90.WorkloadB3,p95.WorkloadB3,p99.WorkloadB3,p100.WorkloadB3,throughput.WorkloadB1,avg.WorkloadB1,p0.WorkloadB1,p25.WorkloadB1,p50.WorkloadB1,p75.WorkloadB1,p90.WorkloadB1,p95.WorkloadB1,p99.WorkloadB1,p100.WorkloadB1,avg,p0,p25,p50,p75,p90,p95,p99,p100,throughput,ood_index_page.WorkloadB3,ood_table.WorkloadB3,ood_tuple.WorkloadB3,other_aborts.WorkloadB3,deadlock.WorkloadB3,ood_index_page.WorkloadB2,ood_table.WorkloadB2,ood_tuple.WorkloadB2,other_aborts.WorkloadB2,deadlock.WorkloadB2,ood_index_page.WorkloadB1,ood_table.WorkloadB1,ood_tuple.WorkloadB1,other_aborts.WorkloadB1,deadlock.WorkloadB1,ood_index_page,ood_table,ood_tuple,other_aborts,deadlock
mixed/cockroach/ycsb-mixed-cockroach-hot100000-F-mr0-20241126-232430/3-ap-northeast-1-0,3-ap-northeast-1-0,100000,F,0,20241126-232430,0,,,,0,0,703817,703817,,,703817,,,,,,,,,,,1000,512,90,50000,30,,,,,,,,,,,7817.1,65.96773989275852,22.7,48.697,62.15,79.427,98.31480000000005,110.677,136.487,266.113,65.96773989275852,22.7,48.697,62.15,79.427,98.31480000000005,110.677,136.487,266.113,7820.111369775792,,,,,,,,,,,,,,,,0,0,0,0,0
mixed/cockroach/ycsb-mixed-cockroach-hot100000-F-mr0-20241126-232430/2-eu-west-1-0,2-eu-west-1-0,100000,F,0,20241126-232430,0,,,,0,0,655945,655945,,,655945,,,,,,,,,,,1000,512,90,50000,30,,,,,,,,,,,7297.7,70.78197963023509,25.335,52.862,66.702,84.755,104.441,117.507,145.07178000000002,291.542,70.78197963023509,25.335,52.862,66.702,84.755,104.441,117.507,145.07178000000002,291.542,7288.220843573212,,,,,,,,,,,,,,,,0,0,0,0,0
mixed/cockroach/ycsb-mixed-cockroach-hot100000-F-mr50-20241126-232430/1-us-east-1-0,1-us-east-1-0,100000,F,50,20241126-232430,0,,,,0,0,178474,89377,76480.0,12617.0,178474,850.7,491.6932895107102,274.932,278.814,566.765,623.2,661.788,925.8439999999999,991.9572800000003,1881.22,1000,512,90,50000,30,139.89999999999998,612.2054217491828,488.531,519.1245,592.786,623.553,823.3308000000003,906.1203999999999,978.73946,1795.2,988.9,7.865971041736601,3.346,5.975,6.775,8.782,10.069100000000006,10.759550000000003,12.613619999999996,1163.762,257.21590795225944,3.346,6.766,14.413499999999999,582.21325,626.4408,739.814299999991,957.8568099999989,1881.22,1983.0213982324592,,,,,,,,,,,,,,,,0,0,0,0,0
mixed/cockroach/ycsb-mixed-cockroach-hot100000-F-mr50-20241126-232430/3-ap-northeast-1-0,3-ap-northeast-1-0,100000,F,50,20241126-232430,0,,,,0,0,112861,56413,48530.0,7918.0,112861,539.0,781.0387936590436,575.201,631.312,796.59,800.75325,1000.1115999999997,1196.8512,1202.59508,1990.297,1000,512,90,50000,30,87.2,975.3160238520409,827.831,872.691,903.8835,930.19525,1271.936,1313.71305,1465.9380299999998,2093.734,626.9000000000001,7.591155383006259,3.262,5.215,5.928,7.963,9.073,9.667,11.186919999999997,1361.145,406.2577600690705,3.262,5.921,13.354,797.707,911.8244,1192.4102,1276.9796000000006,2093.734,1254.0094300278695,,,,,,,,,,,,,,,,0,0,0,0,0
mixed/cockroach/ycsb-mixed-cockroach-hot100000-F-mr50-20241126-232430/2-eu-west-1-0,2-eu-west-1-0,100000,F,50,20241126-232430,1,,,1.0,0,0,147319,73521,63369.0,10429.0,147320,706.3,593.7052816659783,275.583,279.131,795.601,802.821,807.4997,1202.28205,1206.13594,2120.85,1000,512,90,50000,30,115.1,740.0660968553459,603.139,608.7175,738.219,742.596,1008.5558,1138.9200999999998,1207.02548,1707.994,812.5,9.053188815279345,3.948,6.87,7.88,9.769,11.31,12.024,13.508699999999983,1366.897,311.2265817161307,3.575,7.876,47.796,738.267,803.378,878.0002999999999,1204.19976,2120.85,1636.8586013245197,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,0,0,0,1,0
mixed/cockroach/ycsb-mixed-cockroach-hot100000-F-mr15-20241126-232430/1-us-east-1-0,1-us-east-1-0,100000,F,15,20241126-232430,1,,,1.0,0,0,525632,446472,67988.0,11172.0,525633,755.8,498.44159004897097,276.375,282.14750000000004,492.164,629.4135,665.602,935.923,995.9081000000002,2279.452,1000,512,90,50000,30,123.6,621.7942212612613,495.866,524.33,600.673,636.3525,835.922,914.4952999999999,984.7855400000002,1773.655,4951.200000000001,11.684805384070895,4.126,8.317,10.095,12.959,16.149,19.261,29.320189999999947,1261.718,87.23436494896406,4.055,8.583,10.986,15.55,289.378,622.425,919.6832899999999,2279.452,5840.2977364132885,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,0,0,0,1,0
mixed/cockroach/ycsb-mixed-cockroach-hot100000-F-mr15-20241126-232430/3-ap-northeast-1-0,3-ap-northeast-1-0,100000,F,15,20241126-232430,1,,1.0,,0,0,355814,302561,45804.0,7449.0,355815,509.1,786.596438162155,583.648,636.117,798.104,803.266,1096.595,1199.799,1214.825,2199.023,1000,512,90,50000,30,82.9,978.1326629579376,835.288,876.649,907.019,930.72925,1274.9317,1316.3862,1476.7766199999999,2025.432,3378.8,9.081080071133204,3.833,6.457,7.435,9.737,11.304,12.392,17.727,1395.889,128.5340663717063,3.833,6.609,8.014,11.05,658.4495000000002,804.152,1199.837,2199.023,3953.454609670005,,,,,,0.0,0.0,0.0,1.0,0.0,,,,,,0,0,0,1,0
mixed/cockroach/ycsb-mixed-cockroach-hot100000-F-mr15-20241126-232430/2-eu-west-1-0,2-eu-west-1-0,100000,F,15,20241126-232430,0,,,,0,0,447322,380227,57450.0,9645.0,447322,635.6,596.6714907131592,276.515,282.07625,587.5885000000001,805.111,814.7377,1204.90555,1215.00872,2294.097,1000,512,90,50000,30,106.80000000000001,745.2040609322743,604.243,611.65375,740.406,746.8885,1011.8712,1141.64465,1209.83746,1909.91,4218.9,11.964121182545924,4.733,8.831,10.41,13.084,15.656,17.960599999999975,26.961159999999914,1366.931,102.34833415098142,3.999,9.1,11.163,15.189,288.2948000000003,803.519,1202.918,2294.097,4970.204342571605,,,,,,,,,,,,,,,,0,0,0,0,0
mixed/cockroach/ycsb-mixed-cockroach-hot100000-F-mr5-20241126-232430/1-us-east-1-0,1-us-east-1-0,100000,F,5,20241126-232430,0,,,,0,0,663007,629787,28638.0,4582.0,663007,317.29999999999995,522.0979491370523,278.459,311.813,538.402,654.485,706.5026,958.1988,1039.11408,1382.217,1000,512,90,50000,30,50.7,641.088225735617,496.846,552.15825,613.2284999999999,661.755,856.6248999999999,931.4832999999998,1014.0396700000001,1500.603,6991.299999999999,45.01387616169998,15.421,32.931,41.763,53.563,67.204,76.73540000000003,97.78007999999996,1189.84,69.7269490102335,14.818,33.371,42.74,56.253,76.051,290.0804499999998,666.1243800000007,1500.603,7366.663324057548,,,,,,,,,,,,,,,,0,0,0,0,0
mixed/cockroach/ycsb-mixed-cockroach-hot100000-F-mr5-20241126-232430/3-ap-northeast-1-0,3-ap-northeast-1-0,100000,F,5,20241126-232430,2,,2.0,,0,0,662628,629567,28331.0,4730.0,662630,316.9,803.5513192571774,589.935,647.179,813.57,830.792,1111.5708000000002,1227.4426,1267.744639999999,1883.743,1000,512,90,50000,30,51.0,998.8397290640393,842.982,889.308,920.595,959.46,1311.205,1344.605,1528.40644,1841.272,6997.200000000001,29.568683181993837,9.866,21.235,26.928,34.659,43.607,50.377,68.381,1510.838,69.38933667196747,9.452,21.512,27.557,36.407,49.773,592.4870000000001,931.325,1883.743,7362.467467390487,,,,,,0.0,0.0,0.0,2.0,0.0,,,,,,0,0,0,2,0
mixed/cockroach/ycsb-mixed-cockroach-hot100000-F-mr5-20241126-232430/2-eu-west-1-0,2-eu-west-1-0,100000,F,5,20241126-232430,0,,,,0,0,618000,587502,26267.0,4231.0,618000,289.9,623.2080189633376,280.379,311.225,523.373,832.3054999999999,873.4063999999998,1235.8893,1287.6878799999984,1864.649,1000,512,90,50000,30,46.0,769.6579443914081,612.393,639.42875,758.463,781.26325,1043.0491,1169.138,1244.0512299999994,1625.557,6560.1,45.22272993348192,15.361,32.899,41.767,53.637,67.49020000000007,77.302,99.155,1369.004,74.70884936688445,14.773,33.333,42.737,56.317,76.40520000000008,171.79299999999094,836.5366399999998,1864.649,6866.63256986857,,,,,,,,,,,,,,,,0,0,0,0,0
mixed/cockroach/ycsb-mixed-cockroach-hot1000-F-mr50-20241126-232430/1-us-east-1-0,1-us-east-1-0,1000,F,50,20241126-232430,96,,24.0,72.0,0,0,155318,77290,66968.0,11060.0,155414,744.0,541.2114125734379,274.815,278.58,594.864,625.882,922.4232000000001,1039.4783999999995,1556.7390799999955,3654.611,1000,512,90,50000,30,123.6,692.118310605371,488.423,520.427,595.903,751.055,993.3900000000001,1240.4245999999996,1717.2543599999997,3935.191,860.0,25.945768962973506,3.503,5.907,6.759,8.979,10.531,14.854199999999851,598.3902399999945,2907.089,294.7345172052943,3.503,6.763,276.206,596.258,656.4504,925.2280999999999,1400.8277800000003,3935.191,1725.7524546468449,0.0,0.0,0.0,72.0,0.0,0.0,0.0,0.0,24.0,0.0,,,,,,0,0,0,96,0
mixed/cockroach/ycsb-mixed-cockroach-hot1000-F-mr50-20241126-232430/3-ap-northeast-1-0,3-ap-northeast-1-0,1000,F,50,20241126-232430,108,,35.0,73.0,0,0,99438,49719,42685.0,7034.0,99546,475.0,846.6693885761591,582.791,631.174,797.423,915.6587499999999,1198.3598,1394.7107499999997,1943.7992499999996,4586.494,1000,512,90,50000,30,78.0,1071.6635540696002,832.902,875.94775,913.063,1230.11075,1463.7866000000001,1670.02865,2229.316840000002,3461.228,554.7,44.43709341167948,3.403,5.188,5.974,8.261,9.876,309.4043999999995,916.60572,2075.548,459.50375044476795,3.403,5.96375,606.1624999999999,799.474,1064.8385,1227.22185,1771.7184799999977,4586.494,1104.865581258996,0.0,0.0,0.0,73.0,0.0,0.0,0.0,0.0,35.0,0.0,,,,,,0,0,0,108,0
mixed/cockroach/ycsb-mixed-cockroach-hot1000-F-mr50-20241126-232430/2-eu-west-1-0,2-eu-west-1-0,1000,F,50,20241126-232430,82,1.0,29.0,52.0,0,0,130539,65425,55919.0,9195.0,130621,619.1,645.6666802665947,275.446,279.11,797.332,803.766,1201.7206,1256.6734999999994,1811.04882,4377.437,1000,512,90,50000,30,102.5,824.2212204041292,602.431,609.26325,739.206,884.92175,1148.664,1407.0695,1923.9032500000028,2891.168,726.2,33.71683671222824,3.676,6.817,7.823,10.057,11.8225,76.822,800.3009499999988,2729.509,350.34898605674204,3.676,7.808,277.099,746.068,806.7524,1201.746,1603.2289400000002,4377.437,1450.418140267777,0.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,82,0
mixed/cockroach/ycsb-mixed-cockroach-hot1000-F-mr0-20241126-232430/1-us-east-1-0,1-us-east-1-0,1000,F,0,20241126-232430,1,1.0,,,0,0,692729,692729,,,692730,,,,,,,,,,,1000,512,90,50000,30,,,,,,,,,,,7694.5,66.97222035379001,23.222,49.21,62.284,79.826,99.963,114.256,148.35980000000004,329.677,66.97222035379001,23.222,49.21,62.284,79.826,99.963,114.256,148.35980000000004,329.677,7696.928495880181,,,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0,0,0,1,0
mixed/cockroach/ycsb-mixed-cockroach-hot1000-F-mr0-20241126-232430/3-ap-northeast-1-0,3-ap-northeast-1-0,1000,F,0,20241126-232430,0,,,,0,0,691331,691331,,,691331,,,,,,,,,,,1000,512,90,50000,30,,,,,,,,,,,7672.4,67.12527433634787,22.826,49.116,62.579,80.34575000000001,100.371,114.453,149.07180999999972,466.244,67.12527433634787,22.826,49.116,62.579,80.34575000000001,100.371,114.453,149.07180999999972,466.244,7681.440032816187,,,,,,,,,,,,,,,,0,0,0,0,0
mixed/cockroach/ycsb-mixed-cockroach-hot1000-F-mr0-20241126-232430/2-eu-west-1-0,2-eu-west-1-0,1000,F,0,20241126-232430,3,3.0,,,0,0,650101,650101,,,650104,,,,,,,,,,,1000,512,90,50000,30,,,,,,,,,,,7216.799999999999,71.3575439143408,24.554,52.342,66.421,85.219,106.58009999999997,121.733,158.03320999999994,355.126,71.3575439143408,24.554,52.342,66.421,85.219,106.58009999999997,121.733,158.03320999999994,355.126,7223.342938056405,,,,,,,,,,,0.0,0.0,0.0,3.0,0.0,0,0,0,3,0
mixed/cockroach/ycsb-mixed-cockroach-hot1000-F-mr10-20241126-232430/1-us-east-1-0,1-us-east-1-0,1000,F,10,20241126-232430,335,11.0,92.0,232.0,0,0,556848,501375,47875.0,7598.0,557183,531.0,536.8081307170319,276.165,284.775,594.745,630.2705,919.8808,1006.004099999999,1500.0972199999985,3159.858,1000,512,90,50000,30,87.30000000000001,701.9137410157804,490.718,526.356,605.446,807.283,994.37,1223.494,1723.9864000000007,2435.896,5544.2,29.22348217759554,4.254,9.98,12.758,16.966,23.599,34.20059999999998,573.18512,2910.844,81.76910366700879,4.08,10.263,13.48,19.557,283.98040000000003,610.735,944.1948199999999,3159.858,6187.178426546263,0.0,0.0,0.0,232.0,0.0,0.0,0.0,0.0,92.0,0.0,0.0,0.0,0.0,11.0,0.0,0,0,0,335,0
mixed/cockroach/ycsb-mixed-cockroach-hot1000-F-mr10-20241126-232430/3-ap-northeast-1-0,3-ap-northeast-1-0,1000,F,10,20241126-232430,383,11.0,109.0,263.0,0,0,381006,343234,32571.0,5201.0,381389,362.0,835.9643026715428,584.244,638.55475,799.385,831.14975,1200.107,1375.09175,1821.8190499999996,3585.348,1000,512,90,50000,30,61.0,1094.0356467961165,835.37,883.08125,919.288,1267.845,1499.2344000000003,1677.0141000000003,2101.9965600000005,3027.35,3831.1000000000004,36.77190331437765,3.76,6.707,7.917,10.485,13.12,58.898,861.9508000000012,2537.589,118.85310299949802,3.76,6.818,8.374,11.46,633.8494000000001,804.0914,1254.1804799999993,3585.348,4233.376171219245,0.0,0.0,0.0,263.0,0.0,0.0,0.0,0.0,109.0,0.0,0.0,0.0,0.0,11.0,0.0,0,0,0,383,0
mixed/cockroach/ycsb-mixed-cockroach-hot1000-F-mr10-20241126-232430/2-eu-west-1-0,2-eu-west-1-0,1000,F,10,20241126-232430,294,16.0,71.0,207.0,0,0,486005,437568,41642.0,6795.0,486299,459.4,635.7575864761628,276.825,283.974,800.331,807.376,1203.6198000000002,1211.2737499999998,1723.6884200000006,3088.384,1000,512,90,50000,30,77.1,820.5717432472543,605.156,614.16125,742.658,900.84,1146.8328000000001,1345.23945,1859.9647300000008,3781.036,4795.9,31.13305423077803,4.662,9.593,11.786,15.178,20.57,30.606,690.4959099999975,2657.799,93.60245102760463,4.354,9.808,12.415,17.152749999999997,283.993,802.72515,1205.6560599999998,3781.036,5399.996324735868,0.0,0.0,0.0,207.0,0.0,0.0,0.0,0.0,71.0,0.0,0.0,0.0,0.0,16.0,0.0,0,0,0,294,0
