path,region,hot,workload,mr,suffix,rejected,aborted,unexpected,completed,completed.WorkloadC1,completed.WorkloadC2,completed.WorkloadC3,total,throughput.WorkloadC3,avg.WorkloadC3,p0.WorkloadC3,p25.WorkloadC3,p50.WorkloadC3,p75.WorkloadC3,p90.WorkloadC3,p95.WorkloadC3,p99.WorkloadC3,p100.WorkloadC3,throughput.WorkloadC2,avg.WorkloadC2,p0.WorkloadC2,p25.WorkloadC2,p50.WorkloadC2,p75.WorkloadC2,p90.WorkloadC2,p95.WorkloadC2,p99.WorkloadC2,p100.WorkloadC2,throughput.WorkloadC1,avg.WorkloadC1,p0.WorkloadC1,p25.WorkloadC1,p50.WorkloadC1,p75.WorkloadC1,p90.WorkloadC1,p95.WorkloadC1,p99.WorkloadC1,p100.WorkloadC1,avg,p0,p25,p50,p75,p90,p95,p99,p100,ood_index_page,ood_table,ood_tuple,other_aborts,deadlock,scalefactor,terminals,time,rate,warmup,throughput
ycsb/read-only-yugabyte/ycsb-read-only-yugabyte-hot100000-F-mr15-20240626-143601/2-eu-west-1-0,2-eu-west-1-0,100000,F,15,20240626-143601,0,0,0,270737,229860,34982.0,5895.0,270737,64.5,736.1188721984603,633.76,672.774,712.586,798.651,810.636,817.6338,830.4816000000002,868.829,386.6,606.4664978407324,304.646,354.56825,403.5325,860.0787499999999,871.0757,877.84015,890.69802,932.411,2550.6000000000004,89.38099060796905,56.237,78.781,88.0,98.354,108.912,115.94149999999999,130.97979999999998,297.486,169.8215920245626,52.181,80.447,91.271,107.195,368.73150000000004,851.5282499999998,873.69997,932.411,0,0,0,0,0,1000,512,90,50000,30,3008.1612563206763
ycsb/read-only-yugabyte/ycsb-read-only-yugabyte-hot1000-F-mr0-20240626-143601/3-ap-northeast-1-0,3-ap-northeast-1-0,1000,F,0,20240626-143601,0,0,0,320101,320101,,,320101,,,,,,,,,,,,,,,,,,,,,3553.7,144.22858516165553,94.454,128.773,142.673,157.909,172.90310000000002,182.44205,201.81296999999958,277.298,144.22858516165553,94.454,128.773,142.673,157.909,172.90310000000002,182.44205,201.81296999999958,277.298,0,0,0,0,0,1000,512,90,50000,30,3556.655505092082
ycsb/read-only-yugabyte/ycsb-read-only-yugabyte-hot1000-F-mr0-20240626-143601/1-us-east-1-0,1-us-east-1-0,1000,F,0,20240626-143601,0,0,0,320796,320796,,,320796,,,,,,,,,,,,,,,,,,,,,3543.8999999999996,143.91403888141028,91.86,127.553,142.129,158.291,174.218,184.5637,205.7308400000001,294.241,143.91403888141028,91.86,127.553,142.129,158.291,174.218,184.5637,205.7308400000001,294.241,0,0,0,0,0,1000,512,90,50000,30,3564.394687269719
ycsb/read-only-yugabyte/ycsb-read-only-yugabyte-hot1000-F-mr0-20240626-143601/2-eu-west-1-0,2-eu-west-1-0,1000,F,0,20240626-143601,0,0,0,320603,320603,,,320603,,,,,,,,,,,,,,,,,,,,,3563.9,143.99399862517933,92.406,127.787,142.169,158.161,174.14,184.431,205.64814,349.495,143.99399862517933,92.406,127.787,142.169,158.161,174.14,184.431,205.64814,349.495,0,0,0,0,0,1000,512,90,50000,30,3562.229261395646
ycsb/read-only-yugabyte/ycsb-read-only-yugabyte-hot100000-F-mr10-20240626-143601/3-ap-northeast-1-0,3-ap-northeast-1-0,100000,F,10,20240626-143601,0,0,0,269438,242384,23295.0,3759.0,269438,41.3,1075.5051972477065,862.507,913.53325,959.3275,1262.272,1330.4535,1392.46,1452.03765,1482.624,259.0,937.1832159593855,605.484,669.0185,877.631,1162.2205,1241.583,1276.4472500000002,1313.95545,1367.012,2686.0,83.46943341100184,49.892,72.503,81.913,92.724,103.8115,111.083,126.84404999999998,198.848,170.39546167830187,47.807,73.58025,83.989,97.858,155.79750000000428,893.9599,1257.72863,1482.624,0,0,0,0,0,1000,512,90,50000,30,2993.7205710700164
ycsb/read-only-yugabyte/ycsb-read-only-yugabyte-hot100000-F-mr10-20240626-143601/1-us-east-1-0,1-us-east-1-0,100000,F,10,20240626-143601,0,0,0,289219,260232,24927.0,4060.0,289219,44.8,837.9212010950722,518.937,608.87225,668.1514999999999,1106.18175,1159.9948000000002,1183.0237499999998,1213.1933999999999,1510.095,277.0,691.738824927255,310.12,402.81325,664.563,762.472,1133.81,1170.7219,1211.73647,1503.201,2891.1000000000004,97.76125795703742,57.74,84.655,95.971,108.92125,122.053,130.565,148.22080000000005,216.758,159.00593955216624,55.364,85.954,98.448,114.974,186.4368999999994,664.62835,1140.3114500000001,1510.095,0,0,0,0,0,1000,512,90,50000,30,3213.514515448416
ycsb/read-only-yugabyte/ycsb-read-only-yugabyte-hot100000-F-mr10-20240626-143601/2-eu-west-1-0,2-eu-west-1-0,100000,F,10,20240626-143601,0,0,0,287950,259141,24749.0,4060.0,287950,44.400000000000006,748.695641191067,643.501,685.08925,726.8699999999999,810.86125,825.9559,833.5778,849.02597,889.133,275.7,621.5741247203352,314.432,370.6995,436.432,872.187,884.6182,892.2494999999999,907.88216,947.911,2873.3999999999996,106.8280459068049,68.188,94.646,105.413,117.414,129.37650000000002,137.22,153.62114999999997,235.775,159.89316830937543,65.792,95.867,107.743,122.994,184.74460000000013,717.5217999999988,882.901,947.911,0,0,0,0,0,1000,512,90,50000,30,3199.4369850637618
ycsb/read-only-yugabyte/ycsb-read-only-yugabyte-hot100000-F-mr50-20240626-143601/3-ap-northeast-1-0,3-ap-northeast-1-0,100000,F,50,20240626-143601,0,0,0,102707,51385,44206.0,7116.0,102707,78.80000000000001,1008.2933955871887,829.152,845.146,897.701,1218.277,1286.618,1301.9552,1407.724,1447.668,491.2,863.6063008997078,571.943,592.3467499999999,808.5835,1119.1354999999999,1196.4758000000002,1241.25535,1278.7049699999998,1309.635,572.5,13.99706012300985,7.829,11.82425,13.533,15.668,17.988600000000005,19.47,22.262459999999994,362.305,446.4156679681002,7.829,13.513,23.317,810.4365,1152.9198,1220.0423999999998,1284.57512,1447.668,0,0,0,0,0,1000,512,90,50000,30,1141.1815658380224
ycsb/read-only-yugabyte/ycsb-read-only-yugabyte-hot100000-F-mr50-20240626-143601/1-us-east-1-0,1-us-east-1-0,100000,F,50,20240626-143601,0,0,0,141858,70904,61012.0,9942.0,141858,109.6,745.909250659363,499.462,521.00875,592.5705,1054.25025,1131.674,1153.08615,1165.83598,1307.951,677.5999999999999,606.403686759513,283.736,302.76125,599.61,666.0899999999999,1099.4197000000001,1140.8848,1164.0809399999998,1310.257,783.0,22.581867784854918,11.794,18.934,22.139,25.725,29.3101,31.583100000000005,36.292,103.739,323.3236863653729,9.55,22.097,39.650999999999996,598.89,1013.4124999999999,1107.059,1157.0081499999997,1310.257,0,0,0,0,0,1000,512,90,50000,30,1576.186245218086
ycsb/read-only-yugabyte/ycsb-read-only-yugabyte-hot100000-F-mr50-20240626-143601/2-eu-west-1-0,2-eu-west-1-0,100000,F,50,20240626-143601,0,0,0,152454,76628,65067.0,10759.0,152454,118.9,691.9354865954256,616.067,627.348,639.157,757.0822499999999,760.4932,762.3769500000001,766.21299,782.942,723.3,558.36909075729,286.914,300.70625,314.5385,819.017,822.293,824.227,828.0159199999999,842.239,846.6,29.309006139395766,18.439,25.876,28.953,32.283,35.6172,37.85259999999999,42.49316,93.681,301.01191800818737,14.448,28.87525,43.089,632.78225,819.303,821.792,826.0713599999999,842.239,0,0,0,0,0,1000,512,90,50000,30,1693.9285002165366
ycsb/read-only-yugabyte/ycsb-read-only-yugabyte-hot1000-F-mr15-20240626-143601/3-ap-northeast-1-0,3-ap-northeast-1-0,1000,F,15,20240626-143601,0,0,0,239454,203612,30893.0,4949.0,239454,55.8,1058.2827111566019,851.313,889.946,939.494,1249.856,1318.8822,1379.9482,1443.5284,1472.778,342.0,912.6983536110475,596.378,642.142,855.619,1146.4945,1230.3706,1263.8584,1303.90642,1344.111,2261.8,62.147343943107664,37.084,53.96,61.037,69.058,77.2322,82.71119999999995,94.17524000000006,146.693,191.32785516241972,34.228,55.20475,63.528,75.747,844.5337000000001,1093.0301999999997,1268.7308299999997,1472.778,0,0,0,0,0,1000,512,90,50000,30,2660.5824361946093
ycsb/read-only-yugabyte/ycsb-read-only-yugabyte-hot1000-F-mr15-20240626-143601/1-us-east-1-0,1-us-east-1-0,1000,F,15,20240626-143601,0,0,0,267084,226861,34516.0,5707.0,267084,63.6,813.1627485845719,522.559,586.6325,648.3915,1094.04775,1154.5792999999999,1171.2196000000001,1192.5008799999998,1331.606,382.4,670.5018780402347,301.055,377.589,648.755,742.789,1122.2536,1161.1236000000001,1192.1271599999998,1344.19,2521.3999999999996,80.61002861986395,45.839,69.026,79.015,90.373,101.84039999999999,109.45809999999994,125.04283999999986,185.204,171.90761747538556,42.123,70.818,82.573,99.9,624.2484000000001,691.0631999999994,1153.658,1344.19,0,0,0,0,0,1000,512,90,50000,30,2967.5824018077064
ycsb/read-only-yugabyte/ycsb-read-only-yugabyte-hot1000-F-mr15-20240626-143601/2-eu-west-1-0,2-eu-west-1-0,1000,F,15,20240626-143601,0,0,0,270756,230255,34737.0,5764.0,270756,63.400000000000006,737.6052838641932,632.539,672.999,774.4815000000001,799.457,811.0949999999999,817.0283,830.41968,878.951,384.9,607.5630020283976,310.266,354.46500000000003,408.27,860.46975,871.6111,877.8521,890.7769499999998,931.524,2564.2,90.01634351638087,57.083,79.545,88.703,98.962,109.384,116.24439999999991,130.76362,308.465,169.78106902055762,53.149,81.175,91.908,107.517,367.141,851.704,873.7766,931.524,0,0,0,0,0,1000,512,90,50000,30,3008.3768721668557
ycsb/read-only-yugabyte/ycsb-read-only-yugabyte-hot1000-F-mr10-20240626-143601/3-ap-northeast-1-0,3-ap-northeast-1-0,1000,F,10,20240626-143601,0,0,0,268883,242066,23016.0,3801.0,268883,42.0,1077.0812616449293,860.491,919.016,963.718,1260.948,1325.4418,1364.958,1441.3553200000001,1502.402,256.4,935.6191129216444,604.694,674.08875,876.3734999999999,1161.0639999999999,1240.7456,1274.8759,1313.8383199999998,1362.176,2688.8999999999996,84.57711708989483,51.109,73.724,83.131,93.83,104.608,111.78275,126.5095,204.473,170.75437656806946,49.067,74.776,85.183,98.804,145.1596000000001,892.1034,1257.10828,1502.402,0,0,0,0,0,1000,512,90,50000,30,2987.5886456659778
ycsb/read-only-yugabyte/ycsb-read-only-yugabyte-hot1000-F-mr10-20240626-143601/1-us-east-1-0,1-us-east-1-0,1000,F,10,20240626-143601,0,0,0,286836,258266,24536.0,4034.0,286836,44.4,834.6318057571965,525.474,605.3705,670.07,1111.9075,1162.832,1184.6055,1211.63112,1481.408,273.1,698.2755150332705,307.726,403.26675,671.503,785.533,1141.313,1179.0225,1217.0471,1558.82,2863.8999999999996,99.13315189385834,58.294,85.726,97.335,110.5085,123.971,132.714,150.88057999999995,235.034,160.3709615176057,55.853,87.021,99.836,116.708,175.23720000000014,670.603,1145.2781599999998,1558.82,0,0,0,0,0,1000,512,90,50000,30,3187.0614467911937
ycsb/read-only-yugabyte/ycsb-read-only-yugabyte-hot1000-F-mr10-20240626-143601/2-eu-west-1-0,2-eu-west-1-0,1000,F,10,20240626-143601,0,0,0,287516,258887,24602.0,4027.0,287516,43.8,752.107216608304,644.704,687.5135,782.9929999999999,812.8735,827.6639,837.72095,863.1126899999996,1029.108,271.9,622.4703931917679,314.618,370.923,432.629,873.114,887.228,896.262,922.9183999999999,1099.778,2870.6000000000004,107.2388766760406,68.577,95.015,105.756,117.775,129.8659,137.749,154.45395999999997,302.999,160.13745545135228,66.119,96.236,108.085,123.36675,178.1775,717.3435,884.9547500000001,1099.778,0,0,0,0,0,1000,512,90,50000,30,3194.5866811320643
ycsb/read-only-yugabyte/ycsb-read-only-yugabyte-hot1000-F-mr50-20240626-143601/3-ap-northeast-1-0,3-ap-northeast-1-0,1000,F,50,20240626-143601,0,0,0,102508,51242,44041.0,7225.0,102508,80.6,1014.1186478163493,827.751,844.5207499999999,896.9559999999999,1225.93275,1293.8982,1330.6038499999995,1428.74538,1454.246,488.2,862.7321343358855,570.103,590.901,808.633,1116.243,1204.3664999999999,1248.0934499999998,1286.9798700000001,1309.574,563.0,14.176206968573101,8.142,11.966,13.691,15.884,18.24,19.780649999999987,22.940129999999996,59.097,447.12745467469296,8.142,13.672,24.473,810.629,1154.5925000000002,1226.667,1292.6401500000002,1454.246,0,0,0,0,0,1000,512,90,50000,30,1138.974133895797
ycsb/read-only-yugabyte/ycsb-read-only-yugabyte-hot1000-F-mr50-20240626-143601/1-us-east-1-0,1-us-east-1-0,1000,F,50,20240626-143601,0,0,0,142452,71503,60835.0,10114.0,142452,112.0,739.4021333732654,501.026,520.271,591.481,1045.883,1124.5049999999999,1151.1694,1160.49412,1404.439,671.5,606.3701745942458,284.55,303.4025,597.691,668.8399999999999,1091.1366,1135.3634,1158.90632,1440.773,792.5999999999999,23.002758291443175,12.034,19.296,22.573,26.197,29.813,32.15914999999999,36.98366000000001,61.721,321.9572598280963,9.369,22.501,37.8705,596.845,972.6682000000026,1096.3000499999998,1154.44144,1440.773,0,0,0,0,0,1000,512,90,50000,30,1582.7950316591555
ycsb/read-only-yugabyte/ycsb-read-only-yugabyte-hot1000-F-mr50-20240626-143601/2-eu-west-1-0,2-eu-west-1-0,1000,F,50,20240626-143601,0,0,0,151645,75886,65089.0,10670.0,151645,118.9,692.6601622004151,615.176,627.41175,748.2655,756.9785,760.4222,762.3014,765.59721,780.567,723.4,559.6289663022129,285.622,300.6665,318.515,819.0055,822.2738,824.1869,827.894,843.253,840.5999999999999,29.37184994375703,18.641,25.975,28.982,32.283,35.617,37.7718,42.491080000000004,62.669,302.7333377687202,14.059,28.936,45.074,635.849,819.298,821.8124,826.02436,843.253,0,0,0,0,0,1000,512,90,50000,30,1684.9286824795413
