path,region,hot,workload,mr,suffix,rejected,rejected.WorkloadF1,rejected.WorkloadF2,rejected.WorkloadF3,aborted,unexpected,completed,completed.WorkloadF1,completed.WorkloadF2,completed.WorkloadF3,total,avg,p0,p25,p50,p75,p90,p95,p99,p100,avg.WorkloadF1,p0.WorkloadF1,p25.WorkloadF1,p50.WorkloadF1,p75.WorkloadF1,p90.WorkloadF1,p95.WorkloadF1,p99.WorkloadF1,p100.WorkloadF1,avg.WorkloadF3,p0.WorkloadF3,p25.WorkloadF3,p50.WorkloadF3,p75.WorkloadF3,p90.WorkloadF3,p95.WorkloadF3,p99.WorkloadF3,p100.WorkloadF3,avg.WorkloadF2,p0.WorkloadF2,p25.WorkloadF2,p50.WorkloadF2,p75.WorkloadF2,p90.WorkloadF2,p95.WorkloadF2,p99.WorkloadF2,p100.WorkloadF2,ood_index_page.WorkloadF3,ood_table.WorkloadF3,ood_tuple.WorkloadF3,other_aborts.WorkloadF3,deadlock.WorkloadF3,ood_index_page.WorkloadF1,ood_table.WorkloadF1,ood_tuple.WorkloadF1,other_aborts.WorkloadF1,deadlock.WorkloadF1,ood_index_page.WorkloadF2,ood_table.WorkloadF2,ood_tuple.WorkloadF2,other_aborts.WorkloadF2,deadlock.WorkloadF2,ood_index_page,ood_table,ood_tuple,other_aborts,deadlock,throughput,throughput.WorkloadF2,scalefactor,terminals,time,rate,warmup,throughput.WorkloadF3,throughput.WorkloadF1
ycsb/throughput-cockroach/ycsb-throughput-cockroach-hot100000-F-mr15-20241126-225357/3-ap-northeast-1-0,3-ap-northeast-1-0,100000,F,15,20241126-225357,274,35,189.0,50.0,0,0,166289,141463,21360.0,3466.0,166563,270.7597817131951,7.998,18.051,22.05,30.39775,1407.2558000000001,1809.9578,2306.199309999986,4435.35,32.19715829110061,9.89,17.487,20.794,25.24175,32.0105,39.58525,317.0856999999991,3512.944,2023.2388984184918,1270.3,1759.14175,2052.3385,2251.00325,2551.8669000000004,2684.4757999999997,2958.684250000001,4319.681,1656.2581587736663,900.69,1391.752,1657.555,1815.687,2211.182,2227.847,2621.202,4435.35,0.0,0.0,0.0,50.0,0.0,0,0,0,35,0,0.0,0.0,0.0,189.0,0.0,0,0,0,274,0,1847.65479875615,238.2,1000,512,90,50000,30,38.900000000000006,1566.9
ycsb/throughput-cockroach/ycsb-throughput-cockroach-hot100000-F-mr15-20241126-225357/2-eu-west-1-0,2-eu-west-1-0,100000,F,15,20241126-225357,225,60,133.0,32.0,0,0,192137,163512,24563.0,4062.0,192362,235.6309493205486,13.431,36.453,47.718500000000006,69.732,789.0623,1774.0347999999992,2230.5213,4626.997,55.49289785507961,16.536,34.917,44.15,56.715,73.29440000000002,87.153,159.5211200000001,3130.073,1582.4069299974074,825.123,1360.336,1516.161,1890.036,2048.8302,2288.7279999999996,2452.1754,3830.15,1232.01528955507,279.58,650.184,867.513,1821.2269999999999,2221.077,2240.507,2637.8050000000003,4626.997,0.0,0.0,0.0,32.0,0.0,0,0,0,60,0,0.0,0.0,0.0,133.0,0.0,0,0,0,225,0,2134.8318591828424,275.4,1000,512,90,50000,30,44.9,1812.6
ycsb/throughput-cockroach/ycsb-throughput-cockroach-hot100000-F-mr10-20241126-225357/1-us-east-1-0,1-us-east-1-0,100000,F,10,20241126-225357,281,139,113.0,29.0,0,0,239551,215904,20315.0,3332.0,239832,191.77524993244958,30.979,69.23875000000001,88.867,116.42224999999999,509.0238000000002,1076.0554499999996,1730.83107,4464.601,93.14676240202736,33.078,67.402,84.997,106.084,129.00879999999998,145.17589999999987,191.84955999999994,2451.54,1330.1082999687205,700.094,1124.814,1321.775,1530.793,1713.2952,1842.6349999999998,2050.94976,4464.601,1059.8309076647245,288.242,678.6235,952.355,1430.729,1732.8366,1812.1544999999996,2110.64726,3755.387,0.0,0.0,0.0,29.0,0.0,0,0,0,139,0,0.0,0.0,0.0,113.0,0.0,0,0,0,281,0,2661.6575929495516,226.0,1000,512,90,50000,30,36.5,2402.3
ycsb/throughput-cockroach/ycsb-throughput-cockroach-hot100000-F-mr10-20241126-225357/3-ap-northeast-1-0,3-ap-northeast-1-0,100000,F,10,20241126-225357,330,80,194.0,56.0,0,0,215912,194487,18367.0,3058.0,216242,208.67101261635946,13.53,31.726,40.929,55.159,745.1830000000058,1690.1851999999967,2243.99804,4892.834,50.091890555334544,14.857,30.877,39.028,49.562,62.981,74.269,148.0412000000027,2975.273,2045.203583478564,1282.228,1784.548,2074.817,2275.895,2560.372,2671.5986000000003,2971.2905600000004,4892.834,1676.8717060249512,951.816,1409.104,1679.5,1844.164,2235.632,2266.704,2656.4130800000003,4799.475,0.0,0.0,0.0,56.0,0.0,0,0,0,80,0,0.0,0.0,0.0,194.0,0.0,0,0,0,330,0,2398.9978170841514,207.2,1000,512,90,50000,30,34.3,2147.1000000000004
ycsb/throughput-cockroach/ycsb-throughput-cockroach-hot100000-F-mr10-20241126-225357/2-eu-west-1-0,2-eu-west-1-0,100000,F,10,20241126-225357,294,126,131.0,37.0,0,0,210151,189228,17964.0,2959.0,210445,218.0284870296403,29.997,70.874,92.79,123.05,515.6978000000004,1408.8003999999996,2245.18176,4359.724,98.12582451187448,31.823,68.848,88.481,111.707,136.77590000000006,154.63565,213.5579399999996,2792.783,1593.3442374558304,820.716,1369.39975,1547.4470000000001,1908.67525,2090.8217999999997,2308.2185,2545.4001000000003,4161.164,1261.955334840095,283.507,682.45,914.4195,1850.93275,2249.562,2290.6430499999997,2678.23562,4359.724,0.0,0.0,0.0,37.0,0.0,0,0,0,126,0,0.0,0.0,0.0,131.0,0.0,0,0,0,294,0,2334.9952331435256,200.1,1000,512,90,50000,30,33.0,2097.9
ycsb/throughput-cockroach/ycsb-throughput-cockroach-hot1000-F-mr50-20241126-225357/1-us-east-1-0,1-us-east-1-0,1000,F,50,20241126-225357,4317,724,2596.0,997.0,0,0,43521,23432,17714.0,2375.0,47838,809.2195820985507,4.565,15.358,541.447,1380.36,2102.344,2675.7921999999985,3837.554880000001,8899.191,237.45642597347026,4.565,13.41325,15.763,47.75075,856.9777000000003,1391.186,2580.4415400000084,7171.503,1811.4774516824846,536.259,1250.7627499999999,1616.374,2198.3672500000002,2923.9299000000005,3427.979050000001,4320.8516,7920.087,1442.8196167441326,276.048,758.754,1336.957,1856.5515,2617.230199999999,3104.3082000000004,4261.0912800000015,8899.191,0.0,0.0,0.0,997.0,0.0,0,0,0,724,0,0.0,0.0,0.0,2596.0,0.0,0,0,0,4317,0,483.5643641856925,227.2,1000,512,90,50000,30,37.3,266.6
ycsb/throughput-cockroach/ycsb-throughput-cockroach-hot1000-F-mr50-20241126-225357/3-ap-northeast-1-0,3-ap-northeast-1-0,1000,F,50,20241126-225357,3917,532,2426.0,959.0,0,0,31216,16854,12780.0,1582.0,35133,1136.0357314024093,4.185,14.451,1050.494,1850.253,2645.704,3205.1857999999984,4423.70124,9135.168,333.6247278895369,4.185,12.46025,14.9435,408.235,1234.0613999999998,1653.4324999999994,2609.781010000009,9135.168,2479.8278764044944,1049.662,1902.807,2311.776,2886.132,3584.3896,4011.9883999999993,4983.491759999999,8466.197,2068.6135671931956,624.398,1425.782,1825.745,2463.681,3190.3162,3772.0365999999985,4852.489559999998,8493.75,0.0,0.0,0.0,959.0,0.0,0,0,0,532,0,0.0,0.0,0.0,2426.0,0.0,0,0,0,3917,0,346.84384418878005,168.10000000000002,1000,512,90,50000,30,28.5,192.8
ycsb/throughput-cockroach/ycsb-throughput-cockroach-hot1000-F-mr50-20241126-225357/2-eu-west-1-0,2-eu-west-1-0,1000,F,50,20241126-225357,4026,614,2469.0,943.0,0,0,38405,20678,15706.0,2021.0,42431,921.6189900815573,5.372,17.606,620.412,1644.0149999999999,2429.0185,3002.3611,4244.853499999997,8567.916,274.8747467229828,5.372,15.28925,18.053,117.51025,1069.0109,1601.0114999999996,2647.3762499999957,6981.4,2034.936991322103,692.937,1478.4035,1879.954,2466.9565000000002,3114.3542,3513.2472999999995,4688.544920000003,6255.207,1643.823540171051,277.081,760.98175,1468.209,2203.72575,2988.3570000000004,3622.494149999999,4715.839830000001,8567.916,0.0,0.0,0.0,943.0,0.0,0,0,0,614,0,0.0,0.0,0.0,2469.0,0.0,0,0,0,4026,0,426.7217810535382,199.39999999999998,1000,512,90,50000,30,32.3,234.6
ycsb/throughput-cockroach/ycsb-throughput-cockroach-hot1000-F-mr10-20241126-225357/1-us-east-1-0,1-us-east-1-0,1000,F,10,20241126-225357,9676,6059,2512.0,1105.0,0,0,164176,150575,12261.0,1340.0,173852,210.02499992672338,6.306,20.181,25.865,43.0985,771.6490000000001,1354.0289999999995,2119.0612200000032,7282.195,120.27560802023363,8.213,19.787,24.749,34.751,302.1584000000019,780.1133999999993,1615.6724399999991,6191.646,1522.334814241486,615.051,1154.4075,1426.0194999999999,1745.50175,2209.3424,2596.278450000002,3339.572419999996,5463.454,1187.494299966882,278.179,634.42925,1079.0255,1569.9615000000001,2011.2088000000003,2420.7009499999995,3255.0339699999977,7282.195,0.0,0.0,0.0,1105.0,0.0,0,0,0,6059,0,0.0,0.0,0.0,2512.0,0.0,0,0,0,9676,0,1824.1770310205072,163.3,1000,512,90,50000,30,26.7,1750.7
ycsb/throughput-cockroach/ycsb-throughput-cockroach-hot1000-F-mr10-20241126-225357/3-ap-northeast-1-0,3-ap-northeast-1-0,1000,F,10,20241126-225357,8611,5160,2446.0,1005.0,0,0,114821,105895,8191.0,735.0,123432,298.7926203741731,4.894,15.297,18.28,31.918,1347.0591999999995,1800.1278999999997,2599.0035599999997,7317.644,172.35574516590958,7.828,15.09,17.772,23.001,693.5421999999999,1208.0593999999992,1948.2854800000027,6068.415,2229.404349858357,1079.526,1822.9517500000002,2168.3745,2559.9702500000003,2990.5305,3385.6887500000003,4250.793550000005,4534.262,1824.2213528135765,737.401,1406.61,1793.461,2189.857,2598.2906,2964.7757999999994,3873.079640000002,7317.644,0.0,0.0,0.0,1005.0,0.0,0,0,0,5160,0,0.0,0.0,0.0,2446.0,0.0,0,0,0,8611,0,1275.7876398927895,117.30000000000001,1000,512,90,50000,30,19.2,1230.2
ycsb/throughput-cockroach/ycsb-throughput-cockroach-hot1000-F-mr10-20241126-225357/2-eu-west-1-0,2-eu-west-1-0,1000,F,10,20241126-225357,8756,5427,2353.0,976.0,0,0,140353,128769,10486.0,1098.0,149109,243.61527264086902,7.037,20.168,24.75,39.546,875.2416000000004,1621.3533999999981,2428.474860000007,6802.388,141.47511600763565,9.549,19.834,23.902,31.795,396.36960000000045,970.7201999999991,1939.068359999999,5386.483,1740.9047312440646,740.925,1352.129,1692.028,2028.146,2457.2176000000013,2842.9394,3491.559400000001,4452.508,1363.741817310485,278.789,636.166,1284.394,1843.605,2405.829,2769.3968000000004,3781.157439999999,6802.388,0.0,0.0,0.0,976.0,0.0,0,0,0,5427,0,0.0,0.0,0.0,2353.0,0.0,0,0,0,8756,0,1559.4653975631893,140.39999999999998,1000,512,90,50000,30,22.9,1491.7
ycsb/throughput-cockroach/ycsb-throughput-cockroach-hot100000-F-mr50-20241126-225357/1-us-east-1-0,1-us-east-1-0,100000,F,50,20241126-225357,85,5,66.0,14.0,0,0,86695,43392,37120.0,6183.0,86780,526.2829441904718,4.764,15.97,280.72299999999996,1020.78925,1418.62,1678.6145000000001,1985.710149999999,4090.342,23.319546033368965,9.374,14.057,16.024,18.229,20.652,22.85035,197.68853999999936,2126.617,1277.2113673434856,642.083,1075.229,1265.632,1486.458,1655.9154,1782.6014000000002,1989.2181799999996,3662.267,999.4661470932608,276.085,624.816,827.397,1376.762,1682.0738,1746.3645999999999,2040.21856,4090.342,0.0,0.0,0.0,14.0,0.0,0,0,0,5,0,0.0,0.0,0.0,66.0,0.0,0,0,0,85,0,963.2743081600472,412.6,1000,512,90,50000,30,69.0,480.70000000000005
ycsb/throughput-cockroach/ycsb-throughput-cockroach-hot100000-F-mr50-20241126-225357/3-ap-northeast-1-0,3-ap-northeast-1-0,100000,F,50,20241126-225357,103,2,71.0,30.0,0,0,54677,27345,23455.0,3877.0,54780,830.4620956873315,4.575,14.117,557.0065,1678.1215,2091.0575,2200.7667500000002,2599.5250499999997,4815.984,26.586216444313408,8.397,12.478,14.1755,16.06775,18.146,19.852799999999988,494.2266199999995,2607.304,1996.5393026243848,1272.767,1747.5665,1943.3145,2222.18025,2512.4555,2626.756799999999,2957.732169999999,4815.984,1656.3864773767157,912.749,1394.207,1673.142,1802.851,2198.7256,2204.1342,2601.33968,4557.111,0.0,0.0,0.0,30.0,0.0,0,0,0,2,0,0.0,0.0,0.0,71.0,0.0,0,0,0,103,0,607.5151883303697,260.9,1000,512,90,50000,30,43.0,302.8
ycsb/throughput-cockroach/ycsb-throughput-cockroach-hot100000-F-mr50-20241126-225357/2-eu-west-1-0,2-eu-west-1-0,100000,F,50,20241126-225357,106,6,81.0,19.0,0,0,71689,35892,30679.0,5118.0,71795,633.0504342774453,5.054,17.713,280.32550000000003,1338.9650000000001,1805.8893,2201.09215,2599.4764600000003,4672.058,26.950175790241985,10.522,15.62,17.776,20.116,22.577,24.528899999999993,202.87099000000086,2667.459,1564.7585966386555,811.923,1343.0855000000001,1488.053,1876.2330000000002,2018.5528,2274.273,2419.737440000001,4505.159,1201.3509942162143,277.515,626.565,810.962,1802.921,2201.6064,2205.4992,2603.27244,4672.058,0.0,0.0,0.0,19.0,0.0,0,0,0,6,0,0.0,0.0,0.0,81.0,0.0,0,0,0,106,0,796.5402012216898,343.1,1000,512,90,50000,30,56.8,398.4
ycsb/throughput-cockroach/ycsb-throughput-cockroach-hot100000-F-mr0-20241126-225357/1-us-east-1-0,1-us-east-1-0,100000,F,0,20241126-225357,333,333,,,0,0,266356,266356,,,266689,175.08458575536196,64.094,133.38,170.144,211.19549999999998,251.047,276.277,328.56900000000013,611.627,175.08458575536196,64.094,133.38,170.144,211.19549999999998,251.047,276.277,328.56900000000013,611.627,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,333,0,,,,,,0,0,0,333,0,2959.5109812214623,,1000,512,90,50000,30,,2959.1000000000004
ycsb/throughput-cockroach/ycsb-throughput-cockroach-hot100000-F-mr0-20241126-225357/3-ap-northeast-1-0,3-ap-northeast-1-0,100000,F,0,20241126-225357,318,318,,,0,0,263169,263169,,,263487,178.38267567683963,59.645,133.0815,173.095,217.3065,261.15360000000004,289.6013,346.9191799999998,705.764,178.38267567683963,59.645,133.0815,173.095,217.3065,261.15360000000004,289.6013,346.9191799999998,705.764,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,318,0,,,,,,0,0,0,318,0,2924.094151194389,,1000,512,90,50000,30,,2896.2
ycsb/throughput-cockroach/ycsb-throughput-cockroach-hot100000-F-mr0-20241126-225357/2-eu-west-1-0,2-eu-west-1-0,100000,F,0,20241126-225357,314,314,,,0,0,238261,238261,,,238575,198.12515486422723,66.889,148.993,192.203,240.095,288.5768,319.6437999999999,384.64143999999993,661.618,198.12515486422723,66.889,148.993,192.203,240.095,288.5768,319.6437999999999,384.64143999999993,661.618,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,314,0,,,,,,0,0,0,314,0,2647.3376897623293,,1000,512,90,50000,30,,2646.4
ycsb/throughput-cockroach/ycsb-throughput-cockroach-hot1000-F-mr0-20241126-225357/1-us-east-1-0,1-us-east-1-0,1000,F,0,20241126-225357,5460,5460,,,0,0,255967,255967,,,261427,175.94167228490468,56.935,126.855,164.236,211.347,268.643,311.024,393.5472,700.446,175.94167228490468,56.935,126.855,164.236,211.347,268.643,311.024,393.5472,700.446,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,5460,0,,,,,,0,0,0,5460,0,2844.0692690177416,,1000,512,90,50000,30,,2898.5
ycsb/throughput-cockroach/ycsb-throughput-cockroach-hot1000-F-mr0-20241126-225357/3-ap-northeast-1-0,3-ap-northeast-1-0,1000,F,0,20241126-225357,5648,5648,,,0,0,260012,260012,,,265660,173.15460914039298,55.605,124.5955,161.854,208.347,264.91239999999993,306.00609999999995,388.0299400000001,629.192,173.15460914039298,55.605,124.5955,161.854,208.347,264.91239999999993,306.00609999999995,388.0299400000001,629.192,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,5648,0,,,,,,0,0,0,5648,0,2888.995680537406,,1000,512,90,50000,30,,2948.0
ycsb/throughput-cockroach/ycsb-throughput-cockroach-hot1000-F-mr0-20241126-225357/2-eu-west-1-0,2-eu-west-1-0,1000,F,0,20241126-225357,5197,5197,,,0,0,236997,236997,,,242194,190.32825819128217,57.726,134.902,177.67000000000002,230.511,294.504,341.87425,436.48475,721.189,190.32825819128217,57.726,134.902,177.67000000000002,230.511,294.504,341.87425,436.48475,721.189,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,5197,0,,,,,,0,0,0,5197,0,2633.2762510081475,,1000,512,90,50000,30,,2691.8999999999996
