path,region,suffix,rejected,rejected.NewOrder,rejected.Payment,rejected.OrderStatus,rejected.Delivery,rejected.StockLevel,aborted,aborted.NewOrder,unexpected,completed,completed.NewOrder,completed.Payment,completed.OrderStatus,completed.Delivery,completed.StockLevel,total,avg,p0,p25,p50,p75,p90,p95,p99,p100,avg.OrderStatus,p0.OrderStatus,p25.OrderStatus,p50.OrderStatus,p75.OrderStatus,p90.OrderStatus,p95.OrderStatus,p99.OrderStatus,p100.OrderStatus,avg.Payment,p0.Payment,p25.Payment,p50.Payment,p75.Payment,p90.Payment,p95.Payment,p99.Payment,p100.Payment,avg.Delivery,p0.Delivery,p25.Delivery,p50.Delivery,p75.Delivery,p90.Delivery,p95.Delivery,p99.Delivery,p100.Delivery,avg.StockLevel,p0.StockLevel,p25.StockLevel,p50.StockLevel,p75.StockLevel,p90.StockLevel,p95.StockLevel,p99.StockLevel,p100.StockLevel,avg.NewOrder,p0.NewOrder,p25.NewOrder,p50.NewOrder,p75.NewOrder,p90.NewOrder,p95.NewOrder,p99.NewOrder,p100.NewOrder,throughput.Payment,throughput.Delivery,throughput.NewOrder,ood_index_page.Delivery,ood_table.Delivery,ood_tuple.Delivery,other_aborts.Delivery,deadlock.Delivery,ood_index_page.Payment,ood_table.Payment,ood_tuple.Payment,other_aborts.Payment,deadlock.Payment,ood_index_page.NewOrder,ood_table.NewOrder,ood_tuple.NewOrder,other_aborts.NewOrder,deadlock.NewOrder,ood_index_page.OrderStatus,ood_table.OrderStatus,ood_tuple.OrderStatus,other_aborts.OrderStatus,deadlock.OrderStatus,ood_index_page.StockLevel,ood_table.StockLevel,ood_tuple.StockLevel,other_aborts.StockLevel,deadlock.StockLevel,ood_index_page,ood_table,ood_tuple,other_aborts,deadlock,throughput.OrderStatus,throughput,throughput.StockLevel,scalefactor,terminals,time,rate,warmup,unexpected.NewOrder
tpcc/sunstorm-serializable/tpcc-10-sunstorm-terminals10-20241221-212144/3-ap-northeast-1-0,3-ap-northeast-1-0,20241221-212144,8399,4239.0,4148.0,,,12.0,87,87,0,15256,6696,6470,726,690,674,23742,32.82049800065552,0.405,2.6615,5.554,10.848500000000001,158.1224,209.5539,231.2279199999999,677.489,0.7361997245179063,0.405,0.53325,0.617,0.861,1.0775000000000001,1.2385000000000002,2.1525,4.301,40.01289675425039,1.508,2.35525,2.9865000000000004,4.43975,206.2517,209.44985,255.34960999999993,486.372,13.361457971014492,8.318,9.975750000000001,11.0505,14.4895,19.2574,20.752999999999993,72.36889000000001,87.463,2.282970326409496,1.283,1.8079999999999998,2.001,2.2554999999999996,2.8189000000000006,3.431500000000002,9.870959999999997,31.618,34.42877460791636,3.366,6.0825,7.977,13.1745,161.1276,212.8406,231.18711999999996,677.489,124.69999999999999,12.5,129.0,,,,,,0.0,0.0,3.0,0.0,0.0,5.0,0.0,7.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,5,0,10,8384,0,12.899999999999999,254.2646749648525,11.3,10,10,60,50000,0,
tpcc/sunstorm-serializable/tpcc-10-sunstorm-terminals10-20241221-212144/2-eu-west-1-0,2-eu-west-1-0,20241221-212144,6502,3301.0,3199.0,,1.0,1.0,139,139,0,20384,9146,8625,818,911,884,27025,26.542493107000933,0.617,3.141,7.063,12.8205,80.7888,209.413,228.40628000000004,581.859,0.9723044009779952,0.617,0.75125,0.842,1.034,1.27,1.5041499999999999,2.677580000000005,7.366,30.76260076530612,2.201,2.852,3.3445,4.679,88.6221999999999,209.66965,232.7530600000001,495.304,16.538908891328212,11.973,13.5845,14.634,17.8635,20.612,22.2095,66.0886999999993,85.567,2.3579513023782557,1.497,1.997,2.17,2.4065000000000003,2.7906000000000013,3.6411999999999995,6.198279999999988,11.581,28.18425038268095,4.651,7.73325,9.812999999999999,13.8505,83.878,212.91025,230.96359999999993,581.859,159.9,15.700000000000001,169.60000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0,0,5,6497,0,13.3,339.7284401000435,14.600000000000001,10,10,60,50000,0,
tpcc/sunstorm-serializable/tpcc-100-sunstorm-terminals100-20241222-100037/1-us-east-1-0,1-us-east-1-0,20241222-100037,65160,5260.0,59897.0,,3.0,,607,607,0,101218,52841,33853,4763,4835,4926,166985,44.453186891143545,1.704,11.327,18.7095,30.878,118.60300000000001,194.11950000000002,265.0548,4803.626,2.9128549233676253,0.629,1.339,1.75,2.628,5.460400000000001,9.778299999999982,18.818400000000004,78.666,49.88456963932296,2.339,8.212,10.535,24.99,176.1244,212.7121999999999,282.354880000001,4803.626,43.27700766362884,16.806,29.26075,33.804,42.19175,88.159,97.8921,111.12618999999995,227.18,10.603368656110435,1.824,5.32225,8.961500000000001,13.933,19.4315,23.106499999999997,32.53075,92.587,46.14209133923839,6.423,16.99775,21.3385,31.5615,100.9015,190.91250000000002,265.6783,4694.751,948.6,86.30000000000001,988.5,0.0,0.0,0.0,0.0,0.0,234.0,0.0,219.0,0.0,0.0,314.0,0.0,740.0,0.0,0.0,,,,,,,,,,,548,0,959,63653,0,87.30000000000001,1686.9658497253379,88.7,100,100,60,50000,0,
tpcc/sunstorm-serializable/tpcc-100-sunstorm-terminals100-20241222-100037/3-ap-northeast-1-0,3-ap-northeast-1-0,20241222-100037,102978,9945.0,93032.0,,1.0,,522,522,0,69283,42927,14293,3991,4063,4009,172783,46.760353335563124,2.38,11.13475,15.841999999999999,25.20925,187.6395,242.43875,338.06174999999996,735.909,1.9139371084941115,0.429,0.935,1.213,1.7959999999999998,3.453,5.2170000000000005,11.293799999999962,105.377,68.3362871335619,2.684,7.389,9.862,77.1,235.03480000000002,264.50219999999996,447.32352,735.909,32.08736381562731,12.089,21.176,25.025,30.789,73.128,83.9342,95.25468000000001,204.185,7.774025948103792,1.672,3.7195,6.15,10.325,14.399700000000005,17.142949999999995,25.05720999999997,105.491,45.0640805181492,5.041,13.12825,16.628,24.31725,170.3449,242.43179999999998,319.81203000000005,647.218,721.0,69.1,759.7,0.0,0.0,0.0,0.0,0.0,274.0,0.0,316.0,0.0,0.0,732.0,0.0,1226.0,0.0,0.0,,,,,,,,,,,1006,0,1542,100430,0,67.4,1154.7050505840439,67.9,100,100,60,50000,0,
tpcc/sunstorm-serializable/tpcc-100-sunstorm-terminals100-20241222-100037/2-eu-west-1-0,2-eu-west-1-0,20241222-100037,88818,12875.0,75918.0,,14.0,11.0,585,585,0,86444,47394,25507,4624,4480,4439,175847,45.322301930631404,2.029,11.8035,17.793,30.26725,124.0715,236.48399999999998,318.6398500000001,783.673,2.6262846020761246,0.493,1.163,1.6,2.7447500000000002,5.097899999999998,7.668249999999997,14.533649999999978,92.357,53.14321233386914,3.171,8.0,10.893,33.320499999999996,222.94700000000006,250.76479999999998,341.9762399999999,783.673,40.02051205357143,13.966,25.706,30.308999999999997,39.3775,84.7161,93.98385,104.71512000000001,269.071,10.783672899301646,1.614,5.112500000000001,9.261,14.292000000000002,19.4712,23.224799999999984,33.89001999999999,181.791,46.27763549469331,5.875,15.459,19.597,30.832,107.7240000000001,236.38060000000002,317.0794400000001,645.512,818.0,75.7,861.5999999999999,0.0,0.0,0.0,0.0,0.0,273.0,0.0,251.0,0.0,0.0,461.0,0.0,968.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,734,0,1219,86865,0,77.9,1440.719665586046,76.0,100,100,60,50000,0,
tpcc/sunstorm-serializable/tpcc-100-sunstorm-terminals60-20241222-100037/1-us-east-1-0,1-us-east-1-0,20241222-100037,43888,4657.0,39225.0,,,6.0,554,554,0,90586,45135,32927,4137,4178,4209,135028,32.46449288513551,0.687,6.638,12.597,20.051,97.62920000000015,170.25900000000001,236.22660000000002,613.535,1.579844815083394,0.687,1.026,1.199,1.478,2.0896000000000003,3.7252,8.748519999999974,41.252,37.606196434537004,2.621,5.48,7.041,12.019,161.1396,180.60749999999996,248.31313999999998,613.535,29.81312760354321,14.03,20.866,23.62,27.265,63.52380000000005,82.899,95.82992,155.391,3.901239249227845,1.66,2.79,3.198,3.874,5.645800000000002,8.253999999999998,15.337880000000013,49.428,34.45380411663047,5.664,12.35125,15.409,20.59275,93.31530000000004,171.72135,235.52503999999996,523.916,759.6,70.2,798.2,,,,,,45.0,0.0,61.0,0.0,0.0,91.0,0.0,201.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,136,0,262,43490,0,70.6,1509.7611924990467,70.3,100,60,60,50000,0,
tpcc/sunstorm-serializable/tpcc-100-sunstorm-terminals60-20241222-100037/3-ap-northeast-1-0,3-ap-northeast-1-0,20241222-100037,69094,8481.0,60609.0,,3.0,1.0,412,412,0,48424,29000,10956,2833,2799,2836,117930,40.983940379929706,1.056,7.177,11.124,17.629,171.8434,225.40839999999997,314.7192799999998,723.446,1.1323755735968937,0.429,0.687,0.864,1.091,1.4728000000000003,2.1072,6.476359999999968,51.704,68.0120805111821,1.942,4.738,6.606,159.7255,221.25660000000002,271.2411999999999,424.64245999999997,723.446,23.503372275812794,9.202,14.716000000000001,17.758,21.662,36.75020000000002,77.13059999999996,90.68437999999999,159.138,3.376299717912553,1.541,2.368,2.754,3.45875,5.0205,6.78475,13.47470000000001,50.068,37.19468651724139,3.912,9.397,12.058,17.0875,160.72160000000002,223.98915,287.6256499999999,571.072,503.4,46.2,529.5,0.0,0.0,0.0,0.0,0.0,54.0,0.0,90.0,0.0,0.0,195.0,0.0,420.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,249,0,510,68335,0,47.4,807.0640387719989,47.3,100,60,60,50000,0,
tpcc/sunstorm-serializable/tpcc-100-sunstorm-terminals60-20241222-100037/2-eu-west-1-0,2-eu-west-1-0,20241222-100037,67331,839.0,66481.0,1.0,4.0,6.0,386,386,0,65696,38238,17109,3439,3447,3463,133413,34.891637098808246,1.128,7.47875,11.89,18.15925,94.9385,220.0735,289.7411500000001,651.978,1.3203908112823497,0.481,0.8085,0.996,1.2595,1.7862000000000002,2.9160999999999992,7.52848,49.074,49.95403314238952,2.403,4.91475,6.535,56.57575,217.31320000000002,238.6323,338.51656,651.978,25.34156251813171,10.74,16.8955,19.752,23.474,38.36800000000001,78.62219999999999,91.91628,179.758,3.82463413225527,1.528,2.5985,3.03,3.9295,5.646400000000001,7.980299999999997,16.520720000000026,49.572,32.83611007374862,4.536,10.438,13.15,17.797,85.04990000000004,172.25825000000003,278.1085299999999,549.789,637.9,57.3,658.2,0.0,0.0,0.0,0.0,0.0,37.0,0.0,47.0,0.0,0.0,105.0,0.0,232.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,0,279,66910,0,58.1,1094.9310528291853,58.0,100,60,60,50000,0,
tpcc/sunstorm-serializable/tpcc-100-sunstorm-terminals20-20241222-100037/1-us-east-1-0,1-us-east-1-0,20241222-100037,19429,163.0,19263.0,,,3.0,216,216,0,40935,21018,14381,1855,1824,1857,60580,23.152858919235843,0.636,3.64325,8.473,13.108,82.658,156.56015,180.2018599999999,483.86,1.0729935309973047,0.636,0.8045,0.946,1.1415,1.3848000000000003,1.6139999999999994,3.8752400000000016,10.242,30.268963284889786,2.255,3.256,3.73,4.987,154.051,159.272,229.48280000000008,483.86,18.828498355263157,12.881,14.9995,16.7135,20.12725,22.9627,25.282649999999997,77.75437,113.078,2.6071088362068964,1.633,2.188,2.3825000000000003,2.6315,2.992,3.7424999999999997,8.110800000000001,33.853,22.423144169006044,4.827,8.406,10.423,13.303,70.78480000000008,117.68340000000111,170.86328,257.581,356.6,31.2,379.6,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0,0,3,19426,0,30.6,682.2396124129626,31.4,100,20,60,50000,0,
tpcc/sunstorm-serializable/tpcc-100-sunstorm-terminals20-20241222-100037/3-ap-northeast-1-0,3-ap-northeast-1-0,20241222-100037,15457,981.0,14473.0,,,3.0,183,183,0,30378,15401,10740,1383,1444,1410,46018,31.46384600190934,0.39,3.136,6.298,10.32,157.6386,211.495,237.22711999999908,601.319,0.7915090383224873,0.39,0.531,0.651,0.8975,1.053,1.1936999999999995,2.452420000000001,39.773,48.91978491620112,1.535,2.559,3.235,5.86425,209.84820000000002,213.31820000000002,360.5503300000001,601.319,13.904391274238227,8.504,10.33775,11.602,14.5165,19.412,20.825999999999997,73.47703999999997,84.179,2.3388879432624115,1.325,1.8795,2.0805,2.3485,2.794600000000001,3.5880499999999995,7.942220000000003,30.166,26.357683766233762,3.385,6.10875,7.649,10.44225,71.09790000000002,210.50469999999996,222.39238000000003,434.75,246.6,24.6,264.5,,,,,,0.0,0.0,2.0,0.0,0.0,1.0,0.0,7.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,1,0,9,15447,0,23.4,506.294708806819,22.6,100,20,60,50000,0,
tpcc/sunstorm-serializable/tpcc-100-sunstorm-terminals20-20241222-100037/2-eu-west-1-0,2-eu-west-1-0,20241222-100037,14122,31.0,14091.0,,,,202,202,0,40519,20182,14989,1794,1745,1809,54843,24.884383079542932,0.445,3.339,6.736,10.716000000000001,81.74700000000001,210.4964,223.34626,513.564,0.8538628762541806,0.445,0.608,0.7244999999999999,0.98,1.1994,1.43335,2.4644699999999986,16.976,33.869497898458874,2.01,2.968,3.455,4.607,207.14180000000005,212.2162,260.0318399999999,513.564,15.235315759312323,9.268,11.618,13.068,16.103,19.9432,21.5878,73.61159999999998,86.494,2.44737707641196,1.449,2.021,2.218,2.4787500000000002,2.885,3.56575,8.123000000000028,16.038,23.192882717272816,3.843,6.813,8.464,11.09325,70.6427,129.1070000000013,221.24644999999992,333.44,320.3,28.7,342.4,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,,,,,,,,,,0,0,2,14120,0,29.5,675.3071029562194,30.6,100,20,60,50000,0,
