path,region,hot,workload,mr,suffix,rejected,rejected.WorkloadF1,rejected.WorkloadF2,rejected.WorkloadF3,aborted,unexpected,unexpected.WorkloadF2,unexpected.WorkloadF3,completed,completed.WorkloadF1,completed.WorkloadF2,completed.WorkloadF3,total,throughput.WorkloadF1,avg.WorkloadF1,p0.WorkloadF1,p25.WorkloadF1,p50.WorkloadF1,p75.WorkloadF1,p90.WorkloadF1,p95.WorkloadF1,p99.WorkloadF1,p100.WorkloadF1,ood_index_page.WorkloadF3,ood_table.WorkloadF3,ood_tuple.WorkloadF3,other_aborts.WorkloadF3,deadlock.WorkloadF3,ood_index_page.WorkloadF2,ood_table.WorkloadF2,ood_tuple.WorkloadF2,other_aborts.WorkloadF2,deadlock.WorkloadF2,ood_index_page.WorkloadF1,ood_table.WorkloadF1,ood_tuple.WorkloadF1,other_aborts.WorkloadF1,deadlock.WorkloadF1,ood_index_page,ood_table,ood_tuple,other_aborts,deadlock,scalefactor,terminals,time,rate,warmup,avg,p0,p25,p50,p75,p90,p95,p99,p100,avg.WorkloadF2,p0.WorkloadF2,p25.WorkloadF2,p50.WorkloadF2,p75.WorkloadF2,p90.WorkloadF2,p95.WorkloadF2,p99.WorkloadF2,p100.WorkloadF2,avg.WorkloadF3,p0.WorkloadF3,p25.WorkloadF3,p50.WorkloadF3,p75.WorkloadF3,p90.WorkloadF3,p95.WorkloadF3,p99.WorkloadF3,p100.WorkloadF3,throughput.WorkloadF3,throughput.WorkloadF2,throughput
ycsb/rmw-sunstorm/ycsb-throughput-sunstorm-hot100000-F-mr10-20240808-222102/1-us-east-1-0,1-us-east-1-0,100000,F,10,20240808-222102,1555,987,461.0,107.0,0,0,,,467425,420169,40500.0,6756.0,468980,4673.6,5.260373782891514,3.157,4.484,5.012,5.584,6.236,6.698,8.295880000000004,208.565,2.0,0.0,86.0,19.0,0.0,8.0,0.0,343.0,110.0,0.0,0,0,0,987,0,10,0,429,1116,0,1000,96,90,50000,30,18.512956854333996,2.996,4.546,5.123,5.893,82.112,160.13150000000002,175.55229999999997,810.792,129.72519206329585,80.092,85.224,155.643,168.994,173.7986,180.97719999999993,239.3903999999999,810.792,174.29500474777447,154.649,163.49124999999998,171.0575,174.9315,182.9539,199.37224999999998,333.7051999999998,505.102,75.2,447.9,5193.559758634873
ycsb/rmw-sunstorm/ycsb-throughput-sunstorm-hot100000-F-mr10-20240808-222102/2-eu-west-1-0,2-eu-west-1-0,100000,F,10,20240808-222102,1616,1000,516.0,100.0,0,0,,,431625,388610,36737.0,6278.0,433241,4310.4,4.266546812077502,2.417,3.592,4.065,4.58,5.172,5.558,6.727,218.506,1.0,0.0,82.0,17.0,0.0,5.0,0.0,409.0,102.0,0.0,0,0,0,1000,0,6,0,491,1119,0,1000,96,90,50000,30,20.038115256498763,2.282,3.658,4.154,4.875,75.5026000000001,211.636,217.069,699.856,152.29156644309938,77.893,83.42625000000001,164.851,213.62675000000002,215.94,218.26475000000002,291.7718700000002,699.856,220.822763296598,208.761,213.831,215.425,217.552,220.485,241.658,427.2983999999999,662.373,69.8,408.5,4795.790752679545
ycsb/rmw-sunstorm/ycsb-throughput-sunstorm-hot1000-F-mr0-20240808-223622/3-ap-northeast-1-0,3-ap-northeast-1-0,1000,F,0,20240808-223622,14565,14565,,,0,0,,,954559,954559,,,969124,10623.5,6.0489251013619345,3.905,5.156,5.639,6.146,6.728,7.312,11.056,87.163,,,,,,,,,,,0,0,0,14565,0,0,0,0,14565,0,1000,64,90,50000,30,6.0489251013619345,3.905,5.156,5.639,6.146,6.728,7.312,11.056,87.163,,,,,,,,,,,,,,,,,,,,,10606.172231004946
ycsb/rmw-sunstorm/ycsb-throughput-sunstorm-hot1000-F-mr0-20240808-223622/1-us-east-1-0,1-us-east-1-0,1000,F,0,20240808-223622,14179,14179,,,0,0,,,937261,937261,,,951440,10429.599999999999,6.160994929167276,3.964,5.253,5.744,6.279,6.921,7.553,11.387,87.844,,,,,,,,,,,0,0,0,14179,0,0,0,0,14179,0,1000,64,90,50000,30,6.160994929167276,3.964,5.253,5.744,6.279,6.921,7.553,11.387,87.844,,,,,,,,,,,,,,,,,,,,,10413.915855832749
ycsb/rmw-sunstorm/ycsb-throughput-sunstorm-hot1000-F-mr0-20240808-223622/2-eu-west-1-0,2-eu-west-1-0,1000,F,0,20240808-223622,15570,15570,,,0,0,,,1039930,1039930,,,1055500,11526.0,5.55703708059059,3.522,4.718,5.156,5.668,6.244,6.801,10.055,84.548,,,,,,,,,,,0,0,0,15570,0,0,0,0,15570,0,1000,64,90,50000,30,5.55703708059059,3.522,4.718,5.156,5.668,6.244,6.801,10.055,84.548,,,,,,,,,,,,,,,,,,,,,11554.7430718231
ycsb/rmw-sunstorm/ycsb-throughput-sunstorm-hot1000-F-mr15-20240808-223622/3-ap-northeast-1-0,3-ap-northeast-1-0,1000,F,15,20240808-223622,30995,15778,11587.0,3630.0,0,98,81.0,17.0,179284,153866,22134.0,3284.0,210377,1712.6,5.004457631208265,2.492,3.767,4.21,4.861,5.538,5.973,8.232140000000014,1191.503,34.0,0.0,2329.0,1267.0,17.0,154.0,0.0,6618.0,4815.0,81.0,0,0,0,15778,0,188,0,8947,21860,98,1000,96,90,50000,30,47.727812057661275,2.152,3.831,4.456,5.423,215.6708,248.66759999999982,585.9340399999978,1668.967,275.0932729200017,153.88,180.892,220.061,352.07,445.7937999999999,574.4585999999995,690.8816400000002,1539.146,385.2089229971481,214.228,226.402,255.99,470.516,677.9154,722.7543999999999,892.8625600000001,1668.967,42.5,260.4,1992.0430767740693
ycsb/rmw-sunstorm/ycsb-throughput-sunstorm-hot1000-F-mr15-20240808-223622/1-us-east-1-0,1-us-east-1-0,1000,F,15,20240808-223622,32512,16835,11896.0,3781.0,0,72,58.0,14.0,228595,195599,28629.0,4367.0,261179,2507.8,5.7632258397216845,2.755,4.105,4.658,5.253,5.943,6.5,9.431199999999953,10776.799,305.0,0.0,1875.0,1601.0,14.0,690.0,0.0,5452.0,5754.0,58.0,0,0,0,16835,0,995,0,7327,24190,72,1000,96,90,50000,30,37.57070138374211,2.459,4.205,4.83,5.828,147.24420000000478,183.82444999999998,378.5969700000015,11184.05,199.77375440502462,80.662,95.8505,166.893,190.221,324.9264000000001,365.3396,512.6158999999997,11164.527,328.3102816068515,157.989,176.283,193.4435,363.45574999999997,519.406,550.7345499999999,656.0950200000005,11184.05,61.4,378.4,2539.918271659065
ycsb/rmw-sunstorm/ycsb-throughput-sunstorm-hot1000-F-mr15-20240808-223622/2-eu-west-1-0,2-eu-west-1-0,1000,F,15,20240808-223622,31388,14618,12573.0,4197.0,0,47,41.0,6.0,176190,151592,21530.0,3068.0,207625,1913.8,5.235803044228594,1.909,3.202,3.74,4.361,5.044,5.538,7.4159199999999545,11023.485,29.0,0.0,2842.0,1326.0,6.0,89.0,0.0,7622.0,4862.0,41.0,0,0,0,14618,0,118,0,10464,20806,47,1000,96,90,50000,30,48.394130115283474,1.665,3.313,3.892,4.934,212.814,241.72275000000002,562.3207499999978,11623.161,260.0828320553827,79.638,108.1385,217.697,298.7475,438.56479999999993,523.6017999999996,694.8107399999993,11522.147,492.1799337160752,210.48,230.90925,430.6195,561.8365,734.8825,796.1884499999999,1114.634210000001,11623.161,47.6,286.4,1957.6640561433996
ycsb/rmw-sunstorm/ycsb-throughput-sunstorm-hot100000-F-mr5-20240808-222102/3-ap-northeast-1-0,3-ap-northeast-1-0,100000,F,5,20240808-222102,2345,1415,775.0,155.0,0,0,,,571407,543124,24274.0,4009.0,573752,6035.1,5.157343487742755,3.107,4.374,4.86,5.419,6.036,6.535,8.740819999999948,284.261,20.0,0.0,116.0,19.0,0.0,106.0,0.0,610.0,59.0,0.0,0,0,0,1415,0,126,0,726,1493,0,1000,96,90,50000,30,15.145593839779444,3.05,4.397,4.918,5.527,6.488,75.51990000000049,219.757,720.156,202.55380576994511,154.226,170.747,213.564,217.754,222.53040000000001,258.8352,424.11636000000243,720.025,230.9807314142678,211.572,217.726,219.748,222.664,238.05339999999998,281.40039999999993,441.88396,720.156,44.3,269.4,6348.9461980168435
ycsb/rmw-sunstorm/ycsb-throughput-sunstorm-hot100000-F-mr5-20240808-222102/1-us-east-1-0,1-us-east-1-0,100000,F,5,20240808-222102,2134,1445,568.0,121.0,0,0,,,689790,655545,29372.0,4873.0,691924,7250.5,5.813152024332482,3.534,4.896,5.425,6.01,6.756,7.477,10.692329999999957,185.416,10.0,0.0,96.0,15.0,0.0,55.0,0.0,422.0,91.0,0.0,0,0,0,1445,0,65,0,518,1551,0,1000,96,90,50000,30,12.55329071782683,3.463,4.926,5.475,6.147,7.409,81.23095000000286,174.71045999999998,811.889,134.71587005591925,80.907,87.57075,158.53949999999998,171.44925,177.7996,189.85444999999993,259.195,811.889,180.27687643914473,156.716,166.71375,173.94,179.0375,191.79199999999997,229.46179999999995,346.27730999999994,591.739,53.2,325.4,7664.248430151757
ycsb/rmw-sunstorm/ycsb-throughput-sunstorm-hot100000-F-mr5-20240808-222102/2-eu-west-1-0,2-eu-west-1-0,100000,F,5,20240808-222102,2264,1508,623.0,133.0,0,0,,,673112,639349,28884.0,4879.0,675376,7106.8,4.683670340593113,2.825,3.971,4.414,4.907,5.487,5.944,8.100689999999945,224.783,17.0,0.0,101.0,15.0,0.0,45.0,0.0,503.0,75.0,0.0,0,0,0,1508,0,62,0,604,1598,0,1000,96,90,50000,30,12.869547559732332,2.769,4.0,4.455,5.025,5.91,81.17,217.742,1212.058,157.35177820174832,78.995,85.489,210.9595,215.81525,219.2629,230.36784999999998,306.1232,1212.058,227.17841859987684,210.169,215.834,217.888,220.633,230.439,273.88599999999997,437.22360000000003,672.981,53.6,321.4,7478.981455873202
ycsb/rmw-sunstorm/ycsb-throughput-sunstorm-hot100000-F-mr15-20240808-222102/3-ap-northeast-1-0,3-ap-northeast-1-0,100000,F,15,20240808-222102,1289,664,526.0,99.0,0,0,,,256210,217659,32961.0,5590.0,257499,2409.8,4.503859172143434,2.634,3.864,4.276,4.903,5.485,5.875,6.823760000000009,217.854,1.0,0.0,85.0,13.0,0.0,3.0,0.0,402.0,121.0,0.0,0,0,0,664,0,4,0,487,798,0,1000,96,90,50000,30,33.75646683292944,2.344,3.931,4.487,5.385,172.1702,214.023,218.6062000000001,642.254,194.97685386392655,151.208,168.34825,210.7975,214.045,216.298,218.6107,367.08122,640.403,221.03453284278532,209.999,214.38075,215.793,217.636,220.0018,230.87149999999994,427.59979,642.254,62.0,367.1,2846.7479208009095
ycsb/rmw-sunstorm/ycsb-throughput-sunstorm-hot100000-F-mr15-20240808-222102/1-us-east-1-0,1-us-east-1-0,100000,F,15,20240808-222102,1336,773,478.0,85.0,0,0,,,356721,303770,45503.0,7448.0,358057,3392.4,5.002332260260843,2.917,4.252,4.795,5.378,6.032,6.478,7.683429999999993,169.105,0.0,0.0,63.0,22.0,0.0,3.0,0.0,336.0,139.0,0.0,0,0,0,773,0,3,0,399,934,0,1000,96,90,50000,30,24.24972572723413,2.628,4.349,4.973,5.922,84.928,167.09820000000002,179.74803999999997,538.594,128.25825653102095,79.053,83.665,154.617,168.335,173.31040000000002,180.21839999999997,234.4852,505.413,172.6488933422999,153.701,162.5665,170.122,173.748,182.2502,186.7042,318.3582599999996,538.594,82.6,504.20000000000005,3963.523277757149
ycsb/rmw-sunstorm/ycsb-throughput-sunstorm-hot100000-F-mr15-20240808-222102/2-eu-west-1-0,2-eu-west-1-0,100000,F,15,20240808-222102,1291,721,462.0,108.0,0,0,,,315417,268228,40518.0,6671.0,316708,2967.3,4.06412930025174,2.186,3.379,3.882,4.418,5.048,5.427,6.366,218.431,0.0,0.0,78.0,30.0,0.0,1.0,0.0,332.0,129.0,0.0,0,0,0,721,0,1,0,410,880,0,1000,96,90,50000,30,27.411319194257043,1.919,3.48,4.03,4.956,83.428,212.128,215.73159,636.148,150.33886012015128,77.209,82.032,208.422,212.171,213.909,215.3282,280.10323999999986,636.148,218.52335758304525,208.583,212.508,213.785,215.337,217.3914,224.08239999999998,423.76887999999997,635.18,74.2,447.0,3504.629251219062
ycsb/rmw-sunstorm/ycsb-throughput-sunstorm-hot100000-F-mr0-20240808-222102/3-ap-northeast-1-0,3-ap-northeast-1-0,100000,F,0,20240808-222102,896,896,,,0,0,,,967186,967186,,,968082,10722.9,5.970631135672597,3.819,5.076,5.578,6.074,6.647,7.117,9.315,98.294,,,,,,,,,,,0,0,0,896,0,0,0,0,896,0,1000,64,90,50000,30,5.970631135672597,3.819,5.076,5.578,6.074,6.647,7.117,9.315,98.294,,,,,,,,,,,,,,,,,,,,,10746.498712278519
ycsb/rmw-sunstorm/ycsb-throughput-sunstorm-hot100000-F-mr0-20240808-222102/1-us-east-1-0,1-us-east-1-0,100000,F,0,20240808-222102,846,846,,,0,0,,,928673,928673,,,929519,10383.8,6.21933808625755,3.978,5.289,5.778,6.334,6.953,7.475,9.925,233.931,,,,,,,,,,,0,0,0,846,0,0,0,0,846,0,1000,64,90,50000,30,6.21933808625755,3.978,5.289,5.778,6.334,6.953,7.475,9.925,233.931,,,,,,,,,,,,,,,,,,,,,10318.485211042485
ycsb/rmw-sunstorm/ycsb-throughput-sunstorm-hot100000-F-mr0-20240808-222102/2-eu-west-1-0,2-eu-west-1-0,100000,F,0,20240808-222102,989,989,,,0,0,,,1065780,1065780,,,1066769,11836.3,5.4212569701921165,3.418,4.598,5.037,5.539,6.059,6.495,8.708,86.47,,,,,,,,,,,0,0,0,989,0,0,0,0,989,0,1000,64,90,50000,30,5.4212569701921165,3.418,4.598,5.037,5.539,6.059,6.495,8.708,86.47,,,,,,,,,,,,,,,,,,,,,11841.99505623022
ycsb/rmw-sunstorm/ycsb-throughput-sunstorm-hot1000-F-mr50-20240808-223622/3-ap-northeast-1-0,3-ap-northeast-1-0,1000,F,50,20240808-223622,30596,5909,18988.0,5699.0,0,0,,,80432,41216,34126.0,5090.0,111028,460.1,5.287460263772629,2.57,3.885,4.446,5.044,5.781,6.341,8.552200000000012,282.87,1.0,0.0,2872.0,2826.0,0.0,0.0,0.0,8191.0,10797.0,0.0,0,0,0,5909,0,1,0,11063,19532,0,1000,128,90,50000,30,138.4015733294764,0.965,4.443,158.90949999999998,218.781,388.9893,442.494,657.18158,898.742,256.614997867385,154.421,174.719,216.943,331.955,430.34180000000003,502.3469999999997,624.08092,860.481,354.9578426251465,156.955,222.157,231.114,447.365,660.1268000000001,669.5502,706.31692,898.742,67.2,397.4,893.6849027463978
ycsb/rmw-sunstorm/ycsb-throughput-sunstorm-hot1000-F-mr50-20240808-223622/1-us-east-1-0,1-us-east-1-0,1000,F,50,20240808-223622,35550,6892,22194.0,6464.0,0,0,,,125527,63662,53606.0,8259.0,161077,708.3,5.117650073298759,2.738,4.027,4.555,5.123,5.765,6.23,8.054100000000012,269.882,0.0,0.0,2326.0,4138.0,0.0,1.0,0.0,6816.0,15377.0,0.0,0,0,0,6892,0,1,0,9142,26407,0,1000,128,90,50000,30,90.1005966333187,1.024,4.549,81.8495,166.54125,243.25009999999995,332.0669499999999,466.3970699999928,730.519,161.7211740137941,79.122,87.499,162.4235,177.27575000000002,265.09000000000003,338.384,431.08984999999996,712.256,256.5707021276596,76.427,170.588,180.192,341.6,485.4896000000001,513.1332,544.5838399999997,730.519,99.30000000000001,611.5,1394.737779504
ycsb/rmw-sunstorm/ycsb-throughput-sunstorm-hot1000-F-mr50-20240808-223622/2-eu-west-1-0,2-eu-west-1-0,1000,F,50,20240808-223622,33682,6731,20845.0,6106.0,0,0,,,103962,52974,44327.0,6661.0,137644,588.9000000000001,4.180262499526893,1.965,3.185,3.686,4.295,4.9929000000000014,5.453,6.513,280.935,0.0,0.0,2602.0,3504.0,0.0,1.0,0.0,7434.0,13410.0,0.0,0,0,0,6731,0,1,0,10036,23645,0,1000,128,90,50000,30,108.02212810577991,0.702,3.682,80.1045,213.642,294.59139999999996,427.3521999999999,639.3417299999999,917.126,191.89349025008744,77.443,86.11475,212.023,219.48925,313.8374,428.765,525.76388,917.126,333.9825776822882,209.58,217.42649999999998,224.453,435.4295,643.4628,653.6516,682.64004,854.637,82.6,512.1,1155.1239742236958
