path,region,hot,workload,mr,suffix,rejected,rejected.WorkloadF1,rejected.WorkloadF2,rejected.WorkloadF3,aborted,unexpected,completed,completed.WorkloadF1,completed.WorkloadF2,completed.WorkloadF3,total,throughput,avg,p0,p25,p50,p75,p90,p95,p99,p100,scalefactor,terminals,time,rate,warmup,throughput.WorkloadF2,avg.WorkloadF2,p0.WorkloadF2,p25.WorkloadF2,p50.WorkloadF2,p75.WorkloadF2,p90.WorkloadF2,p95.WorkloadF2,p99.WorkloadF2,p100.WorkloadF2,throughput.WorkloadF1,avg.WorkloadF1,p0.WorkloadF1,p25.WorkloadF1,p50.WorkloadF1,p75.WorkloadF1,p90.WorkloadF1,p95.WorkloadF1,p99.WorkloadF1,p100.WorkloadF1,ood_index_page.WorkloadF3,ood_table.WorkloadF3,ood_tuple.WorkloadF3,other_aborts.WorkloadF3,deadlock.WorkloadF3,ood_index_page.WorkloadF1,ood_table.WorkloadF1,ood_tuple.WorkloadF1,other_aborts.WorkloadF1,deadlock.WorkloadF1,ood_index_page.WorkloadF2,ood_table.WorkloadF2,ood_tuple.WorkloadF2,other_aborts.WorkloadF2,deadlock.WorkloadF2,ood_index_page,ood_table,ood_tuple,other_aborts,deadlock,throughput.WorkloadF3,avg.WorkloadF3,p0.WorkloadF3,p25.WorkloadF3,p50.WorkloadF3,p75.WorkloadF3,p90.WorkloadF3,p95.WorkloadF3,p99.WorkloadF3,p100.WorkloadF3
ycsb/throughput-yugabyte/ycsb-throughput-yugabyte-hot10000-F-mr5-20240501-110250/2-eu-west-1-0,2-eu-west-1-0,10000,F,5,20240501-110250,6823,5274,1251.0,298.0,0,0,194282,185750,7341.0,1191.0,201105,2158.6755981151136,219.84748558330315,82.277,153.406,175.054,200.11625,232.98450000000003,499.17400000000004,1441.99075,5047.267,1000,512,90,50000,30,96.6,968.2387405145072,12.152,586.061,750.147,1409.412,1638.559,1694.345,1901.7091199999995,4085.579,2122.6000000000004,178.8260314996878,86.482,152.27625,172.983,195.59075,218.36,234.5775,303.3178499999998,5047.267,0.0,0.0,0.0,298.0,0.0,0,0,0,5274,0,0.0,0.0,0.0,1251.0,0.0,0,0,0,6823,0,16.5,1185.425099789178,498.306,1028.6395,1185.154,1358.9904999999999,1496.7296,1621.8726,1745.9988399999995,2128.53
ycsb/throughput-yugabyte/ycsb-throughput-yugabyte-hot10000-F-mr5-20240501-110250/3-ap-northeast-1-0,3-ap-northeast-1-0,10000,F,5,20240501-110250,6872,5278,1345.0,249.0,0,0,195686,187186,7327.0,1173.0,202558,2174.281271825944,226.60534917586503,73.07,142.194,163.025,188.44775,232.89950000000002,779.1208499999964,1564.3166699999977,4467.815,1000,512,90,50000,30,93.8,1272.8695097266977,610.462,1100.349,1241.681,1428.3525,1632.4946,1712.3873999999994,1924.39582,4467.815,2140.5,171.41155955746453,77.036,141.0815,161.0,183.7785,209.6756,236.1223,410.8606400000006,4195.509,0.0,0.0,0.0,249.0,0.0,0,0,0,5278,0,0.0,0.0,0.0,1345.0,0.0,0,0,0,6872,0,15.6,1569.68043251305,875.444,1388.818,1554.204,1722.798,1884.454,1970.944,2600.8295999999814,4309.353
ycsb/throughput-yugabyte/ycsb-throughput-yugabyte-hot10000-F-mr0-20240501-110250/1-us-east-1-0,1-us-east-1-0,10000,F,0,20240501-110250,6701,6701,,,0,0,205562,205562,,,212263,2284.012165158345,217.66776528065148,108.147,188.88275000000002,214.314,242.21,270.53470000000004,289.608,337.60907999999995,649.461,1000,512,90,50000,30,,,,,,,,,,,2358.8,217.66776528065148,108.147,188.88275000000002,214.314,242.21,270.53470000000004,289.608,337.60907999999995,649.461,,,,,,0,0,0,6701,0,,,,,,0,0,0,6701,0,,,,,,,,,,
ycsb/throughput-yugabyte/ycsb-throughput-yugabyte-hot10000-F-mr0-20240501-110250/2-eu-west-1-0,2-eu-west-1-0,10000,F,0,20240501-110250,6998,6998,,,0,0,211485,211485,,,218483,2349.825578908923,212.4320357061822,103.974,184.136,209.334,236.684,264.0514,281.87519999999995,325.54092,721.902,1000,512,90,50000,30,,,,,,,,,,,2427.3999999999996,212.4320357061822,103.974,184.136,209.334,236.684,264.0514,281.87519999999995,325.54092,721.902,,,,,,0,0,0,6998,0,,,,,,0,0,0,6998,0,,,,,,,,,,
ycsb/throughput-yugabyte/ycsb-throughput-yugabyte-hot10000-F-mr0-20240501-110250/3-ap-northeast-1-0,3-ap-northeast-1-0,10000,F,0,20240501-110250,6989,6989,,,0,0,214310,214310,,,221299,2381.21039358605,208.2227166789738,99.787,177.201,201.439,228.815,257.6862,282.867,424.33571999999975,723.915,1000,512,90,50000,30,,,,,,,,,,,2461.0,208.2227166789738,99.787,177.201,201.439,228.815,257.6862,282.867,424.33571999999975,723.915,,,,,,0,0,0,6989,0,,,,,,0,0,0,6989,0,,,,,,,,,,
ycsb/throughput-yugabyte/ycsb-throughput-yugabyte-hot0-F-mr0-20240501-110250/1-us-east-1-0,1-us-east-1-0,1000000,F,0,20240501-110250,2646,2646,,,0,0,217379,217379,,,220025,2415.307949630813,209.51847291123303,106.408,182.75575,207.178,233.575,259.4015,276.02599999999995,310.20140000000004,498.695,1000,512,90,50000,30,,,,,,,,,,,2446.8,209.51847291123303,106.408,182.75575,207.178,233.575,259.4015,276.02599999999995,310.20140000000004,498.695,,,,,,0,0,0,2646,0,,,,,,0,0,0,2646,0,,,,,,,,,,
ycsb/throughput-yugabyte/ycsb-throughput-yugabyte-hot0-F-mr0-20240501-110250/2-eu-west-1-0,2-eu-west-1-0,1000000,F,0,20240501-110250,2706,2706,,,0,0,216347,216347,,,219053,2403.850969168163,210.83135511036215,109.966,185.016,209.013,234.702,259.03,274.027,303.89007999999995,482.19,1000,512,90,50000,30,,,,,,,,,,,2431.8,210.83135511036215,109.966,185.016,209.013,234.702,259.03,274.027,303.89007999999995,482.19,,,,,,0,0,0,2706,0,,,,,,0,0,0,2706,0,,,,,,,,,,
ycsb/throughput-yugabyte/ycsb-throughput-yugabyte-hot0-F-mr0-20240501-110250/3-ap-northeast-1-0,3-ap-northeast-1-0,1000000,F,0,20240501-110250,2650,2650,,,0,0,220856,220856,,,223506,2453.9441439791026,206.19750465931168,106.224,179.47750000000002,202.913,228.29149999999998,253.461,270.28369999999995,325.57981999999976,644.305,1000,512,90,50000,30,,,,,,,,,,,2477.0,206.19750465931168,106.224,179.47750000000002,202.913,228.29149999999998,253.461,270.28369999999995,325.57981999999976,644.305,,,,,,0,0,0,2650,0,,,,,,0,0,0,2650,0,,,,,,,,,,
ycsb/throughput-yugabyte/ycsb-throughput-yugabyte-hot0-F-mr10-20240501-110250/1-us-east-1-0,1-us-east-1-0,1000000,F,10,20240501-110250,2507,1876,544.0,87.0,0,0,192310,173218,16364.0,2728.0,194817,2136.7745409442196,235.80747730805257,72.739,140.837,161.103,186.335,404.9272000000016,948.7306499999996,1339.46256,2412.444,1000,512,90,50000,30,188.1,896.228853600239,84.616,579.1804999999999,896.757,1157.3220000000001,1337.7462,1495.2464999999997,1892.9846599999998,2412.444,1948.1999999999998,159.43150086422014,80.847,138.601,157.069,177.09825,196.66710000000003,209.47085,239.17530999999997,1562.241,0.0,0.0,0.0,87.0,0.0,0,0,0,1876,0,0.0,0.0,0.0,544.0,0.0,0,0,0,2507,0,30.9,1068.8511006152733,531.132,913.4739999999999,1040.711,1191.7195000000002,1362.3968000000002,1463.1042000000002,1831.42784,2008.154
ycsb/throughput-yugabyte/ycsb-throughput-yugabyte-hot0-F-mr10-20240501-110250/2-eu-west-1-0,2-eu-west-1-0,1000000,F,10,20240501-110250,2620,1911,600.0,109.0,0,0,188766,170233,15905.0,2628.0,191386,2097.389847607747,237.68778816750793,68.477,133.77550000000002,153.15,177.125,375.895,1052.219,1633.542300000002,2114.906,1000,512,90,50000,30,183.5,985.5532108459604,14.047,568.456,755.366,1418.666,1640.565,1671.957,1881.805,2114.906,1908.2,151.46187501021538,76.256,131.69025,149.3985,168.4625,186.87210000000002,198.84155,225.11719000000002,1749.985,0.0,0.0,0.0,109.0,0.0,0,0,0,1911,0,0.0,0.0,0.0,600.0,0.0,0,0,0,2620,0,30.299999999999997,1203.8787496274217,601.936,1054.8332500000001,1195.1109999999999,1367.36925,1488.9749000000004,1580.3582999999999,1709.9586700000002,1818.374
ycsb/throughput-yugabyte/ycsb-throughput-yugabyte-hot0-F-mr10-20240501-110250/3-ap-northeast-1-0,3-ap-northeast-1-0,1000000,F,10,20240501-110250,2375,1617,639.0,119.0,0,0,183177,165227,15337.0,2613.0,185552,2035.2890245456347,246.87768803030798,57.24,113.494,130.107,151.38925,536.7427000000051,1289.2281500000001,1653.2353400000013,3886.325,1000,512,90,50000,30,175.9,1260.0294078536367,654.241,1107.1235000000001,1229.416,1415.0475000000001,1620.6278,1663.6417,1870.7397999999996,3533.948,1847.7,130.70162641248874,63.827,111.646,126.759,143.529,160.464,172.10919999999996,266.92535000000174,2240.593,0.0,0.0,0.0,119.0,0.0,0,0,0,1617,0,0.0,0.0,0.0,639.0,0.0,0,0,0,2375,0,30.3,1547.3928209574067,924.951,1394.261,1538.972,1704.292,1854.3404,1930.0108,2083.8039200000003,3886.325
ycsb/throughput-yugabyte/ycsb-throughput-yugabyte-hot100000-F-mr15-20240501-110250/1-us-east-1-0,1-us-east-1-0,100000,F,15,20240501-110250,2440,1457,814.0,169.0,0,0,180892,154291,22888.0,3713.0,183332,2009.8993975514154,250.3839940377536,55.15,120.495,138.714,164.754,634.9096,1103.5629999999996,1418.0698399999992,3110.015,1000,512,90,50000,30,262.5,875.9235884007329,78.729,554.322,902.169,1132.0445,1311.189,1468.0648,1871.01594,2609.458,1725.3,136.18068991160916,67.862,117.557,133.213,150.66975,167.695,179.25375,208.88264999999996,3110.015,0.0,0.0,0.0,169.0,0.0,0,0,0,1457,0,0.0,0.0,0.0,814.0,0.0,0,0,0,2440,0,42.8,1057.2655655244573,497.081,899.756,1036.377,1175.7179999999998,1342.3290000000002,1456.9452999999996,1824.0982199999999,2113.929
ycsb/throughput-yugabyte/ycsb-throughput-yugabyte-hot100000-F-mr15-20240501-110250/2-eu-west-1-0,2-eu-west-1-0,100000,F,15,20240501-110250,2415,1422,823.0,170.0,0,0,175846,149819,22336.0,3691.0,178261,1953.8222163301086,254.24010765779482,46.633,110.015,127.485,152.19275000000002,612.1128000000004,1251.4736500000004,1626.2762399999997,3042.042,1000,512,90,50000,30,257.9,951.6137550691143,15.4,539.426,706.988,1391.182,1611.8968,1640.5251999999998,1849.9752400000002,3042.042,1675.8,125.07144112139603,59.762,107.20224999999999,122.203,138.68375,154.76930000000002,165.3713,190.18338999999997,2150.446,0.0,0.0,0.0,170.0,0.0,0,0,0,1422,0,0.0,0.0,0.0,823.0,0.0,0,0,0,2415,0,42.2,1172.414636627907,572.977,1025.392,1166.077,1332.65625,1454.8361,1550.4075999999995,1682.2004800000002,2441.58
ycsb/throughput-yugabyte/ycsb-throughput-yugabyte-hot100000-F-mr15-20240501-110250/3-ap-northeast-1-0,3-ap-northeast-1-0,100000,F,15,20240501-110250,2112,1118,849.0,145.0,0,0,163200,139481,20368.0,3351.0,165312,1813.330320827523,276.58880462378636,40.976,89.107,103.4645,124.57074999999999,1131.5349,1380.9368499999998,1660.101960000001,3299.017,1000,512,90,50000,30,235.2,1238.2703795238554,613.062,1081.73675,1221.996,1391.20875,1598.1941,1631.6183,1840.06871,3299.017,1564.0,103.67500913752582,47.662,86.858,99.174,112.996,127.2562,137.16774999999993,249.5709300000001,2071.482,0.0,0.0,0.0,145.0,0.0,0,0,0,1118,0,0.0,0.0,0.0,849.0,0.0,0,0,0,2112,0,39.3,1519.7157223038496,909.036,1368.4245,1516.743,1672.8695,1827.7568,1899.7482999999997,2066.67068,2804.371
ycsb/throughput-yugabyte/ycsb-throughput-yugabyte-hot10000-F-mr50-20240501-110250/1-us-east-1-0,1-us-east-1-0,10000,F,50,20240501-110250,7574,1032,5266.0,1276.0,0,0,100263,52944,40938.0,6381.0,107837,1114.0253618010763,424.8695072070813,16.511,41.698,240.936,831.339,1100.3426000000002,1214.5509999999995,1587.182559999999,4087.132,1000,512,90,50000,30,512.9,774.5391500676767,71.445,453.38475,700.9855,1033.2,1207.874,1371.5052500000002,1691.0181499999985,4087.132,596.3,56.66340068213836,17.697,36.047,41.759,48.378,56.7276,77.38324999999998,455.39436999999936,3768.032,0.0,0.0,0.0,1276.0,0.0,0,0,0,1032,0,0.0,0.0,0.0,5266.0,0.0,0,0,0,7574,0,84.7,958.8625316300041,387.843,804.452,910.518,1074.483,1266.1997999999999,1420.1401999999998,1719.775779999999,2750.47
ycsb/throughput-yugabyte/ycsb-throughput-yugabyte-hot10000-F-mr50-20240501-110250/2-eu-west-1-0,2-eu-west-1-0,10000,F,50,20240501-110250,7223,924,5102.0,1197.0,0,0,90048,47754,36688.0,5606.0,97271,1000.5316440690565,463.6735099419193,3.984,38.459,220.7865,878.118,1316.5867,1528.0129,1748.13039,3726.434,1000,512,90,50000,30,463.3,849.8171923634607,3.984,448.97875,596.879,1312.0704999999998,1529.8755,1543.0749,1853.3443100000002,3726.434,546.1,54.471773953892644,15.916,33.417,38.771,44.975,52.1518,60.56614999999995,477.97647000000035,3503.546,0.0,0.0,0.0,1197.0,0.0,0,0,0,924,0,0.0,0.0,0.0,5102.0,0.0,0,0,0,7223,0,76.0,1082.158903186086,348.758,942.544,1088.334,1241.58,1381.8554,1520.1658,1715.2505199999998,3593.669
ycsb/throughput-yugabyte/ycsb-throughput-yugabyte-hot10000-F-mr50-20240501-110250/3-ap-northeast-1-0,3-ap-northeast-1-0,10000,F,50,20240501-110250,5196,675,3666.0,855.0,0,0,68920,36391,27942.0,4587.0,74116,765.776568812274,617.1554977582739,9.821,21.603749999999998,434.64549999999997,1185.502,1497.9079999999997,1540.4582499999992,1865.0049200000003,5276.302,1000,512,90,50000,30,351.7,1174.211716575962,557.979,1011.41175,1174.124,1310.56725,1523.6769000000002,1695.1793999999973,1955.90967,3594.647,408.6,47.16021545231218,9.821,18.522,21.652,25.6075,31.045400000000008,217.58640000000003,701.8500400000041,3312.174,0.0,0.0,0.0,855.0,0.0,0,0,0,675,0,0.0,0.0,0.0,3666.0,0.0,0,0,0,5196,0,60.9,1460.6849697501953,817.345,1298.40375,1443.659,1597.47925,1769.3408,1881.8881999999999,2188.75684,5276.302
ycsb/throughput-yugabyte/ycsb-throughput-yugabyte-hot10000-F-mr10-20240501-110250/1-us-east-1-0,1-us-east-1-0,10000,F,10,20240501-110250,7729,4874,2362.0,493.0,0,0,184334,167890,14263.0,2181.0,192063,2048.1387311882195,238.7537880583457,71.522,140.815,161.624,188.92175,469.3343000000007,934.1433999999997,1341.85655,5144.673,1000,512,90,50000,30,184.7,871.3365564932307,77.969,571.191,778.309,1150.4555,1331.503,1490.8895,1882.1016,4693.07,1915.6,166.1168022043681,78.559,138.617,157.542,178.684,201.819,221.2151999999999,399.0524000000003,5144.673,0.0,0.0,0.0,493.0,0.0,0,0,0,4874,0,0.0,0.0,0.0,2362.0,0.0,0,0,0,7729,0,29.0,1061.0634321901794,427.663,897.6635,1029.7045,1194.69675,1375.2215,1509.69525,1859.9255499999995,2328.303
ycsb/throughput-yugabyte/ycsb-throughput-yugabyte-hot10000-F-mr10-20240501-110250/2-eu-west-1-0,2-eu-west-1-0,10000,F,10,20240501-110250,7193,4303,2353.0,537.0,0,0,175369,160284,13015.0,2070.0,182562,1948.5416613640398,237.73918966022987,64.22,132.479,152.186,177.607,458.115,985.563,1623.447800000001,4474.084,1000,512,90,50000,30,171.4,948.9490292532213,10.973,559.68325,729.768,1402.0445,1629.1896,1664.54025,1882.88746,3137.481,1826.6,156.93433764998312,72.651,130.44549999999998,148.39,168.4315,189.33620000000002,205.19019999999995,371.36800000000017,4474.084,0.0,0.0,0.0,537.0,0.0,0,0,0,4303,0,0.0,0.0,0.0,2353.0,0.0,0,0,0,7193,0,29.4,1175.2277955092222,481.926,1024.6705,1174.4560000000001,1344.7492499999998,1496.4589999999998,1585.4733499999998,1762.9271099999999,3006.203
ycsb/throughput-yugabyte/ycsb-throughput-yugabyte-hot10000-F-mr10-20240501-110250/3-ap-northeast-1-0,3-ap-northeast-1-0,10000,F,10,20240501-110250,7186,3970,2676.0,540.0,0,0,178015,162751,13267.0,1997.0,185201,1977.925155037047,246.84964903132888,48.61,106.903,123.657,146.949,745.8205,1283.775,1647.7234999999998,3548.052,1000,512,90,50000,30,176.9,1248.3584425857484,559.374,1079.522,1228.372,1406.355,1616.4798,1671.921,1892.9995200000008,3350.116,1846.0,135.27964469399285,56.034,105.128,120.3185,138.01775,159.35280000000006,188.85475000000002,517.8321000000004,3548.052,0.0,0.0,0.0,540.0,0.0,0,0,0,3970,0,0.0,0.0,0.0,2676.0,0.0,0,0,0,7186,0,27.8,1531.8625201850293,804.844,1368.9607500000002,1518.6309999999999,1696.94375,1865.7793,1939.0684000000003,2149.9785500000003,3310.503
ycsb/throughput-yugabyte/ycsb-throughput-yugabyte-hot100000-F-mr10-20240501-110250/1-us-east-1-0,1-us-east-1-0,100000,F,10,20240501-110250,2550,1839,590.0,121.0,0,0,189468,170822,16078.0,2568.0,192018,2105.1966637077185,239.30874136022308,72.959,143.265,164.0405,190.16750000000002,408.6097000000009,955.5713499999999,1344.70091,3391.493,1000,512,90,50000,30,183.39999999999998,903.8851239629383,79.272,584.749,926.548,1165.254,1342.1732,1500.9206,1878.880639999999,3391.493,1918.1,162.88134320265195,81.694,141.033,159.957,180.554,201.083,214.848,248.01749999999998,3189.049,0.0,0.0,0.0,121.0,0.0,0,0,0,1839,0,0.0,0.0,0.0,590.0,0.0,0,0,0,2550,0,29.9,1070.1941041902605,532.252,921.746,1041.891,1192.374,1362.4564000000003,1474.2757999999997,1824.97136,2054.628
