path,region,hot,workload,mr,suffix,rejected,rejected.WorkloadB1,rejected.WorkloadB2,rejected.WorkloadB3,aborted,unexpected,completed,completed.WorkloadB1,completed.WorkloadB2,completed.WorkloadB3,total,avg,p0,p25,p50,p75,p90,p95,p99,p100,avg.WorkloadB3,p0.WorkloadB3,p25.WorkloadB3,p50.WorkloadB3,p75.WorkloadB3,p90.WorkloadB3,p95.WorkloadB3,p99.WorkloadB3,p100.WorkloadB3,avg.WorkloadB2,p0.WorkloadB2,p25.WorkloadB2,p50.WorkloadB2,p75.WorkloadB2,p90.WorkloadB2,p95.WorkloadB2,p99.WorkloadB2,p100.WorkloadB2,avg.WorkloadB1,p0.WorkloadB1,p25.WorkloadB1,p50.WorkloadB1,p75.WorkloadB1,p90.WorkloadB1,p95.WorkloadB1,p99.WorkloadB1,p100.WorkloadB1,throughput.WorkloadB1,throughput.WorkloadB2,throughput.WorkloadB3,scalefactor,terminals,time,rate,warmup,ood_index_page.WorkloadB3,ood_table.WorkloadB3,ood_tuple.WorkloadB3,other_aborts.WorkloadB3,deadlock.WorkloadB3,ood_index_page.WorkloadB1,ood_table.WorkloadB1,ood_tuple.WorkloadB1,other_aborts.WorkloadB1,deadlock.WorkloadB1,ood_index_page.WorkloadB2,ood_table.WorkloadB2,ood_tuple.WorkloadB2,other_aborts.WorkloadB2,deadlock.WorkloadB2,ood_index_page,ood_table,ood_tuple,other_aborts,deadlock,throughput
mixed/yugabyte/ycsb-mixed-yugabyte-hot100000-F-mr5-20240604-153605/3-ap-northeast-1-0,3-ap-northeast-1-0,100000,F,5,20240604-153605,425,367,52.0,6.0,0,0,306300,290869,13201.0,2230.0,306725,149.8190751372411,43.582,95.048,108.07,124.021,145.56279999999998,647.9815999999718,996.1734400000004,2469.951,1058.8830269905536,817.531,954.8320000000001,983.177,1020.8835,1465.144,1515.3948,1593.3921600000003,1680.822,900.4948852696621,178.044,717.875,871.626,913.916,1372.9522,1420.7375999999997,1548.08252,2469.951,109.04137442803071,43.582,94.338,106.757,120.979,135.862,146.275,169.51960000000008,1053.311,3225.7,146.0,24.2,1000,512,90,50000,30,0.0,0.0,0.0,6.0,0.0,0,0,0,367,0,0.0,0.0,0.0,52.0,0.0,0,0,0,425,0,3403.2976234389166
mixed/yugabyte/ycsb-mixed-yugabyte-hot100000-F-mr5-20240604-153605/2-eu-west-1-0,2-eu-west-1-0,100000,F,5,20240604-153605,436,372,52.0,12.0,0,0,303598,288366,13107.0,2125.0,304034,151.30541432581492,55.295,107.74924999999999,120.836,136.476,156.45080000000004,329.89820000000134,917.6624299999996,1685.206,833.3020274491245,96.781,708.117,812.422,843.922,1261.9934,1360.2364,1432.5138000000002,1486.748,703.7740496671003,88.637,381.64599999999996,873.228,911.9635000000001,944.7678,1353.1503999999995,1497.67326,1685.206,121.27105754971527,55.295,107.024,119.547,133.60775,147.7849,157.12180000000006,176.62767000000034,1221.621,3202.7,145.1,23.4,1000,512,90,50000,30,0.0,0.0,0.0,12.0,0.0,0,0,0,372,0,0.0,0.0,0.0,52.0,0.0,0,0,0,436,0,3373.2737044667133
mixed/yugabyte/ycsb-mixed-yugabyte-hot100000-F-mr15-20240604-153605/1-us-east-1-0,1-us-east-1-0,100000,F,15,20240604-153605,391,250,124.0,17.0,0,0,266534,226608,34262.0,5664.0,266925,172.24377498470417,10.157,92.708,105.396,123.813,383.7338000000001,682.5894000000001,743.1846800000006,1178.618,662.7097449866903,288.257,592.297,650.141,681.861,873.3894,915.6880000000001,951.0264999999999,1178.618,550.1855944831218,23.029,364.514,635.175,694.513,718.499,876.3842500000001,949.73245,1086.708,103.02676002577333,10.157,90.674,101.554,113.6905,125.837,133.948,151.2324,1112.271,2528.3,384.0,62.7,1000,512,90,50000,30,0.0,0.0,0.0,17.0,0.0,0,0,0,250,0,0.0,0.0,0.0,124.0,0.0,0,0,0,391,0,2961.4569111429723
mixed/yugabyte/ycsb-mixed-yugabyte-hot100000-F-mr15-20240604-153605/3-ap-northeast-1-0,3-ap-northeast-1-0,100000,F,15,20240604-153605,318,181,120.0,17.0,0,0,248995,211721,32033.0,5241.0,249313,183.81380005305442,23.15,55.295,64.284,78.152,702.643,866.182,1374.584,1732.628,1010.0784270072992,769.355,917.33425,943.8845,971.0215,1417.3505,1492.847,1566.46465,1624.086,850.3154355360225,162.739,679.068,838.948,862.803,1320.4476,1383.8495999999998,1420.92268,1646.617,63.2269281426662,23.15,53.885,61.531,70.386,79.84440000000002,86.382,101.22685999999997,1732.628,2357.3,356.4,58.3,1000,512,90,50000,30,0.0,0.0,0.0,17.0,0.0,0,0,0,181,0,0.0,0.0,0.0,120.0,0.0,0,0,0,318,0,2766.581338515297
mixed/yugabyte/ycsb-mixed-yugabyte-hot100000-F-mr15-20240604-153605/2-eu-west-1-0,2-eu-west-1-0,100000,F,15,20240604-153605,340,213,102.0,25.0,0,0,268936,228758,34513.0,5665.0,269276,170.4361905389115,34.956,72.632,82.93,98.15125,370.76330000000013,860.3700999999999,938.0237499999996,2383.981,799.0511925807597,82.325,674.4105,785.1790000000001,808.24575,1227.4809999999998,1338.7479499999993,1418.22516,2383.981,661.0276148361562,83.252,348.046,846.7085,871.55,896.0819,1271.6033499999953,1432.96859,1647.217,81.26585446391103,34.956,71.025,79.785,89.76,99.93030000000002,106.77765,121.52732999999999,1718.037,2538.3999999999996,386.2,63.9,1000,512,90,50000,30,0.0,0.0,0.0,25.0,0.0,0,0,0,213,0,0.0,0.0,0.0,102.0,0.0,0,0,0,340,0,2988.1468261213317
mixed/yugabyte/ycsb-mixed-yugabyte-hot1000-F-mr50-20240604-171936/1-us-east-1-0,1-us-east-1-0,1000,F,50,20240604-171936,5649,267,4396.0,986.0,0,0,150390,77808,62612.0,9970.0,156039,284.9004637506912,4.753,32.25725,288.08900000000006,618.45775,671.9557000000001,689.6842,914.1343900000003,3600.058,631.6030269772581,80.766,551.876,624.214,649.518,858.52,896.612,1064.8541999999982,2554.266,512.9322642455165,5.651,302.479,561.42,667.822,686.4666,869.0672999999999,1029.126420000001,3600.058,41.93675421915245,4.753,28.593,32.291,36.571,41.506400000000006,46.17459999999999,381.1013599999999,2800.894,870.0,740.2,122.2,1000,512,90,50000,30,0.0,0.0,0.0,986.0,0.0,0,0,0,267,0,0.0,0.0,0.0,4396.0,0.0,0,0,0,5649,0,1670.9891180918326
mixed/yugabyte/ycsb-mixed-yugabyte-hot1000-F-mr50-20240604-171936/3-ap-northeast-1-0,3-ap-northeast-1-0,1000,F,50,20240604-171936,3224,108,2528.0,588.0,0,0,100498,51825,42021.0,6652.0,103722,437.76092394368925,8.448,15.228,526.395,808.639,922.9928,1330.9743999999998,1522.3283600000022,6719.893,1006.3125570621469,609.221,884.0282500000001,915.8185000000001,940.9214999999999,1480.9325000000003,1553.11655,1721.0415300000002,4365.325,823.564748929809,150.082,643.8315,806.656,813.739,1315.692,1379.4465,1509.3295,6719.893,31.991735185327894,8.448,13.208,15.252500000000001,17.888,20.931300000000004,24.019299999999987,627.22381,4962.947,576.8,494.4,80.6,1000,512,90,50000,30,0.0,0.0,0.0,588.0,0.0,0,0,0,108,0,0.0,0.0,0.0,2528.0,0.0,0,0,0,3224,0,1116.638268181705
mixed/yugabyte/ycsb-mixed-yugabyte-hot1000-F-mr50-20240604-171936/2-eu-west-1-0,2-eu-west-1-0,1000,F,50,20240604-171936,4767,220,3715.0,832.0,0,0,118922,61413,49642.0,7867.0,123689,370.23377400001624,8.784,20.728,285.422,808.898,877.2896000000002,1288.712,1410.7348400000005,6753.308,825.7345128680732,77.383,623.169,749.102,815.11625,1333.2530000000002,1381.00375,1572.7614999999998,5270.069,680.3862343383965,71.713,295.049,810.6755,819.84925,1259.4509000000003,1376.8279,1549.1512500000001,5653.79,40.04114828218569,8.784,17.565,20.73,24.377,28.751200000000004,35.031299999999995,639.87442,6753.308,684.0,597.0999999999999,95.9,1000,512,90,50000,30,0.0,0.0,0.0,832.0,0.0,0,0,0,220,0,0.0,0.0,0.0,3715.0,0.0,0,0,0,4767,0,1321.350615377965
mixed/yugabyte/ycsb-mixed-yugabyte-hot100000-F-mr10-20240604-153605/1-us-east-1-0,1-us-east-1-0,100000,F,10,20240604-153605,402,309,85.0,8.0,0,0,280212,252747,23522.0,3943.0,280614,163.94458827141543,10.891,106.925,120.468,137.38675,185.60029999999995,633.3239500000003,731.67193,1012.324,671.0144393785024,543.23,605.34925,659.921,694.34325,823.3135,905.65175,950.9595,1012.324,561.6540572427914,13.511,379.36225,626.683,707.564,731.8687,851.5568499999991,952.9702599999999,1011.39,119.17528976263299,10.891,105.472,117.835,131.32,144.638,153.173,170.97940000000003,966.61,2814.2,261.1,43.3,1000,512,90,50000,30,0.0,0.0,0.0,8.0,0.0,0,0,0,309,0,0.0,0.0,0.0,85.0,0.0,0,0,0,402,0,3113.4492022230875
mixed/yugabyte/ycsb-mixed-yugabyte-hot100000-F-mr10-20240604-153605/3-ap-northeast-1-0,3-ap-northeast-1-0,100000,F,10,20240604-153605,383,248,117.0,18.0,0,0,278270,250454,23896.0,3920.0,278653,164.6125276676218,32.216,73.753,84.826,99.43,239.199,863.847,1348.0563999999995,2275.509,1026.0854678828366,788.732,928.31225,957.2975,987.4275,1417.5046000000002,1499.73305,1562.58701,1648.06,868.1871255993942,153.907,687.95525,854.7370000000001,886.5155,1340.052,1394.7001500000001,1437.01492,2275.509,84.44575073261099,32.216,72.547,82.606,93.965,105.805,113.79569999999995,131.95427,1432.6,2784.1,265.4,44.5,1000,512,90,50000,30,0.0,0.0,0.0,18.0,0.0,0,0,0,248,0,0.0,0.0,0.0,117.0,0.0,0,0,0,383,0,3091.8598452629544
mixed/yugabyte/ycsb-mixed-yugabyte-hot100000-F-mr10-20240604-153605/2-eu-west-1-0,2-eu-west-1-0,100000,F,10,20240604-153605,409,310,87.0,12.0,0,0,286675,258055,24695.0,3925.0,287084,160.07125348254533,46.237,89.473,101.1965,116.502,193.5777999999989,827.2665500000003,923.3405399999995,1683.197,812.9590774557579,329.355,689.7495,798.354,824.8365,880.2028000000004,1343.1509,1429.45308,1531.548,681.2933535193533,90.087,363.448,860.14,891.944,923.906,1289.108,1475.1551999999997,1683.197,100.47621468928745,46.237,88.206,98.859,110.82724999999999,122.981,131.179,149.39946999999998,1069.342,2868.1,278.3,43.0,1000,512,90,50000,30,0.0,0.0,0.0,12.0,0.0,0,0,0,310,0,0.0,0.0,0.0,87.0,0.0,0,0,0,409,0,3185.254094847315
mixed/yugabyte/ycsb-mixed-yugabyte-hot100000-F-mr0-20240604-153605/1-us-east-1-0,1-us-east-1-0,100000,F,0,20240604-153605,418,418,,,0,0,308837,308837,,,309255,148.9973352820955,19.916,131.96249999999998,147.381,164.128,180.722,191.45679999999993,214.35158,372.248,,,,,,,,,,,,,,,,,,,148.9973352820955,19.916,131.96249999999998,147.381,164.128,180.722,191.45679999999993,214.35158,372.248,3436.9,,,1000,512,90,50000,30,,,,,,0,0,0,418,0,,,,,,0,0,0,418,0,3431.5046266865875
mixed/yugabyte/ycsb-mixed-yugabyte-hot100000-F-mr0-20240604-153605/3-ap-northeast-1-0,3-ap-northeast-1-0,100000,F,0,20240604-153605,520,520,,,0,0,337025,337025,,,337545,136.50546049199932,62.93,119.814,134.167,150.405,167.413,178.909,205.07168,406.617,,,,,,,,,,,,,,,,,,,136.50546049199932,62.93,119.814,134.167,150.405,167.413,178.909,205.07168,406.617,3753.3,,,1000,512,90,50000,30,,,,,,0,0,0,520,0,,,,,,0,0,0,520,0,3744.7149447431984
mixed/yugabyte/ycsb-mixed-yugabyte-hot100000-F-mr0-20240604-153605/2-eu-west-1-0,2-eu-west-1-0,100000,F,0,20240604-153605,425,425,,,0,0,306819,306819,,,307244,149.9727249422949,62.327,132.10775,147.827,165.433,183.27290000000002,195.086,220.41014,373.561,,,,,,,,,,,,,,,,,,,149.9727249422949,62.327,132.10775,147.827,165.433,183.27290000000002,195.086,220.41014,373.561,3407.8999999999996,,,1000,512,90,50000,30,,,,,,0,0,0,425,0,,,,,,0,0,0,425,0,3409.0847175656345
mixed/yugabyte/ycsb-mixed-yugabyte-hot1000-F-mr15-20240604-171936/1-us-east-1-0,1-us-east-1-0,1000,F,15,20240604-171936,5693,2561,2561.0,571.0,0,0,247327,212656,29885.0,4786.0,253020,167.39291158243213,10.805,83.086,94.87,113.229,387.0890000000002,687.7536,869.77372,3328.582,663.7678362639441,126.327,591.426,650.326,684.179,867.3996,915.0594,986.1564799999996,2368.295,550.6417488369209,16.886,356.74924999999996,615.06,698.598,724.4879000000001,892.3762499999995,973.3367,3011.42,97.70766895849131,10.805,81.236,91.274,102.8815,115.6644,125.92209999999994,256.24613999999974,3328.582,2388.1,357.0,59.4,1000,512,90,50000,30,0.0,0.0,0.0,571.0,0.0,0,0,0,2561,0,0.0,0.0,0.0,2561.0,0.0,0,0,0,5693,0,2748.05126747987
mixed/yugabyte/ycsb-mixed-yugabyte-hot1000-F-mr15-20240604-171936/3-ap-northeast-1-0,3-ap-northeast-1-0,1000,F,15,20240604-171936,4906,1543,2774.0,589.0,0,0,230699,198963,27310.0,4426.0,235605,193.67003666618461,16.784,54.264,63.671,79.458,793.5760000000005,872.7937,1386.4242100000006,6428.041,1031.139084521385,616.088,921.12225,951.9255,983.1425,1441.8031,1509.0807000000002,1574.14986,2792.653,863.058293971536,168.964,687.40975,838.9739999999999,864.306,1314.4634,1385.9632,1432.94354,6428.041,73.53976577520889,16.784,52.813,60.7885,70.367,81.8145,94.1335,441.5248499999948,5918.883,2227.8,335.3,54.5,1000,512,90,50000,30,0.0,0.0,0.0,589.0,0.0,0,0,0,1543,0,0.0,0.0,0.0,2774.0,0.0,0,0,0,4906,0,2563.316012446776
mixed/yugabyte/ycsb-mixed-yugabyte-hot1000-F-mr15-20240604-171936/2-eu-west-1-0,2-eu-west-1-0,1000,F,15,20240604-171936,5846,2235,2962.0,649.0,0,0,237620,204703,28398.0,4519.0,243466,188.23646892415852,33.325,71.537,82.375,100.66775000000001,661.6107000000002,867.1604499999999,1383.02082,5629.677,870.513421813917,94.171,678.732,790.9970000000001,866.8525,1344.808,1393.95525,1498.8762000000002,2954.149,716.3085624035494,80.347,352.8025,844.9,877.57525,1288.3295000000003,1397.74165,1466.2438200000001,5629.677,91.90164597985819,33.325,69.823,79.038,89.902,103.3867,120.41134999999998,483.4549399999954,3656.803,2324.0,352.9,56.7,1000,512,90,50000,30,0.0,0.0,0.0,649.0,0.0,0,0,0,2235,0,0.0,0.0,0.0,2962.0,0.0,0,0,0,5846,0,2640.21468056633
mixed/yugabyte/ycsb-mixed-yugabyte-hot1000-F-mr0-20240604-171936/1-us-east-1-0,1-us-east-1-0,1000,F,0,20240604-171936,6279,6279,,,0,0,297814,297814,,,304093,151.52580431581686,16.337,133.115,148.465,165.411,182.976,196.059,251.65940000000015,1185.215,,,,,,,,,,,,,,,,,,,151.52580431581686,16.337,133.115,148.465,165.411,182.976,196.059,251.65940000000015,1185.215,3382.7,,,1000,512,90,50000,30,,,,,,0,0,0,6279,0,,,,,,0,0,0,6279,0,3309.015259554891
mixed/yugabyte/ycsb-mixed-yugabyte-hot1000-F-mr0-20240604-171936/3-ap-northeast-1-0,3-ap-northeast-1-0,1000,F,0,20240604-171936,6760,6760,,,0,0,322375,322375,,,329135,139.9815952352696,55.327,119.155,133.856,151.3365,171.89159999999998,192.234,300.5048999999998,899.499,,,,,,,,,,,,,,,,,,,139.9815952352696,55.327,119.155,133.856,151.3365,171.89159999999998,192.234,300.5048999999998,899.499,3658.0,,,1000,512,90,50000,30,,,,,,0,0,0,6760,0,,,,,,0,0,0,6760,0,3581.9268364881
mixed/yugabyte/ycsb-mixed-yugabyte-hot1000-F-mr0-20240604-171936/2-eu-west-1-0,2-eu-west-1-0,1000,F,0,20240604-171936,6090,6090,,,0,0,295770,295770,,,301860,152.6363050459933,64.911,132.613,148.393,166.57425,187.213,203.65364999999997,263.36605999999995,1128.895,,,,,,,,,,,,,,,,,,,152.6363050459933,64.911,132.613,148.393,166.57425,187.213,203.65364999999997,263.36605999999995,1128.895,3341.0,,,1000,512,90,50000,30,,,,,,0,0,0,6090,0,,,,,,0,0,0,6090,0,3286.305877087564
