path,region,hot,workload,mr,suffix,rejected,rejected.WorkloadF1,rejected.WorkloadF2,rejected.WorkloadF3,aborted,unexpected,completed,completed.WorkloadF1,completed.WorkloadF2,completed.WorkloadF3,total,throughput.WorkloadF3,avg.WorkloadF3,p0.WorkloadF3,p25.WorkloadF3,p50.WorkloadF3,p75.WorkloadF3,p90.WorkloadF3,p95.WorkloadF3,p99.WorkloadF3,p100.WorkloadF3,throughput.WorkloadF1,avg.WorkloadF1,p0.WorkloadF1,p25.WorkloadF1,p50.WorkloadF1,p75.WorkloadF1,p90.WorkloadF1,p95.WorkloadF1,p99.WorkloadF1,p100.WorkloadF1,ood_index_page.WorkloadF3,ood_table.WorkloadF3,ood_tuple.WorkloadF3,other_aborts.WorkloadF3,deadlock.WorkloadF3,ood_index_page.WorkloadF2,ood_table.WorkloadF2,ood_tuple.WorkloadF2,other_aborts.WorkloadF2,deadlock.WorkloadF2,ood_index_page.WorkloadF1,ood_table.WorkloadF1,ood_tuple.WorkloadF1,other_aborts.WorkloadF1,deadlock.WorkloadF1,ood_index_page,ood_table,ood_tuple,other_aborts,deadlock,avg,p0,p25,p50,p75,p90,p95,p99,p100,avg.WorkloadF2,p0.WorkloadF2,p25.WorkloadF2,p50.WorkloadF2,p75.WorkloadF2,p90.WorkloadF2,p95.WorkloadF2,p99.WorkloadF2,p100.WorkloadF2,throughput,scalefactor,terminals,time,rate,warmup,throughput.WorkloadF2
ycsb/rmw-aurora-eventual/ycsb-throughput-aurora-hot1000-F-mr10-20240507-204505/1-us-east-1-0,1-us-east-1-0,1000,F,10,20240507-204505,24864,21503,2782.0,579.0,0,0,595453,535969,50959.0,8525.0,620317,95.19999999999999,16.043830892772792,4.493,7.464,8.647,10.284,12.518900000000002,16.5403,273.78032999999976,979.884,5966.200000000001,9.313049520090736,4.536,7.411,8.517,10.074,11.809,13.689,21.337380000000003,976.086,0.0,0.0,0.0,579.0,0.0,0.0,0.0,0.0,2782.0,0.0,0,0,0,21503,0,0,0,0,24864,0,9.709483840933366,4.536,7.416,8.526,10.087,11.848,13.799,22.272,1355.602,12.812816306366834,4.526,7.456,8.599,10.192,12.195,14.8765,111.22544999999985,1355.602,6616.1147439702345,1000,64,90,50000,30,565.3
ycsb/rmw-aurora-eventual/ycsb-throughput-aurora-hot1000-F-mr10-20240507-204505/2-eu-west-1-0,2-eu-west-1-0,1000,F,10,20240507-204505,821,397,307.0,117.0,0,0,13255,11862,1194.0,199.0,14076,2.2,595.0611387559808,209.979,350.159,485.364,761.858,1079.1752000000004,1246.3074,1386.3043199999997,1834.535,130.8,429.26467184533055,210.888,348.90075,417.895,487.162,556.0225,621.8919999999999,763.3531999999998,1264.922,0.0,0.0,0.0,117.0,0.0,0.0,0.0,0.0,307.0,0.0,0,0,0,397,0,0,0,0,821,0,438.5067863359779,210.618,348.988,418.092,487.86850000000004,558.4192,627.0482,917.6897600000004,1945.408,500.83689655172407,208.679,350.022,421.552,557.605,821.8618,910.9329999999999,1249.3180799999998,1945.408,147.2768429641996,1000,64,90,50000,30,13.6
ycsb/rmw-aurora-eventual/ycsb-throughput-aurora-hot1000-F-mr50-20240507-204505/3-ap-northeast-1-0,3-ap-northeast-1-0,1000,F,50,20240507-204505,2212,385,1405.0,422.0,0,0,4363,2253,1851.0,259.0,6575,3.6,1650.2066888217523,499.07,1000.9594999999999,1663.311,2177.4195,2643.846,2746.0885,3154.6594999999998,3470.938,24.4,1080.2057129208372,500.852,835.03475,1002.2975,1173.41725,1497.5819,1668.13415,2152.5764400000003,3181.401,0.0,0.0,0.0,422.0,0.0,0.0,0.0,0.0,1405.0,0.0,0,0,0,385,0,0,0,0,2212,0,1251.6658382903724,496.198,836.77,1159.074,1496.537,2051.4614000000056,2483.2664999999993,2844.25886,3470.938,1385.8903193743693,497.488,840.2825,1167.558,1831.79125,2333.7763,2644.8128,2999.1073699999997,3331.451,48.47732598472007,1000,64,90,50000,30,22.4
ycsb/rmw-aurora-eventual/ycsb-throughput-aurora-hot1000-F-mr50-20240507-204505/1-us-east-1-0,1-us-east-1-0,1000,F,50,20240507-204505,26239,10779,12655.0,2805.0,0,0,548111,274321,234815.0,38975.0,574350,437.4,14.723739282860308,3.995,6.747,7.866,9.362,11.702600000000006,15.964200000000012,262.18976000000225,1195.649,3045.5,8.911384055207614,4.033,6.68,7.72,9.153,10.878,12.87525,20.342,1128.149,0.0,0.0,0.0,2805.0,0.0,0.0,0.0,0.0,12655.0,0.0,0,0,0,10779,0,0,0,0,26239,0,10.533836548571722,4.03,6.703,7.764,9.208,11.049,13.449,29.953439999999944,1332.18,11.733373834257932,4.038,6.725,7.801,9.247,11.177,13.926,115.77616000000044,1332.18,6090.110388258055,1000,64,90,50000,30,2616.2
ycsb/rmw-aurora-eventual/ycsb-throughput-aurora-hot1000-F-mr50-20240507-204505/2-eu-west-1-0,2-eu-west-1-0,1000,F,50,20240507-204505,2885,515,1788.0,582.0,0,0,11905,6056,5026.0,823.0,14790,9.7,600.1154467353952,208.872,351.607,486.93,828.8,1045.4442000000001,1180.8948,1370.2815999999996,1899.206,67.2,437.4365178211163,210.314,349.17475,418.317,488.84000000000003,559.7405,626.56175,820.1364799999991,1410.2,0.0,0.0,0.0,582.0,0.0,0.0,0.0,0.0,1788.0,0.0,0,0,0,515,0,0,0,0,2885,0,479.24786155261836,207.208,349.46975,419.8355,552.98275,704.1267000000003,898.52795,1175.44083,1899.206,510.54331881773396,207.208,349.93899999999996,422.466,565.623,833.1514000000001,974.6139000000001,1189.6634000000001,1565.025,132.27745229293916,1000,64,90,50000,30,56.5
ycsb/rmw-aurora-eventual/ycsb-throughput-aurora-hot10000-F-mr10-20240507-204505/3-ap-northeast-1-0,3-ap-northeast-1-0,10000,F,10,20240507-204505,90,28,46.0,16.0,0,0,5690,5175,433.0,82.0,5780,0.9,1171.5032875000002,502.647,836.6044999999999,1005.773,1329.70475,1850.0093000000015,2165.27935,2480.857159999996,3009.759,57.4,1017.4190078376204,504.632,834.8915000000001,1000.25,1166.0752499999999,1330.0795,1336.2997500000001,1504.4189999999999,2162.446,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,46.0,0.0,0,0,0,28,0,0,0,0,90,0,1026.0426307523742,504.506,834.99875,1000.4395,1166.43425,1330.988,1338.901,1663.9025000000001,3016.874,1094.861799528302,501.861,836.17425,1001.9705,1175.71425,1493.2746,1829.4700999999995,2330.08331,3016.874,63.221749083998894,1000,64,90,50000,30,4.699999999999999
ycsb/rmw-aurora-eventual/ycsb-throughput-aurora-hot10000-F-mr10-20240507-204505/1-us-east-1-0,1-us-east-1-0,10000,F,10,20240507-204505,1954,1653,251.0,50.0,0,0,717389,645801,61631.0,9957.0,719343,110.69999999999999,9.089831699687174,5.207,7.1552500000000006,7.846,8.64375,9.731,10.583649999999999,20.611670000000174,802.35,7173.6,8.094563433783552,5.134,7.095,7.792,8.556,9.618,10.353,14.650349999999976,860.812,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,251.0,0.0,0,0,0,1653,0,0,0,0,1954,0,8.150779285074433,5.139,7.1,7.798,8.563,9.626,10.363,14.831920000000043,1000.724,8.588573999494482,5.189,7.15,7.843,8.616,9.685,10.44459999999999,16.873159999999974,1000.724,7970.917508525508,1000,64,90,50000,30,686.6
ycsb/rmw-aurora-eventual/ycsb-throughput-aurora-hot10000-F-mr10-20240507-204505/2-eu-west-1-0,2-eu-west-1-0,10000,F,10,20240507-204505,123,58,49.0,16.0,0,0,13769,12420,1185.0,164.0,13892,1.8,464.18255900621114,276.345,350.202,419.217,486.642,562.211,840.631,1093.8602000000008,1958.141,137.2,422.4645722557698,211.248,349.037,417.832,486.825,554.6186,559.6696000000001,629.2727600000001,1175.27,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,49.0,0.0,0,0,0,58,0,0,0,0,123,0,423.6253946760122,211.239,349.043,417.861,486.931,555.01,560.2705,631.7237,1958.141,429.71021238177127,210.764,349.014,418.003,487.9,557.0862,623.5336,838.7677399999992,1903.999,152.98738927590173,1000,64,90,50000,30,13.2
ycsb/rmw-aurora-eventual/ycsb-throughput-aurora-hot10000-F-mr15-20240507-204505/3-ap-northeast-1-0,3-ap-northeast-1-0,10000,F,15,20240507-204505,137,37,83.0,17.0,0,0,5658,4785,756.0,117.0,5795,1.0,1121.6394144144144,507.365,837.9955,1004.233,1177.536,1664.004,1994.696,2319.854200000001,2337.912,52.900000000000006,1018.5652164502164,503.622,834.6745,1000.9825000000001,1166.92975,1330.0849,1340.5981,1511.05735,2833.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,83.0,0.0,0,0,0,37,0,0,0,0,137,0,1031.6155536008796,503.738,834.887,1001.195,1167.342,1331.746,1487.6409999999998,1847.015879999998,2833.0,1099.2573777472528,503.667,835.6855,1002.207,1170.78675,1504.8171000000002,1992.5995,2338.11448,2649.805,62.86633358965507,1000,64,90,50000,30,8.5
ycsb/rmw-aurora-eventual/ycsb-throughput-aurora-hot10000-F-mr15-20240507-204505/1-us-east-1-0,1-us-east-1-0,10000,F,15,20240507-204505,1994,1560,361.0,73.0,0,0,718550,610822,92558.0,15170.0,720544,167.3,9.033070425415872,5.006,7.057,7.78,8.636,9.842,10.634,22.088079999999987,822.051,6804.6,8.036484912215608,4.968,6.989,7.73,8.538,9.75,10.5,14.699,567.15,0.0,0.0,0.0,73.0,0.0,0.0,0.0,0.0,361.0,0.0,0,0,0,1560,0,0,0,0,1994,0,8.117145600821587,4.974,6.997,7.736,8.548,9.761,10.512,14.917140000000014,1242.096,8.500445246757884,5.009,7.041,7.766,8.6,9.819,10.573,16.31693000000004,1242.096,7983.8827013797945,1000,64,90,50000,30,1031.9
ycsb/rmw-aurora-eventual/ycsb-throughput-aurora-hot10000-F-mr15-20240507-204505/2-eu-west-1-0,2-eu-west-1-0,10000,F,15,20240507-204505,147,68,61.0,18.0,0,0,13783,11639,1841.0,303.0,13930,3.2,434.375533557047,210.19,348.18025,417.7555,487.863,557.9667,636.5320999999985,845.4354599999984,1030.09,129.1,421.44115055942206,210.599,348.17949999999996,417.01,485.9035,553.869,558.8225,627.1045,1159.478,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,61.0,0.0,0,0,0,68,0,0,0,0,147,0,423.1625072582446,210.599,348.255,417.081,485.991,554.0730000000001,560.3674,687.9690800000001,1245.884,432.7389028089888,210.973,348.9165,417.476,486.52625,555.7239,622.0052000000001,833.61285,1245.884,153.14322280904497,1000,64,90,50000,30,20.5
ycsb/rmw-aurora-eventual/ycsb-throughput-aurora-hot0-F-mr50-20240507-204505/3-ap-northeast-1-0,3-ap-northeast-1-0,1000000,F,50,20240507-204505,97,21,68.0,8.0,0,0,5695,2852,2449.0,394.0,5792,4.300000000000001,1034.048568,660.502,835.6475,1000.219,1167.4569999999999,1331.9968000000001,1490.8399000000002,2038.3770599999984,2327.854,31.5,1020.7983048422598,503.36,834.606,1000.3325,1166.5945,1331.02,1341.404,1659.90425,2988.497,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,68.0,0.0,0,0,0,21,0,0,0,0,97,0,1026.8765643183897,503.808,834.835,1000.489,1166.775,1331.4538,1476.959200000004,1836.1160399999999,3667.902,1034.3164976665255,504.232,835.039,1000.88,1166.918,1332.6294,1490.9696,1992.89532,3667.902,63.27740731316584,1000,64,90,50000,30,27.5
ycsb/rmw-aurora-eventual/ycsb-throughput-aurora-hot0-F-mr50-20240507-204505/1-us-east-1-0,1-us-east-1-0,1000000,F,50,20240507-204505,476,270,176.0,30.0,0,0,718488,359523,307765.0,51200.0,718964,566.6,8.206202491016997,5.11,7.088,7.808,8.586,9.714,10.539,14.741409999999982,999.649,3992.8999999999996,8.087732990729547,5.093,7.053,7.768,8.525,9.628100000000035,10.466,14.708,689.399,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,176.0,0.0,0,0,0,270,0,0,0,0,476,0,8.12964223098965,5.103,7.067,7.783,8.546,9.657,10.481,14.704109999999986,999.649,8.165769003578447,5.114,7.079,7.796,8.564,9.68,10.488,14.683,986.434,7983.171702849581,1000,64,90,50000,30,3423.3999999999996
ycsb/rmw-aurora-eventual/ycsb-throughput-aurora-hot0-F-mr50-20240507-204505/2-eu-west-1-0,2-eu-west-1-0,1000000,F,50,20240507-204505,117,36,71.0,10.0,0,0,13721,6872,5912.0,937.0,13838,10.6,431.0703858695652,211.343,349.216,418.4175,487.56575,554.516,565.9819999999976,695.9348999999999,969.891,75.7,422.878732735426,211.03,348.66425,417.2545,486.2875,554.1787,560.4162,629.34771,1121.035,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,71.0,0.0,0,0,0,36,0,0,0,0,117,0,424.89977133029237,211.082,348.792,417.478,486.507,554.4187999999999,560.8056,689.7532400000002,1182.249,426.335496615171,211.145,348.868,417.699,486.568,554.696,560.996,698.1333999999998,1182.249,152.45534799776294,1000,64,90,50000,30,66.3
ycsb/rmw-aurora-eventual/ycsb-throughput-aurora-hot0-F-mr5-20240507-204505/3-ap-northeast-1-0,3-ap-northeast-1-0,1000000,F,5,20240507-204505,24,13,9.0,2.0,0,0,5738,5447,247.0,44.0,5762,0.4,1044.2949772727272,665.025,831.6992499999999,1001.249,1170.0339999999999,1341.73,1507.0641999999998,2165.3262200000004,2657.739,60.4,1020.7143524102171,504.466,834.951,1000.573,1166.172,1330.6454,1339.6352,1506.5777399999997,2696.949,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,9.0,0.0,0,0,0,13,0,0,0,0,24,0,1022.5739462855062,504.345,834.9685000000001,1000.6610000000001,1166.333,1330.9737,1340.05,1508.95439,3161.446,1061.0964833333333,506.607,835.30725,1003.52,1168.9155,1335.7492,1494.5047499999998,2199.7198499999954,3161.446,63.75491182079413,1000,64,90,50000,30,2.8
ycsb/rmw-aurora-eventual/ycsb-throughput-aurora-hot0-F-mr5-20240507-204505/1-us-east-1-0,1-us-east-1-0,1000000,F,5,20240507-204505,669,654,12.0,3.0,0,0,722586,686312,31093.0,5181.0,723255,58.0,8.144542277565778,5.171,7.161,7.821,8.622,9.7438,10.544399999999998,14.980000000000025,44.249,7622.5,8.071368440454213,5.055,7.052,7.778,8.569,9.712,10.53,14.868780000000028,362.979,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,12.0,0.0,0,0,0,654,0,0,0,0,669,0,8.076379268256083,5.059,7.055,7.779,8.571,9.716,10.532,14.868300000000048,713.531,8.1673256053068,5.097,7.09,7.799,8.615,9.777,10.572,14.801579999999907,713.531,8028.667752855735,1000,64,90,50000,30,345.0
ycsb/rmw-aurora-eventual/ycsb-throughput-aurora-hot0-F-mr5-20240507-204505/2-eu-west-1-0,2-eu-west-1-0,1000000,F,5,20240507-204505,20,16,3.0,1.0,0,0,13738,13033,596.0,109.0,13758,1.2,419.3214571428571,214.021,350.294,417.458,486.186,557.7944,565.3766,625.7064,626.163,144.4,425.4575989887818,211.833,349.505,418.0965,487.08175,554.788,559.9169499999999,628.3737199999999,1134.148,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0,0,0,16,0,0,0,0,20,0,425.3938458770615,211.827,349.50475,418.0965,487.10400000000004,554.8348,560.0600999999999,628.6351400000001,1134.148,423.9942706896552,211.538,349.30675,418.1135,487.654,555.4337,579.4589499999981,646.281330000002,1095.661,152.64372285346946,1000,64,90,50000,30,6.8
ycsb/rmw-aurora-eventual/ycsb-throughput-aurora-hot100000-F-mr5-20240507-204505/3-ap-northeast-1-0,3-ap-northeast-1-0,100000,F,5,20240507-204505,12,7,4.0,1.0,0,0,5764,5473,242.0,49.0,5776,0.4,986.872808510638,504.822,831.2465,1003.304,1162.4155,1322.2984,1331.8601,1699.1725799999995,2009.432,61.0,1013.8879136718007,504.177,834.6105,1000.075,1166.298,1330.2324,1338.4096000000002,1504.0934,2332.098,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0,0,0,7,0,0,0,0,12,0,1014.5745576194771,504.177,834.616,1000.09,1166.372,1330.4188,1338.5494,1504.1401999999998,2337.805,1035.131221757322,504.947,835.3335,999.857,1169.7165,1332.5672,1355.2849999999992,1670.99532,2337.805,64.04438634408876,1000,64,90,50000,30,2.6
ycsb/rmw-aurora-eventual/ycsb-throughput-aurora-hot100000-F-mr5-20240507-204505/1-us-east-1-0,1-us-east-1-0,100000,F,5,20240507-204505,715,686,27.0,2.0,0,0,724047,688005,30861.0,5181.0,724762,57.3,8.248724765140915,5.115,7.096500000000001,7.826,8.6025,9.754400000000002,10.6077,13.435819999999953,671.672,7647.0,8.059658751127186,5.074,7.058,7.769,8.541,9.698,10.528,14.842760000000009,293.848,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,27.0,0.0,0,0,0,686,0,0,0,0,715,0,8.069143391162662,5.076,7.06,7.771,8.544,9.7,10.53,14.830900000000023,876.267,8.252446918729818,5.123,7.118,7.814,8.612,9.757,10.563,14.708279999999984,876.267,8044.8976797919195,1000,64,90,50000,30,341.4
ycsb/rmw-aurora-eventual/ycsb-throughput-aurora-hot100000-F-mr5-20240507-204505/2-eu-west-1-0,2-eu-west-1-0,100000,F,5,20240507-204505,33,21,9.0,3.0,0,0,13761,13073,592.0,96.0,13794,1.1,419.6616041666666,210.053,346.5225,418.2395,486.6885,555.509,560.39525,1034.0794999999998,1094.566,145.3,423.84500746385925,211.163,348.91375,417.65,486.5355,554.3539,559.6335,627.54039,1034.292,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,9.0,0.0,0,0,0,21,0,0,0,0,33,0,424.07487927430196,211.168,348.92575,417.64750000000004,486.5365,554.4124,559.80395,628.28764,1094.566,431.48667491166077,212.303,349.96225,417.571,486.57225,555.6705,620.8695,853.4784500000015,971.247,152.89967770446825,1000,64,90,50000,30,6.699999999999999
ycsb/rmw-aurora-eventual/ycsb-throughput-aurora-hot100000-F-mr0-20240507-204505/3-ap-northeast-1-0,3-ap-northeast-1-0,100000,F,0,20240507-204505,10,10,,,0,0,5735,5735,,,5745,,,,,,,,,,,63.7,1016.8437481949459,504.164,836.014,1002.181,1168.6295,1332.0572000000002,1341.1848,1506.0426,2323.076,,,,,,,,,,,0,0,0,10,0,0,0,0,10,0,1016.8437481949459,504.164,836.014,1002.181,1168.6295,1332.0572000000002,1341.1848,1506.0426,2323.076,,,,,,,,,,63.72147694290806,1000,64,90,50000,30,
