path,region,hot,workload,mr,suffix,rejected,rejected.WorkloadF1,rejected.WorkloadF2,rejected.WorkloadF3,aborted,unexpected,completed,completed.WorkloadF1,completed.WorkloadF2,completed.WorkloadF3,total,scalefactor,terminals,time,rate,warmup,throughput.WorkloadF2,avg.WorkloadF2,p0.WorkloadF2,p25.WorkloadF2,p50.WorkloadF2,p75.WorkloadF2,p90.WorkloadF2,p95.WorkloadF2,p99.WorkloadF2,p100.WorkloadF2,throughput.WorkloadF3,avg.WorkloadF3,p0.WorkloadF3,p25.WorkloadF3,p50.WorkloadF3,p75.WorkloadF3,p90.WorkloadF3,p95.WorkloadF3,p99.WorkloadF3,p100.WorkloadF3,throughput.WorkloadF1,avg.WorkloadF1,p0.WorkloadF1,p25.WorkloadF1,p50.WorkloadF1,p75.WorkloadF1,p90.WorkloadF1,p95.WorkloadF1,p99.WorkloadF1,p100.WorkloadF1,ood_index_page.WorkloadF2,ood_table.WorkloadF2,ood_tuple.WorkloadF2,other_aborts.WorkloadF2,deadlock.WorkloadF2,ood_index_page.WorkloadF3,ood_table.WorkloadF3,ood_tuple.WorkloadF3,other_aborts.WorkloadF3,deadlock.WorkloadF3,ood_index_page.WorkloadF1,ood_table.WorkloadF1,ood_tuple.WorkloadF1,other_aborts.WorkloadF1,deadlock.WorkloadF1,ood_index_page,ood_table,ood_tuple,other_aborts,deadlock,avg,p0,p25,p50,p75,p90,p95,p99,p100,throughput
ycsb/throughput-sunstorm-serializable/ycsb-throughput-sunstorm-hot100000-F-mr15-20241222-102401/3-ap-northeast-1-0,3-ap-northeast-1-0,100000,F,15,20241222-102401,1731,1032,586.0,113.0,0,0,262148,222512,34015.0,5621.0,263879,1000,96,90,50000,30,377.6,191.73565975189322,149.967,159.689,209.918,213.088,215.035,216.9904,366.90531999999996,632.564,63.0,219.84907221825964,208.966,213.17775,214.494,216.12975,218.29559999999998,228.83554999999996,426.21193,495.326,2477.6000000000004,3.976494996459866,2.052,3.279,3.721,4.356,5.073,5.442,6.291,221.114,0.0,0.0,405.0,0.0,0.0,2.0,0.0,75.0,0.0,0.0,0,0,0,0,0,2,0,480,1249,0,32.982633182226806,1.691,3.332,3.989,4.951,168.44780000000003,213.02779999999998,217.02895999999998,632.564,2912.741367074536
ycsb/throughput-sunstorm-serializable/ycsb-throughput-sunstorm-hot100000-F-mr15-20241222-102401/2-eu-west-1-0,2-eu-west-1-0,100000,F,15,20241222-102401,1612,991,510.0,111.0,0,0,308717,262465,39635.0,6617.0,310329,1000,96,90,50000,30,438.9,151.75688571861812,78.398,83.032,209.959,213.443,215.1182,216.45159999999998,282.7296,634.735,72.4,220.45243223165556,210.111,214.06375,215.3315,216.83,218.764,231.07999999999998,427.62575,566.737,2915.5,4.436251562971998,2.426,3.681,4.27,4.761,5.464,5.828,6.8467999999999885,220.234,3.0,0.0,278.0,0.0,0.0,0.0,0.0,73.0,0.0,0.0,0,0,0,0,0,3,0,351,1258,0,28.00494784857503,2.136,3.803,4.41,5.374,84.3765,213.46625,217.038,634.735,3430.168774912775
ycsb/throughput-sunstorm-serializable/ycsb-throughput-sunstorm-hot100000-F-mr10-20241222-102401/1-us-east-1-0,1-us-east-1-0,100000,F,10,20241222-102401,2158,1480,560.0,118.0,0,0,469385,422300,40433.0,6652.0,471543,1000,96,90,50000,30,449.0,128.79488754333826,79.83,84.69975,154.438,167.13825,171.6531,175.89149999999995,240.93518999999995,414.309,73.69999999999999,172.25138797649538,152.678,162.155,168.599,172.474,177.36700000000002,198.70779999999993,330.33648000000017,573.96,4695.0,5.423280134207425,3.328,4.663,5.13,5.765,6.374,6.862,8.429559999999997,214.379,3.0,0.0,355.0,0.0,0.0,2.0,0.0,71.0,0.0,0.0,0,0,0,0,0,5,0,426,1727,0,18.441197993888863,3.174,4.7105,5.262,6.031,81.42,158.90550000000002,172.66619999999995,573.96,5215.363410447865
ycsb/throughput-sunstorm-serializable/ycsb-throughput-sunstorm-hot100000-F-mr10-20241222-102401/3-ap-northeast-1-0,3-ap-northeast-1-0,100000,F,10,20241222-102401,2312,1496,673.0,143.0,0,0,366765,330205,31310.0,5250.0,369077,1000,96,90,50000,30,348.1,194.64279126120357,150.207,162.29275,210.958,214.54025,217.2541,223.18845,376.4402400000001,639.108,58.5,223.62624455899194,209.481,214.4595,216.15,218.3655,222.237,255.2288499999999,430.20867999999996,647.182,3671.1000000000004,4.163047791715171,2.193,3.436,3.926,4.52,5.143,5.541,6.557,219.534,14.0,0.0,489.0,0.0,0.0,4.0,0.0,94.0,0.0,0.0,0,0,0,0,0,18,0,583,1711,0,23.585749860484963,2.06,3.474,4.086,4.76,74.13700000000024,212.476,218.40348999999998,647.182,4075.129824459346
ycsb/throughput-sunstorm-serializable/ycsb-throughput-sunstorm-hot100000-F-mr10-20241222-102401/2-eu-west-1-0,2-eu-west-1-0,100000,F,10,20241222-102401,2168,1434,628.0,106.0,0,0,422824,380809,36138.0,5877.0,424992,1000,96,90,50000,30,401.6,154.220486110341,79.306,84.371,210.701,214.844,217.0451,219.29555,296.53948999999983,645.659,64.69999999999999,222.7934670873124,210.673,215.40875,216.871,218.753,221.6964,246.0764,431.32129999999995,646.883,4228.7,4.61931935096946,2.677,3.891,4.463,4.903,5.572,5.926,7.198,222.057,6.0,0.0,415.0,0.0,0.0,1.0,0.0,77.0,0.0,0.0,0,0,0,0,0,7,0,492,1669,0,20.46307115681746,2.551,3.973,4.547,5.217,73.78780000000016,212.894,218.14164,646.883,4698.027366227563
ycsb/throughput-sunstorm-serializable/ycsb-throughput-sunstorm-hot1000-F-mr10-20241222-102401/1-us-east-1-0,1-us-east-1-0,1000,F,10,20241222-102401,40823,17052,18315.0,5456.0,0,0,220266,201843,16518.0,1905.0,261089,1000,96,90,50000,30,213.89999999999998,266.2363779895593,86.332,148.50799999999998,217.6015,358.35575,474.9745,552.7446999999999,648.94651,1051.802,35.7,404.5439138477801,165.321,228.80975,411.275,526.55975,692.0757,724.6099999999997,784.2822999999999,862.57,2243.1000000000004,6.128494152337573,2.869,4.24,4.759,5.41,6.224,6.915,11.267850000000035,445.73,8087.0,0.0,3996.0,0.0,0.0,2544.0,0.0,1284.0,0.0,0.0,0,0,0,0,0,10631,0,5280,24912,0,29.081811286545985,2.717,4.276,4.889,5.67,8.959600000000036,207.55429999999998,480.4361799999994,1051.802,2447.3872516685788
ycsb/throughput-sunstorm-serializable/ycsb-throughput-sunstorm-hot1000-F-mr10-20241222-102401/3-ap-northeast-1-0,3-ap-northeast-1-0,1000,F,10,20241222-102401,38531,18758,15111.0,4662.0,0,0,198978,182163,15038.0,1777.0,237509,1000,96,90,50000,30,190.89999999999998,327.88790740493664,156.166,197.14800000000002,246.8435,436.73925,599.0151,669.1901999999999,739.8390999999999,953.879,32.0,443.1734490140845,214.811,250.3365,473.027,544.4235,761.4508000000001,792.6302000000001,842.61136,1019.287,2013.7,4.7325815082075575,1.922,3.159,3.672,4.272,5.132,5.613,8.272,555.412,4724.0,0.0,5142.0,0.0,0.0,1491.0,0.0,1840.0,0.0,0.0,0,0,0,0,0,6215,0,6982,25334,0,33.077896005485336,1.738,3.185,3.84,4.561,7.116,238.3464999999999,584.1063600000032,1019.287,2210.8483254443936
ycsb/throughput-sunstorm-serializable/ycsb-throughput-sunstorm-hot1000-F-mr10-20241222-102401/2-eu-west-1-0,2-eu-west-1-0,1000,F,10,20241222-102401,38994,18743,15338.0,4913.0,0,0,214455,195849,16581.0,2025.0,253449,1000,96,90,50000,30,207.0,277.57819449319214,83.938,132.126,246.178,378.521,521.3235999999999,619.8868,756.5660000000001,1064.98,34.4,462.4327357743691,221.421,268.638,489.055,572.87,806.171,833.987,875.6138,1048.494,2155.5,5.3008520756147925,2.212,3.518,4.107,4.669,5.424,6.097,9.103,474.04,5323.0,0.0,4253.0,0.0,0.0,1731.0,0.0,1572.0,0.0,0.0,0,0,0,0,0,7054,0,5825,26115,0,30.67485897963767,2.04,3.597,4.174,5.043,8.122300000000017,242.64924999999985,535.1498300000007,1064.98,2382.8179067848746
ycsb/throughput-sunstorm-serializable/ycsb-throughput-sunstorm-hot100000-F-mr0-20241222-102401/1-us-east-1-0,1-us-east-1-0,100000,F,0,20241222-102401,883,883,,,0,0,907132,907132,,,908015,1000,64,90,50000,30,,,,,,,,,,,,,,,,,,,,,10093.900000000001,6.3694107606444,4.161,5.468,5.975,6.497,7.067,7.516,10.001849999999978,271.851,,,,,,,,,,,0,0,0,0,0,0,0,0,883,0,6.3694107606444,4.161,5.468,5.975,6.497,7.067,7.516,10.001849999999978,271.851,10079.143967250082
ycsb/throughput-sunstorm-serializable/ycsb-throughput-sunstorm-hot100000-F-mr0-20241222-102401/3-ap-northeast-1-0,3-ap-northeast-1-0,100000,F,0,20241222-102401,942,942,,,0,0,1022963,1022963,,,1023905,1000,64,90,50000,30,,,,,,,,,,,,,,,,,,,,,11379.5,5.6459037334305,3.562,4.791,5.297,5.766,6.319,6.764,8.812,97.911,,,,,,,,,,,0,0,0,0,0,0,0,0,942,0,5.6459037334305,3.562,4.791,5.297,5.766,6.319,6.764,8.812,97.911,11366.254371697016
ycsb/throughput-sunstorm-serializable/ycsb-throughput-sunstorm-hot100000-F-mr0-20241222-102401/2-eu-west-1-0,2-eu-west-1-0,100000,F,0,20241222-102401,854,854,,,0,0,972398,972398,,,973252,1000,64,90,50000,30,,,,,,,,,,,,,,,,,,,,,10781.5,5.946418370316478,3.93,5.127,5.561,6.056,6.63,7.045,9.394,88.472,,,,,,,,,,,0,0,0,0,0,0,0,0,854,0,5.946418370316478,3.93,5.127,5.561,6.056,6.63,7.045,9.394,88.472,10804.301289917981
ycsb/throughput-sunstorm-serializable/ycsb-throughput-sunstorm-hot1000-F-mr50-20241222-102401/1-us-east-1-0,1-us-east-1-0,1000,F,50,20241222-102401,37276,1364,29504.0,6408.0,0,0,20195,15342,4703.0,150.0,57471,1000,128,90,50000,30,144.4,503.97237989778534,156.152,286.36674999999997,506.3795,667.027,851.38,904.86175,975.7583500000002,1432.762,23.9,703.66086,284.395,374.7235,716.462,973.34325,1114.097,1153.41825,1227.0334899999996,1298.655,171.1,8.240180231417925,2.573,3.794,4.155,4.864,5.628,6.244199999999998,195.65915999999996,456.998,2559.0,0.0,21749.0,0.0,0.0,722.0,0.0,4533.0,0.0,0.0,0,0,0,0,0,3281,0,26282,7713,0,128.7067399445215,1.352,3.892,4.597,165.346,556.5145,745.5931999999998,924.7821400000009,1432.762,224.38698783745053
ycsb/throughput-sunstorm-serializable/ycsb-throughput-sunstorm-hot1000-F-mr50-20241222-102401/3-ap-northeast-1-0,3-ap-northeast-1-0,1000,F,50,20241222-102401,12326,2349,7720.0,2257.0,0,0,53488,27060,22772.0,3656.0,65814,1000,128,90,50000,30,254.5,389.824269488832,200.121,292.11675,322.423,375.91225,643.5647,723.64515,996.6358100000004,1560.781,42.099999999999994,527.0182600329852,260.241,365.161,400.556,719.097,834.8344000000001,1115.72635,1257.4111100000002,1676.665,305.4,6.73112161310649,1.614,2.8985000000000003,3.276,4.09,4.956,5.441,210.7947200000006,599.395,71.0,0.0,2364.0,0.0,0.0,30.0,0.0,803.0,0.0,0.0,0,0,0,0,0,101,0,3167,9058,0,204.86645988382986,0.775,3.252,9.3275,331.2885,561.9078999999999,676.1378,983.7770799999983,1676.665,594.3049289003119
ycsb/throughput-sunstorm-serializable/ycsb-throughput-sunstorm-hot1000-F-mr50-20241222-102401/2-eu-west-1-0,2-eu-west-1-0,1000,F,50,20241222-102401,31074,1585,23938.0,5551.0,0,0,24074,15878,7748.0,448.0,55148,1000,128,90,50000,30,147.39999999999998,532.4289418210279,146.495,340.85675,468.43449999999996,717.67475,912.6835,997.958,1120.8679,1339.719,23.0,767.0854708624707,351.495,430.549,788.926,939.892,1239.1694,1302.3865999999998,1369.1077999999998,1473.292,175.7,8.268263696682466,1.713,3.153,3.759,4.52,5.2742,5.809,229.39164000000008,578.097,108.0,0.0,18721.0,0.0,0.0,4.0,0.0,4559.0,0.0,0.0,0,0,0,0,0,112,0,23280,7682,0,189.47749618256913,0.943,3.472,4.54,350.129,690.0880000000001,854.4277999999999,1086.9517999999996,1473.292,267.4868445047688
ycsb/throughput-sunstorm-serializable/ycsb-throughput-sunstorm-hot100000-F-mr50-20241222-102401/1-us-east-1-0,1-us-east-1-0,100000,F,50,20241222-102401,1391,469,785.0,137.0,0,0,171631,86268,73458.0,11905.0,173022,1000,128,90,50000,30,816.0,124.29824576687119,78.389,82.91,153.214,159.393,167.2161,169.75855,223.89136999999954,528.885,130.9,165.15432601564473,151.428,158.639,160.898,167.238,171.3798,175.174,250.01692000000128,407.329,957.7,4.878153256303744,2.939,4.221,4.642,5.297,5.89,6.343,7.511,173.923,0.0,0.0,211.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,0,0,0,0,0,0,0,260,1131,0,67.05820459700412,1.342,4.631,8.104,156.16250000000002,162.15080000000003,168.082,181.83414000000045,528.885,1907.0024155826854
ycsb/throughput-sunstorm-serializable/ycsb-throughput-sunstorm-hot100000-F-mr50-20241222-102401/3-ap-northeast-1-0,3-ap-northeast-1-0,100000,F,50,20241222-102401,1215,416,659.0,140.0,0,0,117449,58983,50166.0,8300.0,118664,1000,128,90,50000,30,555.7,188.9355554490061,149.088,157.942,209.292,212.561,214.495,216.185,308.8901799999997,621.494,92.0,218.57509705456303,208.068,212.66,214.0455,215.81025,217.8995,221.83599999999996,424.12151,635.253,648.7,3.8615395880461962,1.955,3.155,3.564,4.226,5.022,5.354,6.18,215.156,0.0,0.0,287.0,0.0,0.0,0.0,0.0,65.0,0.0,0.0,0,0,0,0,0,0,0,352,863,0,97.98002344848747,0.75,3.551,6.487,210.826,213.756,215.353,246.1600000000001,635.253,1304.9855145153447
ycsb/throughput-sunstorm-serializable/ycsb-throughput-sunstorm-hot100000-F-mr50-20241222-102401/2-eu-west-1-0,2-eu-west-1-0,100000,F,50,20241222-102401,1312,455,696.0,161.0,0,0,139952,69853,60195.0,9904.0,141264,1000,128,90,50000,30,667.5999999999999,150.36838563059615,78.476,82.61224999999999,209.0035,213.042,214.694,215.88,276.8259500000001,820.779,110.30000000000001,219.1025182636851,209.812,213.6035,214.873,216.36700000000002,218.2096,220.3425,426.80346000000003,1025.028,777.0,4.211540747870308,2.284,3.511,4.063,4.566,5.283,5.631,6.534899999999994,83.901,1.0,0.0,253.0,0.0,0.0,0.0,0.0,63.0,0.0,0.0,0,0,0,0,0,1,0,316,995,0,82.20736793397415,0.95,4.062,79.3365,211.453,214.252,215.636,231.83162999999982,1025.028,1555.0216175434273
ycsb/throughput-sunstorm-serializable/ycsb-throughput-sunstorm-hot1000-F-mr0-20241222-102401/1-us-east-1-0,1-us-east-1-0,1000,F,0,20241222-102401,13453,13453,,,0,0,896421,896421,,,909874,1000,64,90,50000,30,,,,,,,,,,,,,,,,,,,,,9965.0,6.441295223544153,4.063,5.472,6.012,6.607,7.312,7.943,11.823,232.527,,,,,,,,,,,0,0,0,0,0,0,0,0,13453,0,6.441295223544153,4.063,5.472,6.012,6.607,7.312,7.943,11.823,232.527,9960.131778501702
ycsb/throughput-sunstorm-serializable/ycsb-throughput-sunstorm-hot1000-F-mr0-20241222-102401/3-ap-northeast-1-0,3-ap-northeast-1-0,1000,F,0,20241222-102401,14857,14857,,,0,0,1019947,1019947,,,1034804,1000,64,90,50000,30,,,,,,,,,,,,,,,,,,,,,11315.0,5.665963091844924,3.618,4.817,5.291,5.762,6.333,6.868,10.321,86.094,,,,,,,,,,,0,0,0,0,0,0,0,0,14857,0,5.665963091844924,3.618,4.817,5.291,5.762,6.333,6.868,10.321,86.094,11332.62165762939
ycsb/throughput-sunstorm-serializable/ycsb-throughput-sunstorm-hot1000-F-mr0-20241222-102401/2-eu-west-1-0,2-eu-west-1-0,1000,F,0,20241222-102401,14249,14249,,,0,0,967743,967743,,,981992,1000,64,90,50000,30,,,,,,,,,,,,,,,,,,,,,10749.9,5.973496699008869,3.928,5.136,5.557,6.08,6.685,7.224,10.897,83.881,,,,,,,,,,,0,0,0,0,0,0,0,0,14249,0,5.973496699008869,3.928,5.136,5.557,6.08,6.685,7.224,10.897,83.881,10752.66600042853
